player,player_id,team_id,reset_throws,reset_aec,reset_aec_per_throw,avg_reset_cp,avg_reset_yards
Eric Brodbeck,ebrodbeck,sol,31,0.272140312407741,0.00877871975508842,0.9739500043568609,-3.264516129032258
Daniel Bauman,dbauman,apex,26,0.21672006802604563,0.008335387231770986,0.9823222221916534,-2.5661538461538456
Duncan Fitzgerald,dfitzgera,sol,46,-0.05813600179205411,-0.0012638261259142198,0.9840436202042226,-4.290869565217391
Tynan Sander,tsander,growlers,28,-0.07194139864396853,-0.002569335665856019,0.9814725076971192,-3.7317857142857145
Felix Moren,fmoren,steel,31,-0.16253058506549,-0.005242922098886774,0.9775187413729911,-5.620322580645162
Dexter Clyburn,dclyburn,spiders,42,-0.4360295708087045,-0.010381656447826298,0.973717454568491,-5.005476190476192
Bryce Lozinski,blozinski,growlers,31,-0.38581333633985093,-0.0124455914948339,0.9787285037757597,-3.0025806451612898
Kennith Taylor,ktaylor,hustle,25,-0.31655003089230144,-0.012662001235692057,0.9811633285319931,-3.2556000000000007
Nanda Min-Fink,nminfink,apex,75,-0.9508371978691454,-0.01267782930492194,0.9793632631030967,-3.1741333333333337
Reese Bowman,rbowman,sol,57,-0.7227383446131229,-0.01267962008093198,0.9760697309817697,-6.209298245614035
Jeremy Knopf,jknopf,apex,57,-0.8193735319788515,-0.01437497424524301,0.979565569834122,-4.088596491228071
Daniel Brunker,dbrunker,growlers,39,-0.5770393320364038,-0.014795880308625739,0.9807329898440258,-3.4338461538461544
Aylen Learned,alearned,apex,41,-0.6163860960571037,-0.015033807220904968,0.9811839970627206,-4.671707317073171
Jay Froude,jfroude,apex,27,-0.4112712995157472,-0.015232270352435082,0.9825418771265227,-3.5370370370370363
Alex Piper,apiper,apex,40,-0.641338257403425,-0.016033456435085625,0.9814178939076083,-3.7372500000000004
Jacob Artz,jartz,steel,46,-0.7644649037170375,-0.016618802254718207,0.9813038096283186,-3.7623913043478265
Mason Zetsch,mzetsch,bighorns,33,-0.5513702985291126,-0.016708190864518562,0.9846556586277989,-5.124242424242425
Ryan Flick,rflick,hustle,27,-0.4850491043772103,-0.017964781643600384,0.9827664896596415,-3.5900000000000003
Cullen Baker,cbaker,union,106,-1.9595287226104485,-0.01848612002462687,0.9814874260779002,-4.143207547169811
Khalif El-Salaam,kelsalaam,growlers,41,-0.7735752249617156,-0.01886768841370038,0.9800713701133722,-3.7973170731707317
Matthew Armour,marmour,sol,46,-0.8852123976083108,-0.019243747774093715,0.9765521714909849,-4.73195652173913
Tyler Mackey,tmackey,phoenix,40,-0.7937302079211941,-0.019843255198029854,0.9818342780143929,-4.349500000000001
Cole Petsche,cpetsche,bighorns,57,-1.1481263056730573,-0.020142566766193987,0.9769930650762383,-4.997368421052631
Chad Yorgason,cyorgason,shred,67,-1.3664527736024712,-0.020394817516454795,0.9788127033354715,-6.017164179104477
Sam Kaminsky,skaminsky,union,25,-0.5119888970332543,-0.020479555881330172,0.987340559411398,-5.3596
Quinn Finer,qfiner,apex,34,-0.7122811062132347,-0.020949444300389256,0.9773186993415149,-3.3802941176470576
Kyle Henke,khenke,sol,126,-2.728589578337094,-0.02165547284394519,0.9764690609310098,-5.633968253968254
Timothy Elliott,telliott,apex,80,-1.7563615735130576,-0.02195451966891322,0.9820887646063223,-4.346875
Connor Ughetta,cughetta,havoc,43,-0.9893696581277586,-0.023008596700645548,0.9778181055845327,-5.256744186046512
KJ Koo,kkoo,growlers,49,-1.1492316919053278,-0.023453707998067914,0.9758264695924269,-4.03265306122449
Jordan Kerr,jkerr,shred,70,-1.6554570377648703,-0.02364938625378386,0.9819562237787689,-4.967142857142858
Evan Perry,eperry,bighorns,35,-0.828302396839113,-0.0236657827668318,0.9853515937309828,-4.911428571428572
Andrew Roy,aroy,breeze,67,-1.593449461004932,-0.023782827776193012,0.9650198996136591,-6.177313432835821
Malachi Marshall,mmarshall,thunderbirds,53,-1.2835061607771086,-0.02421709737315299,0.981065461309211,-4.78433962264151
Owen Robinson,orobinson,rush,26,-0.6334874588646369,-0.024364902264024494,0.9822596375483291,-4.936923076923076
Matt Miller,mmiller1,growlers,63,-1.567255381827496,-0.024877069552817394,0.966997379122209,-4.675079365079365
Leo Sovell-Fernandez,lsovellfe,windchill,75,-1.8710259494484733,-0.024947012659312977,0.9811701784711296,-3.8899999999999992
Carter Hawkins,chawkins,alleycats,70,-1.7570600579075106,-0.025100857970107294,0.981751994310368,-4.671428571428572
Tyler Reinhardt,treinhard,havoc,67,-1.6909985665729699,-0.025238784575715968,0.9756484373876524,-4.798955223880597
Hayden Austin-Knab,haustinkn,hustle,105,-2.6571641259484653,-0.025306325009033,0.9787975076086596,-4.546952380952382
David Barram,dbarram,steel,71,-1.8048250713774459,-0.02542007142785135,0.9821086986313805,-4.898309859154929
Cameron Lacy,clacy,windchill,47,-1.1996068508760749,-0.02552355001863989,0.9698286688984407,-4.32127659574468
Matt Bennett,mbennett1,havoc,37,-0.9566185362979812,-0.02585455503508057,0.9696749467188495,-4.662432432432433
McKay Yorgason,myorgason,shred,117,-3.039032550012036,-0.025974637179590053,0.9833220048531903,-4.464358974358974
Austin Taylor,ataylor,hustle,103,-2.698053828855478,-0.02619469736752891,0.9810644767333399,-4.415242718446602
Brandon Van Deusen,bvandeuse,growlers,80,-2.1003579403860133,-0.026254474254825168,0.9771150049723356,-4.943125
Connor Garrison,cgarrison,bighorns,84,-2.2216206491827983,-0.02644786487122379,0.9845763134931618,-5.193690476190476
Jake Felton,jfelton,alleycats,40,-1.0703702046937693,-0.026759255117344234,0.9812910588515338,-5.22875
Solomon Rueschemeyer-Bailey,srueschem,empire,31,-0.8477074330208091,-0.02734540106518739,0.9806697505060125,-5.071290322580645
Noah Coolman,ncoolman,windchill,55,-1.5125293453267565,-0.027500533551395572,0.983800151068392,-3.3234545454545454
Joe Thachet,jthachet,havoc,47,-1.3119038766841404,-0.027912848440088095,0.9849454996287751,-4.017021276595744
Marques Brownlee,mbrownlee,empire,25,-0.7073267322580084,-0.028293069290320334,0.9762118612759493,-5.5384
Leo Gordon,lgordon,spiders,61,-1.748744833792305,-0.02866794809495582,0.9731806878826622,-4.967377049180327
Ethan Holmgren,eholmgren,phoenix,67,-1.9221556151874188,-0.0286888897789167,0.978291006234888,-5.645074626865672
Enzo Forget,eforget,royal,62,-1.7903113524335148,-0.02887598955537927,0.9842908316795196,-3.8085483870967742
Mark Henke,mhenke,sol,65,-1.883730491729969,-0.028980469103537985,0.9818906562126758,-5.734307692307692
Jack Shanahan,jshanahan,union,53,-1.5413680936941723,-0.029082416862154195,0.9818514258681444,-5.641886792452831
Walker Frankenberg,wfrankenb,spiders,46,-1.338616466853743,-0.02910035797508137,0.9719075668725006,-5.179782608695653
Sean Connole,sconnole,hustle,46,-1.3423746204815195,-0.029182056966989552,0.979205712185769,-4.844565217391305
Jacob Miller,jmiller,shred,45,-1.3138078598153589,-0.029195730218119085,0.9822358994776875,-4.650666666666667
Elijah Long,elong,flyers,45,-1.3260241636341719,-0.02946720363631493,0.9669174350906897,-4.629111111111111
Brycen Williams,bwilliams1,bighorns,35,-1.0398006861328364,-0.029708591032366755,0.9832746106260858,-4.902857142857142
Tobias Brooks,tbrooks1,flyers,49,-1.4622666924668368,-0.029842177397282385,0.9779731250717595,-6.0697959183673476
Ethan Sarles,esarles,phoenix,38,-1.1342672053680465,-0.029849136983369644,0.9683756454942999,-4.996315789473684
Greg Cousins,gcousins,windchill,39,-1.1847458674170313,-0.030378099164539263,0.9837958901138233,-4.837948717948717
Adam Miller,amiller1,hustle,100,-3.05551053304322,-0.0305551053304322,0.9777835025664676,-4.524
Colin  White,cwhite1,phoenix,44,-1.3459123321280166,-0.030588916639273104,0.9800278258855191,-5.8527272727272734
Thomas Nye,tnye,phoenix,26,-0.8007325374318929,-0.030797405285842034,0.9817908766486447,-5.953076923076923
Brett Hulsmeyer,bhulsmeye,hustle,64,-1.9715123029284505,-0.03080487973325704,0.9726182895739182,-5.507812500000001
Dmitry Suvorov,dsuvorov,phoenix,27,-0.8360573391724293,-0.0309650866360159,0.9775412752059721,-5.361481481481481
Gagan Chatha,gchatha,rush,30,-0.9296666829982565,-0.030988889433275216,0.9850456584528368,-4.765666666666665
Chase Rawlins,crawlins,phoenix,60,-1.8769153470354567,-0.03128192245059094,0.9780245778545716,-7.238333333333332
Conor Belfield,cbelfield,cascades,73,-2.2979899144331304,-0.03147931389634425,0.9815674935735599,-4.977808219178082
Joey Wylie,jwylie,sol,51,-1.6322620513790658,-0.03200513826233462,0.9793364445933195,-5.296666666666667
Jace Duennebeil,jduennebe,shred,52,-1.6684840398514236,-0.0320862315356043,0.9806685819335133,-4.992307692307692
Evan Swiatek,eswiatek,sol,81,-2.6125457488922743,-0.03225365122089228,0.9786637906936024,-5.818518518518519
Martin Gallant,mgallant,rush,68,-2.200692424345892,-0.03236312388743959,0.9801974645542325,-5.765294117647059
Raphaël Lalonde-Landry,rlalondel,royal,41,-1.3314632473728807,-0.032474713350558064,0.9824604844776086,-3.6717073170731704
Ben Kass-Mullet,bkassmull,cascades,74,-2.432227949141017,-0.03286794525866239,0.9829132456889256,-4.97972972972973
