type,line,time,puller,pullX,pullY,pullMs,thrower,throwerX,throwerY,receiver,receiverX,receiverY,defender,turnoverX,turnoverY,team_side
1,"['amuraoka', 'kjay', 'ktong', 'lcomire', 'dmiller2', 'bklar', 'asehgal']",0.0,,,,,,,,,,,,,,home
7,,,amuraoka,-9.51,103.52,4843.0,,,,,,,,,,home
13,,,,,,,,,,,,,,,,home
18,,,,,,,lcomire,26.46,72.9,amuraoka,18.49,65.49,,,,home
18,,,,,,,amuraoka,18.49,65.49,kjay,4.08,65.69,,,,home
18,,,,,,,kjay,4.08,65.69,dmiller2,-14.04,70.98,,,,home
18,,,,,,,dmiller2,-14.04,70.98,amuraoka,1.33,69.95,,,,home
18,,,,,,,amuraoka,1.33,69.95,bklar,-12.94,77.84,,,,home
18,,,,,,,bklar,-12.94,77.84,dmiller2,-3.81,83.54,,,,home
20,,,,,,,dmiller2,-3.81,83.54,lcomire,25.91,93.7,,,,home
11,,,,,,,,,,,,,dmiller2,,,home
18,,,,,,,lcomire,-24.89,41.53,kjay,-6.77,26.01,,,,home
18,,,,,,,kjay,-6.77,26.01,amuraoka,9.71,26.49,,,,home
18,,,,,,,amuraoka,9.71,26.49,dmiller2,13.14,44.0,,,,home
18,,,,,,,dmiller2,13.14,44.0,bklar,25.08,61.37,,,,home
22,,,,,,,bklar,25.08,61.37,,,,,24.81,106.75,home
15,,,,,,,,,,,,,,,,home
2,"['ostonehou', 'rcarvalho', 'rpoloz', 'aodonnell', 'ckennedy', 'aturcotte', 'gmckee']",136.0,,,,,,,,,,,,,,home
18,,,,,,,aturcotte,0.0,40.0,ostonehou,7.44,56.91,,,,home
22,,,,,,,ostonehou,7.44,56.91,,,,,-2.58,110.66,home
11,,,,,,,,,,,,,ostonehou,,,home
18,,,,,,,rpoloz,1.06,87.25,aturcotte,12.04,87.45,,,,home
18,,,,,,,aturcotte,12.04,87.45,rpoloz,0.3,87.04,,,,home
18,,,,,,,rpoloz,0.3,87.04,aodonnell,12.52,82.65,,,,home
18,,,,,,,aodonnell,12.52,82.65,rpoloz,15.82,79.01,,,,home
18,,,,,,,rpoloz,15.82,79.01,rcarvalho,0.1,78.74,,,,home
18,,,,,,,rcarvalho,0.1,78.74,rpoloz,1.47,69.88,,,,home
18,,,,,,,rpoloz,1.47,69.88,rcarvalho,-2.58,64.05,,,,home
18,,,,,,,rcarvalho,-2.58,64.05,ckennedy,-14.25,71.32,,,,home
18,,,,,,,ckennedy,-14.25,71.32,rpoloz,-3.27,64.66,,,,home
18,,,,,,,rpoloz,-3.27,64.66,ckennedy,4.35,69.88,,,,home
18,,,,,,,ckennedy,4.35,69.88,rpoloz,9.09,77.09,,,,home
18,,,,,,,rpoloz,9.09,77.09,ostonehou,14.58,89.72,,,,home
19,,,,,,,ostonehou,14.58,89.72,gmckee,17.46,103.86,,,,home
1,"['zarmstron', 'ktong', 'tpuckrin', 'khuang', 'orobinson', 'jmcclean', 'cchan']",231.0,,,,,,,,,,,,,,home
7,,,unknown,10.67,108.05,4910.0,,,,,,,,,,home
13,,,,,,,,,,,,,,,,home
18,,,,,,,orobinson,0.1,64.18,cchan,3.94,68.03,,,,home
17,,,,,,,,,,,,,,,,home
18,,,,,,,cchan,3.94,78.03,khuang,9.36,84.3,,,,home
