season,player_id,player,team_id,offensive_possessions,defensive_possessions,Games,OPointsPlayed,DPointsPlayed,total_aec,thrower_aec,receiver_aec,player_impact,player_impact_possession,offensive_possessions_involved,OE,DE,lag_contribution,YardsThrown,YardsReceived,Assists,HockeyAssists,Goals,xcp,cpoe,Completions,completion_percentage,Throwaways,Stalls,hucks_completed,hucks_caught,huck_completion_percentage,hucks_thrown,hucks_dropped,huck_attempt_percentage,ThrowAttempts,Catches,Drops,Blocks,total_aec_display_value,total_aec_percentile,thrower_aec_display_value,thrower_aec_percentile,receiver_aec_display_value,receiver_aec_percentile,lag_contribution_display_value,lag_contribution_percentile,player_impact_possession_display_value,player_impact_possession_percentile,OE_display_value,OE_percentile,DE_display_value,DE_percentile,cpoe_display_value,cpoe_percentile,Goals_display_value,Goals_percentile,Assists_display_value,Assists_percentile,HockeyAssists_display_value,HockeyAssists_percentile,Blocks_display_value,Blocks_percentile,throw_attempts_for_rate,thrower_aec_per_throw,total_aec_per_throw,lag_contribution_per_throw
2026,tdecraene,Tobe Decraene,glory,205,72,10,174,3,55.1981800206327,23.7123714336157,31.485808587017,15.6646212881315,42.2905785362338,168,0.6,0.513888888888889,10.5316506291914,2319,2560,47,24,30,0.945290183065476,0.00779623668761076,386,0.955445544554455,18,1,9,21,0.75,12,0,0.0294840294840295,407,434,4,4,55.2,100,23.7,99,31.5,100,10.5,94,42.3,98,60.0,74,51.4,63,0.8,55,30,100,47,100,24,99,4,75,407,0.05826135487374865,0.13562206393275847,0.025876291472214742
2026,aatkins,Alex Atkins,empire,168,51,8,146,6,50.560044497624,30.9266148160571,19.6334296815669,13.8301622103581,42.4429286911718,145,0.68452380952381,0.607843137254902,13.6024005219416,2697,1553,33,14,15,0.935894205789975,0.0411549745378934,296,0.976897689768977,7,1,20,4,0.833333333333333,25,1,0.0819672131147541,305,261,1,5,50.6,100,30.9,100,19.6,97,13.6,98,42.4,99,68.5,94,60.8,89,4.1,91,15,93,33,99,14,92,5,82,305,0.10139873710182656,0.16577063769712785,0.04459803449816918
2026,cyorgason,Chad Yorgason,shred,194,88,9,163,16,48.2756282955011,25.8002173519951,22.475410943506,13.2185345733249,37.354505104914,139,0.577319587628866,0.431818181818182,10.1646844935332,1933,1922,36,15,13,0.91675422339382,0.0276902210506248,202,0.94392523364486,12,0,22,8,0.785714285714286,28,0,0.12962962962963,216,198,1,2,48.3,100,25.8,99,22.5,98,10.2,94,37.4,97,57.7,66,43.2,34,2.8,81,13,90,36,100,15,94,2,48,216,0.11944545070368102,0.22349827914583842,0.047058724507098144
2026,ataylor,Austin Taylor,hustle,213,90,9,179,14,48.3301237953836,36.0002994923571,12.3298243030265,12.1149934908581,33.8043859146768,193,0.60093896713615,0.422222222222222,15.8201623276685,3504,1087,42,18,12,0.942573170905275,0.0133091820359015,389,0.955773955773956,18,0,23,2,0.793103448275862,29,0,0.071078431372549,408,354,1,5,48.3,100,36.0,100,12.3,87,15.8,99,33.8,94,60.1,76,42.2,30,1.3,62,12,88,42,100,18,97,5,82,408,0.08823602816754192,0.11845618577299902,0.03877490766585417
2026,jnissen,Jacques Nissen,breeze,223,84,9,189,0,46.1564969940702,32.323160160249,13.8333368338212,12.5832852484152,32.0283895722722,190,0.560538116591928,0.476190476190476,19.7939476013387,3331,1226,29,25,6,0.944320503756185,0.0258691981408335,352,0.96969696969697,11,0,12,0,0.75,17,1,0.046070460704607,369,283,0,4,46.2,99,32.3,100,13.8,90,19.8,100,32.0,91,56.1,59,47.6,50,2.6,79,6,68,29,99,25,100,4,75,369,0.08759664000067481,0.1250853577075073,0.05364213442097209
2026,maugersem,Malik Auger-Semmar,royal,269,145,10,215,33,45.2850720871972,16.1852380943769,29.0998339928203,13.0078210281175,28.433299968623,170,0.520446096654275,0.489655172413793,9.85596948883377,1478,2363,44,11,25,0.948876228765925,-0.0222353021249979,238,0.926070038910506,19,0,8,11,0.666666666666667,12,0,0.0463320463320463,259,280,6,7,45.3,99,16.2,97,29.1,99,9.9,93,28.4,84,52.0,47,49.0,55,-2.2,28,25,99,44,100,11,86,7,92,259,0.06249126677365598,0.17484583817450655,0.03805393625032344
2026,jfairfax,Jacob Fairfax,flyers,190,64,8,168,9,44.5977397391441,12.9899504587394,31.6077892804047,10.2369451852799,36.2785372082132,125,0.647368421052632,0.484375,12.7571181988641,1246,2306,18,17,27,0.929415745629115,0.0354965350726395,165,0.964912280701754,6,0,15,16,0.789473684210526,19,0,0.111111111111111,171,197,1,3,44.6,99,13.0,94,31.6,100,12.8,97,36.3,96,64.7,87,48.4,53,3.5,88,27,99,18,95,17,96,3,64,171,0.07596462256572749,0.2608054955505503,0.07460303040271404
2026,jkerr,Jordan Kerr,shred,188,66,9,161,1,43.0535794498786,28.0867913949449,14.9667880549337,11.7886653899158,33.5276280244179,152,0.590425531914894,0.5,15.674603761194,2485,1132,32,23,11,0.941525917351268,0.0228868940366321,270,0.964285714285714,10,0,7,6,0.7,10,0,0.0355871886120996,281,246,1,5,43.1,99,28.1,100,15.0,92,15.7,99,33.5,93,59.0,72,50.0,57,2.3,75,11,85,32,99,23,99,5,82,281,0.09995299428806013,0.1532155852308847,0.05578150804695373
2026,khenke,Kyle Henke,sol,196,85,8,160,16,42.7344279474832,22.6020287019056,20.1323992455776,11.6655517275686,33.5402280286103,148,0.581632653061224,0.588235294117647,14.099330156356,2008,1710,31,13,16,0.942003208558159,0.0179967914418407,285,0.95959595959596,12,0,11,4,0.733333333333333,16,1,0.0533333333333333,300,282,1,3,42.7,99,22.6,99,20.1,97,14.1,98,33.5,93,58.2,68,58.8,85,1.8,68,16,94,31,99,13,90,3,64,300,0.07534009567301866,0.14244809315827733,0.04699776718785333
2026,tedmonds,Thomas Edmonds,glory,184,73,9,155,14,40.618164703545,22.4998421556747,18.1183225478703,11.5269772891452,33.8414758760537,140,0.619565217391304,0.465753424657534,13.922990255191,2043,1429,21,16,17,0.957606564933626,0.0305239988645936,336,0.988235294117647,4,0,8,6,1.0,8,0,0.0235294117647059,340,329,2,1,40.6,99,22.5,99,18.1,95,13.9,98,33.8,94,62.0,80,46.6,47,3.1,85,17,95,21,97,16,95,1,28,340,0.06617600634021971,0.11946519030454411,0.040949971338797055
