Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
elong,-5.87,46.15,gsanner,-16.24,46.43,0,0,0,"dhawkins,gsanner,tmitchell,jlouie,wmatthews,nlyle,elong",False,2026-04-25-CAR-LV,0,0,1,1,720.0,1,1,True,True,1,away,1,1777168975.0,18,False,"mmendelev,cmah,bmoore1,cpetsche,mcote,cgarrison,cwilson",2,4,4431a1fde7156a29efe3c725299c2d4fa0a44389a8c9de0111c0e5356cf19216,1777168975.0,False,1,720.0,10.373779446277,-10.37,0.280000000000001,88.4533344951909,770b01c42d9187058729cbba896e7fc076e1b0be80d6ab8135439fd2d5e745a2,0.987657476292423,0.0123425237075769,0.744178546181826,0.767218843553242,0.758886461898373,0.857358900153075,2880.0,0.0,0.507,-0.00833238165486894,-0.0325710824112164,4.0,36efa8d426beac0c76fe36a9cb4b996eea26f677,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-04-25-CAR-LV,bighorns,flyers,12,26,2026-04-25 19:00:00
gsanner,-16.24,46.43,tmitchell,-2.12,60.88,0,0,0,"dhawkins,gsanner,tmitchell,jlouie,wmatthews,nlyle,elong",False,2026-04-25-CAR-LV,0,0,1,1,720.0,1,2,True,True,2,away,2,1777168978.0,18,False,"mmendelev,cmah,bmoore1,cpetsche,mcote,cgarrison,cwilson",3,5,f13cb1d84c2d7261aedd70c6d6069b262e64271d596438f75175a119a37976ef,1777168978.0,False,2,706.875,20.2033883296837,14.12,14.45,-44.3382300858063,315ceacfc1d422d6d480ff4111404ddca6a3a723c3255ca957b87e75607abcd7,0.947812309375448,0.0521876906245516,0.744178546181826,0.744178546181826,0.806754953562256,0.800111244230851,2866.875,0.0,0.493,0.0625764073804301,0.244609693387586,5.0,35493be8695b2240334586839f02319f9b6efb60,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-04-25-CAR-LV,bighorns,flyers,12,26,2026-04-25 19:00:00
tmitchell,-2.12,60.88,dhawkins,-0.62,101.93,1,1,0,"dhawkins,gsanner,tmitchell,jlouie,wmatthews,nlyle,elong",False,2026-04-25-CAR-LV,0,0,1,1,720.0,1,3,True,True,3,away,3,1777168989.0,20,False,"mmendelev,cmah,bmoore1,cpetsche,mcote,cgarrison,cwilson",4,7,7a3a32d16a2939f648b328ae7c837fb55ed725fa336bf4805dd37f85ed7e3a2e,1777168989.0,False,3,693.75,41.0773964608275,1.5,41.05,-2.09270276134808,71b66f16d88c41ad75501ef8d54f6fcc8c3029a6532d5264968cbcfaa88cc9aa,0.769726845346312,1.0,0.744178546181826,0.796529733256504,0.943898786032534,0.66425050857036,2853.75,0.0,0.627,-0.66425050857036,-0.66425050857036,7.0,1d4a4aaa47af927bf3fbb7724d0a42c9aa6a3348,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-04-25-CAR-LV,bighorns,flyers,12,26,2026-04-25 19:00:00
mmendelev,1.99,20.0,bmoore1,17.29,34.95,1,1,0,"mmendelev,cmah,bmoore1,cpetsche,mcote,cgarrison,cwilson",True,2026-04-25-CAR-LV,0,0,1,1,720.0,2,1,False,False,4,home,3,1777169015.0,20,False,"dhawkins,gsanner,tmitchell,jlouie,wmatthews,nlyle,elong",4,9,744df0cb6bba6dbe012601bc3ec75af347411aaf0982efc05e4922a58426b8c5,1777169015.0,False,4,680.625,21.3914118281146,15.3,14.95,-45.662896794782,d07185f4de44316aec17f079378259d3e979a88d48dc0e23b960e3c66782fe32,0.969415404199023,1.0,0.652693412177114,0.652693412177114,0.676827739232755,0.879159057449046,2840.625,0.0,0.47,-0.879159057449046,-0.879159057449046,9.0,4d14da78645a48e0ece7c9b5bd5531038b46cf99,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-04-25-CAR-LV,bighorns,flyers,12,26,2026-04-25 19:00:00
elong,-15.9,80.79,tmitchell,-1.71,88.29,0,0,0,"dhawkins,gsanner,tmitchell,jlouie,wmatthews,nlyle,elong",False,2026-04-25-CAR-LV,0,0,1,1,720.0,3,1,True,True,5,away,5,1777169025.0,18,False,"mmendelev,cmah,bmoore1,cpetsche,mcote,cgarrison,cwilson",6,10,c47d37cdbb0b58c159f01ff4b4f9daf8911862ee68efbc911c62baa0c36d9a09,1777169025.0,False,5,667.5,16.0501121491409,14.19,7.5,-62.1417018963418,471b13489fb496d620001cf43b7f431cf41dc03498b156f6254c609633181fd7,0.953458360851371,0.0465416391486285,0.859284292767392,0.859284292767392,0.894420172922852,0.675520723787112,2827.5,0.0,0.464,0.0351358801554599,0.249694087792055,10.0,5b402034ec9f38cf12071569190258aca868a541,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-04-25-CAR-LV,bighorns,flyers,12,26,2026-04-25 19:00:00
tmitchell,-1.71,88.29,gsanner,9.75,88.5,0,0,0,"dhawkins,gsanner,tmitchell,jlouie,wmatthews,nlyle,elong",False,2026-04-25-CAR-LV,0,0,1,1,720.0,3,2,True,True,6,away,6,1777169027.0,18,False,"mmendelev,cmah,bmoore1,cpetsche,mcote,cgarrison,cwilson",7,11,0c3ebb847a9ae0f04c29efac106db26bfe19191e7f77f61ec94289b7b028117b,1777169027.0,False,6,654.375,11.4619239222741,11.46,0.209999999999994,-88.9501948333695,f8415146c34b5160973758cd41e0d78a2633ba1f014256b3805cb389aa3cf248,0.972164932581736,0.0278350674182638,0.859284292767392,0.891682161077466,0.891436469299683,0.666454698836774,2814.375,0.0,0.463,-0.000245691777783774,-0.00174601530003781,11.0,cd9b20ada9193ba9431d169d15f9047c9b4223b6,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-04-25-CAR-LV,bighorns,flyers,12,26,2026-04-25 19:00:00
gsanner,9.75,88.5,jlouie,18.61,90.75,0,0,0,"dhawkins,gsanner,tmitchell,jlouie,wmatthews,nlyle,elong",False,2026-04-25-CAR-LV,0,0,1,1,720.0,3,3,True,True,7,away,7,1777169032.0,18,False,"mmendelev,cmah,bmoore1,cpetsche,mcote,cgarrison,cwilson",8,12,3f3c14e64c6d7378e2ac7b7445c49611ec49473c8673bda23a805c2bf4e155cd,1777169032.0,False,7,641.25,9.14123077052538,8.86,2.25,-75.750931585402,896bb35a679f994cab613a83f2a88f0e7e3ff803ee4e69de8d125a45115c5198,0.980634036076533,0.0193659639234667,0.859284292767392,0.88954764187748,0.889484143627286,0.637350191203373,2801.25,0.0,0.463,-6.34982501942494e-05,-0.000451252041744598,12.0,f0622ab00f48a53e08888b97e12305272be99145,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-04-25-CAR-LV,bighorns,flyers,12,26,2026-04-25 19:00:00
jlouie,18.61,90.75,tmitchell,17.66,105.54,0,0,0,"dhawkins,gsanner,tmitchell,jlouie,wmatthews,nlyle,elong",False,2026-04-25-CAR-LV,0,1,1,1,720.0,3,4,True,True,8,away,8,1777169047.0,19,False,"mmendelev,cmah,bmoore1,cpetsche,mcote,cgarrison,cwilson",9,14,e1b7d869b082454d0db34e10e909eb042412817e0060e9208b0b071b5c470be9,1777169047.0,False,8,628.125,14.8204790745779,-0.949999999999999,14.79,3.67520741797945,c619c2357a2e18233443bc884c7c4bb5ccb9223190125cf0759283b99d88639d,0.95227297589049,0.0477270241095096,0.859284292767392,0.888362156982658,1.0,0.612850093385559,2788.125,0.0,0.445,0.111637843017342,0.793357367225542,14.0,8cd04b906ba00da171b452e585375efca1682b5c,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-04-25-CAR-LV,bighorns,flyers,12,26,2026-04-25 19:00:00
jshorey,13.99,32.38,apark,6.52,32.81,0,0,0,"cmills,dsnead,apark,sebastian,jshorey,bwilliams1,idecker",True,2026-04-25-CAR-LV,0,1,1,2,615.0,1,1,True,True,9,home,6,1777169098.0,18,False,"mtucker,wcoffin,smadiraju,aolcese,dbruer,elong,bmorrison",7,18,1b349ed39cd37dc13c771e4d4391f09ca8209f03142ff6d660d8fe760ef9e6c3,1777169098.0,False,9,615.0,7.48236593598576,-7.47,0.43,86.7054850272301,9e85bb161d7fa2cccb0fc35caa8297415809afbd4cfc616f4f05c874d4801ed9,0.989416415818018,0.0105835841819818,0.646943158111294,0.654989453861642,0.663927093787376,0.883557552120132,2775.0,-1.0,0.443,0.00893763992573471,0.025315016918868,18.0,aa7c64cb425b52af29ceca0ee87246a28112f91e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-04-25-CAR-LV,bighorns,flyers,12,26,2026-04-25 19:00:00
apark,6.52,32.81,jshorey,9.15,27.48,0,0,0,"cmills,dsnead,apark,sebastian,jshorey,bwilliams1,idecker",True,2026-04-25-CAR-LV,0,1,1,2,615.0,1,2,True,True,10,home,7,1777169101.0,18,False,"mtucker,wcoffin,smadiraju,aolcese,dbruer,elong,bmorrison",8,19,18182daf5f9329fa06504f32d1133ec1db95ace27d3bb45fd33c5d88e3787372,1777169101.0,False,10,609.25,5.943551127062,2.63,-5.33,-153.736729671492,a542cd20b8dedb29d51d5911f809b6cec632565cc9c82d17422d409c0b7a2bb7,0.992978660164219,0.00702133983578113,0.646943158111294,0.663870823247266,0.646787843565152,0.903479761475188,2769.25,-1.0,0.44,-0.0170829796821138,-0.0483859187963247,19.0,e3fb9bdfab859d09c6963d824f90dff0942b5d14,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-04-25-CAR-LV,bighorns,flyers,12,26,2026-04-25 19:00:00
