Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
aatkins,8.59,5.38,srueschem,-3.62,13.77,0,0,0,"aatkins,ochartock,jcowan,bjagt,mlabar,srueschem,jwilliams",True,2026-05-01-TOR-NY,0,0,1,1,720.0,1,1,True,True,1,home,1,1777677062.0,18,False,"nnishizak,ezhuang,lkeillor,hnorris,nho,kchao,mayad",2,170,90820dcec8030a7916b1f17936c26a6204bc2bd349fb8a5888374ecb5e73de65,1777677062.0,False,1,720.0,14.8147291571598,-12.21,8.39,55.5054200141976,13b72a0c7f69fc0a2af3a7c6f68b7f252a9a50bba9ae4f7ebd04c02e12cd7aff,0.984954397290982,0.015045602709018,0.663797233428445,0.663797233428445,0.681618679959882,0.946556354942864,2880.0,0.0,0.633,0.0178214465314371,0.0530080305797963,170.0,7e31720e1b492c4f2df1da9d2d7b8020f6e45cef,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-01-TOR-NY,empire,rush,24,15,2026-05-01 19:00:00
srueschem,-3.62,13.77,mlabar,-19.65,35.31,0,0,0,"aatkins,ochartock,jcowan,bjagt,mlabar,srueschem,jwilliams",True,2026-05-01-TOR-NY,0,0,1,1,720.0,1,2,True,True,2,home,2,1777677068.0,18,False,"nnishizak,ezhuang,lkeillor,hnorris,nho,kchao,mayad",3,177,8d3ac42e9829f3b846fede5f2f21e3ee3d0ad5487eb9beb65cd2c781c5dbffdc,1777677068.0,False,2,714.333333333333,26.8501862190935,-16.03,21.54,36.6565065300285,bc739a17ebbccf617e7df1ef7267cbdceec88054dbb778faa593e21432a4aaff,0.954322856806273,0.0456771431937268,0.663797233428445,0.673783782584673,0.705236551193619,0.888378898148041,2874.33333333333,0.0,0.636,0.0314527686089457,0.093552973789261,177.0,5ae52bf93485742927a950654dd70d4bdb569389,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-01-TOR-NY,empire,rush,24,15,2026-05-01 19:00:00
mlabar,-19.65,35.31,jcowan,-20.26,50.25,0,0,0,"aatkins,ochartock,jcowan,bjagt,mlabar,srueschem,jwilliams",True,2026-05-01-TOR-NY,0,0,1,1,720.0,1,3,True,True,3,home,3,1777677071.0,18,False,"nnishizak,ezhuang,lkeillor,hnorris,nho,kchao,mayad",4,181,b63d589a07abba69e9387b35c1ddce477857397c7b2e84ec94d7e613b661c3c3,1777677071.0,False,3,708.666666666667,14.9524479601168,-0.610000000000003,14.94,2.33808722203445,07f23ee1dac11ffc565be212a7353e85f9734a553f5e5efb53fbe8117785b132,0.973371749258854,0.0266282507411462,0.663797233428445,0.698322377846351,0.746752437927945,0.823201973728739,2868.66666666667,0.0,0.643,0.0484300600815942,0.144050153350795,181.0,6540a606d59fbc04c937a21b145f439858b30dc9,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-01-TOR-NY,empire,rush,24,15,2026-05-01 19:00:00
jcowan,-20.26,50.25,bjagt,-21.97,63.2,0,0,0,"aatkins,ochartock,jcowan,bjagt,mlabar,srueschem,jwilliams",True,2026-05-01-TOR-NY,0,0,1,1,720.0,1,4,True,True,4,home,4,1777677074.0,18,False,"nnishizak,ezhuang,lkeillor,hnorris,nho,kchao,mayad",5,185,47ece9f1c52fb763ef3bc4c8bc1ec181bc364641ae93d7d7214e2054b0db06c9,1777677074.0,False,4,703.0,13.0624117221897,-1.71,12.95,7.52217947806187,a1e1a73178f0bc92ad403bb6e430c8a4ab546532cf4f1a10fff79419698c422d,0.971490075337371,0.0285099246626286,0.663797233428445,0.740977917650588,0.785121392798061,0.756715689599008,2863.0,0.0,0.651,0.0441434751474724,0.131300154361095,185.0,094bdb19a416058c2f0dbe158e5d576918d68740,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-01-TOR-NY,empire,rush,24,15,2026-05-01 19:00:00
bjagt,-21.97,63.2,jcowan,-14.05,60.95,0,0,0,"aatkins,ochartock,jcowan,bjagt,mlabar,srueschem,jwilliams",True,2026-05-01-TOR-NY,0,0,1,1,720.0,1,5,True,True,5,home,5,1777677081.0,18,False,"nnishizak,ezhuang,lkeillor,hnorris,nho,kchao,mayad",6,193,65589432fb576161838f39881eabadacaddc1f3466522e095bee570cc3790c30,1777677081.0,False,5,697.333333333333,8.23340148419837,7.92,-2.25,-105.859366266606,98e4b8ee3197bf2bfb9d6619348fec64ae77c43f47b8e1b5778078d5389d23aa,0.982308906782199,0.0176910932178013,0.663797233428445,0.780414231766186,0.794233218804292,0.785740054218501,2857.33333333333,0.0,0.652,0.0138189870381055,0.0411031330260167,193.0,7e355f4b65fb69144be86940df07c6636d87bfe4,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-01-TOR-NY,empire,rush,24,15,2026-05-01 19:00:00
jcowan,-14.05,60.95,ochartock,-15.21,69.68,0,0,0,"aatkins,ochartock,jcowan,bjagt,mlabar,srueschem,jwilliams",True,2026-05-01-TOR-NY,0,0,1,1,720.0,1,6,True,True,6,home,6,1777677085.0,18,False,"nnishizak,ezhuang,lkeillor,hnorris,nho,kchao,mayad",7,198,5b4c7737ddb54ee71ef57aa7cc075fbb2a53aa33e44504defdef3c2369b2084e,1777677085.0,False,6,691.666666666667,8.806730380794,-1.16,8.73,7.56884801676046,c4499e8ccbd75a9f99b3e0c0d4eaa9a1159d107474140b7317846d88469ee6b6,0.980603571472363,0.0193964285276371,0.663797233428445,0.790090691565527,0.824400803982503,0.745117976603548,2851.66666666667,0.0,0.658,0.0343101124169761,0.102051844388002,198.0,3fcfc9e81e2f485b02220cd6960d0d56ac711553,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-01-TOR-NY,empire,rush,24,15,2026-05-01 19:00:00
ochartock,-15.21,69.68,jcowan,-5.6,66.61,0,0,0,"aatkins,ochartock,jcowan,bjagt,mlabar,srueschem,jwilliams",True,2026-05-01-TOR-NY,0,0,1,1,720.0,1,7,True,True,7,home,7,1777677087.0,18,False,"nnishizak,ezhuang,lkeillor,hnorris,nho,kchao,mayad",8,201,24e8f326ac47c4ce75220099a1de8dc0c868c3a4f7ef01d00e4a97387bb8e23e,1777677087.0,False,7,686.0,10.0884587524557,9.61,-3.07000000000001,-107.716544096873,e28ac160b947f18f2a77eef530937ed91b571b9d9746c5fb9976a1ab0a3d91e6,0.980642016774661,0.0193579832253392,0.663797233428445,0.821083960448322,0.81431994832211,0.761449638932753,2846.0,0.0,0.655,-0.00676401212621203,-0.0201188473110688,201.0,94b650060e5a7840504e01291fa3df7b950eef46,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-01-TOR-NY,empire,rush,24,15,2026-05-01 19:00:00
jcowan,-5.6,66.61,mlabar,-16.92,80.86,0,0,0,"aatkins,ochartock,jcowan,bjagt,mlabar,srueschem,jwilliams",True,2026-05-01-TOR-NY,0,0,1,1,720.0,1,8,True,True,8,home,8,1777677095.0,18,False,"nnishizak,ezhuang,lkeillor,hnorris,nho,kchao,mayad",9,210,abe6e59507b5279c7ce8da8150799658c0baec73efc0bf7aaf8e09599b4fa06e,1777677095.0,False,8,680.333333333333,18.1990356887391,-11.32,14.25,38.4631359654714,4500525da24a5268065fbe36339833c5e6b5efa169d7edcea98ff5e7d1725aa2,0.960275172615949,0.0397248273840515,0.663797233428445,0.811210956228423,0.862665471210096,0.691603523151957,2840.33333333333,0.0,0.666,0.0514545149816732,0.153046078431725,210.0,689bbbed29d1a41f82c1aec0d7a2fc62197898a1,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-01-TOR-NY,empire,rush,24,15,2026-05-01 19:00:00
mlabar,-16.92,80.86,ochartock,14.73,115.9,0,0,0,"aatkins,ochartock,jcowan,bjagt,mlabar,srueschem,jwilliams",True,2026-05-01-TOR-NY,1,0,1,1,720.0,1,9,True,True,9,home,9,1777677108.0,19,False,"nnishizak,ezhuang,lkeillor,hnorris,nho,kchao,mayad",10,224,c074056abf2184c8377c99e2ee215d3ad172270d03bcb046f48376c19fc02f05,1777677108.0,False,9,674.666666666667,47.217836672173,31.65,35.04,-42.0900336190398,b9e9a115050ebb3bda3ad2112c2d0282c7e759751148554b5a05cce42676e9e3,0.708206828032354,0.291793171967646,0.663797233428445,0.86049249009175,1.0,0.639595432923706,2834.66666666667,0.0,0.693,0.13950750990825,0.414950511356241,224.0,c342cf29f1f5abe0fb1e677cdf0026313b699cab,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-01-TOR-NY,empire,rush,24,15,2026-05-01 19:00:00
asehgal,-2.37,13.52,gchatha,1.75,18.74,0,0,0,"sdillon,gchatha,rpoloz,kmallany,mgallant,pturner,asehgal",False,2026-05-01-TOR-NY,1,0,1,2,669.0,1,1,True,True,10,away,4,,18,False,"aagami,nwhitlock,adavis2,mbrownlee,jrandolph,dschnaudi,sjonas",5,6,5217fa19ffbb7ff2c3a9a96cd1d694f0cf813331885d813f5a7b2eceb57dc0c6,1777676898.0,True,10,669.0,6.65002255635272,4.12,5.22,-38.2830448198716,dc05979242b0cba0b2528c618e1e8f0fce91dec0734c3b5fdf84bcc407485b25,0.99248562942318,0.0075143705768197,0.622848412071762,0.629462196772306,0.641594138491323,0.933721452999728,2829.0,1.0,0.701,0.012131941719017,0.0321672826188004,6.0,7c6aebbcec52b803c3481c2e63cb67d0d621e625,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-01-TOR-NY,empire,rush,24,15,2026-05-01 19:00:00
