Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
mbennett1,-16.1,7.54,jthachet,-0.75,23.41,0,0,0,"mbennett1,jthachet,jzuraw,mturner,mbaldauf,jjoshi,bgfroerer",True,2026-05-02-ATX-HTX,0,0,1,1,720.0,1,1,True,True,1,home,1,1777768237.0,18,False,"ebrodbeck,jsteen,cwhite,ggust,bdial,hstone,rdrost",2,3,c1e155381bc147180bd77ad14d41f333b93a30f1d8f635d3f61e4f643edce939,1777768237.0,False,1,720.0,22.0789356627533,15.35,15.87,-44.0457703186094,304573650c7a731c5c0ccd4aa55d6be566d7bddcec24e7c74f0cf6d918e4c867,0.960938296523361,0.0390617034766388,0.657817058492519,0.657817058492519,0.70331661589894,0.938125211197602,2880.0,0.0,0.636,0.0454995574064211,0.132968514461807,3.0,bba19868d9b0081fbfb04b40a89ac82254197b41,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-02-ATX-HTX,havoc,sol,20,22,2026-05-02 19:30:00
jthachet,-0.75,23.41,mbennett1,-13.9,23.8,0,0,0,"mbennett1,jthachet,jzuraw,mturner,mbaldauf,jjoshi,bgfroerer",True,2026-05-02-ATX-HTX,0,0,1,1,720.0,1,2,True,True,2,home,2,1777768241.0,18,False,"ebrodbeck,jsteen,cwhite,ggust,bdial,hstone,rdrost",3,5,5a7521eb447f3776af177d51dfde9eb8e6249ebb629424938a9b3498165b9cdb,1777768241.0,False,2,716.818181818182,13.1557819988019,-13.15,0.390000000000001,88.3012314888938,71a46ec9c3311b33e2f5e1e4cb8d7360f84cfd54453f62e98ecb75b95554742f,0.987381100498705,0.0126188995012951,0.657817058492519,0.69902194683569,0.693373424370072,0.933654263938431,2876.81818181818,0.0,0.634,-0.00564852246561798,-0.0165073175206616,5.0,f7ecc1e396c7bffb2133f40c5bc2e06deb80be7e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-02-ATX-HTX,havoc,sol,20,22,2026-05-02 19:30:00
mbennett1,-13.9,23.8,jthachet,1.83,23.93,0,0,0,"mbennett1,jthachet,jzuraw,mturner,mbaldauf,jjoshi,bgfroerer",True,2026-05-02-ATX-HTX,0,0,1,1,720.0,1,3,True,True,3,home,3,1777768244.0,18,False,"ebrodbeck,jsteen,cwhite,ggust,bdial,hstone,rdrost",4,6,8d79ba2bfa6ff0f8dae2ee2f4527a60126b0a9da55da648eec3040ab559a5dcf,1777768244.0,False,3,713.636363636364,15.7305371809103,15.73,0.129999999999999,-89.5264919412651,846bc10467f9a0e6a097f8f597b7f23b678a33577332daa541f137e21d39024d,0.982181783277081,0.0178182167229187,0.657817058492519,0.689192941129776,0.696125883037345,0.934330559801661,2873.63636363636,0.0,0.634,0.00693294190756855,0.0202609220583165,6.0,e0427a8aea76916aa3149c3f6e1f7883473d541d,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-02-ATX-HTX,havoc,sol,20,22,2026-05-02 19:30:00
jthachet,1.83,23.93,mbennett1,-12.29,24.64,0,0,0,"mbennett1,jthachet,jzuraw,mturner,mbaldauf,jjoshi,bgfroerer",True,2026-05-02-ATX-HTX,0,0,1,1,720.0,1,4,True,True,4,home,4,1777768249.0,18,False,"ebrodbeck,jsteen,cwhite,ggust,bdial,hstone,rdrost",5,7,3814a439058d68df7a92f67922035128a6e8f2f6a478fb5caca718d703b8955f,1777768249.0,False,4,710.454545454545,14.1378392974316,-14.12,0.710000000000001,87.1214043806169,141fc9515b4bfdc8f080e05397ddd4015afd99fd73e2441416e98f9ffcff7181,0.985582607918238,0.0144173920817621,0.657817058492519,0.692155779187202,0.689600670486715,0.929667882605458,2870.45454545455,0.0,0.633,-0.00255510870048647,-0.00746708380385647,7.0,69598060a1f01d6fc86c3fc505e7c3436acd7308,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-02-ATX-HTX,havoc,sol,20,22,2026-05-02 19:30:00
mbennett1,-12.29,24.64,mturner,7.51,31.8,0,0,0,"mbennett1,jthachet,jzuraw,mturner,mbaldauf,jjoshi,bgfroerer",True,2026-05-02-ATX-HTX,0,0,1,1,720.0,1,5,True,True,5,home,5,1777768252.0,18,False,"ebrodbeck,jsteen,cwhite,ggust,bdial,hstone,rdrost",6,8,9a8e71a6b3199ac4f0c15e7b402a83f6bd73e4cbff7eb1609d327755bfc04630,1777768252.0,False,5,707.272727272727,21.0548236753481,19.8,7.16,-70.1191906546866,95de5a3fd45b8e526f84b6b25719762bcbdab366769d826c414dc2c5c676fc66,0.96587298985646,0.0341270101435396,0.657817058492519,0.685771521515229,0.708133964020753,0.907670509026578,2867.27272727273,0.0,0.636,0.0223624425055238,0.0653523007517746,8.0,a077d63b09384f086c764c15545fb518c859b314,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-02-ATX-HTX,havoc,sol,20,22,2026-05-02 19:30:00
mturner,7.51,31.8,jthachet,16.79,47.67,0,0,0,"mbennett1,jthachet,jzuraw,mturner,mbaldauf,jjoshi,bgfroerer",True,2026-05-02-ATX-HTX,0,0,1,1,720.0,1,6,True,True,6,home,6,1777768257.0,18,False,"ebrodbeck,jsteen,cwhite,ggust,bdial,hstone,rdrost",7,9,6d03f8bfb2b945e3522b8b06eef466ee0d087fed2b7da03af18e505cf9e8a237,1777768257.0,False,6,704.090909090909,18.3841045471353,9.28,15.87,-30.3170082469494,9ac5ae73c8eebaa48dd1bcbd0a0f796abab176acc0bc79e183e5b5f2ecafab7e,0.968815685699329,0.0311843143006711,0.657817058492519,0.704612918710978,0.742487112238879,0.840867167834456,2864.09090909091,0.0,0.642,0.0378741935279014,0.110684049184472,9.0,ae76eac256fbcaec3a09dad829e9be9ae7cccb8c,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-02-ATX-HTX,havoc,sol,20,22,2026-05-02 19:30:00
jthachet,16.79,47.67,mbaldauf,19.7,63.09,0,0,0,"mbennett1,jthachet,jzuraw,mturner,mbaldauf,jjoshi,bgfroerer",True,2026-05-02-ATX-HTX,0,0,1,1,720.0,1,7,True,True,7,home,7,1777768262.0,18,False,"ebrodbeck,jsteen,cwhite,ggust,bdial,hstone,rdrost",8,10,6a51bd3de53cf6b56643ede5110d67b602b4dc68868f05e4affa2fdf093d09c2,1777768262.0,False,7,700.909090909091,15.692179580925,2.91,15.42,-10.6869433010196,5249a536eb9fa3560c7d88a004798bb3e0278119c1a86cf5775b7e7798823940,0.970427319611262,0.0295726803887384,0.657817058492519,0.73938864000396,0.790773666691318,0.767577425123435,2860.90909090909,0.0,0.652,0.0513850266873573,0.150168288521285,10.0,f2e3b4d4263d93ac465ca6dba8f366ce4f414a3a,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-02-ATX-HTX,havoc,sol,20,22,2026-05-02 19:30:00
mbaldauf,19.7,63.09,jjoshi,19.83,72.77,0,0,0,"mbennett1,jthachet,jzuraw,mturner,mbaldauf,jjoshi,bgfroerer",True,2026-05-02-ATX-HTX,0,0,1,1,720.0,1,8,True,True,8,home,8,1777768265.0,18,False,"ebrodbeck,jsteen,cwhite,ggust,bdial,hstone,rdrost",9,11,f372398fd2d7fe732784969d6fee93c8bb1bab0262749c7b165a544680e77445,1777768265.0,False,8,697.727272727273,9.68087289452763,0.129999999999999,9.67999999999999,-0.769421858329196,7b63d3ea1a46b5323291aff3d3bf617c40ca6b6863baf5afc04f6621bc04f71e,0.980933250830964,0.0190667491690364,0.657817058492519,0.788226563415763,0.829296803591231,0.726515726766471,2857.72727272727,0.0,0.66,0.0410702401754687,0.120024218608135,11.0,b09b00874fa676edf789073d52b77449c4743a4b,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-02-ATX-HTX,havoc,sol,20,22,2026-05-02 19:30:00
jjoshi,19.83,72.77,jthachet,3.12,73.22,0,0,0,"mbennett1,jthachet,jzuraw,mturner,mbaldauf,jjoshi,bgfroerer",True,2026-05-02-ATX-HTX,0,0,1,1,720.0,1,9,True,True,9,home,9,1777768270.0,18,False,"ebrodbeck,jsteen,cwhite,ggust,bdial,hstone,rdrost",10,12,689f72f86861c0a4a6ef1289c72f049914ebe8f19fed77b0f9ff079b34ef8098,1777768270.0,False,9,694.545454545455,16.7160581477811,-16.71,0.450000000000003,88.4573985247743,c20e8928d22b04eaead7180376eff77f85356ff8a1d68475ad38f818b49c6210,0.960873284251279,0.0391267157487213,0.657817058492519,0.827230123854128,0.846302669381212,0.743964752581872,2854.54545454545,0.0,0.663,0.0190725455270845,0.0557378618672828,12.0,998411acf3db6e3160d771b4005e6f44836a352e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-02-ATX-HTX,havoc,sol,20,22,2026-05-02 19:30:00
jthachet,3.12,73.22,mturner,13.38,78.25,0,0,0,"mbennett1,jthachet,jzuraw,mturner,mbaldauf,jjoshi,bgfroerer",True,2026-05-02-ATX-HTX,0,0,1,1,720.0,1,10,True,True,10,home,10,1777768272.0,18,False,"ebrodbeck,jsteen,cwhite,ggust,bdial,hstone,rdrost",11,13,bb23a0fcd1fc55c9446d3075bb6329e1353671c375f43f827c6fd90445cb6cd1,1777768272.0,False,10,691.363636363636,11.4266574290122,10.26,5.03,-63.8834389153185,00ebe6a34cc71b057c335f3fa763d7a879c917d33e578b720722387d5b71bd1d,0.976714012276564,0.0232859877234365,0.657817058492519,0.844505553061921,0.860711921818933,0.71867069279479,2851.36363636364,0.0,0.667,0.016206368757012,0.0473617085808401,13.0,6635cc286b4030faab82527cd8bffa8ef9a84ace,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-02-ATX-HTX,havoc,sol,20,22,2026-05-02 19:30:00
