Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
jknopf,-3.69,2.11,telliott,2.45,24.68,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,jfroude",False,2026-05-03-COL-ORE,0,0,1,1,720.0,1,1,True,True,1,away,1,1778292365.0,18,False,"abanerji,jartz,zscheuerm,ndahms,dbaumgart,tschaidhe,rwolfe",2,458,75c9b7e4dbe8e1c9b84d95d5c6a2fd7449229cc603eca79c11ab4c26b4f4ade5,1778292365.0,False,1,720.0,23.390265069041,6.14,22.57,-15.2185958443156,e8e2268e4b8b8d43eecb1f04a73d89bfa65e078b94d0301b5a669818842995e0,0.95920246214586,0.0407975378541402,0.659260426525576,0.659260426525576,0.706315414828497,0.934744878121338,2880.0,0.0,0.519,0.0470549883029207,0.138096634397685,458.0,22a859421a0650566e37ad68d35eecb204e26f52,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
telliott,2.45,24.68,jfroude,16.02,24.4,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,jfroude",False,2026-05-03-COL-ORE,0,0,1,1,720.0,1,2,True,True,2,away,2,1778292370.0,18,False,"abanerji,jartz,zscheuerm,ndahms,dbaumgart,tschaidhe,rwolfe",3,459,57c5a6d0d0f7ecf1fbfedcbe019edf60c49af50fb9eb56af35069e34eb6e8924,1778292370.0,False,2,717.5,13.5728884177245,13.57,-0.280000000000001,-91.1820591077984,88f3a2936bf0214dd32681edb2bf7384e8708d8092a4313f73866c919712c57a,0.988214638988483,0.0117853610115165,0.659260426525576,0.702947607817307,0.689564847415826,0.931317187347478,2877.5,0.0,0.522,-0.0133827604014803,-0.039275627028056,459.0,70f49cba579c5661af6c35aecdfe038aba99305b,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
jfroude,16.02,24.4,sfaris,17.05,40.9,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,jfroude",False,2026-05-03-COL-ORE,0,0,1,1,720.0,1,3,True,True,3,away,3,1778292378.0,18,False,"abanerji,jartz,zscheuerm,ndahms,dbaumgart,tschaidhe,rwolfe",4,460,f56a70d9fa250d8168cde682e6d957aeea266273ff6aa946942eee3eea4bad3c,1778292378.0,False,3,715.0,16.5321172267801,1.03,16.5,-3.57201065470876,ee7ad270926a77fdba64222bd60cdb17e6a361c335fed3e78a2b63782f9f8a4d,0.971380882987112,0.0286191170128877,0.659260426525576,0.686211524707549,0.730561733769075,0.874236892924709,2875.0,0.0,0.513,0.0443502090615262,0.130158668126804,460.0,da52002a04195e5f4c04c101055734e6771c1d10,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
sfaris,17.05,40.9,apiper,7.29,114.47,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,jfroude",False,2026-05-03-COL-ORE,0,1,1,1,720.0,1,4,True,True,4,away,4,1778292384.0,19,False,"abanerji,jartz,zscheuerm,ndahms,dbaumgart,tschaidhe,rwolfe",5,461,e6aec94c831dc63f73fa876aede3f5d81bdec575bbe98b232bec058a43a77af8,1778292384.0,False,4,712.5,74.2145706718027,-9.76,73.57,7.55689071674988,6c5bd8aaeb5d32a14ac22b4146c4e3f207e9997e5a93412db0690fa88939e5fe,0.516449699651137,0.483550300348863,0.659260426525576,0.727586037579007,1.0,0.684385740170116,2872.5,0.0,0.442,0.272413962420993,0.799478498030817,461.0,ba57e8262dd1721a219896127b546e9cd97f3628,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
arueda,15.27,13.7,akelly,16.43,28.97,0,0,0,"dbarram,agordon,arueda,qbuermeye,amcnichol,nknutson,akelly",True,2026-05-03-COL-ORE,0,1,1,2,710.0,1,1,True,True,5,home,4,1777865178.0,18,False,"jfroude,hmay,wwallace,kponzio,agould,amuller,svandusen",5,5,3f209432d48261f9a895e1576f05e49815926d4add2a2ae8543ff590989de16d,1777865178.0,False,5,710.0,15.3139968656128,1.16,15.27,-4.3441844213464,18c1dff07390d651c5fe24d57bc9a419d516b1908ee617116e61d44581e39c06,0.977729488403738,0.0222705115962617,0.656860707207284,0.656860707207284,0.690679177330322,0.913940970468691,2870.0,-1.0,0.457,0.0338184701230377,0.0985560990342975,5.0,de136da08f28673bbb4c3167be2548ef0ebee950,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
akelly,16.43,28.97,dbarram,20.18,42.13,0,0,0,"dbarram,agordon,arueda,qbuermeye,amcnichol,nknutson,akelly",True,2026-05-03-COL-ORE,0,1,1,2,710.0,1,2,True,True,6,home,5,1777865181.0,18,False,"jfroude,hmay,wwallace,kponzio,agould,amuller,svandusen",6,6,8976537c94693360058c28f4970dba240a3139abc8505a9c56ae611062374535,1777865181.0,False,6,702.0,13.6838627587389,3.75,13.16,-15.9051358737614,8e17d5a6cc7ee5b59f3785da1fefc79e347e45c34b522109353c491521306013,0.980382827454329,0.0196171725456707,0.656860707207284,0.681438479466649,0.70809615693649,0.854234799509908,2862.0,-1.0,0.46,0.0266576774698408,0.0776876272398924,6.0,22ecef7e617ef0c5e38c0168f66ae10a43d2720e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
dbarram,20.18,42.13,qbuermeye,8.66,90.0,0,0,0,"dbarram,agordon,arueda,qbuermeye,amcnichol,nknutson,akelly",True,2026-05-03-COL-ORE,0,1,1,2,710.0,1,3,True,True,7,home,6,1777865188.0,18,False,"jfroude,hmay,wwallace,kponzio,agould,amuller,svandusen",7,7,9dd96ced3537f1c4225edd3630d421997befa87769da3f3d09cfbe7c09514594,1777865188.0,False,7,694.0,49.2366459052604,-11.52,47.87,13.5310376188118,085d60b97f2a3f0d0aa6ef4174c180a5b3c27f543a4ae294dd5e1abfa72f2d11,0.642994067147176,0.357005932852824,0.656860707207284,0.700241000310595,0.907951300167657,0.688938304640218,2854.0,-1.0,0.508,0.207710299857062,0.605323564569261,7.0,7df71d5777e6aaf5d0443ecaf37ffae51e1463c9,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
qbuermeye,8.66,90.0,agordon,21.96,102.13,0,0,0,"dbarram,agordon,arueda,qbuermeye,amcnichol,nknutson,akelly",True,2026-05-03-COL-ORE,1,1,1,2,710.0,1,4,True,True,8,home,7,1777865197.0,19,False,"jfroude,hmay,wwallace,kponzio,agould,amuller,svandusen",8,8,7e80a4686fdbc7bdc2da22a24d0f8c88cd6142af36e55630c18ddf0dc1e7987d,1777865197.0,False,8,686.0,18.0007472067134,13.3,12.13,-47.6342438639143,289e27881c2b56c03d57c4469648ed740c17308a8dec05b18d836b5d97303711,0.948541462859368,0.0514585371406323,0.656860707207284,0.905172581215116,1.0,0.617690475434995,2846.0,-1.0,0.515,0.0948274187848835,0.276352550630705,8.0,ec42b7a599d254b76c66886398f4ba27496c511f,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
alearned,-2.12,8.72,telliott,-0.21,22.9,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,1,True,True,9,away,9,1778292543.0,18,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",10,466,7cec6b813a516a4a5b87ffc6d34ebf74222fe64a6c0fea8c9a248c4bc5c05b05,1778292543.0,False,9,678.0,14.3080571706993,1.91,14.18,-7.67138346707235,b1b1169b18558c6d6528d6e69a87d9b027fdd2f0f313f160ad35959e6d6e016f,0.982446519645175,0.0175534803548254,0.625474897267514,0.625474897267514,0.65799780764352,0.926809158111379,2838.0,0.0,0.524,0.0325229103760063,0.0868377316733202,466.0,11021f973b7a1dd8eda4221f4983ced15d8d12de,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
telliott,-0.21,22.9,alearned,-13.37,25.02,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,2,True,True,10,away,10,1778292552.0,18,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",11,467,f2fd6df2076dd746486242d58d1e5c514089662333a738a1fb1b42d1d1dae517,1778292552.0,False,10,677.909090909091,13.3296661623613,-13.16,2.12,80.8486039823393,798d9af35cfe1f614ecd3fb4024712184aada0bc356218c0d08b14d382fb1c4c,0.986342352054696,0.0136576479453044,0.625474897267514,0.657931413295283,0.657320230567952,0.917765516516591,2837.90909090909,0.0,0.524,-0.000611182727330628,-0.00163188721629477,467.0,b1971bfeb8c518aa362c5f26c5d371a70418081d,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
alearned,-13.37,25.02,jknopf,2.79,25.49,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,3,True,True,11,away,11,1778292556.0,18,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",12,468,26d4149a4f1e59f688793a48c2bd024c31d32f315a48a910761f072d3f6d58e4,1778292556.0,False,11,677.818181818182,16.1668333324742,16.16,0.469999999999999,-88.3340700963606,9da2662f8c4f92d1db080bbeb47393a19b72669e23d0f712032b874343b6ece7,0.981161776412545,0.0188382235874555,0.625474897267514,0.657253898728611,0.664504088248483,0.918558793095655,2837.81818181818,0.0,0.523,0.007250189519872,0.0193583539981047,468.0,9e5b144c27f36b6ca649293da0091d8185fc32f1,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
jknopf,2.79,25.49,apiper,21.34,35.25,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,4,True,True,12,away,12,1778292559.0,18,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",13,469,bd132aa71c661bde6f5da75692931ca4a25f291653e874926cdd317fd78c1e50,1778292559.0,False,12,677.727272727273,20.96091839591,18.55,9.76,-62.2490979874311,20d62ac7704f3e73e0b7bb3809392ef2ac400e140007fc8e9b0bccce0ae70784,0.974078056026535,0.0259219439734647,0.625474897267514,0.664438561239056,0.657186847153326,0.867545967684029,2837.72727272727,0.0,0.524,-0.00725171408573033,-0.0193624246621195,469.0,e8b99b167eb2fb535f15c94c3b3571019a9ed406,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
apiper,21.34,35.25,jknopf,20.93,45.47,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,5,True,True,13,away,13,1778292563.0,18,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",14,470,a01151765d717c8eda0e19ff578ae512cac1c05b5bd6ee6b78426e7e86095e8d,1778292563.0,False,13,677.636363636364,10.2282207641407,-0.41,10.22,2.297326753113,c7cf5b43a68f57b546f45cf2f5991354fff444a64c76656e9f77595886fd9724,0.98371833496734,0.0162816650326604,0.625474897267514,0.657120753781843,0.695719282466882,0.823743101419486,2837.63636363636,0.0,0.516,0.0385985286850388,0.103059924163772,470.0,7f53b2713f023bf71d36dd70b46cc62046df8d62,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
jknopf,20.93,45.47,apiper,2.11,46.22,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,6,True,True,14,away,14,1778292569.0,18,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",15,471,49ca86ea7f03b12bb41321e958c82742236988a29e0da6e061c0143d3c428591,1778292569.0,False,14,677.545454545455,18.8349382796971,-18.82,0.75,87.7179007362186,01e93fb8ee4e9f4a8f665fbdfe1144484a42d9453f1d5ecd4091164a149aa177,0.966368897185347,0.0336311028146533,0.625474897267514,0.69565729540433,0.729502011921471,0.840031581676517,2837.54545454545,0.0,0.509,0.033844716517141,0.0903670175115485,471.0,fc6db032972dfff3f389585b462c050f1347a78c,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
apiper,2.11,46.22,bharris,-11.6,45.95,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,7,True,True,15,away,15,1778292573.0,18,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",16,472,4c9db199cdec8d5378dbd46268b5f226b8442efefaab308c43330c7b7c2e11ff,1778292573.0,False,15,677.454545454545,13.7126583855939,-13.71,-0.269999999999996,91.1282174318119,e94c77ac0dcdf3332cc570fc73f431ae73b44e5f69d1e936f48d65f112939040,0.982031737678715,0.0179682623212851,0.625474897267514,0.729444340243712,0.725180862081149,0.838527912334274,2837.45454545455,0.0,0.51,-0.00426347816256312,-0.0113836913239122,472.0,4af182f42ef2e37893c60f0a91a7b6430c7b302e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
bharris,-11.6,45.95,sfaris,-26.13,61.77,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,8,True,True,16,away,16,1778292579.0,18,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",17,473,995b7c52deb36fad654e59cb11d8a35263fd0812bb03a39eb0164cf9b098820a,1778292579.0,False,16,677.363636363636,21.4800675045494,-14.53,15.82,42.5661583454676,1ea3c43483e2250972f7e1a9a1122c5a0959d747d1dfce12e7f617595b91a22a,0.8328709637077,0.1671290362923,0.625474897267514,0.725122726896708,0.725324811551487,0.71686767295052,2837.36363636364,0.0,0.51,0.000202084654778778,0.000539575727513042,473.0,58196514eb04a0f75fd05510b2158cec942b6eff,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
sfaris,-26.13,71.77,alearned,-23.33,80.86,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,9,True,True,17,away,18,1778292592.0,18,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",19,475,34ae47bd7cf4a22d115e15327d37f5107b53a00362b13f18bdfd9426066c3fd1,1778292592.0,False,17,677.272727272727,9.51147202067061,2.8,9.08999999999999,-17.1204442902821,5fed613b04a873693ee7c440d529b112a72f9a9703e8571cb93b5f74d00048ac,0.963104771312354,0.0368952286876464,0.625474897267514,0.776093837628145,0.841667135466218,0.657824042087286,2837.27272727273,0.0,0.481,0.0655732978380725,0.175083852483207,475.0,b5a9720a1e9200a56683ad87eedfdee478be4642,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
alearned,-23.33,80.86,telliott,-21.22,89.52,0,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,10,True,True,18,away,19,1778292597.0,18,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",20,476,45466b2484a9e114a83074ea428feb8b945dae5b1fa633e026acaabaa5108bdb,1778292597.0,False,18,677.181818181818,8.91334392918841,2.11,8.66,-13.6932524224715,ce5ad8662381796c5706dc024470ee3db3bd6ab59cb2822d62aec60fb4611f62,0.973986854774542,0.0260131452254583,0.625474897267514,0.841628408134593,0.88746453047344,0.642356659797062,2837.18181818182,0.0,0.467,0.0458361223388466,0.122384646594934,476.0,5700f703012f349a2debbada2f281ec2197d1f65,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
telliott,-21.22,89.52,,-1.44,103.36,1,0,0,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",False,2026-05-03-COL-ORE,1,1,1,3,678.0,1,11,True,True,19,away,20,1778292601.0,22,False,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",21,477,5ce23a91c4dc3f03ae5c86be64c1bd76437530226cf96b774cb6f0547ec0f45b,1778292601.0,False,19,677.090909090909,24.1411267342682,19.78,13.84,-55.0196458348446,4bc16fd8bd824d48ea8d5aa8217f51c3075f01f0a224c261dacee9ac64b501ff,0.884187590931565,-0.884187590931565,0.625474897267514,0.887435562124198,0.94412513655834,0.650071790528098,2837.09090909091,0.0,0.623,-0.650071790528098,-0.650071790528098,477.0,3016e079816154d4b11a46cc12b75a6a7ed9c760,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
rwolfe,-2.39,25.84,jartz,-1.57,32.38,0,0,0,"dbaumgart,zscheuerm,ndahms,jartz,rwolfe,abanerji,tschaidhe",True,2026-05-03-COL-ORE,1,1,1,3,677.0,2,1,False,False,20,home,11,1777865307.0,18,False,"bshea,bharris,sfaris,telliott,jknopf,apiper,alearned",12,12,d47632216449519060895c1f8b9e934f37b22e03e937c907d8c78f94bb8b933a,1777865307.0,False,20,677.0,6.59120626289301,0.82,6.54,-7.14658043501687,65c7dfffaab7ccad5fbc8ec587367fe8c63f658377fb28870d0f348f8490bb84,0.990645413228946,0.00935458677105394,0.66485562722505,0.66485562722505,0.683440602914092,0.894539666011585,2837.0,0.0,0.629,0.0185849756890419,0.0554536408747098,12.0,3f5ae37fc7d95bc0d804e62897aa64194e1854a7,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-03-COL-ORE,steel,apex,18,20,2026-05-03 14:00:00
