Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
ataylor,0.0,40.0,bhulsmeye,6.47,54.95,0,0,0,"ataylor,haustinkn,bhulsmeye,grichman,sconnole,awilsonho,jlangdon",False,2026-05-08-ATL-LV,0,0,1,1,720.0,1,1,True,True,1,away,1,1778292246.0,18,False,"mmendelev,bmoore1,eperry,msotomayo,cwilson,avanderge,bdistel",2,4,0eb8e3e1f87d2068f1abf1feb1c81e3a61519612bb50fed0fcd59ea4a8d2362e,1778292246.0,False,1,720.0,16.2899785144119,6.47,14.95,-23.4017989392606,ad87cbbaf47b55a81485417b5688bbdd4dccf5f17606fc5daec1d9134a5c1b64,0.968195952119574,0.0318040478804259,0.748355758351842,0.748355758351842,0.797042450524887,0.833490137961897,2880.0,0.0,0.497,0.048686692173045,0.193474294719278,4.0,a522c017de0d2cb82358d9b7eda94fc9e1d6d6cc,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-08-ATL-LV,bighorns,hustle,12,30,2026-05-08 19:00:00
bhulsmeye,6.47,54.95,jlangdon,1.02,69.47,0,0,0,"ataylor,haustinkn,bhulsmeye,grichman,sconnole,awilsonho,jlangdon",False,2026-05-08-ATL-LV,0,0,1,1,720.0,1,2,True,True,2,away,2,1778292248.0,18,False,"mmendelev,bmoore1,eperry,msotomayo,cwilson,avanderge,bdistel",3,5,0cc64569e672442b15828781eeb58928c183ddfac83dc7dd2b1c0ef7bbe0cbad,1778292248.0,False,2,712.444444444444,15.5091231215694,-5.45,14.52,20.5733407528331,5f014b51f856002404a9c3bc804db7452e4c90ac56e45975e2f60ef27b76a194,0.966191813941101,0.0338081860588995,0.748355758351842,0.789300957935391,0.843985963025805,0.774167285550569,2872.44444444444,0.0,0.484,0.0546850050904143,0.217310774656522,5.0,85df8297b37907da99f6212685d3443ee90622ce,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-08-ATL-LV,bighorns,hustle,12,30,2026-05-08 19:00:00
jlangdon,1.02,69.47,ataylor,-7.37,74.18,0,0,0,"ataylor,haustinkn,bhulsmeye,grichman,sconnole,awilsonho,jlangdon",False,2026-05-08-ATL-LV,0,0,1,1,720.0,1,3,True,True,3,away,3,1778292251.0,18,False,"mmendelev,bmoore1,eperry,msotomayo,cwilson,avanderge,bdistel",4,6,02a1ee45d7d726a2bc9136963bdecec4df686c040a898af4710e5a67de446643,1778292251.0,False,3,704.888888888889,9.62165266469332,-8.39,4.71000000000001,60.6909039041933,0d2d2e5d9051b3223559fbb52094735c1264d7b1f5a89a57ab1cab0cf3eb3085,0.980538989519942,0.0194610104800576,0.748355758351842,0.838345834143706,0.855906722095143,0.749358378414694,2864.88888888889,0.0,0.479,0.0175608879514366,0.0697845809481695,6.0,4d7215aef925c17d513e897895f78f41bcbcaf8a,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-08-ATL-LV,bighorns,hustle,12,30,2026-05-08 19:00:00
ataylor,-7.37,74.18,jlangdon,-19.17,79.97,0,0,0,"ataylor,haustinkn,bhulsmeye,grichman,sconnole,awilsonho,jlangdon",False,2026-05-08-ATL-LV,0,0,1,1,720.0,1,4,True,True,4,away,4,1778292256.0,18,False,"mmendelev,bmoore1,eperry,msotomayo,cwilson,avanderge,bdistel",5,7,63bd0d2531cae47e015cf77bcf2874e64d033e42bdfc46569944f59823940823,1778292256.0,False,4,697.333333333333,13.1439758064293,-11.8,5.78999999999999,63.8638306217044,07a8498e9201e0abf55f0acfedce755e102445065a5fac3c269f13bb71099155,0.978106719731586,0.0218932802684135,0.748355758351842,0.851221196848243,0.862752403878141,0.700660426836737,2857.33333333333,0.0,0.476,0.0115312070298978,0.0458234488274937,7.0,009925ae2c555a1e274a70b6cf6019ca33b4de83,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-08-ATL-LV,bighorns,hustle,12,30,2026-05-08 19:00:00
jlangdon,-19.17,79.97,ataylor,-11.94,79.29,0,0,0,"ataylor,haustinkn,bhulsmeye,grichman,sconnole,awilsonho,jlangdon",False,2026-05-08-ATL-LV,0,0,1,1,720.0,1,5,True,True,5,away,5,1778292261.0,18,False,"mmendelev,bmoore1,eperry,msotomayo,cwilson,avanderge,bdistel",6,8,c386ab1c90f1e897c2cc3675c32340b4c939f64302d79f75939ae844d75786cc,1778292261.0,False,5,689.777777777778,7.26190746291909,7.23,-0.679999999999993,-95.3730088665298,0d3253f580d50f6a56080b8b08db75276e7e3fd397f2f48c160b2807969ceb8d,0.978654057575477,0.0213459424245234,0.748355758351842,0.85879709483042,0.865660651054975,0.715004581609905,2849.77777777778,0.0,0.475,0.00686355622455492,0.0272748391920342,8.0,182412f6ede502fd09d79791aaba95868102af08,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-08-ATL-LV,bighorns,hustle,12,30,2026-05-08 19:00:00
ataylor,-11.94,79.29,jlangdon,-3.42,80.18,0,0,0,"ataylor,haustinkn,bhulsmeye,grichman,sconnole,awilsonho,jlangdon",False,2026-05-08-ATL-LV,0,0,1,1,720.0,1,6,True,True,6,away,6,1778292264.0,18,False,"mmendelev,bmoore1,eperry,msotomayo,cwilson,avanderge,bdistel",7,9,bc10532f582a31876d154e3b4b6a6e72f8530eadd54148bd54a270c2fdef5bc1,1778292264.0,False,6,682.222222222222,8.56635861962363,8.52,0.890000000000001,-84.0365057727398,a2f7b7d95f1cdf176d8a20ae3fadfa7e9527c4ff766704b18674af871c5b3623,0.979665921912438,0.0203340780875625,0.748355758351842,0.862279576147053,0.867867201062281,0.710414377078351,2842.22222222222,0.0,0.473,0.00558762491522791,0.0222044616583771,9.0,95d160683a03e24a14e9e71cbf5c9873720a4f49,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-08-ATL-LV,bighorns,hustle,12,30,2026-05-08 19:00:00
jlangdon,-3.42,80.18,haustinkn,9.68,81.13,0,0,0,"ataylor,haustinkn,bhulsmeye,grichman,sconnole,awilsonho,jlangdon",False,2026-05-08-ATL-LV,0,0,1,1,720.0,1,7,True,True,7,away,7,1778292267.0,18,False,"mmendelev,bmoore1,eperry,msotomayo,cwilson,avanderge,bdistel",8,10,635d12a8e43bc3b30710ddf54e76a14550239d1f3c8d8ede07b494230a8303f0,1778292267.0,False,7,674.666666666667,13.1344013948105,13.1,0.949999999999989,-85.8522234619192,197281bdc81afa04b76848a6a7d0cc9662c8b71a368317bea51ef570eda9c382,0.971780251578047,0.0282197484219529,0.748355758351842,0.864999564278003,0.867680673249769,0.700327644536849,2834.66666666667,0.0,0.473,0.00268110897176588,0.0106543625008298,10.0,ca15c98067e3190236b15cad7c0351147799edd2,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-08-ATL-LV,bighorns,hustle,12,30,2026-05-08 19:00:00
haustinkn,9.68,81.13,ataylor,-1.98,88.5,0,0,0,"ataylor,haustinkn,bhulsmeye,grichman,sconnole,awilsonho,jlangdon",False,2026-05-08-ATL-LV,0,0,1,1,720.0,1,8,True,True,8,away,8,1778292270.0,18,False,"mmendelev,bmoore1,eperry,msotomayo,cwilson,avanderge,bdistel",9,11,b2b27ee033009f693fc225d33f6797bbe0c1ba0cfd1049b60e66258116f02994,1778292270.0,False,8,667.111111111111,13.7939298243829,-11.66,7.37,57.7040236140568,bcf2378bc5bea573c5d3e969be35f26be94b6f0fa9dad4bcb78f895834efa625,0.964855412881421,0.0351445871185794,0.748355758351842,0.865246673550724,0.895095993625103,0.674661040889151,2827.11111111111,0.0,0.463,0.0298493200743792,0.118617139334798,11.0,236ac31ee98e6b88384c547d04ed2ac4f99348cb,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-08-ATL-LV,bighorns,hustle,12,30,2026-05-08 19:00:00
ataylor,-1.98,88.5,awilsonho,-15.35,105.27,0,0,0,"ataylor,haustinkn,bhulsmeye,grichman,sconnole,awilsonho,jlangdon",False,2026-05-08-ATL-LV,0,1,1,1,720.0,1,9,True,True,9,away,9,1778292288.0,19,False,"mmendelev,bmoore1,eperry,msotomayo,cwilson,avanderge,bdistel",10,13,1c74829b66eb8ed369e8f3061267084afb8002aabf55674a049f427a12d32e51,1778292288.0,False,9,659.555555555556,21.4473727994829,-13.37,16.77,38.5638494907696,ffa9f6f93cf3baa175334ea0fd6f770ee5495f0bd83754545afd27428a4e166c,0.928188317916172,0.0718116820838277,0.748355758351842,0.893437554106868,1.0,0.627472141953046,2819.55555555556,0.0,0.446,0.106562445893132,0.423464670580955,13.0,dcfe0f29cc6a1493ba4bb6416a53b55f00f96018,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-08-ATL-LV,bighorns,hustle,12,30,2026-05-08 19:00:00
cgarrison,13.01,6.85,apark,0.64,20.0,0,0,0,"idecker,cgarrison,mzetsch,dsnead,apark,cpetsche,cmah",True,2026-05-08-ATL-LV,0,1,1,2,652.0,1,1,True,True,10,home,4,1778292346.0,18,False,"msheppard,wselfridg,rthomas,dlaird,mspanuth,amiller1,mpoe",5,17,6098de83e4170e3cbe731db6c4ae6e51b92eaad838d1cf7bda45f64f23a5a299,1778292346.0,False,10,652.0,18.0537918454822,-12.37,13.15,43.249341711868,a63affbe31da912993d7fa6b5a6a7e27c6904febaa72cb13eeac0ef3f8ab72eb,0.97525337137527,0.0247466286247299,0.599824716744403,0.599824716744403,0.636236660976016,0.931427311141024,2812.0,-1.0,0.442,0.0364119442316131,0.090989988025713,17.0,dae048f28f19dc96f8f5d6cd95a0300ebbe8eb77,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-08-ATL-LV,bighorns,hustle,12,30,2026-05-08 19:00:00
