Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
lgordon,-11.39,10.9,cboydflie,-1.78,24.45,0,0,0,"mcrawford,wfrankenb,dritthale,dwhited,cboydflie,arees,lgordon",False,2026-05-10-OAK-ORE,0,0,1,1,720.0,1,1,True,True,1,away,1,1778447186.0,18,False,"bthoennes,ndahms,nwilliams,rwolfe,jartz,wdillende,zscheuerm",2,3,2151f1a621432262b8e2583f7c8ce7225e45bf33d4208b0ba54f93880e18c898,1778447186.0,False,1,720.0,16.6118812902091,9.61,13.55,-35.3452224334466,047330e7711356fc2cf10282061040166f069644e4bf3eeb0062c6e24d19f35d,0.976397623662015,0.0236023763379851,0.672574265140868,0.672574265140868,0.705772901064535,0.935381993948969,2880.0,0.0,0.519,0.0331986359236673,0.101392872914984,3.0,adb90a2ba86d72a82bf44cc82b186ab68730761e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-10-OAK-ORE,steel,spiders,13,24,2026-05-10 14:00:00
cboydflie,-1.78,24.45,dwhited,16.54,47.35,0,0,0,"mcrawford,wfrankenb,dritthale,dwhited,cboydflie,arees,lgordon",False,2026-05-10-OAK-ORE,0,0,1,1,720.0,1,2,True,True,2,away,2,1778447188.0,18,False,"bthoennes,ndahms,nwilliams,rwolfe,jartz,wdillende,zscheuerm",3,5,e310517846ba63d30b39ce05d5ede4ebd26164b57221b54261c3b526ab7c031a,1778447188.0,False,2,703.0,29.3263090074424,18.32,22.9,-38.6598082540901,f9af02af44b9fece5af29eb48d15280e47437aaa517858c878057d93ce7ee243,0.928279447762254,0.0717205522377458,0.672574265140868,0.684757576742409,0.740959002787598,0.84182804470839,2863.0,0.0,0.509,0.0562014260451892,0.171646330943927,5.0,3c7f2a09447c639603c7b84d6c1fa66276db1ed4,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-10-OAK-ORE,steel,spiders,13,24,2026-05-10 14:00:00
dwhited,16.54,47.35,arees,0.93,105.16,0,0,0,"mcrawford,wfrankenb,dritthale,dwhited,cboydflie,arees,lgordon",False,2026-05-10-OAK-ORE,0,1,1,1,720.0,1,3,True,True,3,away,3,1778447196.0,19,False,"bthoennes,ndahms,nwilliams,rwolfe,jartz,wdillende,zscheuerm",4,7,d002b6e4cd2b9b90a7b820ffd0a39badfed2ecf17da043150097a6dae9f82236,1778447196.0,False,3,686.0,59.8804492301118,-15.61,57.81,15.1107760070421,7cae9876f9dcf5398946ecbf1ebee1397d5515e019cf4a335a3d841b77575f65,0.597744798091809,0.402255201908191,0.672574265140868,0.726188603721371,1.0,0.657119203465979,2846.0,0.0,0.447,0.273811396278629,0.836254964492729,7.0,9c116d4773c0ddd52768a77ffa19b991badbb168,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-10-OAK-ORE,steel,spiders,13,24,2026-05-10 14:00:00
ewarner1,16.02,42.54,fmoren,6.27,35.72,0,0,0,"dbarram,amcnichol,agordon,nknutson,qbuermeye,fmoren,ewarner1",True,2026-05-10-OAK-ORE,0,1,1,2,669.0,1,1,True,True,4,home,4,1778447231.0,18,False,"cbernard,lgrench,clankford,radkins,emagsig,rmccabe,jvallee",5,9,14fdc987be63e0f8954388d588e5079ad8d9ffa88d9103d9cd8b99e15583aaa4,1778447231.0,False,4,669.0,11.8985251186859,-9.75,-6.82,124.972295681466,efacba3ca5864f7207cb5306876b36e9a7c6080377c72963392bbac5cd8b342b,0.985931289980967,0.0140687100190329,0.685583380254314,0.698871263076146,0.688013209864331,0.879221517660272,2829.0,-1.0,0.452,-0.0108580532118147,-0.034533967131245,9.0,e020d763960281a2814d90748dcae6c20835d4e3,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-10-OAK-ORE,steel,spiders,13,24,2026-05-10 14:00:00
fmoren,6.27,35.72,agordon,-13.51,46.02,0,0,0,"dbarram,amcnichol,agordon,nknutson,qbuermeye,fmoren,ewarner1",True,2026-05-10-OAK-ORE,0,1,1,2,669.0,1,2,True,True,5,home,5,1778447236.0,18,False,"cbernard,lgrench,clankford,radkins,emagsig,rmccabe,jvallee",6,10,558f762a7e541cc50b7686a5a9147661bc8c5a5892e4118736d541ac292af389,1778447236.0,False,5,664.529411764706,22.30108517539,-19.78,10.3,62.492744569827,922f97ba376548540ed99941b2a1e313754af7c92a31e861d22da8f7bb9b5251,0.95828561486582,0.04171438513418,0.685583380254314,0.685583380254314,0.715860019398135,0.831386241224178,2824.52941176471,-1.0,0.457,0.0302766391438203,0.0962946525164904,10.0,359c63f7a1aa135b38771e1c7e4d852b972f16a4,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-10-OAK-ORE,steel,spiders,13,24,2026-05-10 14:00:00
agordon,-13.51,46.02,fmoren,0.0,41.65,0,0,0,"dbarram,amcnichol,agordon,nknutson,qbuermeye,fmoren,ewarner1",True,2026-05-10-OAK-ORE,0,1,1,2,669.0,1,3,True,True,6,home,6,1778447241.0,18,False,"cbernard,lgrench,clankford,radkins,emagsig,rmccabe,jvallee",7,11,c98ae47c5878fd4a62362c9ed410856990a0008ff225be9c7403c3970cf7cfb2,1778447241.0,False,6,660.058823529412,14.1991901177497,13.51,-4.37,-107.924532218633,45fdb08c537523946e97f79ff23689a3387f60eff639c31aa223815511261824,0.982088719593854,0.0179112804061455,0.685583380254314,0.713800919063134,0.703905536113444,0.853087557607118,2820.05882352941,-1.0,0.454,-0.00989538294969039,-0.0314722006670456,11.0,27715d9c4feca7be5b98d02ca15d6cfc5c422c4e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-10-OAK-ORE,steel,spiders,13,24,2026-05-10 14:00:00
fmoren,0.0,41.65,,-0.35,63.0,1,0,0,"dbarram,amcnichol,agordon,nknutson,qbuermeye,fmoren,ewarner1",True,2026-05-10-OAK-ORE,0,1,1,2,669.0,1,4,True,True,7,home,7,1778447248.0,22,False,"cbernard,lgrench,clankford,radkins,emagsig,rmccabe,jvallee",8,12,aa932b5dad61f72488b2c3316527fd091f4480d5281ec61eb34a4bf63c566db0,1778447248.0,False,7,655.588235294118,21.3528686597375,-0.35,21.35,0.939190945735589,0e52b7f54588b4a58b06cf9557e4767349b4ac28d09c813dc2fc90b404c03785,0.945855907849581,-0.945855907849581,0.685583380254314,0.702035195372158,0.786020101539675,0.760810928912244,2815.58823529412,-1.0,0.328,-0.760810928912244,-0.760810928912244,12.0,b7a3453b7bc1eb7537053038c26fdecbc023a185,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-10-OAK-ORE,steel,spiders,13,24,2026-05-10 14:00:00
emagsig,-2.42,78.7,cbernard,4.67,74.45,0,0,0,"cbernard,lgrench,clankford,radkins,emagsig,rmccabe,jvallee",False,2026-05-10-OAK-ORE,0,1,1,2,669.0,2,1,False,False,8,away,7,1778447281.0,18,False,"dbarram,amcnichol,agordon,nknutson,qbuermeye,fmoren,ewarner1",8,17,585f71007bc75f2cd6920b2f65c84df60c774f8a0de746d17f70a630bb750785,1778447281.0,False,8,651.117647058824,8.26623251548128,7.09,-4.25,-120.939982351067,7ac830e4733d411cc135e36ed84e84536b0016ab2939d0fd663038556b66b50e,0.984320147666615,0.0156798523333854,0.833104140285931,0.852372995338248,0.834050690311378,0.714017288565233,2811.11764705882,-1.0,0.311,-0.0183223050268704,-0.10978286134995,17.0,c6c377257e334dc7adc660944cb437b2662e6409,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-10-OAK-ORE,steel,spiders,13,24,2026-05-10 14:00:00
cbernard,4.67,74.45,rmccabe,-1.97,87.03,0,0,0,"cbernard,lgrench,clankford,radkins,emagsig,rmccabe,jvallee",False,2026-05-10-OAK-ORE,0,1,1,2,669.0,2,2,False,False,9,away,8,1778447283.0,18,False,"dbarram,amcnichol,agordon,nknutson,qbuermeye,fmoren,ewarner1",9,19,8de0dd5d1a7f7a83903ed45b1165ee2b6d21f2ccf0f71c0a87ca27a05c79f330,1778447283.0,False,9,646.647058823529,14.224837433166,-6.64,12.58,27.8260753763606,9bc9500eb9897caa249398039f5576c6b4e62f1bc1392dda935ef16e5736ac10,0.964987784880312,0.0350122151196879,0.833104140285931,0.833104140285931,0.885593356124644,0.670274105271604,2806.64705882353,-1.0,0.297,0.0524892158387129,0.314502803896029,19.0,1f8bd75c9517fcddf4f41b64dc733c7795c0c6a5,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-10-OAK-ORE,steel,spiders,13,24,2026-05-10 14:00:00
rmccabe,-1.97,87.03,lgrench,-9.39,94.38,0,0,0,"cbernard,lgrench,clankford,radkins,emagsig,rmccabe,jvallee",False,2026-05-10-OAK-ORE,0,1,1,2,669.0,2,3,False,False,10,away,9,1778447284.0,18,False,"dbarram,amcnichol,agordon,nknutson,qbuermeye,fmoren,ewarner1",10,20,3beb3c3506824d7722bebebfd30516aeb729320e87ac349f07295ca2e9adb316,1778447284.0,False,10,642.176470588235,10.4440844500607,-7.42,7.34999999999999,45.2715419456845,9645b973c52827b37bb1b69c983bd2318a1c1692690c8029ba39676fec6aca40,0.970875152618677,0.0291248473813229,0.833104140285931,0.885001078311853,0.911531284962037,0.64538414028873,2802.17647058824,-1.0,0.29,0.026530206650184,0.158962641108272,20.0,329982446c18284b1373242e1bc2c5f0f4a2fd04,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-10-OAK-ORE,steel,spiders,13,24,2026-05-10 14:00:00
