Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
srueschem,-3.35,7.22,aatkins,7.77,15.61,0,0,0,"adavis4,aatkins,beberhard,bjagt,mlabar,srueschem,kschniede",True,2026-05-16-COL-NY,0,0,1,1,720.0,1,1,True,True,1,home,1,1778972828.0,18,False,"jfroude,lpruess,hmay,kponzio,amuller,jmcguinne,nbanks",2,4,a0e1b3ae653dcefeee8fbae19285326a0ce6188fcb695c47156894b89b042e76,1778972828.0,False,1,720.0,13.9300574298888,11.12,8.39,-52.9655779549137,00f3a93ba75c94e547a4cdd0700ba12916bc8f0f822e4b2e7306b8fb9a215b4c,0.985680750364192,0.0143192496358081,0.668697300109506,0.668697300109506,0.684504921058837,0.946340689324448,2880.0,0.0,0.633,0.0158076209493309,0.0477135289104368,4.0,7277468e2c4e4a4d8009a92ff882bfd8292a88d2,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-16-COL-NY,empire,apex,31,14,2026-05-16 19:00:00
aatkins,7.77,15.61,mlabar,20.18,34.22,0,0,0,"adavis4,aatkins,beberhard,bjagt,mlabar,srueschem,kschniede",True,2026-05-16-COL-NY,0,0,1,1,720.0,1,2,True,True,2,home,2,1778972833.0,18,False,"jfroude,lpruess,hmay,kponzio,amuller,jmcguinne,nbanks",3,5,6bab0256768e3df5eb95b9cc1812b2dd70183d8a43fe2986c5ff1fa91ff43bbe,1778972833.0,False,2,713.8,22.3682855847291,12.41,18.61,-33.697171776348,1854da00fbef4bce1be651a769763cf1e898c45bffb3fbf4f78d7ecf3e984686,0.96698452075242,0.0330154792475795,0.668697300109506,0.67600061188146,0.696000108468546,0.892181340497144,2873.8,0.0,0.634,0.0199994965870857,0.0603662348471538,5.0,88a07b2db73aaa0a4a71113dfa9c31e46ab0555b,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-16-COL-NY,empire,apex,31,14,2026-05-16 19:00:00
mlabar,20.18,34.22,bjagt,25.37,98.52,0,0,0,"adavis4,aatkins,beberhard,bjagt,mlabar,srueschem,kschniede",True,2026-05-16-COL-NY,0,0,1,1,720.0,1,3,True,True,3,home,3,1778972841.0,18,False,"jfroude,lpruess,hmay,kponzio,amuller,jmcguinne,nbanks",4,6,63267bebdfda3603f9132bc69c3634bd329e8185262b92fcce99df611f1965f7,1778972841.0,False,3,707.6,64.5091164100083,5.19,64.3,-4.61464747899198,75a8a168b1207633eec5572d45e2f48009e8ceb5374ace8334161f18e37a8c6e,0.343207305300825,0.656792694699175,0.668697300109506,0.688389829638596,0.920401760763884,0.611652036598888,2867.6,0.0,0.684,0.232011931125288,0.70030196313515,6.0,95d32b3c82f8b49d9d8f94a67fdbbb1ddfa7eb15,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-16-COL-NY,empire,apex,31,14,2026-05-16 19:00:00
bjagt,25.37,98.52,aatkins,21.75,91.77,0,0,0,"adavis4,aatkins,beberhard,bjagt,mlabar,srueschem,kschniede",True,2026-05-16-COL-NY,0,0,1,1,720.0,1,4,True,True,4,home,4,1778972845.0,18,False,"jfroude,lpruess,hmay,kponzio,amuller,jmcguinne,nbanks",5,7,aeff1916c756e3524f8dad486b41dfa53b217b898db33449eb3ec61c0133f5ad,1778972845.0,False,4,701.4,7.65943209383046,-3.62,-6.75,151.795505511426,a0f35c95b5f9b58e0d8f7878298f7b122e88caea40c2e96f98ae132b6a5b3b1f,0.972747523678,0.0272524763219999,0.668697300109506,0.917989768914116,0.903002944180074,0.656954848301768,2861.4,0.0,0.678,-0.014986824734042,-0.0452360476959458,7.0,83919c2a50745f6a7d0bb565364f34f34d748045,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-16-COL-NY,empire,apex,31,14,2026-05-16 19:00:00
aatkins,21.75,91.77,bjagt,17.05,117.4,0,0,0,"adavis4,aatkins,beberhard,bjagt,mlabar,srueschem,kschniede",True,2026-05-16-COL-NY,1,0,1,1,720.0,1,5,True,True,5,home,5,1778972857.0,19,False,"jfroude,lpruess,hmay,kponzio,amuller,jmcguinne,nbanks",6,8,23ef0e7eaef3baad6837abfb664cf1732fb329090808e0c1430b4d4e76741082,1778972857.0,False,5,695.2,26.0573770744486,-4.7,25.63,10.3913810646444,3ebae7d4ed0092c90b1e1a09d152b50b43aa5774324efd05fac2a36d25cbf9bb,0.869105805194741,0.130894194805259,0.668697300109506,0.900400005704043,1.0,0.65119951281438,2855.2,0.0,0.696,0.0995999942959566,0.300631399408691,8.0,b69e6db2f869e08bee76d23a4017cf7a3659be1a,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-16-COL-NY,empire,apex,31,14,2026-05-16 19:00:00
jknopf,10.09,12.0,telliott,0.34,14.99,0,0,0,"bshea,sfaris,telliott,tbrewster,jknopf,agould,apiper",False,2026-05-16-COL-NY,1,0,1,2,689.0,1,1,True,True,6,away,4,1778972901.0,18,False,"aagami,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock,bsimmons",5,13,0f620a9ec2e739aa8400de3148dfaca30dd0858514828d0dbdd64059cae5c9c1,1778972901.0,False,6,689.0,10.1981665018767,-9.75,2.99,72.9509690278902,a6333f06fade37a9aff598e2c6dd9c315f89fc995b95fcba428c9379017c033e,0.990205893620226,0.00979410637977407,0.638842148001306,0.638842148001306,0.648197408170705,0.937738297633727,2849.0,1.0,0.702,0.00935526016939869,0.0259035214591777,13.0,db1916005f446c83e8a88536488bb9fa39e34f90,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-16-COL-NY,empire,apex,31,14,2026-05-16 19:00:00
telliott,0.34,14.99,sfaris,-18.35,26.99,0,0,0,"bshea,sfaris,telliott,tbrewster,jknopf,agould,apiper",False,2026-05-16-COL-NY,1,0,1,2,689.0,1,2,True,True,7,away,5,1778972907.0,18,False,"aagami,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock,bsimmons",6,14,b8a45801bd7e318cc7696e6b685e3fee7589f5d012db24f0cf92d12ea09391de,1778972907.0,False,7,683.463414634146,22.210720384535,-18.69,12.0,57.2973228606182,11ebc11f76597316f0df1b093f656d8106ac5f6877df8cda7175e1a7dd9cb22d,0.974227361763294,0.0257726382367059,0.638842148001306,0.643354550408527,0.654127562577567,0.90734159485712,2843.46341463415,1.0,0.7,0.0107730121690401,0.0298290958078882,14.0,4479bb237888d6c1b84e973ad4d0794a9056c0b5,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-16-COL-NY,empire,apex,31,14,2026-05-16 19:00:00
sfaris,-18.35,26.99,telliott,-8.19,25.29,0,0,0,"bshea,sfaris,telliott,tbrewster,jknopf,agould,apiper",False,2026-05-16-COL-NY,1,0,1,2,689.0,1,3,True,True,8,away,6,1778972913.0,18,False,"aagami,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock,bsimmons",7,15,4d5c62e7b72c232264c6d1cc60380f030a8571b5fbcbae2ba25f59d98a1d2fac,1778972913.0,False,8,677.926829268293,10.3012426434872,10.16,-1.7,-99.4988978682428,73f008b58eaefd36042e9ff9b3d38eb4e04f53040608097a439e5638583eb66d,0.986966156134117,0.0130338438658835,0.638842148001306,0.64981480326428,0.662836984957523,0.918795745913067,2837.92682926829,1.0,0.698,0.0130221816932437,0.0360567591737996,15.0,474832a347f8c9bbf7a07daa5e455ded4b015d2b,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-16-COL-NY,empire,apex,31,14,2026-05-16 19:00:00
telliott,-8.19,25.29,tbrewster,14.45,32.04,0,0,0,"bshea,sfaris,telliott,tbrewster,jknopf,agould,apiper",False,2026-05-16-COL-NY,1,0,1,2,689.0,1,4,True,True,9,away,7,1778972915.0,18,False,"aagami,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock,bsimmons",8,16,875b886b125f56ae046f1d295e5e2f38b0e322c4a04d48fca7bdf26e02354a96,1778972915.0,False,9,672.390243902439,23.6248195760306,22.64,6.75,-73.3983199425186,f994a411d38e4a1882cb3136eedfb1d480214494a1fbd9f61b6095ad6c5cbafd,0.963909590960868,0.0360904090391321,0.638842148001306,0.659040803987336,0.670232829180877,0.891056537725248,2832.39024390244,1.0,0.697,0.0111920251935409,0.030989289396874,16.0,ed8e87f69ecb6384e71c8a72d78e3b225817b6cb,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-16-COL-NY,empire,apex,31,14,2026-05-16 19:00:00
tbrewster,14.45,32.04,telliott,-0.28,34.7,0,0,0,"bshea,sfaris,telliott,tbrewster,jknopf,agould,apiper",False,2026-05-16-COL-NY,1,0,1,2,689.0,1,5,True,True,10,away,8,1778972920.0,18,False,"aagami,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock,bsimmons",9,17,bc1251af3329666feaac718f9892c4b853d846e6d15c374cdbeb870023712252,1778972920.0,False,10,666.853658536585,14.9682497306799,-14.73,2.66,79.7636276898659,44be7d9887e63c6d64e834fe06cf3136489d2c996d92ab327a819a6a7ccf4955,0.979651935490583,0.0203480645094165,0.638842148001306,0.666915823310287,0.684320929763646,0.882951799274334,2826.85365853659,1.0,0.694,0.0174051064533592,0.0481925184709045,17.0,1cb4790a33f2be315819b7ef0be7d085de5b8ac4,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-16-COL-NY,empire,apex,31,14,2026-05-16 19:00:00
