Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
bvandeuse,0.0,40.0,mtran,-25.17,55.49,0,0,0,"mtran,bvandeuse,kkoo,tdunn,mgibson,mosborne,plenz",False,2026-05-17-SD-OAK,0,0,1,1,720.0,1,1,True,True,1,away,1,1779055687.0,18,False,"rvickersb,lgrench,jwhealan,clankford,emagsig,mwilliams,dburns",2,2,a3e441ecc2a19150152799bd03e370c142ba506bedaeb3cd34f46711efbfee5a,1779055687.0,False,1,720.0,29.5545089622548,-25.17,15.49,58.391227703444,d13823570a520260a9c3fe3642bf13dc880fd3fe99a265a697bddb00822df2fb,0.851144059269041,0.148855940730959,0.741313678367608,0.748355758351842,0.746724774374927,0.789716399269493,2880.0,0.0,0.51,-0.00163098397691508,-0.00630487134620437,2.0,3c46b06b47c7f078445083ac26698af6fa9d009f,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-17-SD-OAK,spiders,growlers,25,15,2026-05-17 15:00:00
mtran,-25.17,55.49,mgibson,10.7,45.13,0,0,0,"mtran,bvandeuse,kkoo,tdunn,mgibson,mosborne,plenz",False,2026-05-17-SD-OAK,0,0,1,1,720.0,1,2,True,True,2,away,2,1779055693.0,18,False,"rvickersb,lgrench,jwhealan,clankford,emagsig,mwilliams,dburns",3,3,fc1e55496b81a9cb6e31c84f67580b90f7d34826eb9dc750ffaa44b6cd9056c5,1779055693.0,False,2,715.55,37.3361286155916,35.87,-10.36,-106.109814374659,f60ef976aa974f5ba19c5e8e262a72bf022824f86349f141a22d83840d2899b3,0.902057304745345,0.0979426952546553,0.741313678367608,0.741313678367608,0.756522311684936,0.864821561459139,2875.55,0.0,0.507,0.0152086333173287,0.0587917954894461,3.0,158003a85e3944282d6e85ab9f1e6d573b09376c,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-17-SD-OAK,spiders,growlers,25,15,2026-05-17 15:00:00
mgibson,10.7,45.13,mtran,12.89,42.75,1,1,0,"mtran,bvandeuse,kkoo,tdunn,mgibson,mosborne,plenz",False,2026-05-17-SD-OAK,0,0,1,1,720.0,1,3,True,True,3,away,3,1779055774.0,20,False,"rvickersb,lgrench,jwhealan,clankford,emagsig,mwilliams,dburns",4,6,6e58a21972722a8c555d507dc76cb8c2863adc739e9a7934c247f7f35f55f98c,1779055774.0,False,3,711.1,3.23426962388729,2.19,-2.38,-137.380729160146,c1f45b1d8fa372291de33390fb725abc22f6f94fc0c9e62444dd3d49aa8dfe63,0.992571304721326,1.0,0.741313678367608,0.75157977355067,0.74120357035923,0.869268249530174,2871.1,0.0,0.671,-0.869268249530174,-0.869268249530174,6.0,1e92df5c810e8b832b741cfe832df564afed5b6c,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-17-SD-OAK,spiders,growlers,25,15,2026-05-17 15:00:00
emagsig,6.04,58.36,dburns,6.95,68.27,0,0,0,"rvickersb,lgrench,jwhealan,clankford,emagsig,mwilliams,dburns",True,2026-05-17-SD-OAK,0,0,1,1,720.0,2,1,False,False,4,home,3,,18,False,"mtran,bvandeuse,kkoo,tdunn,mgibson,mosborne,plenz",4,36,2bb509ad4c39a2745418d686168ad9607ed31f9840549e8bab74d9ac3722f03e,1779056070.7265,True,4,706.65,9.95169332324906,0.91,9.91,-5.24655387471638,2fddc4f6b3f1a2336e7251438f2880c7f144464e5556782655589c73c7a77b50,0.979507208267333,0.0204927917326667,0.768340767124694,0.796601422762966,0.83441324823709,0.771971263727316,2866.65,0.0,0.662,0.0378118254741237,0.163221750347746,36.0,c1a2572ef3968a6f3f4c9798be44544456125ee7,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-17-SD-OAK,spiders,growlers,25,15,2026-05-17 15:00:00
dburns,6.95,68.27,emagsig,-0.23,65.9,0,0,0,"rvickersb,lgrench,jwhealan,clankford,emagsig,mwilliams,dburns",True,2026-05-17-SD-OAK,0,0,1,1,720.0,2,2,False,False,5,home,4,,18,False,"mtran,bvandeuse,kkoo,tdunn,mgibson,mosborne,plenz",5,48,38a2c280578c39ddbec7d44fd45b2f3d4557d67362443fe91dd47d7549c19bb8,1779056237.58974,True,5,702.2,7.56103828848922,-7.18,-2.36999999999999,108.267207580461,74f38c86b5bba78a711be6e10b03657ee7fe4eb7ca11344231b22ffd63d3fba0,0.986688692288238,0.0133113077117625,0.768340767124694,0.831171627713828,0.822498966154357,0.777279407227275,2862.2,0.0,0.659,-0.00867266155947077,-0.0374371504723878,48.0,82d603bd2c050a717ba38f938e22b55c3176f606,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-17-SD-OAK,spiders,growlers,25,15,2026-05-17 15:00:00
emagsig,-0.23,65.9,dburns,-3.32,53.72,0,0,0,"rvickersb,lgrench,jwhealan,clankford,emagsig,mwilliams,dburns",True,2026-05-17-SD-OAK,0,0,1,1,720.0,2,3,False,False,6,home,5,,18,False,"mtran,bvandeuse,kkoo,tdunn,mgibson,mosborne,plenz",6,63,06be2e35f19154359eae65a6f3ee88fa37eb91992da068707ecc09ea6e781cba,1779056404.45299,True,6,697.75,12.5658465691731,-3.09,-12.18,165.764698457994,554b9dd0587c69548573269db85bc8eb09823e45da4b26357c590c7c398de7a1,0.985732498870628,0.0142675011293718,0.768340767124694,0.819313156999191,0.771900891319551,0.820699509590997,2857.75,0.0,0.647,-0.0474122656796396,-0.204663829242497,63.0,ecfb653811517668fd32bf1c0934c8ec01438102,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-17-SD-OAK,spiders,growlers,25,15,2026-05-17 15:00:00
dburns,-3.32,53.72,emagsig,7.67,61.81,0,0,0,"rvickersb,lgrench,jwhealan,clankford,emagsig,mwilliams,dburns",True,2026-05-17-SD-OAK,0,0,1,1,720.0,2,4,False,False,7,home,6,,18,False,"mtran,bvandeuse,kkoo,tdunn,mgibson,mosborne,plenz",7,70,b349d0b1e48a8cef0b8e6aa83a5cb5c18027c89dc71930d6a8030d1262e7dbeb,1779056571.31624,True,7,693.3,13.6465453503808,10.99,8.09,-53.6423329617142,a5fc34de351ada72146fda11a72e92a2627f966574b41d1a5281bf47c614897e,0.975113759430434,0.0248862405695661,0.768340767124694,0.768340767124694,0.799088316846707,0.784850657951255,2853.3,0.0,0.653,0.0307475497220128,0.132727495210878,70.0,89b27072669b44f3716f10d8be74d58b84165297,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-17-SD-OAK,spiders,growlers,25,15,2026-05-17 15:00:00
emagsig,7.67,61.81,jwhealan,15.03,67.63,0,0,0,"rvickersb,lgrench,jwhealan,clankford,emagsig,mwilliams,dburns",True,2026-05-17-SD-OAK,0,0,1,1,720.0,2,5,False,False,8,home,7,,18,False,"mtran,bvandeuse,kkoo,tdunn,mgibson,mosborne,plenz",8,80,b9c9ed583698587a28fa21c2421f0068c0ee150fff57a3890d505256ba230d3f,1779056738.17949,True,8,688.85,9.38306986012573,7.36,5.81999999999999,-51.6644320434994,218ce5178906e8ade39fe1633bdd22d8728be37469ff471c9bf787424783bf1b,0.982830703522989,0.0171692964770115,0.768340767124694,0.796085427906608,0.813331512228385,0.752484348637319,2848.85,0.0,0.655,0.0172460843217772,0.0744459182900781,80.0,984978604913f8fb6ebf0452a1766c97c4a88265,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-17-SD-OAK,spiders,growlers,25,15,2026-05-17 15:00:00
jwhealan,15.03,67.63,dburns,1.95,63.36,0,0,0,"rvickersb,lgrench,jwhealan,clankford,emagsig,mwilliams,dburns",True,2026-05-17-SD-OAK,0,0,1,1,720.0,2,6,False,False,9,home,8,,18,False,"mtran,bvandeuse,kkoo,tdunn,mgibson,mosborne,plenz",9,92,14443256259f6d7e61b4ac56b9c8621812185b1b2aa17a48bfb92b12bd72cfd9,1779056905.04274,True,9,684.4,13.7593350130012,-13.08,-4.27,108.079406145314,c40b135aba8611790984bfd2c244c5e8a5df09aa38fa6eae44743625d5006218,0.976431355681688,0.0235686443183117,0.768340767124694,0.810715017226667,0.800459316160972,0.773420835259878,2844.4,0.0,0.652,-0.0102557010656955,-0.0442706338029522,92.0,1cdd2ad19cebd0526d44e929def96e823d3f0250,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-17-SD-OAK,spiders,growlers,25,15,2026-05-17 15:00:00
dburns,1.95,63.36,mwilliams,-17.22,72.36,0,0,0,"rvickersb,lgrench,jwhealan,clankford,emagsig,mwilliams,dburns",True,2026-05-17-SD-OAK,0,0,1,1,720.0,2,7,False,False,10,home,9,,18,False,"mtran,bvandeuse,kkoo,tdunn,mgibson,mosborne,plenz",10,100,fc6ce8939501f81b040d0bd525398e275178c31f3e83df6baa9a5167f4055ac9,1779057071.90598,True,10,679.95,21.1775565162745,-19.17,9.0,64.8507159961252,d5347635271686b712594b52e98c18a1e2e9f59c3111ef29dfa4cd9d32349fe7,0.959996658392025,0.0400033416079753,0.768340767124694,0.797934491690789,0.825899510282907,0.720874657921859,2839.95,0.0,0.657,0.0279650185921183,0.120716184047673,100.0,c1737284c3aa1fdaa9ce3d5706434d58cd73d1cc,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-17-SD-OAK,spiders,growlers,25,15,2026-05-17 15:00:00
