Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
elong,-3.35,20.0,jlouie,-1.03,29.25,0,0,0,"dhawkins,jlouie,jfairfax,gsanner,tlynch,nlyle,elong",True,2026-05-23-ATL-CAR,0,0,1,1,720.0,1,1,True,True,1,home,1,1779577778.0,18,False,"tcrowley,sdavies,bfleming,ktaylor,jlangdon,lmcclamro,dramsey",2,4,29e7641097d67952f498aa0b20a709e5b727c50615225c8eea6baa2bd2ca92bd,1779577778.0,False,1,720.0,9.53650355214111,2.32,9.25,-14.0799584488995,df7ca29b9eda9c46c0ac6e93334ecef92084fc07b79fcefe1ab1d12d87bb3e16,0.987859913052901,0.0121400869470986,0.695161272605012,0.695161272605012,0.717928551725517,0.921941973840148,2880.0,0.0,0.639,0.0227672791205048,0.0746863081179467,4.0,c69f57d92f3cf1ac8551848a61b3954e946cf768,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-ATL-CAR,flyers,hustle,18,12,2026-05-23 19:00:00
jlouie,-1.03,29.25,,2.65,92.65,1,0,0,"dhawkins,jlouie,jfairfax,gsanner,tlynch,nlyle,elong",True,2026-05-23-ATL-CAR,0,0,1,1,720.0,1,2,True,True,2,home,2,1779577784.0,22,False,"tcrowley,sdavies,bfleming,ktaylor,jlangdon,lmcclamro,dramsey",3,5,687dd9560c4d20e6bf05d137085688482ce4ed824aa8bce19495bde8a82f22c3,1779577784.0,False,2,713.928571428571,63.5067114563492,3.68,63.4,-3.32195827308266,84546aa3939fa89921699e265a75053fc229e57c7eb181d3f739af66c756d39e,0.604428629065073,-0.604428629065073,0.695161272605012,0.710103197490886,0.924772365457863,0.705008253077798,2873.92857142857,0.0,0.518,-0.705008253077798,-0.705008253077798,5.0,172a4bd59c08b30d5ce5fc072089e898b57454cf,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-ATL-CAR,flyers,hustle,18,12,2026-05-23 19:00:00
ktaylor,-10.1,31.18,bfleming,3.55,27.16,0,0,0,"tcrowley,sdavies,bfleming,ktaylor,jlangdon,lmcclamro,dramsey",False,2026-05-23-ATL-CAR,0,0,1,1,720.0,2,1,False,False,3,away,3,1779577799.0,18,False,"dhawkins,jlouie,jfairfax,gsanner,tlynch,nlyle,elong",4,7,6ff359b2b7636367262974d760395e5e745870fe7c807e873cf2106c4f4b7ac0,1779577799.0,False,3,707.857142857143,14.2296486253175,13.65,-4.02,-106.409990938584,53afcef2d247a400ce065d0ddb261b33a8c0607af4d85b2852424c927fa4e542,0.985610085413498,0.0143899145865022,0.690311634780187,0.705897884384198,0.697103009435268,0.92282062073379,2867.85714285714,0.0,0.519,-0.00879487494893016,-0.0283991132268972,7.0,7e44de9ddf6ddce6c24d77a9cd2d87e6057e2a6e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-ATL-CAR,flyers,hustle,18,12,2026-05-23 19:00:00
bfleming,3.55,27.16,lmcclamro,-10.35,33.13,0,0,0,"tcrowley,sdavies,bfleming,ktaylor,jlangdon,lmcclamro,dramsey",False,2026-05-23-ATL-CAR,0,0,1,1,720.0,2,2,False,False,4,away,4,1779577802.0,18,False,"dhawkins,jlouie,jfairfax,gsanner,tlynch,nlyle,elong",5,8,c6aac94baa9ba7a5a0b6425cc531e47b8722c409bb9bd3febbaf0dd8da2bf044,1779577802.0,False,4,701.785714285714,15.127818745609,-13.9,5.97,66.7566510529932,591978afb48e8b975be9d86c21b8c844a7eede8ad0d6e3290556f01f40cfd8b7,0.980209076894837,0.0197909231051629,0.690311634780187,0.690311634780187,0.704637791274367,0.899937966919929,2861.78571428571,0.0,0.517,0.0143261564941803,0.0462599119085788,8.0,a45b81782323af2cf49a860eb9dc464099ea109a,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-ATL-CAR,flyers,hustle,18,12,2026-05-23 19:00:00
lmcclamro,-10.35,33.13,sdavies,-20.03,46.77,0,0,0,"tcrowley,sdavies,bfleming,ktaylor,jlangdon,lmcclamro,dramsey",False,2026-05-23-ATL-CAR,0,0,1,1,720.0,2,3,False,False,5,away,5,1779577805.0,18,False,"dhawkins,jlouie,jfairfax,gsanner,tlynch,nlyle,elong",6,9,20da83f3b3bcb7916198a29d4c2209bb12f5f20c45ddd4e3c9b1d9eae65444bd,1779577805.0,False,5,695.714285714286,16.7257884716984,-9.68,13.64,35.3624618870691,9539095371c7ae535c2d86c768c9d3db91483e733b609e4bf0880ce97ffe7b98,0.976105061219901,0.0238949387800985,0.690311634780187,0.698571802117894,0.722043597268804,0.829342620164459,2855.71428571429,0.0,0.513,0.0234717951509094,0.0757916595744544,9.0,5785c571bcabffb5437427a7e1e23bb944449f57,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-ATL-CAR,flyers,hustle,18,12,2026-05-23 19:00:00
sdavies,-20.03,46.77,,-9.58,91.59,1,0,0,"tcrowley,sdavies,bfleming,ktaylor,jlangdon,lmcclamro,dramsey",False,2026-05-23-ATL-CAR,0,0,1,1,720.0,2,4,False,False,6,away,6,1779577815.0,22,False,"dhawkins,jlouie,jfairfax,gsanner,tlynch,nlyle,elong",7,11,87673dd0e14f9972846c05a8c5e167eb303754e9e1ed1abe0b0310f8abd62c62,1779577815.0,False,6,689.642857142857,46.0221131631306,10.45,44.82,-13.1243231443778,d19b7f6e62692852e12e578869ce4ba4ef74ab10f13ba7ec58f7c956df37e10c,0.661428054818372,-0.661428054818372,0.690311634780187,0.716772179833796,0.911647716646837,0.679745646988555,2849.64285714286,0.0,0.629,-0.679745646988555,-0.679745646988555,11.0,23aae8522703dc3fcfa323780e06a4712b5e371e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-ATL-CAR,flyers,hustle,18,12,2026-05-23 19:00:00
elong,-0.55,22.22,jlouie,-0.56,22.22,0,0,0,"dhawkins,jlouie,jfairfax,gsanner,tlynch,nlyle,elong",True,2026-05-23-ATL-CAR,0,0,1,1,720.0,3,1,True,True,7,home,4,1779577820.0,18,False,"tcrowley,sdavies,bfleming,ktaylor,jlangdon,lmcclamro,dramsey",5,12,da56c4700d527c4178edfa71a26cfdf9bc6f2e6f4b38b8ac20087f64b0370bcb,1779577820.0,False,7,683.571428571429,0.01,-0.01,0.0,90.0,a76933d4f33e15d444b3a07ca3b3eaafe30ccb9e29b7f749ae78427652fd6a51,0.5,0.5,0.655896999355872,0.660571360035521,0.660571060254172,0.93012575009673,2843.57142857143,0.0,0.625,-2.99781349633044e-07,-8.71196557635016e-07,12.0,dc7e6a7b86f8f199eea0d43af4d6e9044916efa5,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-ATL-CAR,flyers,hustle,18,12,2026-05-23 19:00:00
jlouie,-0.56,22.22,tlynch,9.07,35.11,0,0,0,"dhawkins,jlouie,jfairfax,gsanner,tlynch,nlyle,elong",True,2026-05-23-ATL-CAR,0,0,1,1,720.0,3,2,True,True,8,home,5,1779577825.0,18,False,"tcrowley,sdavies,bfleming,ktaylor,jlangdon,lmcclamro,dramsey",6,13,efb8d649325d248eac69cf08d1a184ed11a3a87dcc2f5470a4db122b0a9abd7b,1779577825.0,False,8,677.5,16.0900279676575,9.63,12.89,-36.7630690943485,1c3af839cc412b69e4871d13d1987e4c5d554ae7334a9ceb81fb86a14ab61f45,0.975283124276046,0.0247168757239538,0.655896999355872,0.655896999355872,0.690255324119037,0.883708139120516,2837.5,0.0,0.63,0.0343583247631652,0.0998489542341966,13.0,4b46ab57e468ce4c136042f716050e7a6eacd76b,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-ATL-CAR,flyers,hustle,18,12,2026-05-23 19:00:00
tlynch,9.07,35.11,elong,-1.37,30.61,0,0,0,"dhawkins,jlouie,jfairfax,gsanner,tlynch,nlyle,elong",True,2026-05-23-ATL-CAR,0,0,1,1,720.0,3,3,True,True,9,home,6,1779577830.0,18,False,"tcrowley,sdavies,bfleming,ktaylor,jlangdon,lmcclamro,dramsey",7,14,708cb7aee90c8af2642a65836eebbea563604e711986aa1377c90d3b2d031df6,1779577830.0,False,9,671.428571428571,11.3685355257395,-10.44,-4.5,113.317708386755,90adcd9ef7e894d98fd55bb2be4ba4174a872be9d8252d4ed38f9c5d884518aa,0.988498772103674,0.0115012278963259,0.655896999355872,0.686329067614003,0.67459235267917,0.89944681579246,2831.42857142857,0.0,0.627,-0.0117367149348336,-0.0341081446917453,14.0,302ea10a0b5e6d45d1a6068d2d84a5168f3874a6,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-ATL-CAR,flyers,hustle,18,12,2026-05-23 19:00:00
elong,-1.37,30.61,gsanner,-9.35,32.38,0,0,0,"dhawkins,jlouie,jfairfax,gsanner,tlynch,nlyle,elong",True,2026-05-23-ATL-CAR,0,0,1,1,720.0,3,4,True,True,10,home,7,1779577832.0,18,False,"tcrowley,sdavies,bfleming,ktaylor,jlangdon,lmcclamro,dramsey",8,15,6a12dbdacf0e101be7f2ddaa58c6c420a682af39007509db7afa0e280574f875,1779577832.0,False,10,665.357142857143,8.17394029828944,-7.98,1.77,77.4940011190676,ca73762454214a4ec6cac68f8dea5f189b049efeb316aff9ce435cab5d478999,0.98979630969902,0.01020369030098,0.655896999355872,0.671081015789697,0.674506642015956,0.890485765533165,2825.35714285714,0.0,0.626,0.00342562622625875,0.00995523497280264,15.0,ec5eda72f30a90f656f17fee743fdfcf34dd43dc,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-ATL-CAR,flyers,hustle,18,12,2026-05-23 19:00:00
