Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
aroy,-20.77,20.0,cloverane,10.87,29.1,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,1,1,True,True,1,home,1,1779577780.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",2,4,49ddf2aa07066913c35a2618d6ca1d5ca9307fe0fd72e48008b2d00c12b9eb8b,1779577780.0,False,1,720.0,32.9226305145868,31.64,9.1,-73.9542027190524,17a2b38cd1d3be4ac6dd19d99ed1cefad3e270a22ee0cd7a17e7d39e575ace0c,0.915782109804344,0.0842178901956558,0.665765807025415,0.665765807025415,0.714348716341603,0.9214034955002,2880.0,0.0,0.638,0.0485829093161877,0.145355892177919,4.0,52f49565d4fd1ff0b2f66b2e860dc9a3415fe2a0,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
cloverane,10.87,29.1,amerriman,6.28,59.65,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,1,2,True,True,2,home,2,1779577784.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",3,5,242cb6b9f2d65800ed4784ce8a5f0ad59dbf05f04912fea1f5a191d37e5f67d6,1779577784.0,False,2,714.545454545455,30.8928891494467,-4.59,30.55,8.54452165899311,ae5c6f1db835b3db7eaf6abb059262fd4a2da1c31de6947930f1d5fa5a42446c,0.875187594322001,0.124812405677999,0.665765807025415,0.707240395117863,0.808562271052212,0.811155977585607,2874.54545454545,0.0,0.657,0.101321875934349,0.303146350864388,5.0,37e542f0ccc261a3ab857d9b178487dd388819bf,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
amerriman,6.28,59.65,,16.43,67.34,1,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,1,3,True,True,3,home,3,1779577789.0,22,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",4,6,e75f3d178979651c39681c29f2d0577de5d45ac76631f903d7ebf249a1b66815,1779577789.0,False,3,709.090909090909,12.7341509336116,10.15,7.69,-52.8511397139856,ba47931d10080d399013fca129ab204e4db3661270a9a8ce0bb57419c0c36164,0.978856440597965,-0.978856440597965,0.665765807025415,0.803567673143612,0.823922817776476,0.768488257160306,2869.09090909091,0.0,0.503,-0.768488257160306,-0.768488257160306,6.0,0a586850107243b19a9d3cc3b0ea66770fc372fb,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
jrandolph,-12.62,64.22,nwhitlock,-1.51,66.61,0,0,0,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",False,2026-05-23-NY-DC,0,0,1,1,720.0,2,1,False,False,4,away,3,1779577796.0,18,False,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",4,8,08cecbb3867653e049b4c795aca9b63c281999a90536cc0048847a6a3dd115e4,1779577796.0,False,4,703.636363636364,11.3641629696164,11.11,2.39,-77.8594654676883,2dbe54a6bf19b85770e289a100dcdb1ece06152fa6af333697f28021ba09350c,0.978525791829282,0.0214742081707175,0.813668690557614,0.813668690557614,0.826296728795371,0.775908090717669,2863.63636363636,0.0,0.488,0.0126280382377566,0.0677719610061626,8.0,f046c13611cc34261f3656fac79cbb9185685861,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
nwhitlock,-1.51,66.61,mbrownlee,4.36,69.34,0,0,0,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",False,2026-05-23-NY-DC,0,0,1,1,720.0,2,2,False,False,5,away,4,1779577798.0,18,False,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",5,9,11e776b84a5472171f0e1a93da793f448c13432557b6411f3b30886814e4851a,1779577798.0,False,5,698.181818181818,6.47377787694326,5.87,2.73,-65.057960987821,a25d770a26c7a6e93c8ead89300da6d4f8778763bdb22f8caa419daf40a97b30,0.986616483966031,0.0133835160339689,0.813668690557614,0.822391292449487,0.833034547151946,0.760843789910965,2858.18181818182,0.0,0.485,0.0106432547024589,0.0571200553160379,9.0,7e808f0badc84db706a7d9953378e33f75b415cd,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
mbrownlee,4.36,69.34,nwhitlock,0.54,75.27,0,0,0,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",False,2026-05-23-NY-DC,0,0,1,1,720.0,2,3,False,False,6,away,5,1779577799.0,18,False,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",6,10,3c7136cf351d4e87196f03a169742023bb39bf7afef1d8f669c02f1030e3f80f,1779577799.0,False,6,692.727272727273,7.05388545413093,-3.82,5.92999999999999,32.7889105472532,fbd84077ece53901761c6ba66684d085e123a51547cf8b03512a93850587e331,0.984306966716649,0.0156930332833515,0.813668690557614,0.829581891350846,0.853507396403486,0.735439551783569,2852.72727272727,0.0,0.479,0.0239255050526395,0.128403031805223,10.0,c7751a51823ce270394199bdde69534adc4f7aef,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
nwhitlock,0.54,75.27,jrandolph,-5.67,67.56,0,0,0,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",False,2026-05-23-NY-DC,0,0,1,1,720.0,2,4,False,False,7,away,6,1779577801.0,18,False,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",7,11,86d14907f76f771309ba04ec263f764d20840b7d631948798faa9eb1d87f6f66,1779577801.0,False,7,687.272727272727,9.89990909049168,-6.21,-7.70999999999999,141.150381528505,6dce45ea8d773e9e03e825b7818276b421043bcd32020318317dc9a106f73d5d,0.984512176861604,0.0154878231383958,0.813668690557614,0.850689102232871,0.81893714311783,0.758705292974585,2847.27272727273,0.0,0.488,-0.0317519591150417,-0.170405924855369,11.0,2b7b02106d573f58eb53fc216e8ea1a9802c3c29,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
jrandolph,-5.67,67.56,,-20.47,108.68,1,0,0,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",False,2026-05-23-NY-DC,0,0,1,1,720.0,2,5,False,False,8,away,7,1779577808.0,22,False,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",8,12,551383e79b7761f1b7cf555e3e32dcc7ead7240e207560ef10843f5b4ef04eab,1779577808.0,False,8,681.818181818182,43.7023386101934,-14.8,41.12,19.7949290049264,9134a9ca9af1776cbf78a0aa5913c16b045565dca593dadabffe99566b32669e,0.795223349772717,-0.795223349772717,0.813668690557614,0.815922893229769,0.950962773691872,0.621081204533807,2841.81818181818,0.0,0.619,-0.621081204533807,-0.621081204533807,12.0,85ea36699d181e252c8e5780a7be13aa00f05ec6,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
smott,18.77,20.0,jnissen,0.65,20.0,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,1,True,True,9,home,5,1779577830.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",6,14,d9b48ee9adb9e82ffdd787e8d69086892ef87b438a5a9b3f2f008b2f383b4157,1779577830.0,False,9,676.363636363636,18.12,-18.12,0.0,90.0,bb8a0d2f8b96d179db9e92ff00cdb0c7675f1c49306a0751b9f9ba0d6e152cf7,0.978389593714489,0.021610406285511,0.625289602956794,0.625289602956794,0.64957320828699,0.935046196453194,2836.36363636364,0.0,0.623,0.0242836053301962,0.064806329159306,14.0,24b9160cd7a7ace0b4bc84d46cbc42742073dd9c,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
jnissen,0.65,20.0,cloverane,-3.95,72.97,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,2,True,True,10,home,6,1779577843.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",7,15,215bcc19cd1dcc7beb46317ac5c6bedd7b1ca679595d19e301ca59a3ca3a41ca,1779577843.0,False,10,670.909090909091,53.1693605378135,-4.6,52.97,4.96320602851759,d5a41976d7f101efe424003d1faa9197e217e159ac1d018715976bdcddb79b0e,0.682456876112243,0.317543123887757,0.625289602956794,0.645889200438184,0.833801413804342,0.728342721842654,2830.90909090909,0.0,0.658,0.187912213366158,0.50148652092109,15.0,02b9ade84d65487e87a5502f7dfc808e30d7cda7,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
cloverane,-3.95,72.97,zburpee,-0.73,58.97,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,3,True,True,11,home,7,1779577846.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",8,16,3ed255a9e95f453939a390348a0d10acc79eeea61f8bbdf3271834250f825bd5,1779577846.0,False,11,665.454545454545,14.3655281838156,3.22,-14.0,-167.047235486624,ef9ef17d68329179e58560effbd65823cea3f1d7dd3f652fc9f8ac95cf99c47e,0.982242046073309,0.0177579539266908,0.625289602956794,0.831816097576287,0.772737478543163,0.781309858468377,2825.45454545455,0.0,0.644,-0.0590786190331242,-0.157664744558214,16.0,91d8d07084a19cf214d7198a7db60be6c3ffcc5e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
zburpee,-0.73,58.97,cloverane,-14.32,76.88,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,4,True,True,12,home,8,1779577847.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",9,17,82d1539040134fab34711a22c9d2968f90ff70073ffa57f235f68868944f96a8,1779577847.0,False,12,660.0,22.4823530796934,-13.59,17.91,37.1910075397043,1256a1c60ef4f06910645710ab243e824278b831ffc484d636144e36f64e2a25,0.939313971033576,0.0606860289664239,0.625289602956794,0.770541147561069,0.842343208042788,0.700573481823638,2820.0,0.0,0.659,0.0718020604817188,0.191620144645839,17.0,fd02903495f383645cc939cd047e866b6cd8ab8f,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
cloverane,-14.32,76.88,smott,-9.72,68.58,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,5,True,True,13,home,9,1779577849.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",10,18,db739a0076d6844acb84d1ea8488eeccaaef5c26990add131c4cad02cdd41b43,1779577849.0,False,13,654.545454545455,9.48946784598588,4.6,-8.3,-151.004040485882,2247e23e11b59f6aec00edf881e7d2d51f86297b9bb0e7c4429ea0c0d528dd9e,0.981712618063445,0.0182873819365552,0.625289602956794,0.840908649277702,0.80825435076408,0.735823866209338,2814.54545454545,0.0,0.651,-0.0326542985136226,-0.0871454295671901,18.0,b56fdfaa4a8baf376d6403338ef41c6e93c89e5b,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
smott,-9.72,68.58,cboxley,-15.62,58.35,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,6,True,True,14,home,10,1779577855.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",11,19,d9c30ccf47b8dfb776fd72fb26269b643c8ba485c55b8ff493a19e36de5740b1,1779577855.0,False,14,649.090909090909,11.8094411383435,-5.9,-10.23,150.026442297131,fcb1f2f94807f71b6630f34c1e9464f84dfb701b385c7e9b43fa7f7662981074,0.985131358531017,0.0148686414689826,0.625289602956794,0.806831705234841,0.755814563021938,0.768691049423881,2809.09090909091,0.0,0.639,-0.0510171422129037,-0.136150858410852,19.0,0b6e6804bc99beaac2d33f759c94b38d2bfa6f2d,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
cboxley,-15.62,58.35,smott,-2.44,58.07,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,7,True,True,15,home,11,1779577859.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",12,20,425cc1c62231a5f5e59d67427e6d6af58fba08edc534c842f3cf1a039fdced2d,1779577859.0,False,15,643.636363636364,13.1829738678342,13.18,-0.280000000000001,-91.2170262087818,7cb60226a3d065760cbaf410d42b400cc9d8eb4fb974ba8873fc30a706675393,0.977247046849912,0.0227529531500877,0.625289602956794,0.754402219262597,0.761752572274075,0.778181294344092,2803.63636363636,0.0,0.64,0.00735035301147813,0.0196160903713344,20.0,328826856968904588c6946d8fc1dc8529c2270d,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
smott,-2.44,58.07,aroy,5.25,70.57,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,8,True,True,16,home,12,1779577862.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",13,21,cf2a97c995f35da7ff9c5b395929a8701201f436be7f082f7131e9a51cc0333f,1779577862.0,False,16,638.181818181818,14.6760382937631,7.69,12.5,-31.5998293894722,0c7c3f619cc0607684e28901e7f9f4d9a28f906ea304feb0e1931879d34eaca9,0.969110112480922,0.030889887519078,0.625289602956794,0.760622945218941,0.814577521752495,0.725191292410303,2798.18181818182,0.0,0.651,0.0539545765335541,0.143990070623348,21.0,b32fb12e70f2e6cadbeb3452cb630e6dd7145772,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
aroy,5.25,70.57,smott,11.56,84.3,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,9,True,True,17,home,13,1779577865.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",14,22,4838f1ca3b04615f0ebacefd7314c16f28a683fa80040d75af38436d8f8a239c,1779577865.0,False,17,632.727272727273,15.1105592219481,6.31,13.73,-24.6824504586609,e21d01ccd0fddbfd7f1fe3e0ce443d95ff4ded538c9152729a632ae35a017e5c,0.961481630816174,0.038518369183826,0.625289602956794,0.813838768467738,0.870965727311375,0.671959088716486,2792.72727272727,0.0,0.664,0.0571269588436369,0.152456295033228,22.0,1d3be340e25b04d53e24788b9b6cab8bb1509f54,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
smott,11.56,84.3,jnissen,14.92,90.13,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,10,True,True,18,home,14,1779577869.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",15,23,ca5e800e42de3d7ae29f9f795ddd4c1560febf23f018245542def9bd60946729,1779577869.0,False,18,627.272727272727,6.72893007840028,3.36,5.83,-29.9561090202262,affaa14ba8bb3359d9960841f6d446efa5fbd3f5d61198c7f7411f25f9de6e2f,0.980031259486516,0.0199687405134843,0.625289602956794,0.870555458227471,0.891238162463732,0.647690794669244,2787.27272727273,0.0,0.669,0.0206827042362613,0.0551965048193644,23.0,678850a87175809e5f834b9b7ca227d303c8a9de,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
jnissen,14.92,90.13,smott,9.64,75.92,0,0,0,"amerriman,cloverane,aroy,jnissen,smott,cboxley,zburpee",True,2026-05-23-NY-DC,0,0,1,1,720.0,3,11,True,True,19,home,15,1779577874.0,18,False,"aagami,mbrownlee,adavis2,sjonas,jrandolph,dschnaudi,nwhitlock",16,24,7c0e625530d28d6977f23d2f6c6e61402f7c1a3f4b4c6dceadc778ff1a3f9fa6,1779577874.0,False,19,621.818181818182,15.1592381075039,-5.28,-14.21,159.616478610532,e83423a9bc9277eeacf1c21f37edaea14f14c01dcd80a6e1bb4fb51377aca057,0.967451951486233,0.032548048513767,0.625289602956794,0.890995548096853,0.83534369795156,0.701239768371807,2781.81818181818,0.0,0.654,-0.0556518501452927,-0.148519631652697,24.0,0e6e1f6d74f954235e94b751618285cbdc52664d,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-23-NY-DC,breeze,empire,14,18,2026-05-23 19:00:00
