Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
jmiller,2.11,21.79,myorgason,13.5,38.38,0,0,0,"bashton,cyorgason,jduennebe,mrussnogl,jmiller,jkerr,myorgason",True,2026-05-30-ORE-SLC,0,0,1,1,720.0,1,1,True,True,1,home,1,1780189382.0,18,False,"ndahms,bthoennes,agordon,jartz,sanderson1,zscheuerm,fmoren",2,4,46904a436f5c595e62194debb4b87c4fcde4a170b13e080c20f60401faaa6673,1780189382.0,False,1,720.0,20.1236229342532,11.39,16.59,-34.4718635478413,e41e0b69b2b683e8c63f51adf2eabd090eab22033097aa835f878cdc8168db68,0.964056635623337,0.0359433643766631,0.699440698723678,0.699440698723678,0.737116609630411,0.890306575622448,2880.0,0.0,0.643,0.0376759109067329,0.125352669994715,4.0,616613b1012ab7aea42cc7d85ce918577ae284d9,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-30-ORE-SLC,shred,steel,34,17,2026-05-30 19:00:00
myorgason,13.5,38.38,jkerr,17.78,45.0,0,0,0,"bashton,cyorgason,jduennebe,mrussnogl,jmiller,jkerr,myorgason",True,2026-05-30-ORE-SLC,0,0,1,1,720.0,1,2,True,True,2,home,2,1780189384.0,18,False,"ndahms,bthoennes,agordon,jartz,sanderson1,zscheuerm,fmoren",3,5,95f8bc292d3836cb5b6c15cf48553fcbfc025d664da39a08e43d1e656a7fe06d,1780189384.0,False,2,717.0,7.88307046778094,4.28,6.62,-32.8837058561487,0559d51a3eedfe7714aed4df5a6c07238e4523c91a14a88997217735e73c5ee7,0.98872335371571,0.0112766462842903,0.699440698723678,0.733349838854468,0.744277779649265,0.859001137775163,2877.0,0.0,0.644,0.0109279407947969,0.0363586844539214,5.0,2bdca35f30a98cf81511059efa17e080fd5575a6,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-30-ORE-SLC,shred,steel,34,17,2026-05-30 19:00:00
jkerr,17.78,45.0,cyorgason,16.13,58.34,0,0,0,"bashton,cyorgason,jduennebe,mrussnogl,jmiller,jkerr,myorgason",True,2026-05-30-ORE-SLC,0,0,1,1,720.0,1,3,True,True,3,home,3,1780189386.0,18,False,"ndahms,bthoennes,agordon,jartz,sanderson1,zscheuerm,fmoren",4,6,89b7c6e6b4e3ef5a0eab669cc4f40d6f8504cc682c07ddd2f55685a83ec11846,1780189386.0,False,3,714.0,13.4416554040044,-1.65,13.34,7.05099766596882,22424bf74600eec486d89a6db6269f509bcba7167fae9be047744e1b93399d70,0.97260478222821,0.0273952177717903,0.699440698723678,0.740732688231738,0.793805209860787,0.807947159693721,2874.0,0.0,0.654,0.0530725216290486,0.176579202186313,6.0,f499c3d2542bfcc7973b5d2cf91596f9ce89ecbc,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-30-ORE-SLC,shred,steel,34,17,2026-05-30 19:00:00
cyorgason,16.13,58.34,myorgason,15.82,51.73,0,0,0,"bashton,cyorgason,jduennebe,mrussnogl,jmiller,jkerr,myorgason",True,2026-05-30-ORE-SLC,0,0,1,1,720.0,1,4,True,True,4,home,4,1780189389.0,18,False,"ndahms,bthoennes,agordon,jartz,sanderson1,zscheuerm,fmoren",5,7,ad63f80bc700a1a0a08c65e05ca12f9108bedff5e1a31c8a1413d19df20f8e79,1780189389.0,False,4,711.0,6.61726529617788,-0.309999999999999,-6.61000000000001,177.314873429358,811a4714234add1c63f7392f3f977b12c9f1cdec0c43e1f4f8d693642f1b939b,0.989926405137919,0.010073594862081,0.699440698723678,0.790884779660511,0.76676127356811,0.831534729571042,2871.0,0.0,0.648,-0.0241235060924011,-0.0802620514153477,7.0,f55a62b6997bbd43cef1a4e8d8f5f414efde5205,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-30-ORE-SLC,shred,steel,34,17,2026-05-30 19:00:00
myorgason,15.82,51.73,cyorgason,5.11,52.83,0,0,0,"bashton,cyorgason,jduennebe,mrussnogl,jmiller,jkerr,myorgason",True,2026-05-30-ORE-SLC,0,0,1,1,720.0,1,5,True,True,5,home,5,1780189391.0,18,False,"ndahms,bthoennes,agordon,jartz,sanderson1,zscheuerm,fmoren",6,8,37ff630661987db5a15f04c7776cc74a2d1cf5647d4266e08963c85bdf579d5c,1780189391.0,False,5,708.0,10.7663410683482,-10.71,1.1,84.1358418322601,983895f7f8a5c98a8e7280278831f8284618773ddd436835678de54cfa6d221f,0.981875666724801,0.0181243332751991,0.699440698723678,0.763712139052119,0.777566634316085,0.83148693229166,2868.0,0.0,0.649,0.0138544952639658,0.0460957129096747,8.0,360789e0ff2938a3ae72cda4bc530730b0d6550e,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-30-ORE-SLC,shred,steel,34,17,2026-05-30 19:00:00
cyorgason,5.11,52.83,bashton,4.56,65.93,0,0,0,"bashton,cyorgason,jduennebe,mrussnogl,jmiller,jkerr,myorgason",True,2026-05-30-ORE-SLC,0,0,1,1,720.0,1,6,True,True,6,home,6,1780189394.0,18,False,"ndahms,bthoennes,agordon,jartz,sanderson1,zscheuerm,fmoren",7,9,87e2976072ce413ad2dc90ea48868ace68ce76f2f2f413c23b33a0beac0a91ca,1780189394.0,False,6,705.0,13.1115407180087,-0.550000000000001,13.1,2.4041360537537,75c784fb9ced0c844593626464113664b0e4e4ec09c6eb7ec165f09c1188acf7,0.973476039934953,0.0265239600650468,0.699440698723678,0.774750172338105,0.824476609590854,0.779346626161786,2865.0,0.0,0.659,0.0497264372527488,0.165446343006475,9.0,b5037c0169c1ef80a6131c1b110bacc75fa329ea,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-30-ORE-SLC,shred,steel,34,17,2026-05-30 19:00:00
bashton,4.56,65.93,myorgason,8.35,62.87,0,0,0,"bashton,cyorgason,jduennebe,mrussnogl,jmiller,jkerr,myorgason",True,2026-05-30-ORE-SLC,0,0,1,1,720.0,1,7,True,True,7,home,7,1780189397.0,18,False,"ndahms,bthoennes,agordon,jartz,sanderson1,zscheuerm,fmoren",8,10,523c75f3c85916f6c95eeaee7b81a1ae92e48da918d1e1b17ecbdd2041ef4a85,1780189397.0,False,7,702.0,4.87110870336519,3.79,-3.06000000000001,-128.916985402584,8e41a5cbcd66155ef188cac51919369704c85ce3773b7f99ed2df212b694ff8a,0.989681211804885,0.010318788195115,0.699440698723678,0.822227334693847,0.809458280173122,0.787414106931173,2862.0,0.0,0.656,-0.0127690545207256,-0.0424843099731134,10.0,0437960f6811fa261f8b18b4cb6e113d13713418,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-30-ORE-SLC,shred,steel,34,17,2026-05-30 19:00:00
myorgason,8.35,62.87,jmiller,11.6,60.97,0,0,0,"bashton,cyorgason,jduennebe,mrussnogl,jmiller,jkerr,myorgason",True,2026-05-30-ORE-SLC,0,0,1,1,720.0,1,8,True,True,8,home,8,1780189399.0,18,False,"ndahms,bthoennes,agordon,jartz,sanderson1,zscheuerm,fmoren",9,11,2397031ae206119385ad861c5025c4ba41489d5538ec890c35401c09e9d108a5,1780189399.0,False,8,699.0,3.76463809681621,3.25,-1.9,-120.311213226682,7b3fb29f399d259a64808f1e4c12146c6bbd6396920bd0699422e20a687e7c34,0.990309763831106,0.0096902361688942,0.699440698723678,0.807175347246759,0.797674036875539,0.790519942792108,2859.0,0.0,0.653,-0.00950131037121993,-0.0316120989464399,11.0,a341269168afea6d84417642e25f5fb51cf7d363,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-30-ORE-SLC,shred,steel,34,17,2026-05-30 19:00:00
jmiller,11.6,60.97,myorgason,5.05,62.93,0,0,0,"bashton,cyorgason,jduennebe,mrussnogl,jmiller,jkerr,myorgason",True,2026-05-30-ORE-SLC,0,0,1,1,720.0,1,9,True,True,9,home,9,1780189400.0,18,False,"ndahms,bthoennes,agordon,jartz,sanderson1,zscheuerm,fmoren",10,12,3bb8ede12ce04d2b21026959c486f0b63544acedb9bf57f3b1b3b2b77f4bca95,1780189400.0,False,9,696.0,6.83696570124496,-6.55,1.96,73.3408900964505,714aa4e15460bf0abd2063551f8eacbc8bc015aefa8ae546b80c25885504fc20,0.986013135977928,0.0139868640220719,0.699440698723678,0.795402053357517,0.805988040499731,0.783026390022537,2856.0,0.0,0.654,0.0105859871422136,0.0352209600476855,12.0,cd1a8295368e156999d995629abb321fd62a3578,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-30-ORE-SLC,shred,steel,34,17,2026-05-30 19:00:00
myorgason,5.05,62.93,mrussnogl,-14.18,76.95,0,0,0,"bashton,cyorgason,jduennebe,mrussnogl,jmiller,jkerr,myorgason",True,2026-05-30-ORE-SLC,0,0,1,1,720.0,1,10,True,True,10,home,10,1780189401.0,18,False,"ndahms,bthoennes,agordon,jartz,sanderson1,zscheuerm,fmoren",11,13,c3b23f670c2a4fccd2a9e64021c8ceab0f968e9cf481147230f683233d37cc9d,1780189401.0,False,10,693.0,23.7981785017257,-19.23,14.02,53.9053635353671,c19d71db6c59e09e034cadf6b09f16e47a3ca6221d6142a89d06424eb7cf930f,0.936246750902395,0.0637532490976049,0.699440698723678,0.803896809805724,0.856184232795034,0.722107160354577,2853.0,0.0,0.666,0.0522874229893098,0.173967076604423,13.0,1eaba1fd49a564eaa2905fea3360b3f8fc26be53,2026-08-18 08:07:04,2026-06-06 14:01:41,2026-05-30-ORE-SLC,shred,steel,34,17,2026-05-30 19:00:00
