Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
jlouie,4.29,30.2,dhawkins,13.23,35.79,0,0,0,"gsanner,jlouie,zthoreson,jfairfax,elong,tbrooks1,dhawkins",False,2026-06-06-CAR-PIT,0,0,1,1,720.0,1,1,True,True,1,away,1,1780787260.0,18,False,"jmcmoniga,nceluch,areppermu,zbyrnes,whoffenka,jtowle,mdillard",2,4,9ba5c779b2962d90f9ed6bcebf540ffb626d1c253eb9f37c93a1a1b2f2792f5e,1780787260.0,False,1,720.0,10.5437991255524,8.94,5.59,-57.9830965790401,28b806eab7648ccc8014cec7a5fa9b26ce07725858d136c9870c46b7bcd7cbf9,0.986456976094912,0.0135430239050881,0.72016380173434,0.72016380173434,0.729864757257057,0.899261000703974,2880.0,0.0,0.514,0.00970095552271666,0.0346665498703894,4.0,0d0399b403bb2599353cdca98d23cca183156b0d,2026-08-18 08:07:04,2026-06-06 23:07:58,2026-06-06-CAR-PIT,thunderbirds,flyers,17,31,2026-06-06 19:00:00
dhawkins,13.23,35.79,jlouie,-0.89,35.59,0,0,0,"gsanner,jlouie,zthoreson,jfairfax,elong,tbrooks1,dhawkins",False,2026-06-06-CAR-PIT,0,0,1,1,720.0,1,2,True,True,2,away,2,1780787264.0,18,False,"jmcmoniga,nceluch,areppermu,zbyrnes,whoffenka,jtowle,mdillard",3,5,f1bf01030002517e87a055e4f7c4cfa3fa8ffc9b8abe82f55d9e4c653ca50acd,1780787264.0,False,2,715.266666666667,14.1214163595583,-14.12,-0.199999999999996,90.8115006837119,570507dfe61d2e17725e0a3ce1b0f171abf3df0363f97f10f9ac0fc2876e7747,0.98218559213407,0.0178144078659302,0.72016380173434,0.723877061122788,0.729402502924169,0.899579182758296,2875.26666666667,0.0,0.513,0.00552544180138093,0.0197452718255392,5.0,5927a9881fbd46eafea7361ec700bcaf5249713b,2026-08-18 08:07:04,2026-06-06 23:07:58,2026-06-06-CAR-PIT,thunderbirds,flyers,17,31,2026-06-06 19:00:00
jlouie,-0.89,35.59,gsanner,-10.24,41.59,0,0,0,"gsanner,jlouie,zthoreson,jfairfax,elong,tbrooks1,dhawkins",False,2026-06-06-CAR-PIT,0,0,1,1,720.0,1,3,True,True,3,away,3,1780787266.0,18,False,"jmcmoniga,nceluch,areppermu,zbyrnes,whoffenka,jtowle,mdillard",4,6,6641503812c42bd625e7d60cc3de013a92d915c83d6e56cda13b3c31815fd261,1780787266.0,False,3,710.533333333333,11.1095679483948,-9.35,6.0,57.3112548800913,4a2706eabaf144064aa6a07bd8f04681c28e127c6fe3be167652a3f661e3b842,0.984183216081779,0.0158167839182214,0.72016380173434,0.723806230211482,0.740064297081991,0.874425159380158,2870.53333333333,0.0,0.51,0.016258066870509,0.058098512527227,6.0,2ff197c2fb79dda5d1840891b4e9988af888a37f,2026-08-18 08:07:04,2026-06-06 23:07:58,2026-06-06-CAR-PIT,thunderbirds,flyers,17,31,2026-06-06 19:00:00
gsanner,-10.24,41.59,jfairfax,-17.94,57.2,0,0,0,"gsanner,jlouie,zthoreson,jfairfax,elong,tbrooks1,dhawkins",False,2026-06-06-CAR-PIT,0,0,1,1,720.0,1,4,True,True,4,away,4,1780787270.0,18,False,"jmcmoniga,nceluch,areppermu,zbyrnes,whoffenka,jtowle,mdillard",5,7,3195dbbc93672f1bc8571d3d690917fd08b766e451a27740aa8e5782311328ce,1780787270.0,False,4,705.8,17.405806502429,-7.7,15.61,26.2559042877013,58def54a2f3ac663624e24f1c05befa01a75ae3fa61bf743d3c2b4e1007e169c,0.969226841819635,0.0307731581803652,0.72016380173434,0.734984071074742,0.778934502032203,0.799235796445327,2865.8,0.0,0.5,0.0439504309574611,0.15705770457808,7.0,527cf64ae94145d73f55aaf9a147b848a195c205,2026-08-18 08:07:04,2026-06-06 23:07:58,2026-06-06-CAR-PIT,thunderbirds,flyers,17,31,2026-06-06 19:00:00
jfairfax,-17.94,57.2,tbrooks1,-5.32,68.25,0,0,0,"gsanner,jlouie,zthoreson,jfairfax,elong,tbrooks1,dhawkins",False,2026-06-06-CAR-PIT,0,0,1,1,720.0,1,5,True,True,5,away,5,1780787273.0,18,False,"jmcmoniga,nceluch,areppermu,zbyrnes,whoffenka,jtowle,mdillard",6,8,10f8bd1683c448dad1316710e50836e9c0a616f20bcb200d45a5156882d69db8,1780787273.0,False,5,701.066666666667,16.7739947537848,12.62,11.05,-48.7947952277566,92ef1a86aed325f72443ed7afa96eb0d419fd07fed82cb781467ce5ae7e6b970,0.956746818746202,0.043253181253798,0.72016380173434,0.774708515248704,0.830556869108902,0.767220627015207,2861.06666666667,0.0,0.486,0.0558483538601986,0.199575159347968,8.0,d32c6aa00e464dc37ee3ecce593ad1d1a9d85c08,2026-08-18 08:07:04,2026-06-06 23:07:58,2026-06-06-CAR-PIT,thunderbirds,flyers,17,31,2026-06-06 19:00:00
tbrooks1,-5.32,68.25,gsanner,1.56,66.54,0,0,0,"gsanner,jlouie,zthoreson,jfairfax,elong,tbrooks1,dhawkins",False,2026-06-06-CAR-PIT,0,0,1,1,720.0,1,6,True,True,6,away,6,1780787276.0,18,False,"jmcmoniga,nceluch,areppermu,zbyrnes,whoffenka,jtowle,mdillard",7,9,e2896488171193bf9b892d81d3ca9d8ad8ed463122a3d41fab2266e0d84fcca0,1780787276.0,False,6,696.333333333333,7.08932295780069,6.88,-1.70999999999999,-103.95783670262,22534d1206193b77d12fbf95fac426e2bcde2c246cad15c4633671ece13695a6,0.987046928552502,0.0129530714474982,0.72016380173434,0.827356948366759,0.820867976131948,0.769900790473022,2856.33333333333,0.0,0.488,-0.00648897223481115,-0.0231884662349898,9.0,586a798ee59d83b60a60680acbfc97f5fe7040c9,2026-08-18 08:07:04,2026-06-06 23:13:03,2026-06-06-CAR-PIT,thunderbirds,flyers,17,31,2026-06-06 19:00:00
gsanner,1.56,66.54,elong,10.7,69.06,0,0,0,"gsanner,jlouie,zthoreson,jfairfax,elong,tbrooks1,dhawkins",False,2026-06-06-CAR-PIT,0,0,1,1,720.0,1,7,True,True,7,away,7,1780787279.0,18,False,"jmcmoniga,nceluch,areppermu,zbyrnes,whoffenka,jtowle,mdillard",8,10,dbcdf1062aee0a20e991b075c94705f1b4c56a9ba5d446bcae2f9d7265f44d5f,1780787279.0,False,7,691.6,9.48103369891701,9.14,2.52,-74.5858739914272,eea160d00f8a5ec33ce3ad29ea84e060b1cdbc708927d175745b46f77e59535e,0.982366311098866,0.017633688901134,0.72016380173434,0.817785680878154,0.825837992391754,0.754400081889074,2851.6,0.0,0.487,0.00805231151360042,0.0287750890110222,10.0,956c10c415aca4d92681dc9fec53147b77971bd0,2026-08-18 08:07:04,2026-06-06 23:13:03,2026-06-06-CAR-PIT,thunderbirds,flyers,17,31,2026-06-06 19:00:00
elong,10.7,69.06,tbrooks1,18.61,71.45,0,0,0,"gsanner,jlouie,zthoreson,jfairfax,elong,tbrooks1,dhawkins",False,2026-06-06-CAR-PIT,0,0,1,1,720.0,1,8,True,True,8,away,8,1780787280.0,18,False,"jmcmoniga,nceluch,areppermu,zbyrnes,whoffenka,jtowle,mdillard",9,11,97dc8f2c0a8c46f8009c2e9ee675855b7d859f09eaf1e4562180d32cc36d021e,1780787280.0,False,8,686.866666666667,8.26318340592777,7.91,2.39,-73.187851281136,9d18d7b099ac02e9f048f7d626e06879968497e6764657d214080b5054d18b38,0.986563820338939,0.0134361796610609,0.72016380173434,0.823068408314419,0.820459543673873,0.727138656435481,2846.86666666667,0.0,0.487,-0.00260886464054599,-0.00932282762814443,11.0,1016bda95723f40bcc4d4cfb80dff963bc144e68,2026-08-18 08:07:04,2026-06-06 23:13:03,2026-06-06-CAR-PIT,thunderbirds,flyers,17,31,2026-06-06 19:00:00
tbrooks1,18.61,71.45,dhawkins,17.39,88.5,0,0,0,"gsanner,jlouie,zthoreson,jfairfax,elong,tbrooks1,dhawkins",False,2026-06-06-CAR-PIT,0,0,1,1,720.0,1,9,True,True,9,away,9,1780787283.0,18,False,"jmcmoniga,nceluch,areppermu,zbyrnes,whoffenka,jtowle,mdillard",10,12,c4caafc1b554c66eae13f84ea9edaa1d00148b32f227096aa585ab5d779161b2,1780787283.0,False,9,682.133333333333,17.093592366732,-1.22,17.05,4.09278114049685,fc43750006bebf37fd1d4561add80b475e930c01810bb61da3c272b0e2b8889d,0.952602335957078,0.0473976640429221,0.72016380173434,0.817865555621768,0.891790212491019,0.669497326477101,2842.13333333333,0.0,0.466,0.0739246568692511,0.26417117344866,12.0,52656e9dd30de8d8113fa4c09fb5ebf6223b24a9,2026-08-18 08:07:04,2026-06-06 23:13:03,2026-06-06-CAR-PIT,thunderbirds,flyers,17,31,2026-06-06 19:00:00
dhawkins,17.39,88.5,tbrooks1,7.63,84.27,0,0,0,"gsanner,jlouie,zthoreson,jfairfax,elong,tbrooks1,dhawkins",False,2026-06-06-CAR-PIT,0,0,1,1,720.0,1,10,True,True,10,away,10,1780787284.0,18,False,"jmcmoniga,nceluch,areppermu,zbyrnes,whoffenka,jtowle,mdillard",11,13,723ba44f8b0e0f28c8098a8782ad1fd8cdbe29b7d6c50fb1447f14c9b6988221,1780787284.0,False,10,677.4,10.6372223818063,-9.76,-4.23,113.431987657904,08483179d1e7b059cbf74c86813bc72d5155654d6bc1f43fc6a914e5f786394f,0.971574852020487,0.0284251479795133,0.72016380173434,0.890241731290663,0.881552297949999,0.692949584695693,2837.4,0.0,0.469,-0.00868943334066408,-0.031051856030487,13.0,fc1b9f4b3930ad542419a33aa94bb7759ba3b4c9,2026-08-18 08:07:04,2026-06-06 23:13:03,2026-06-06-CAR-PIT,thunderbirds,flyers,17,31,2026-06-06 19:00:00
