Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
aatkins,-15.21,9.88,jwilliams,-0.07,22.7,0,0,0,"aatkins,jcowan,ddemarre,beberhard,bjagt,mlabar,jwilliams",True,2026-06-12-BOS-NY,0,0,1,1,720.0,1,1,True,True,1,home,1,1781310524.0,18,False,"mmcdonnel,ograff,bmccann,jcarreiro,tedmonds,gcolton,ldecraene",2,4,e08bb25e6bdd11bdeef245c593dee5056e0a57417ff34a2eb7ec36a9a0417b39,1781310524.0,False,1,720.0,19.8386491475604,15.14,12.82,-49.7432903609475,c18fdd5ef18448a71c6d6b64f2281deabca1e059e5a44d242ddd8f1398970729,0.969234040233593,0.0307659597664067,0.664548631814549,0.664548631814549,0.701642013114125,0.93995290966062,2880.0,0.0,0.636,0.0370933812995754,0.110577522757542,4.0,0f59f782743052305e05863424ed2887e11885e2,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-BOS-NY,empire,glory,15,17,2026-06-12 19:00:00
jwilliams,-0.07,22.7,beberhard,13.09,24.2,0,0,0,"aatkins,jcowan,ddemarre,beberhard,bjagt,mlabar,jwilliams",True,2026-06-12-BOS-NY,0,0,1,1,720.0,1,2,True,True,2,home,2,1781310528.0,18,False,"mmcdonnel,ograff,bmccann,jcarreiro,tedmonds,gcolton,ldecraene",3,5,36b709940da7a57a3245b9a312a5fefa5e494bf3ec79b4ffd78fab1d9ac3334d,1781310528.0,False,2,714.533333333333,13.2452104551041,13.16,1.5,-83.4973894375653,279f2f46b7d85d1dc7d80429a7b9f850f1bd8537585a49ba2be4fb4d9c0e616f,0.986746963295942,0.0132530367040579,0.664548631814549,0.694337102681377,0.691672055477448,0.932367407677528,2874.53333333333,0.0,0.634,-0.00266504720392968,-0.00794466040888627,5.0,9bba1d8b944befd1a9d58b3f6d6a55294f8379c7,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-BOS-NY,empire,glory,15,17,2026-06-12 19:00:00
beberhard,13.09,24.2,aatkins,-13.1,19.55,0,0,0,"aatkins,jcowan,ddemarre,beberhard,bjagt,mlabar,jwilliams",True,2026-06-12-BOS-NY,0,0,1,1,720.0,1,3,True,True,3,home,3,1781310531.0,18,False,"mmcdonnel,ograff,bmccann,jcarreiro,tedmonds,gcolton,ldecraene",4,6,c743b4fc4ffdd57c764e188cca5f21cfd42ab7f90d7fce46c2f89b3879facc82,1781310531.0,False,3,709.066666666667,26.5995977413193,-26.19,-4.65,100.067873446959,7ba97fccd616b01ed689382ba1bf0dd2ecee6517083d0dde34425976e4818b0d,0.966657484898631,0.0333425151013689,0.664548631814549,0.684803110837204,0.674469407106839,0.941514457068651,2869.06666666667,0.0,0.63,-0.0103337037303659,-0.0308053706451214,6.0,e624c7b5453b29e3cb6c81a47f03d124fb75a8b3,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-BOS-NY,empire,glory,15,17,2026-06-12 19:00:00
aatkins,-13.1,19.55,jwilliams,-17.4,35.11,0,0,0,"aatkins,jcowan,ddemarre,beberhard,bjagt,mlabar,jwilliams",True,2026-06-12-BOS-NY,0,0,1,1,720.0,1,4,True,True,4,home,4,1781310533.0,18,False,"mmcdonnel,ograff,bmccann,jcarreiro,tedmonds,gcolton,ldecraene",5,7,cb8b200a4f5fb0914fef4826028af25f93cf150a52d526f1b9620aed49db17c7,1781310533.0,False,4,703.6,16.1432214876709,-4.3,15.56,15.4481169044207,0be1f5ab31f6116bf519e218b8ba091850262f81bd7269de1a42f1bbf2831277,0.976224159655796,0.0237758403442041,0.664548631814549,0.667966660171407,0.700431183051877,0.887314688873011,2863.6,0.0,0.634,0.0324645228804702,0.0967786271258328,7.0,1b8039af3d143045e736d1835567e8a68426bb21,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-BOS-NY,empire,glory,15,17,2026-06-12 19:00:00
jwilliams,-17.4,35.11,mlabar,-24.63,50.93,0,0,0,"aatkins,jcowan,ddemarre,beberhard,bjagt,mlabar,jwilliams",True,2026-06-12-BOS-NY,0,0,1,1,720.0,1,5,True,True,5,home,5,1781310536.0,18,False,"mmcdonnel,ograff,bmccann,jcarreiro,tedmonds,gcolton,ldecraene",6,8,3e4500a0a7823a37368f950cd48107d9f4de8c41758e9d0cf3fe10e348d673a4,1781310536.0,False,5,698.133333333333,17.3938293656112,-7.23,15.82,24.5611796498742,51c2bfab053840bdaf98015c42414d40050a1a42a2ce62b095986eb7b2fe0c6a,0.933295996967396,0.0667040030326042,0.664548631814549,0.694732554326911,0.708589150943089,0.792910817782402,2858.13333333333,0.0,0.635,0.0138565966161783,0.0413073188257735,8.0,ef758ff1ae702c4f6eddf9ff6c3465e86b7a0d7d,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-BOS-NY,empire,glory,15,17,2026-06-12 19:00:00
mlabar,-24.63,50.93,jcowan,-5.8,59.31,0,0,0,"aatkins,jcowan,ddemarre,beberhard,bjagt,mlabar,jwilliams",True,2026-06-12-BOS-NY,0,0,1,1,720.0,1,6,True,True,6,home,6,1781310539.0,18,False,"mmcdonnel,ograff,bmccann,jcarreiro,tedmonds,gcolton,ldecraene",7,9,b2e9e43105c5d85e3cd1109420d5b6e4e2ba3f198ab1f743931da01cc44d1f51,1781310539.0,False,6,692.666666666667,20.610514307023,18.83,8.38,-66.0092851153385,ef412d0563986d249015831894a1a8cc8c93395c1b56de361e35b6f25aa4d630,0.940209810865168,0.0597901891348323,0.664548631814549,0.703472510468589,0.789167605440814,0.794628570329955,2852.66666666667,0.0,0.65,0.0856950949722249,0.255462052326015,9.0,12f5597c271e513fab59072c1ffb0a9c02d20364,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-BOS-NY,empire,glory,15,17,2026-06-12 19:00:00
jcowan,-5.8,49.31,jwilliams,-11.87,61.84,0,0,0,"aatkins,jcowan,ddemarre,beberhard,bjagt,mlabar,jwilliams",True,2026-06-12-BOS-NY,0,0,1,1,720.0,1,7,True,True,7,home,8,1781310559.0,18,False,"mmcdonnel,ograff,bmccann,jcarreiro,tedmonds,gcolton,ldecraene",9,12,fa4dc1f809aa924eccce8523d67de9c49bb2cf499ec19abef7534dd4cb0c1c75,1781310559.0,False,7,687.2,13.9228517193857,-6.07,12.53,25.8472810177538,4d7fc23573bcb122c69bcbb616a86a52e30a2b4bbfe7e92ae6e90abb4f6f60c7,0.971698188086678,0.0283018119133222,0.664548631814549,0.74691330940026,0.793070597919889,0.777679865695268,2847.2,0.0,0.651,0.0461572885196294,0.137597556299463,12.0,c933a5576f6cfca5af725151b334c03d47d5a3c9,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-BOS-NY,empire,glory,15,17,2026-06-12 19:00:00
jwilliams,-11.87,61.84,jcowan,-17.12,79.02,0,0,0,"aatkins,jcowan,ddemarre,beberhard,bjagt,mlabar,jwilliams",True,2026-06-12-BOS-NY,0,0,1,1,720.0,1,8,True,True,8,home,9,1781310564.0,18,False,"mmcdonnel,ograff,bmccann,jcarreiro,tedmonds,gcolton,ldecraene",10,13,a3b4d6dc3e136df1d44a3da4963fab5e7e1664db51cd93e52add47fd811e3000,1781310564.0,False,8,681.733333333333,17.9642673104137,-5.25,17.18,16.9925178568383,1a86cf334a885b4a359906b7497cc0b88aff1001f79e7fda28b13fc0165735da,0.957246654080974,0.0427533459190265,0.664548631814549,0.789733930817739,0.855288018228508,0.698275963863987,2841.73333333333,0.0,0.664,0.0655540874107692,0.195420539690654,13.0,fe9d25fb6e01eb4bca63af65f608db71ed9f9ea4,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-BOS-NY,empire,glory,15,17,2026-06-12 19:00:00
jcowan,-17.12,79.02,ddemarre,-1.64,67.9,0,0,0,"aatkins,jcowan,ddemarre,beberhard,bjagt,mlabar,jwilliams",True,2026-06-12-BOS-NY,0,0,1,1,720.0,1,9,True,True,9,home,10,1781310573.0,18,False,"mmcdonnel,ograff,bmccann,jcarreiro,tedmonds,gcolton,ldecraene",11,14,02dcd0fd37cfb41dc01581812f32148f2c1a2703e7b11c571142381d00386d73,1781310573.0,False,9,676.266666666667,19.0600314795123,15.48,-11.12,-125.691435308857,7dbfa32e4b4ba86e31857acf5dd2842f71138d846851ec2656edd370b7318a6d,0.96261007738503,0.0373899226149698,0.664548631814549,0.853029338936057,0.814933168420809,0.750720307069116,2836.26666666667,0.0,0.654,-0.0380961705152478,-0.113566895616854,14.0,48b596526f4fdbc7017e8e08df9c300b4e50e376,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-BOS-NY,empire,glory,15,17,2026-06-12 19:00:00
ddemarre,-1.64,67.9,bjagt,-16.99,72.13,0,0,0,"aatkins,jcowan,ddemarre,beberhard,bjagt,mlabar,jwilliams",True,2026-06-12-BOS-NY,0,0,1,1,720.0,1,10,True,True,10,home,11,1781310580.0,18,False,"mmcdonnel,ograff,bmccann,jcarreiro,tedmonds,gcolton,ldecraene",12,15,80cfbd0517c5088877bffc05381d8c5cbd9a767afe23207ea26139e254de63ce,1781310580.0,False,10,670.8,15.9221669379516,-15.35,4.22999999999999,74.5933890083117,44bbb3af2059d3f0d690ce073ddc9b4324c5ad58f99b78c7a588ddd5b1b58397,0.974190317485435,0.0258096825145649,0.664548631814549,0.812485847398087,0.821267967614527,0.716791258417187,2830.8,0.0,0.655,0.00878212021644054,0.026180010127684,15.0,95a1149f88c406727d34f7c8e681eb23b8919515,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-BOS-NY,empire,glory,15,17,2026-06-12 19:00:00
