Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
treinhard,-1.46,30.64,jthachet,-2.49,26.83,0,0,0,"bthibodea,mturner,xfuzat,blewis,jthachet,jjoshi,treinhard",False,2026-06-12-HTX-ATL,0,0,1,1,720.0,1,1,True,True,1,away,1,1781309279.0,18,False,"skilgore,bfleming,jpolk,lmcclamro,tcrowley,sdavies,mlopez",2,4,7af5033985430ed52fd4858b4eb90faf7b7965dea250ea9e4495e2cfa367c68c,1781309279.0,False,1,720.0,3.94677083195871,-1.03,-3.81,164.87220504183,c67c8943ed9a6e53828973731a074d34df690a2ae653ea8b1768ec99e2b29f2f,0.994358067448827,0.00564193255117251,0.685216644171689,0.721582002186266,0.711613121981874,0.928865365271232,2880.0,0.0,0.518,-0.00996888020439268,-0.0316690194059368,4.0,0deb6dd87d1a8e8be725168f20cb52e8f833f498,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-HTX-ATL,hustle,havoc,29,14,2026-06-12 20:00:00
jthachet,-2.49,26.83,blewis,-18.29,39.87,0,0,0,"bthibodea,mturner,xfuzat,blewis,jthachet,jjoshi,treinhard",False,2026-06-12-HTX-ATL,0,0,1,1,720.0,1,2,True,True,2,away,2,1781309285.0,18,False,"skilgore,bfleming,jpolk,lmcclamro,tcrowley,sdavies,mlopez",3,5,b8995f35e0a74d58240b0796e696ca05cfeddc61cecef89a58b71854be5a7313,1781309285.0,False,2,713.133333333333,20.4861318945281,-15.8,13.04,50.4665818136176,487bcf5bc564395def9e0915296c7f68b8d4c865418cf403a122c4bc736d6aee,0.972089988498815,0.0279100115011853,0.685216644171689,0.702687906161272,0.723391809813669,0.873365558108656,2873.13333333333,0.0,0.514,0.0207039036523976,0.0657719135051408,5.0,e0a2a525d54c62f941ad0915914a27a6cbc5d0c6,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-HTX-ATL,hustle,havoc,29,14,2026-06-12 20:00:00
blewis,-18.29,39.87,xfuzat,2.09,31.03,0,0,0,"bthibodea,mturner,xfuzat,blewis,jthachet,jjoshi,treinhard",False,2026-06-12-HTX-ATL,0,0,1,1,720.0,1,3,True,True,3,away,3,1781309291.0,18,False,"skilgore,bfleming,jpolk,lmcclamro,tcrowley,sdavies,mlopez",4,6,9a4d909e735297fb2a287f0b155af058ccaf935da34514bf35f5c74c28518349,1781309291.0,False,3,706.266666666667,22.2146348158145,20.38,-8.84,-113.449202917289,5a8dc29f612afafb45bf0edcbdfa52af98f4338d32da2dbb0c29365e5d63fc32,0.971020417998564,0.028979582001436,0.685216644171689,0.715526032964412,0.705868021288333,0.910100485118299,2866.26666666667,0.0,0.517,-0.00965801167607905,-0.0306814559831643,6.0,a3daa513db12d8e71ceafa656c0ff913fa9dfc92,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-HTX-ATL,hustle,havoc,29,14,2026-06-12 20:00:00
xfuzat,2.09,31.03,bthibodea,-3.33,39.16,0,0,0,"bthibodea,mturner,xfuzat,blewis,jthachet,jjoshi,treinhard",False,2026-06-12-HTX-ATL,0,0,1,1,720.0,1,4,True,True,4,away,4,1781309297.0,18,False,"skilgore,bfleming,jpolk,lmcclamro,tcrowley,sdavies,mlopez",5,7,a49b74c345317ac9c3877496216cba2d1ac5089bbd17b5d196e546819b276f93,1781309297.0,False,4,699.4,9.77104395650741,-5.42,8.13,33.6900675259798,588c2d51d0348eb3b5c213d4b8a0a2e709f793fe5eb7e26ffe86d8f74b2e6170,0.986309302781584,0.0136906972184164,0.685216644171689,0.698543195707015,0.722780553067179,0.878348090936658,2859.4,0.0,0.513,0.0242373573601639,0.0769969469840184,7.0,52caf6f68552fd4dc167caa4194d298e6449e7e1,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-HTX-ATL,hustle,havoc,29,14,2026-06-12 20:00:00
bthibodea,-3.33,39.16,blewis,-17.97,49.16,0,0,0,"bthibodea,mturner,xfuzat,blewis,jthachet,jjoshi,treinhard",False,2026-06-12-HTX-ATL,0,0,1,1,720.0,1,5,True,True,5,away,5,1781309300.0,18,False,"skilgore,bfleming,jpolk,lmcclamro,tcrowley,sdavies,mlopez",6,8,2ecaafa5b976c21c007859276563a40bff1970354225f6f87749f4879d2a4e51,1781309300.0,False,5,692.533333333333,17.7293429094256,-14.64,10.0,55.6645755174518,57645551b578a16364b9c0728f90fb1e78ce40d29ea1ec71875376aa21a729d1,0.975765523884065,0.0242344761159354,0.685216644171689,0.71647135238564,0.736126059777742,0.822921228408327,2852.53333333333,0.0,0.509,0.0196547073921024,0.062438839373777,8.0,dcd9cf94357a636e6686004e0352ebadc6e1b886,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-HTX-ATL,hustle,havoc,29,14,2026-06-12 20:00:00
blewis,-17.97,49.16,xfuzat,4.86,35.74,0,0,0,"bthibodea,mturner,xfuzat,blewis,jthachet,jjoshi,treinhard",False,2026-06-12-HTX-ATL,0,0,1,1,720.0,1,6,True,True,6,away,6,1781309303.0,18,False,"skilgore,bfleming,jpolk,lmcclamro,tcrowley,sdavies,mlopez",7,9,28271fadf53bed7bba7139eb7c0d9e668dd6f1b4542ad9883bf98ca979068f5d,1781309303.0,False,6,685.666666666667,26.4821694730624,22.83,-13.42,-120.447993418559,5fd67371af0174e14b39ae2ff902cea0bdf102e9d3e01d9acec0ddd1d32bf448,0.962224409327441,0.037775590672559,0.685216644171689,0.730710832005834,0.699744313026686,0.884840910237027,2845.66666666667,0.0,0.516,-0.0309665189791476,-0.0983740671347229,9.0,d0f08c423c24344b8c92387573384405e6bfb16a,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-HTX-ATL,hustle,havoc,29,14,2026-06-12 20:00:00
xfuzat,4.86,35.74,treinhard,13.63,36.38,0,0,0,"bthibodea,mturner,xfuzat,blewis,jthachet,jjoshi,treinhard",False,2026-06-12-HTX-ATL,0,0,1,1,720.0,1,7,True,True,7,away,7,1781309309.0,18,False,"skilgore,bfleming,jpolk,lmcclamro,tcrowley,sdavies,mlopez",8,10,45e5206e1fd3464928a4d9d8bcd982a319df52e9fcb30a11aca2c9377cd7d33a,1781309309.0,False,7,678.8,8.79332132928167,8.77,0.640000000000001,-85.8261788000961,bfe0cf650d4187dd1c4f0531cd838765969d6493aee029dbe95a84ed03506d6a,0.989389206906867,0.0106107930931326,0.685216644171689,0.694612143423143,0.689751281700631,0.876986389165102,2838.8,0.0,0.518,-0.0048608617225111,-0.0154419273843764,10.0,76fbd33b3f3c49a9902b7a219254856e833d6642,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-HTX-ATL,hustle,havoc,29,14,2026-06-12 20:00:00
treinhard,13.63,36.38,,14.86,35.74,1,0,0,"bthibodea,mturner,xfuzat,blewis,jthachet,jjoshi,treinhard",False,2026-06-12-HTX-ATL,0,0,1,1,720.0,1,8,True,True,8,away,8,1781309323.0,22,False,"skilgore,bfleming,jpolk,lmcclamro,tcrowley,sdavies,mlopez",9,12,3ac16a3cbccc488f005cd12d6e82c7381f444a19c59afc20b01b338f773b455e,1781309323.0,False,8,671.933333333333,1.3865424623862,1.23,-0.640000000000001,-117.489096529851,0a3487b9c604b79aea02a75259951f60dce9c0931e0bccb73eae863738cea675,0.5,-0.5,0.685216644171689,0.685216644171689,0.680531018674135,0.876120519123383,2831.93333333333,0.0,0.669,-0.876120519123383,-0.876120519123383,12.0,d464785c8298f9bada9ae9a95d1120c29b0d14f6,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-HTX-ATL,hustle,havoc,29,14,2026-06-12 20:00:00
skilgore,-9.35,28.36,lmcclamro,10.5,31.09,0,0,0,"skilgore,bfleming,jpolk,lmcclamro,tcrowley,sdavies,mlopez",True,2026-06-12-HTX-ATL,0,0,1,1,720.0,2,1,False,False,9,home,3,1781309328.0,18,False,"bthibodea,mturner,xfuzat,blewis,jthachet,jjoshi,treinhard",4,13,dbe07f8f04c6705bb3593ead1d48faad73e91a63a5088b3dc320742f695e9354,1781309328.0,False,9,665.066666666667,20.0368510500028,19.85,2.73,-82.1691529486187,e81a390e40c6c714f1cdb982885615498ed0bf2b4be49023fdc59c20839ddedf,0.972124617011723,0.0278753829882766,0.662569432565231,0.662569432565231,0.669270902791955,0.895031825527281,2825.06666666667,0.0,0.625,0.0067014702267244,0.0198602938603655,13.0,09d42cdb33d0aa6566a662f39a286a34b1e8c0e7,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-HTX-ATL,hustle,havoc,29,14,2026-06-12 20:00:00
lmcclamro,10.5,31.09,jpolk,-3.76,30.13,0,0,0,"skilgore,bfleming,jpolk,lmcclamro,tcrowley,sdavies,mlopez",True,2026-06-12-HTX-ATL,0,0,1,1,720.0,2,2,False,False,10,home,4,1781309331.0,18,False,"bthibodea,mturner,xfuzat,blewis,jthachet,jjoshi,treinhard",5,14,8103a7b08cc9b47a304c3d8e560fa8cfac6751a0893b80482b929a574a843557,1781309331.0,False,10,658.2,14.2922776351427,-14.26,-0.960000000000001,93.8514080186738,51ad0ac74af3e45e64698ce8b30c2d14d6c045210ce9bab7114e5b2e47db7fe1,0.983937582358382,0.0160624176416184,0.662569432565231,0.665885589142764,0.665899889241321,0.898206494092275,2818.2,0.0,0.624,1.43000985566299e-05,4.23793809355887e-05,14.0,9d5af755a64d8e7bc4e3b801d34a441a5f39d356,2026-08-18 08:07:04,2026-06-13 08:07:36,2026-06-12-HTX-ATL,hustle,havoc,29,14,2026-06-12 20:00:00
