Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
nstuart1,26.05,44.57,cgarrison,20.66,36.61,0,0,0,"bwilliams1,nstuart1,jshorey,cmah,bdistel,cgarrison,alomen",True,2026-06-13-MIN-LV,0,0,1,1,720.0,1,1,True,True,1,home,1,1781402640.0,18,False,"ddeclerck,ksuelflow,pkrenik,lambrose,clacy,nhanson,jburnett",2,4,70598ee28f102dc68165112279b44fc92739a5ad222f428764502b8b6d8ee0d4,1781402640.0,False,1,720.0,9.6132044605324,-5.39,-7.96,145.896669448089,d987f9228461928fa151f2036df9dbf1ff025894e8aa4c9709802c947385fcb5,0.988305884153828,0.0116941158461722,0.701099603661203,0.702429906124732,0.709187023427476,0.886147987273,2880.0,0.0,0.637,0.00675711730274375,0.0226065852889827,4.0,73594089afddf86fab1358d5f4740de70ba7d9ec,2026-08-18 08:07:04,2026-06-14 02:05:55,2026-06-13-MIN-LV,bighorns,windchill,12,34,2026-06-13 19:00:00
cgarrison,20.66,36.61,bwilliams1,6.76,45.0,0,0,0,"bwilliams1,nstuart1,jshorey,cmah,bdistel,cgarrison,alomen",True,2026-06-13-MIN-LV,0,0,1,1,720.0,1,2,True,True,2,home,2,1781402643.0,18,False,"ddeclerck,ksuelflow,pkrenik,lambrose,clacy,nhanson,jburnett",3,5,a840b109d4698201cf1c716a66bc38d715448811d1970cfb429ab4a030b2c192,1781402643.0,False,2,713.833333333333,16.2358276659984,-13.9,8.39,58.8849398703554,19ee11e7a10f7bd6479674b9b551ead6bce640bb302a059bc42843aa9bd23cbe,0.967549981425693,0.032450018574307,0.701099603661203,0.701099603661203,0.756188684621637,0.865139814426673,2873.83333333333,0.0,0.646,0.0550890809604339,0.184305814362292,5.0,3f7cc3521022b1a514770089861feb13eb101ff0,2026-08-18 08:07:04,2026-06-14 02:05:55,2026-06-13-MIN-LV,bighorns,windchill,12,34,2026-06-13 19:00:00
bwilliams1,6.76,45.0,cmah,15.64,53.93,0,0,0,"bwilliams1,nstuart1,jshorey,cmah,bdistel,cgarrison,alomen",True,2026-06-13-MIN-LV,0,0,1,1,720.0,1,3,True,True,3,home,3,1781402646.0,18,False,"ddeclerck,ksuelflow,pkrenik,lambrose,clacy,nhanson,jburnett",4,6,4ffe41d79d113c5c9c960826ad4545dced3bfb7c5339c14e169555fdbae65c75,1781402646.0,False,3,707.666666666667,12.5936214013285,8.88,8.93,-44.8391475884697,a36c0e0fb5d0d6fceae522a41279df9ce2bf22d38bbc69c43abcf6e8a5d3ea22,0.980439098513731,0.0195609014862688,0.701099603661203,0.749574022610571,0.77198456660247,0.820450154983202,2867.66666666667,0.0,0.648,0.022410543991899,0.0749766285572173,6.0,604be85e5946cd42349153cdafb751c339e2b2d4,2026-08-18 08:07:04,2026-06-14 02:05:55,2026-06-13-MIN-LV,bighorns,windchill,12,34,2026-06-13 19:00:00
cmah,15.64,53.93,bwilliams1,-7.75,52.46,0,0,0,"bwilliams1,nstuart1,jshorey,cmah,bdistel,cgarrison,alomen",True,2026-06-13-MIN-LV,0,0,1,1,720.0,1,4,True,True,4,home,4,1781402648.0,18,False,"ddeclerck,ksuelflow,pkrenik,lambrose,clacy,nhanson,jburnett",5,7,a087127f7ae3a9c12a86775baf234df43334db76c123a54052575d026574bcad,1781402648.0,False,4,701.5,23.4361472942973,-23.39,-1.47,93.5961593757677,602fffc629fbe29643512793f2cbba901fe9fc1d10b8537f6ae639f6c926dbae,0.954101615761546,0.0458983842384537,0.701099603661203,0.766241232893953,0.769690756749981,0.827609370591046,2861.5,0.0,0.647,0.00344952385602848,0.0115407135563598,7.0,77dbe1320b83cd6ceabeb3d8342c7600a6ad0266,2026-08-18 08:07:04,2026-06-14 02:05:55,2026-06-13-MIN-LV,bighorns,windchill,12,34,2026-06-13 19:00:00
bwilliams1,-7.75,52.46,jshorey,2.05,62.63,0,0,0,"bwilliams1,nstuart1,jshorey,cmah,bdistel,cgarrison,alomen",True,2026-06-13-MIN-LV,0,0,1,1,720.0,1,5,True,True,5,home,5,1781402654.0,18,False,"ddeclerck,ksuelflow,pkrenik,lambrose,clacy,nhanson,jburnett",6,8,b8b1d9c85842bd42e4543ea3365983373d23d4ed4bc5643e29e9e5602dc7ae94,1781402654.0,False,5,695.333333333333,14.1233459208503,9.8,10.17,-43.9385571785236,bc773b9f4f270d7e53cdc0de95c7a8f39785e97b67a58da52a8ec8d7c821e249,0.972909266242934,0.0270907337570658,0.701099603661203,0.764461761555408,0.804608640399174,0.783973452196429,2855.33333333333,0.0,0.654,0.0401468788437658,0.13431524124933,8.0,f31505b7ee85a68f35513284547288c360868e38,2026-08-18 08:07:04,2026-06-14 02:05:55,2026-06-13-MIN-LV,bighorns,windchill,12,34,2026-06-13 19:00:00
jshorey,2.05,62.63,alomen,20.11,106.4,0,0,0,"bwilliams1,nstuart1,jshorey,cmah,bdistel,cgarrison,alomen",True,2026-06-13-MIN-LV,1,0,1,1,720.0,1,6,True,True,6,home,6,1781402671.0,19,False,"ddeclerck,ksuelflow,pkrenik,lambrose,clacy,nhanson,jburnett",7,10,efc5f6fb0a6a7b63ed29cfa16819fbf5c8a19d4dd92e587ff79b74ad6b29d74f,1781402671.0,False,6,689.166666666667,47.3495142530523,18.06,43.77,-22.4216007844512,342c61f2ac0eae9d7b738383b7c4c3a7a37fbc97c695eeca75cc09f0342dc33e,0.779432055672257,0.220567944327743,0.701099603661203,0.800436872935491,1.0,0.632536547678515,2849.16666666667,0.0,0.689,0.199563127064509,0.667657619424193,10.0,3a58f2aa15018d07c5c381c4b4026f395c453626,2026-08-18 08:07:04,2026-06-14 02:05:55,2026-06-13-MIN-LV,bighorns,windchill,12,34,2026-06-13 19:00:00
glarson,3.38,21.22,jklane,3.96,31.29,0,0,0,"jklane,glarson,bvohnoutk,wbrandt,ndemorgan,lsovellfe,kjohnson1",False,2026-06-13-MIN-LV,1,0,1,2,683.0,1,1,True,True,7,away,4,1781402718.0,18,False,"sdavidson1,eperry,avanderge,cwilson,psamuels,mcote,cmills",5,14,78b8aa2810f22c8d14ce3c1e864908e9427d499827ea9d06f6860b45ed475be5,1781402718.0,False,7,683.0,10.0866892487079,0.58,10.07,-3.29641288032977,7bc6d62f4ed441a9d3b6a6c8a3eef2c71b2c5294f54f3dcfeb68796f3144880b,0.986693541322754,0.0133064586772456,0.657431391029757,0.657431391029757,0.684413117767008,0.900227840923348,2843.0,1.0,0.695,0.0269817267372507,0.0787629865397109,14.0,d4ba1765ae0e4f5c10885606eb23a33a8ab906d9,2026-08-18 08:07:04,2026-06-14 02:05:55,2026-06-13-MIN-LV,bighorns,windchill,12,34,2026-06-13 19:00:00
jklane,3.96,31.29,kjohnson1,17.44,43.54,0,0,0,"jklane,glarson,bvohnoutk,wbrandt,ndemorgan,lsovellfe,kjohnson1",False,2026-06-13-MIN-LV,1,0,1,2,683.0,1,2,True,True,8,away,5,1781402722.0,18,False,"sdavidson1,eperry,avanderge,cwilson,psamuels,mcote,cmills",6,15,373664eaabecf4c04cfcf3efb062d4a58066d7929821fceb135a8c8abce316af,1781402722.0,False,8,679.230769230769,18.2146342263577,13.48,12.25,-47.7368907595577,7e8885e6a371df7d26867c0d1bb2bb9ff0358bece36680e074ba0af991ce059c,0.974528020126196,0.025471979873804,0.657431391029757,0.68158813974482,0.704474171858552,0.842784373185879,2839.23076923077,1.0,0.691,0.0228860321137313,0.0668071490336678,15.0,af58ae1648274f50330a5af34b767213763e6222,2026-08-18 08:07:04,2026-06-14 02:05:55,2026-06-13-MIN-LV,bighorns,windchill,12,34,2026-06-13 19:00:00
kjohnson1,17.44,43.54,jklane,2.99,42.06,0,0,0,"jklane,glarson,bvohnoutk,wbrandt,ndemorgan,lsovellfe,kjohnson1",False,2026-06-13-MIN-LV,1,0,1,2,683.0,1,3,True,True,9,away,6,1781402725.0,18,False,"sdavidson1,eperry,avanderge,cwilson,psamuels,mcote,cmills",7,16,9dffc59d191770ce5b3ce2d4a5fd5cb80a2492104d7e0bb0699c541149116477,1781402725.0,False,9,675.461538461538,14.5255946521993,-14.45,-1.48,95.8479645884126,87c66971e08e171420d6012f27ddf2479b31290217c9faf8f6acbba79fda7038,0.979199376929639,0.0208006230703609,0.657431391029757,0.701953214657518,0.713433077544804,0.856250607359936,2835.46153846154,1.0,0.69,0.0114798628872861,0.0335111349571533,16.0,ae719b1e1208697f959c41dc94426d780eda550d,2026-08-18 08:07:04,2026-06-14 02:05:55,2026-06-13-MIN-LV,bighorns,windchill,12,34,2026-06-13 19:00:00
jklane,2.99,42.06,glarson,-1.13,40.19,0,0,0,"jklane,glarson,bvohnoutk,wbrandt,ndemorgan,lsovellfe,kjohnson1",False,2026-06-13-MIN-LV,1,0,1,2,683.0,1,4,True,True,10,away,7,1781402727.0,18,False,"sdavidson1,eperry,avanderge,cwilson,psamuels,mcote,cmills",8,17,b53de9940bf9bc5fd57419784da0cd005eabac214dcf7bbcdcdde8c2ca37bb30,1781402727.0,False,10,671.692307692308,4.5245220742085,-4.12,-1.87,114.412513894869,6822ecaf005bae946696f232ab0a4f9c428067d01a673a60178c47e30f868a1e,0.992738438753806,0.00726156124619437,0.657431391029757,0.711149918970695,0.704872111791196,0.862601179315178,2831.69230769231,1.0,0.691,-0.00627780717949866,-0.0183256930585954,17.0,dd9e2135be3ab41117bda2ab76e17846ca6bba8e,2026-08-18 08:07:04,2026-06-14 02:05:55,2026-06-13-MIN-LV,bighorns,windchill,12,34,2026-06-13 19:00:00
