Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
nlemarois,13.99,10.66,eforget,-3.23,19.33,0,0,0,"maugersem,jbernat,adub,eforget,cguay,nlemarois,ctremblay",False,2026-06-13-MTL-PHI,0,0,1,1,720.0,1,1,True,True,1,away,1,1781388441.0,18,False,"czaleski,tmackey,swhitcomb,eholmgren,dloughnan,sdavies1,mhanna",2,4,c78e2cbeea182e2520caba9d6207b83ec61f6b14b7176d93721db907d5a500b4,1781388441.0,False,1,720.0,19.2794527930644,-17.22,8.67,63.2754620267296,3b5166e2544d45661e3fcb7730a14eb5b95b932ed324db56d4b95db0bb8a2786,0.974446104777488,0.0255538952225117,0.667308572387382,0.667308572387382,0.693660962629007,0.946567700879892,2880.0,0.0,0.521,0.0263523902416247,0.079209706215542,4.0,d525a00e36f1ff1d6f922977b514f6c7ac1093a9,2026-08-18 08:07:04,2026-06-13 22:08:15,2026-06-13-MTL-PHI,phoenix,royal,22,21,2026-06-13 18:00:00
eforget,-3.23,19.33,cguay,-13.05,21.02,0,0,0,"maugersem,jbernat,adub,eforget,cguay,nlemarois,ctremblay",False,2026-06-13-MTL-PHI,0,0,1,1,720.0,1,2,True,True,2,away,2,1781388444.0,18,False,"czaleski,tmackey,swhitcomb,eholmgren,dloughnan,sdavies1,mhanna",3,5,6beb0f399e48b483719603ddca6ea3210de87b5288c328c9d93527297cca6149,1781388444.0,False,2,715.409090909091,9.96436149484752,-9.82,1.69,80.2351785494574,f968ac8f9bd590728b4ce2607220f30487e33e33ceb92792753e0d7f58b836b2,0.990082958801223,0.00991704119877657,0.667308572387382,0.687403433986491,0.686119426174925,0.940969662098327,2875.40909090909,0.0,0.522,-0.00128400781156612,-0.00385945565468915,5.0,491bed047f924fff215a1765018ab3696c042a2c,2026-08-18 08:07:04,2026-06-13 22:08:15,2026-06-13-MTL-PHI,phoenix,royal,22,21,2026-06-13 18:00:00
cguay,-13.05,21.02,eforget,-2.91,20.59,0,0,0,"maugersem,jbernat,adub,eforget,cguay,nlemarois,ctremblay",False,2026-06-13-MTL-PHI,0,0,1,1,720.0,1,3,True,True,3,away,3,1781388447.0,18,False,"czaleski,tmackey,swhitcomb,eholmgren,dloughnan,sdavies1,mhanna",4,6,edc2bc06ce17e067c2655936ba0ed9c081c1776412a5253a1d68c8f99ee33716,1781388447.0,False,3,710.818181818182,10.1491132617584,10.14,-0.43,-92.4282478100282,82bb3a591f01a9862f719091f8f510c7ffe7036a656b446f5de8cf917ec9c912,0.98937938871886,0.0106206112811398,0.667308572387382,0.680186487327534,0.68444287112984,0.942147081029138,2870.81818181818,0.0,0.522,0.0042563838023062,0.0127937886252431,6.0,afaedf8735daf9b61a1d96953dbe4208702c7185,2026-08-18 08:07:04,2026-06-13 22:08:15,2026-06-13-MTL-PHI,phoenix,royal,22,21,2026-06-13 18:00:00
eforget,-2.91,20.59,,-17.8,81.97,1,0,0,"maugersem,jbernat,adub,eforget,cguay,nlemarois,ctremblay",False,2026-06-13-MTL-PHI,0,0,1,1,720.0,1,4,True,True,4,away,4,1781388454.0,22,False,"czaleski,tmackey,swhitcomb,eholmgren,dloughnan,sdavies1,mhanna",5,8,e0715468a363255e1f89641390d6f772f5dadf4364fd6b7ef5b86456ee6f2f76,1781388454.0,False,4,706.227272727273,63.1602446163724,-14.89,61.38,13.6358109925606,b3e89b6047e2f5966475fa210886ed6545dba65b8ffa9b199269c3cfe56b8da9,0.665365100679392,-0.665365100679392,0.667308572387382,0.678889425690681,0.878347047828944,0.708676577286434,2866.22727272727,0.0,0.636,-0.708676577286434,-0.708676577286434,8.0,3af1575d43fe99c65f16464a36b52ff39b74fd14,2026-08-18 08:07:04,2026-06-13 22:08:15,2026-06-13-MTL-PHI,phoenix,royal,22,21,2026-06-13 18:00:00
tmackey,24.12,26.84,mhanna,17.6,40.43,0,0,0,"czaleski,tmackey,swhitcomb,eholmgren,dloughnan,sdavies1,mhanna",True,2026-06-13-MTL-PHI,0,0,1,1,720.0,2,1,False,False,5,home,3,1781388465.0,18,False,"maugersem,jbernat,adub,eforget,cguay,nlemarois,ctremblay",4,9,1126670b7c1cd4bb671a22f802b50406b7c6beb78397ab6eae26cf147a761dc8,1781388465.0,False,5,701.636363636364,15.0731051877176,-6.52,13.59,25.6300398626672,2362fbb0dfe2de478bec23e96a6db51d37fffb1985c5c3d7260b72bb7db10879,0.97191814635,0.0280818536499999,0.635566844857026,0.635566844857026,0.712309395659298,0.866771626904677,2861.63636363636,0.0,0.636,0.0767425508022718,0.210580595424048,9.0,03a67f34fe82fc3dc455f94186d35228ee858afb,2026-08-18 08:07:04,2026-06-13 22:08:15,2026-06-13-MTL-PHI,phoenix,royal,22,21,2026-06-13 18:00:00
mhanna,17.6,40.43,dloughnan,21.58,56.43,1,1,0,"czaleski,tmackey,swhitcomb,eholmgren,dloughnan,sdavies1,mhanna",True,2026-06-13-MTL-PHI,0,0,1,1,720.0,2,2,False,False,6,home,4,1781388471.0,20,False,"maugersem,jbernat,adub,eforget,cguay,nlemarois,ctremblay",5,10,dbefef9f02a9a0d1547a16a35c726a22135a5fb91d08f5b1aa2994a672ecda8a,1781388471.0,False,6,697.045454545455,16.487583206765,3.98,16.0,-13.9688168682636,272da349f4714702229e8c017002bf240a126e8db76ce1f9dcfe5835163e9a49,0.967260520472978,1.0,0.635566844857026,0.70775450376509,0.75169137110229,0.783855989802497,2857.04545454545,0.0,0.498,-0.783855989802497,-0.783855989802497,10.0,e5f01cf7ab4290d8e0c403a7f2157c71a834ef99,2026-08-18 08:07:04,2026-06-13 22:08:15,2026-06-13-MTL-PHI,phoenix,royal,22,21,2026-06-13 18:00:00
eforget,-18.86,68.66,nlemarois,-0.37,64.96,0,0,0,"maugersem,jbernat,adub,eforget,cguay,nlemarois,ctremblay",False,2026-06-13-MTL-PHI,0,0,1,1,720.0,3,1,True,True,7,away,6,1781388486.0,18,False,"czaleski,tmackey,swhitcomb,eholmgren,dloughnan,sdavies1,mhanna",7,12,34e33d9c1770ec3439855e8a95297262e34d2a49589b7dee1972cba2e0f73f3e,1781388486.0,False,7,692.454545454545,18.8565664955209,18.49,-3.7,-101.315891473428,818fcf1e60cd498b86f005c608316909b57a3d1d506ac6f73c894f54a7926788,0.960863453152933,0.0391365468470668,0.809088711740282,0.813090884142432,0.811987343651669,0.772901960177467,2852.45454545455,0.0,0.49,-0.001103540490763,-0.00578038365788894,12.0,ac7a83035b463eb3b872896cabc104a7d6429851,2026-08-18 08:07:04,2026-06-13 22:08:15,2026-06-13-MTL-PHI,phoenix,royal,22,21,2026-06-13 18:00:00
nlemarois,-0.37,64.96,ctremblay,9.24,71.83,0,0,0,"maugersem,jbernat,adub,eforget,cguay,nlemarois,ctremblay",False,2026-06-13-MTL-PHI,0,0,1,1,720.0,3,2,True,True,8,away,7,1781388488.0,18,False,"czaleski,tmackey,swhitcomb,eholmgren,dloughnan,sdavies1,mhanna",8,13,aac537102b63720d11fb822d12c5411898234820e5965a3f4873b9c02c5b3d49,1781388488.0,False,8,687.863636363636,11.8130859643025,9.61,6.87,-54.4397692552391,a327a5906f8ed873ec2685999f3d1339fa1a1690d7227a231be96d816f1a1154,0.976569906068547,0.0234300939314526,0.809088711740282,0.809088711740282,0.835797956603655,0.742190651415874,2847.86363636364,0.0,0.483,0.0267092448633727,0.139903958046929,13.0,ca7a2ade29abb128cff69a711a9e744f6fb06ad0,2026-08-18 08:07:04,2026-06-13 22:08:15,2026-06-13-MTL-PHI,phoenix,royal,22,21,2026-06-13 18:00:00
ctremblay,9.24,71.83,jbernat,18.0,84.82,0,0,0,"maugersem,jbernat,adub,eforget,cguay,nlemarois,ctremblay",False,2026-06-13-MTL-PHI,0,0,1,1,720.0,3,3,True,True,9,away,8,1781388491.0,18,False,"czaleski,tmackey,swhitcomb,eholmgren,dloughnan,sdavies1,mhanna",9,14,c5152980989b54856009078daa071e3513d88da78ef09ea99bb09b2ad4163e86,1781388491.0,False,9,683.272727272727,15.667727978236,8.76,12.99,-33.9943438981495,7f67c23a7fcf5e91cd6d585536d95e4e34ea9c7993e5ce01b6d5745fd3bceeaf,0.967265698382114,0.032734301617886,0.809088711740282,0.833405069571825,0.876757011924455,0.679703297028582,2843.27272727273,0.0,0.471,0.0433519423526301,0.2270789891358,14.0,3b69677a1457a730169fcefbd60c5e60325690c5,2026-08-18 08:07:04,2026-06-13 22:08:15,2026-06-13-MTL-PHI,phoenix,royal,22,21,2026-06-13 18:00:00
jbernat,18.0,84.82,adub,3.85,87.25,0,0,0,"maugersem,jbernat,adub,eforget,cguay,nlemarois,ctremblay",False,2026-06-13-MTL-PHI,0,0,1,1,720.0,3,4,True,True,10,away,9,1781388494.0,18,False,"czaleski,tmackey,swhitcomb,eholmgren,dloughnan,sdavies1,mhanna",10,15,7c278321c9940e3e348e25d45146b837201e6c49b3cbc9736f8fe3919de70fd6,1781388494.0,False,10,678.681818181818,14.3571375977247,-14.15,2.43000000000001,80.2555641301217,1a59a8f471ff7ef6009110a81f2400ceaaaaffef5b3c08584e7c3d10fe86b6a7,0.959743734738572,0.0402562652614277,0.809088711740282,0.875034205031946,0.893602133099239,0.685490531366946,2838.68181818182,0.0,0.465,0.0185679280672933,0.0972594561408716,15.0,bf9ca93f49f5d4c2e90ef2d5eb9c6913f9814edc,2026-08-18 08:07:04,2026-06-13 22:13:19,2026-06-13-MTL-PHI,phoenix,royal,22,21,2026-06-13 18:00:00
