Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
sfaris,16.91,6.54,telliott,7.63,18.75,0,0,0,"bshea,sfaris,telliott,jknopf,apiper,nminfink,qfiner",True,2026-06-13-SD-COL,0,0,1,1,720.0,1,1,True,True,1,home,1,1781392189.0,18,False,"bseverson,blozinski,rsung,mtran,mcombs,ssamu,mgibson",2,4,c20e22a050b34cdd0142312b255a796cdc2b9df44592b2d62d13740de4b6577a,1781392189.0,False,1,720.0,15.336313116261,-9.28,12.21,37.2360237521066,b0f22ac253a33ca614c37c1babe48275a29987b886f672b06761a7338a201cdf,0.978564509741323,0.0214354902586765,0.651232806805255,0.651232806805255,0.691410520284501,0.946352062128753,2880.0,0.0,0.634,0.040177713479246,0.115199233939448,4.0,9842221cf0ede682dc214f955182a8ab5f7c8710,2026-08-18 08:07:04,2026-06-13 23:14:04,2026-06-13-SD-COL,apex,growlers,21,22,2026-06-13 17:00:00
telliott,7.63,18.75,nminfink,-15.49,29.04,0,0,0,"bshea,sfaris,telliott,jknopf,apiper,nminfink,qfiner",True,2026-06-13-SD-COL,0,0,1,1,720.0,1,2,True,True,2,home,2,1781392192.0,18,False,"bseverson,blozinski,rsung,mtran,mcombs,ssamu,mgibson",3,5,4c9c777da0f7fa654ece9b94e4e53571bfe914baad79f6e8bcd7e14181875f57,1781392192.0,False,2,714.823529411765,25.3064912621248,-23.12,10.29,66.0076263734348,d2b1c41f62409977df8033338c57209f7e4f9947493dc6281656e55d41bbc667,0.960767557709015,0.0392324422909847,0.651232806805255,0.684350934296609,0.701189041198436,0.916147737200053,2874.82352941176,0.0,0.635,0.0168381069018272,0.0482789299864712,5.0,2bd5cd93a3164db426ebf06e4d4c107f15ed299c,2026-08-18 08:07:04,2026-06-13 23:14:04,2026-06-13-SD-COL,apex,growlers,21,22,2026-06-13 17:00:00
nminfink,-15.49,29.04,qfiner,-19.03,47.79,0,0,0,"bshea,sfaris,telliott,jknopf,apiper,nminfink,qfiner",True,2026-06-13-SD-COL,0,0,1,1,720.0,1,3,True,True,3,home,3,1781392197.0,18,False,"bseverson,blozinski,rsung,mtran,mcombs,ssamu,mgibson",4,6,004599c63a5d4d34a9142c815c937275399bf0f56740181c4f20be96bed24a85,1781392197.0,False,3,709.647058823529,19.0812499590567,-3.54,18.75,10.6915931496606,3143fc937f06a7acf2efc5bd01bf42c28efcdce4ddcaa01f999a16f633a977bb,0.964691347699876,0.0353086523001243,0.651232806805255,0.694757495089133,0.743817749300187,0.837814151954626,2869.64705882353,0.0,0.643,0.0490602542110549,0.140667629204621,6.0,e5a7894495d5aacd941d400c37a06244e9110e5a,2026-08-18 08:07:04,2026-06-13 23:14:04,2026-06-13-SD-COL,apex,growlers,21,22,2026-06-13 17:00:00
qfiner,-19.03,47.79,,-0.35,108.61,1,0,0,"bshea,sfaris,telliott,jknopf,apiper,nminfink,qfiner",True,2026-06-13-SD-COL,0,0,1,1,720.0,1,4,True,True,4,home,4,1781392209.0,22,False,"bseverson,blozinski,rsung,mtran,mcombs,ssamu,mgibson",5,8,432dcfe00fd0aeb840339fadffa5345335fb1ceb0e7a949e345761378a13308b,1781392209.0,False,4,704.470588235294,63.6240111907446,18.68,60.82,-17.0735970954092,9ca1dddb604dbbe266ecff1f11e802ff1bd96ddf66064dd650b151bfc5ebea2e,0.56551732323695,-0.56551732323695,0.651232806805255,0.738403960914953,0.96040633980231,0.675637482873706,2864.47058823529,0.0,0.523,-0.675637482873706,-0.675637482873706,8.0,839ea04cf10f0f79456abb5a56e11eda4160838e,2026-08-18 08:07:04,2026-06-13 23:14:04,2026-06-13-SD-COL,apex,growlers,21,22,2026-06-13 17:00:00
blozinski,3.95,19.22,bseverson,-7.44,26.79,0,0,0,"bseverson,blozinski,rsung,mtran,mcombs,ssamu,mgibson",False,2026-06-13-SD-COL,0,0,1,1,720.0,2,1,False,False,5,away,3,1781392222.0,18,False,"bshea,sfaris,telliott,jknopf,apiper,nminfink,qfiner",4,9,5bb6a31b76462e7f5040069a40791938ee837012b5982ac0e776a6a961f64edb,1781392222.0,False,5,699.294117647059,13.6761471182494,-11.39,7.57,56.3912689548912,2341ba997c39e9be1c6f968af5b30fb4778512cb71c5d3a071c6cb7c06d6f942,0.983476881048846,0.0165231189511542,0.667803554465963,0.667803554465963,0.685892118629101,0.92047519199684,2859.29411764706,0.0,0.521,0.0180885641631389,0.0544514079133501,9.0,4d6f14adf4ac2bc63354f4119db27bb6a8f16554,2026-08-18 08:07:04,2026-06-13 23:14:04,2026-06-13-SD-COL,apex,growlers,21,22,2026-06-13 17:00:00
bseverson,-7.44,26.79,ssamu,-2.26,36.61,0,0,0,"bseverson,blozinski,rsung,mtran,mcombs,ssamu,mgibson",False,2026-06-13-SD-COL,0,0,1,1,720.0,2,2,False,False,6,away,4,1781392224.0,18,False,"bshea,sfaris,telliott,jknopf,apiper,nminfink,qfiner",5,10,abcea242ccc2d7d7776abf22b3e26922c0d394d31e14f1d67e689b90861e0c24,1781392224.0,False,6,694.117647058824,11.1024681940549,5.18,9.82,-27.8114186441599,f3d39271b5507a9f5c840f2013ba64ef3147a265dc6b774ccf3145f8098a4444,0.983981323460061,0.0160186765399392,0.667803554465963,0.680726859005801,0.709930618303392,0.885298609797384,2854.11764705882,0.0,0.515,0.0292037592975907,0.0879111131085188,10.0,85c6994e7e44a933c272acdd1f8a4ce6d69abb3c,2026-08-18 08:07:04,2026-06-13 23:14:04,2026-06-13-SD-COL,apex,growlers,21,22,2026-06-13 17:00:00
ssamu,-2.26,36.61,mgibson,-7.37,45.81,0,0,0,"bseverson,blozinski,rsung,mtran,mcombs,ssamu,mgibson",False,2026-06-13-SD-COL,0,0,1,1,720.0,2,3,False,False,7,away,5,1781392228.0,18,False,"bshea,sfaris,telliott,jknopf,apiper,nminfink,qfiner",6,12,5eef656e2b06fcd8f74a4e819904e2549bcbcf19e6e93682959fa7016a21a752,1781392228.0,False,7,688.941176470588,10.5238823634626,-5.11,9.2,29.049316071449,725e39909055022fef15790b21b61df040b13a1788ac98084de0790c16e89791,0.983300930504842,0.0166990694951578,0.667803554465963,0.705417836945852,0.735253754862533,0.84655177837052,2848.94117647059,0.0,0.509,0.0298359179166808,0.0898140793430729,12.0,7b97710f882e44e3eda4cc40249f4bef0ba1bcf4,2026-08-18 08:07:04,2026-06-13 23:14:04,2026-06-13-SD-COL,apex,growlers,21,22,2026-06-13 17:00:00
mgibson,-7.37,45.81,ssamu,3.0,55.15,1,1,0,"bseverson,blozinski,rsung,mtran,mcombs,ssamu,mgibson",False,2026-06-13-SD-COL,0,0,1,1,720.0,2,4,False,False,8,away,6,1781392240.0,20,False,"bshea,sfaris,telliott,jknopf,apiper,nminfink,qfiner",7,16,706d653e33ef788dead0a9cc3908841ef9b3d6fe82165a6c755f8c21d205c54e,1781392240.0,False,8,683.764705882353,13.9560918598295,10.37,9.34,-47.9914267011364,21a133ddbb73356d20f5dfaf7a0eb0179e9341cda2ae9d8f7fb802207ac32bb4,0.975566140049882,1.0,0.667803554465963,0.731373985463444,0.767112881685254,0.806095297068448,2843.76470588235,0.0,0.653,-0.806095297068448,-0.806095297068448,16.0,dbe795bdae7f389ae20622ff5fc7776aad63f145,2026-08-18 08:07:04,2026-06-13 23:14:04,2026-06-13-SD-COL,apex,growlers,21,22,2026-06-13 17:00:00
sfaris,10.63,70.09,apiper,8.38,77.93,0,0,0,"bshea,sfaris,telliott,jknopf,apiper,nminfink,qfiner",True,2026-06-13-SD-COL,0,0,1,1,720.0,3,1,True,True,9,home,6,1781392234.0,18,False,"bseverson,blozinski,rsung,mtran,mcombs,ssamu,mgibson",7,13,1d9c8bb224ff5b9c15522fc567d6a20add6c184e8bec8484bfc13fc4f46924f6,1781392234.0,False,9,678.588235294118,8.15647595472457,-2.25,7.84,16.0129388902804,cef85917c826241fe16b59ce1f84a136d3865f85d19e65bdeaeff2204a05ead6,0.979415225533335,0.0205847744666651,0.823097560554148,0.823097560554148,0.856671325428786,0.714335155825889,2838.58823529412,0.0,0.664,0.0335737648746375,0.189786895985197,13.0,81127e419088e1b534d6d1aee4733d6886751a25,2026-08-18 08:07:04,2026-06-13 23:14:04,2026-06-13-SD-COL,apex,growlers,21,22,2026-06-13 17:00:00
apiper,8.38,77.93,bshea,-2.12,76.7,0,0,0,"bshea,sfaris,telliott,jknopf,apiper,nminfink,qfiner",True,2026-06-13-SD-COL,0,0,1,1,720.0,3,2,True,True,10,home,7,1781392238.0,18,False,"bseverson,blozinski,rsung,mtran,mcombs,ssamu,mgibson",8,14,4283cccbc3332e9fc0c6579e9ceb01acf15605db5660a22d5da7bb8ee107b69a,1781392238.0,False,10,673.411764705882,10.5717973873888,-10.5,-1.23,96.6813408985449,4f303dcc56853f41c343be9e11cea50f43ccdd04a48215102231b3ef3890ddef,0.979134424979613,0.0208655750203866,0.823097560554148,0.854679935007942,0.850441571254597,0.716554638231052,2833.41176470588,0.0,0.662,-0.00423836375334496,-0.0239587637492263,14.0,9800ef713a3dcc71844d54a9c9598e92df03e067,2026-08-18 08:07:04,2026-06-13 23:14:04,2026-06-13-SD-COL,apex,growlers,21,22,2026-06-13 17:00:00
