Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
lsovellfe,-1.46,60.0,bvohnoutk,-1.59,72.12,0,0,0,"lsovellfe,gcousins,glarson,bvohnoutk,mdavis,wbrandt,ndemorgan",True,2026-06-19-SLC-MIN,0,0,1,1,720.0,1,1,True,True,1,home,1,1781914164.0,18,False,"obrown,rbrowning,aforsberg,dknighton,lyorgason,tmounga,jwaite",2,3,e107f710e91dc0e89cabee74a6b5ab0a6085b40c58d11b7d490fe76ebc95a8ff,1781914164.0,False,1,720.0,12.1206971746678,-0.13,12.12,0.61453512472778,fc9c6b8111e47d5698ab87f3a6e9ded52c85d9d2b206a506a29fdecc5417e6cc,0.975093784609512,0.0249062153904877,0.815593625102066,0.815593625102066,0.859684538394627,0.773403646220278,2880.0,0.0,0.669,0.0440909132925618,0.239096470048637,3.0,519456ac4b7ce81d8e012eb9f30ca3ca1e49a5f9,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
bvohnoutk,-1.59,72.12,wbrandt,15.89,83.8,0,0,0,"lsovellfe,gcousins,glarson,bvohnoutk,mdavis,wbrandt,ndemorgan",True,2026-06-19-SLC-MIN,0,0,1,1,720.0,1,2,True,True,2,home,2,1781914168.0,18,False,"obrown,rbrowning,aforsberg,dknighton,lyorgason,tmounga,jwaite",3,4,9f8f46e117f174d876ebefef98cecbf6efb62a262f9b4f2b98df2d61be748eb1,1781914168.0,False,2,712.4,21.0231491456442,17.48,11.68,-56.2494620167755,d09f0eef94f33c4b3740a5f965c4a7943190493a942e332a2540a3bcb9d1bd6e,0.949667571072126,0.050332428927874,0.815593625102066,0.853861660614549,0.89033665041824,0.717750567387504,2872.4,0.0,0.676,0.0364749898036907,0.197796794302143,4.0,00c2329576e02d1777d5c4d6c6d63bae4d4ac35e,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
wbrandt,15.89,83.8,glarson,16.28,80.51,0,0,0,"lsovellfe,gcousins,glarson,bvohnoutk,mdavis,wbrandt,ndemorgan",True,2026-06-19-SLC-MIN,0,0,1,1,720.0,1,3,True,True,3,home,3,1781914173.0,18,False,"obrown,rbrowning,aforsberg,dknighton,lyorgason,tmounga,jwaite",4,6,31fb189877bfa24d4fabcbe6ccbe38ef4dad0a98e9e47bb2ad8ffb0483b2864b,1781914173.0,False,3,704.8,3.3130348624788,0.390000000000001,-3.28999999999999,-173.239646736004,4ffb2ee364ada39a9021b3ad29331b267f5bc134c6335b0ef8c98c21f51edac3,0.987831911594778,0.0121680884052223,0.815593625102066,0.886125394640095,0.873198644689638,0.71853071324098,2864.8,0.0,0.671,-0.0129267499504573,-0.0700992574557794,6.0,313aedc4677c153721150900bfeb501508710294,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
glarson,16.28,80.51,wbrandt,17.44,95.29,0,0,0,"lsovellfe,gcousins,glarson,bvohnoutk,mdavis,wbrandt,ndemorgan",True,2026-06-19-SLC-MIN,0,0,1,1,720.0,1,4,True,True,4,home,4,1781914178.0,18,False,"obrown,rbrowning,aforsberg,dknighton,lyorgason,tmounga,jwaite",5,7,e0f3491dd90c106902c0c3835b8de004f69e117a167b90776d1b036328fa1db3,1781914178.0,False,4,697.2,14.8254510892586,1.16,14.78,-4.4876278591509,778e0fb4530dcc5b4c715f3ee308818976952fd8e3a6f46cd14c97b46854b059,0.959397076639016,0.0406029233609843,0.815593625102066,0.868971971821556,0.920727675082306,0.663937394938096,2857.2,0.0,0.683,0.0517557032607496,0.280661139233367,7.0,b91568d731701b4cd86b073c20863799c8ede5d9,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
wbrandt,17.44,95.29,ndemorgan,11.83,102.96,0,0,0,"lsovellfe,gcousins,glarson,bvohnoutk,mdavis,wbrandt,ndemorgan",True,2026-06-19-SLC-MIN,1,0,1,1,720.0,1,5,True,True,5,home,5,1781914184.0,19,False,"obrown,rbrowning,aforsberg,dknighton,lyorgason,tmounga,jwaite",6,8,172b0fd19503f9c531fd9be4f5ea666e952ff61040daa30ee621b0a85c83166f,1781914184.0,False,5,689.6,9.50268383142362,-5.61,7.66999999999999,36.1825259871389,475c77d7e29da04fd0f66fea625a3ad0365ff95a6fe1ac6752a9c1ec2bb6a5b6,0.962494310407763,0.0375056895922369,0.815593625102066,0.918277088522426,1.0,0.656281220278587,2849.6,0.0,0.688,0.0817229114775742,0.443167496366686,8.0,515685a9c86b0fbdbed072627ef120844c32bdac,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
bashton,-1.75,18.91,myorgason,1.07,31.16,0,0,0,"bashton,cyorgason,sdastrup,jduennebe,jkerr,myorgason,mrussnogl",False,2026-06-19-SLC-MIN,1,0,1,2,682.0,1,1,True,True,6,away,4,1781914245.0,18,False,"ksuelflow,bkrapfl,pkrenik,jburnett,nhanson,lambrose,clacy",5,13,59de0d6a01380c23a2519c416f5c0a6867cf44327a8b021c9b25309835958b79,1781914245.0,False,6,682.0,12.5703977661807,2.82,12.25,-12.9638695516734,5deaa8517dded347a57e81357fbbae5a670cb6b0c8a8ca427c1e1d5c206dfecf,0.983240612228461,0.0167593877715394,0.651139022976246,0.651139022976246,0.683519432901651,0.900484544860216,2842.0,1.0,0.695,0.0323804099254047,0.0928175177448978,13.0,139c6197f6738a4bd9e97b5b8363099c1ddddb79,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
myorgason,1.07,31.16,sdastrup,10.07,39.73,0,0,0,"bashton,cyorgason,sdastrup,jduennebe,jkerr,myorgason,mrussnogl",False,2026-06-19-SLC-MIN,1,0,1,2,682.0,1,2,True,True,7,away,5,1781914249.0,18,False,"ksuelflow,bkrapfl,pkrenik,jburnett,nhanson,lambrose,clacy",6,14,1b542842f4093d569f1330aabfab86122e1519425c55e5da356877b139187354,1781914249.0,False,7,677.142857142857,12.4275862499522,9.0,8.57,-46.4019503763014,44fb6a690fa6f72790eb31e64ada2c05a86a4b4c0edd36a85890c39f9f8d4d28,0.98201256731668,0.0179874326833197,0.651139022976246,0.679983165661404,0.704212392240917,0.86513292990796,2837.14285714286,1.0,0.691,0.0242292265795128,0.0694523841165043,14.0,b3e4663bee5ae123d8056f4f74a726f96e5202f9,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
sdastrup,10.07,39.73,myorgason,1.07,37.65,0,0,0,"bashton,cyorgason,sdastrup,jduennebe,jkerr,myorgason,mrussnogl",False,2026-06-19-SLC-MIN,1,0,1,2,682.0,1,3,True,True,8,away,6,1781914252.0,18,False,"ksuelflow,bkrapfl,pkrenik,jburnett,nhanson,lambrose,clacy",7,15,d4f11495456b82ef06f93cbe125dbbf353d68e200282574f14059382e57b0c91,1781914252.0,False,8,672.285714285714,9.2372290217359,-9.0,-2.08,103.013213279259,f11264e252c73bb8fca3e4d9020feb06192b7ec56a5b76c84497c5b2342b1ff4,0.988776753554341,0.0112232464456589,0.651139022976246,0.701137398085588,0.696845379966004,0.872960226293177,2832.28571428571,1.0,0.692,-0.00429201811958357,-0.012302947025489,15.0,916f552dc2ccb179841c5a9d580f752b02feb07a,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
myorgason,1.07,37.65,bashton,10.13,38.81,0,0,0,"bashton,cyorgason,sdastrup,jduennebe,jkerr,myorgason,mrussnogl",False,2026-06-19-SLC-MIN,1,0,1,2,682.0,1,4,True,True,9,away,7,1781914258.0,18,False,"ksuelflow,bkrapfl,pkrenik,jburnett,nhanson,lambrose,clacy",8,16,dc028f8117abd9bf76322874c706b0a96aa2b8c4cce4a742ce2a1ed63bf79bcd,1781914258.0,False,9,667.428571428571,9.13395861606566,9.06,1.16,-82.7038126300205,4c63dbe20942ba233812be1d34718e9f835c1747ed8f03d5780f502c5bcaaae4,0.988298848438578,0.0117011515614217,0.651139022976246,0.694048884932946,0.695224347030089,0.865578344145416,2827.42857142857,1.0,0.692,0.00117546209714281,0.00336942843871807,16.0,a0ec1dff337ec9652f99020efdf03e53123cd9b0,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
bashton,10.13,38.81,myorgason,-0.46,38.32,0,0,0,"bashton,cyorgason,sdastrup,jduennebe,jkerr,myorgason,mrussnogl",False,2026-06-19-SLC-MIN,1,0,1,2,682.0,1,5,True,True,10,away,8,1781914263.0,18,False,"ksuelflow,bkrapfl,pkrenik,jburnett,nhanson,lambrose,clacy",9,18,378ba26570c554262b31f551a609433d26f7abfa20524d5a3c07f13929f9b08c,1781914263.0,False,10,662.571428571429,10.6013301052274,-10.59,-0.490000000000002,92.6491900163699,9d182a88173887a6599cc46d9bf76115e39bafe13969823b8023f80d977bcbe9,0.986919521218778,0.0130804787812216,0.651139022976246,0.692728103725045,0.693758262061329,0.867474014054602,2822.57142857143,1.0,0.692,0.00103015833628428,0.00295291936940868,18.0,9a0a79d04d3b4fceef01ef7ea1af8dd51fdaf220,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
myorgason,-0.46,38.32,cyorgason,-13.32,47.93,0,0,0,"bashton,cyorgason,sdastrup,jduennebe,jkerr,myorgason,mrussnogl",False,2026-06-19-SLC-MIN,1,0,1,2,682.0,1,6,True,True,11,away,9,1781914266.0,18,False,"ksuelflow,bkrapfl,pkrenik,jburnett,nhanson,lambrose,clacy",10,19,0ce8e4a6e83af592a873e953d219c82f3b0349c38f2d257271a3941ac638118c,1781914266.0,False,11,657.714285714286,16.0540244175721,-12.86,9.61,53.2300326020483,278ff42cbc165dcb2e8d426916da747ac40ea52bd08defbdb3413de35c3c4a76,0.974009724961196,0.0259902750388041,0.651139022976246,0.691550628732267,0.720300999184923,0.821131485749937,2817.71428571429,1.0,0.687,0.0287503704526565,0.0824121135528978,19.0,7c373c00ed2040a1aedd8a8ac47f99b69f9b4419,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
cyorgason,-13.32,47.93,jkerr,6.88,104.14,0,0,0,"bashton,cyorgason,sdastrup,jduennebe,jkerr,myorgason,mrussnogl",False,2026-06-19-SLC-MIN,1,1,1,2,682.0,1,7,True,True,12,away,10,1781914275.0,19,False,"ksuelflow,bkrapfl,pkrenik,jburnett,nhanson,lambrose,clacy",11,20,785ce42d9a9869cf5c2e47f374682e4545dd31af4a64cb5c497a7079095c87b5,1781914275.0,False,12,652.857142857143,59.7294240722276,20.2,56.21,-19.7667455215826,863eb9648fae579c100779f2d320cd7ac5d5a585a9458906a66d59107b0fbd42,0.607653173153474,0.392346826846526,0.651139022976246,0.718473748920271,1.0,0.635653204210159,2812.85714285714,1.0,0.63,0.281526251079729,0.806986936405212,20.0,c8b2d08ea87b2ef0e6daded36cd3e2943c720ccc,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
jklane,-11.58,31.8,glarson,-13.9,50.38,0,0,0,"jklane,bvohnoutk,glarson,wbrandt,lsovellfe,gcousins,ncoolman",True,2026-06-19-SLC-MIN,1,1,1,3,648.0,1,1,True,True,13,home,10,1781914312.0,18,False,"bhoffman,rbrowning,kfroebe,elheureux,kpew,jscheinbe,aforsberg",11,23,060ced1c5f868835ab053667d7b7616bb9fdf126a280b7402265aef8f6f78e12,1781914312.0,False,13,648.0,18.7242836979149,-2.32,18.58,7.11742549315485,59de4b4d3d5ed93f2c96d060583b436b8b4a4acbcb4fd9f32909f333c16234e1,0.95747878447457,0.0425212155254298,0.663457774614328,0.663457774614328,0.725595964804595,0.806960833217827,2808.0,0.0,0.633,0.0621381901902677,0.184637128725996,23.0,4be7c734273f07e8bc1ede51e72b3b2d44a93a89,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
glarson,-13.9,50.38,bvohnoutk,-16.48,105.09,0,0,0,"jklane,bvohnoutk,glarson,wbrandt,lsovellfe,gcousins,ncoolman",True,2026-06-19-SLC-MIN,2,1,1,3,648.0,1,2,True,True,14,home,11,1781914322.0,19,False,"bhoffman,rbrowning,kfroebe,elheureux,kpew,jscheinbe,aforsberg",12,25,714bfee8a46605e3efe704d01e13b12055c800d1d8407e13f1c16f7e7305d2f6,1781914322.0,False,14,640.5,54.770799702031,-2.58,54.71,2.69993928334212,17a6a3ce728773889a521109514c2b4742fd532b43d891fa83b769e15a530b01,0.657710760598348,0.342289239401652,0.663457774614328,0.723653826699422,1.0,0.616861369484768,2800.5,0.0,0.683,0.276346173300578,0.821133731388058,25.0,8028678905671e29fb08eb468b45308c83e2e158,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
jkerr,-7.87,31.89,jduennebe,-12.77,48.48,0,0,0,"bashton,cyorgason,sdastrup,jduennebe,jkerr,myorgason,mrussnogl",False,2026-06-19-SLC-MIN,2,1,1,4,633.0,1,1,True,True,15,away,15,1781914382.0,18,False,"nhanson,jburnett,bkrapfl,pkrenik,lambrose,clacy,osuelflow",16,30,6a3ac90f1b2b5f0102208c122f14c93732d6c6cedb031b28276cb612488479f2,1781914382.0,False,15,633.0,17.2984999349655,-4.9,16.59,16.4549613829199,7423c73aa12ef0b18e4b3331a6cf9fbe12ba81f20c707f5f1e21a327cdbf1818,0.96471907974032,0.0352809202596801,0.662494965747305,0.662494965747305,0.716335968233642,0.814305848022881,2793.0,1.0,0.685,0.0538410024863373,0.15952651670975,30.0,8cadf6b534f91078d521955785e26a17de7e2f8b,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
jduennebe,-12.77,48.48,cyorgason,4.62,104.02,0,0,0,"bashton,cyorgason,sdastrup,jduennebe,jkerr,myorgason,mrussnogl",False,2026-06-19-SLC-MIN,2,2,1,4,633.0,1,2,True,True,16,away,16,1781914395.0,19,False,"nhanson,jburnett,bkrapfl,pkrenik,lambrose,clacy,osuelflow",17,32,0eb23600b18f15d986e8d26d775c34c141e6db574a2494478e68fe2e2bf62be4,1781914395.0,False,16,621.5,58.1988290260208,17.39,55.54,-17.3857384891886,cdcb7f44f1d4b1a35e1648eed59b296046b99209484d77905c1e024710b69815,0.61984638271753,0.38015361728247,0.662494965747305,0.715018903546152,1.0,0.628904715070138,2781.5,1.0,0.628,0.284981096453848,0.844375838970384,32.0,0b216f638bf2e748ae5dbe756a26cd3d2101b532,2026-08-18 08:07:04,2026-06-20 00:13:26,2026-06-19-SLC-MIN,windchill,shred,20,16,2026-06-19 19:00:00
