Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
ewarner1,-15.96,14.93,dbarram,-0.69,17.59,0,0,0,"dbarram,cbosworth,qbuermeye,agordon,fmoren,ewarner1,bthoennes",True,2026-06-19-TOR-ORE,0,0,1,1,720.0,1,1,True,True,1,home,1,1781921358.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",2,92,a7a010f6293e71face37efcd948dab7c5f824027fe8a312591e0d0fcd83cd0b2,1781921358.0,False,1,720.0,15.4999516128277,15.27,2.66,-80.118358932816,1842856c77274d7cc3ae5806228bee535ea1ab8c1b69f3841215e1db86730330,0.982630162264628,0.0173698377353724,0.673201212226515,0.673201212226515,0.689992830002505,0.946606657289607,2880.0,0.0,0.634,0.0167916177759899,0.0513821299350375,92.0,771b4365222b8d18771b35eb5533aba9c276d49a,2026-08-18 08:07:04,2026-06-20 02:09:35,2026-06-19-TOR-ORE,steel,rush,22,21,2026-06-19 19:00:00
dbarram,-0.69,17.59,ewarner1,5.66,21.54,0,0,0,"dbarram,cbosworth,qbuermeye,agordon,fmoren,ewarner1,bthoennes",True,2026-06-19-TOR-ORE,0,0,1,1,720.0,1,2,True,True,2,home,2,1781921360.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",3,95,90bee0ecf0ce438e25a6c23962b71dbd9f05c73b4770fa407e0622494dc544b2,1781921360.0,False,2,715.384615384615,7.4783019462977,6.35,3.95,-58.1164361253915,6414a70e2242fe5265fbaaf824ebfba9dfd449cc5f3bb7963a8aee192e5ae6e7,0.991646920179516,0.0083530798204845,0.673201212226515,0.683661873915353,0.692122480020798,0.94111175085585,2875.38461538462,0.0,0.634,0.00846060610544541,0.0258893436021854,95.0,4d333792ed477bf281e1e1e43f34c34c6557ab7c,2026-08-18 08:07:04,2026-06-20 02:09:35,2026-06-19-TOR-ORE,steel,rush,22,21,2026-06-19 19:00:00
ewarner1,5.66,21.54,fmoren,-0.89,35.86,0,0,0,"dbarram,cbosworth,qbuermeye,agordon,fmoren,ewarner1,bthoennes",True,2026-06-19-TOR-ORE,0,0,1,1,720.0,1,3,True,True,3,home,3,1781921363.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",4,99,67bd5cad26f2e433d805d96a1b15787b32935684fc01c15a068d5cfd61832cb3,1781921363.0,False,3,710.769230769231,15.7469012824746,-6.55,14.32,24.5794624942357,275760c7215095a62e21933a331821fa0a28759ef28ca4972f67b54efbbde792,0.975713828743661,0.0242861712563391,0.673201212226515,0.686222846859944,0.724873633859804,0.896209753278954,2870.76923076923,0.0,0.639,0.0386507869998598,0.118270900767998,99.0,780c02fe945e055da2a546c36a73e22cb2905e57,2026-08-18 08:07:04,2026-06-20 02:09:35,2026-06-19-TOR-ORE,steel,rush,22,21,2026-06-19 19:00:00
fmoren,-0.89,35.86,bthoennes,-10.03,39.06,0,0,0,"dbarram,cbosworth,qbuermeye,agordon,fmoren,ewarner1,bthoennes",True,2026-06-19-TOR-ORE,0,0,1,1,720.0,1,4,True,True,4,home,4,1781921366.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",5,103,f1aff42320679eef169b0c51082e9caf4ca0a9097385be68cc339e3a256c57a7,1781921366.0,False,4,706.153846153846,9.68398678231233,-9.14,3.2,70.7043693968608,872ec87464fe7248838859e36a42ca08bb488160abb49ef8058f70ebe5c0cadf,0.987086756737564,0.0129132432624363,0.673201212226515,0.719717679173055,0.727417763034287,0.88115962894724,2866.15384615385,0.0,0.639,0.00770008386123289,0.0235621555198977,103.0,50c0556eea08423a861e1f2a063ecc815753418d,2026-08-18 08:07:04,2026-06-20 02:09:35,2026-06-19-TOR-ORE,steel,rush,22,21,2026-06-19 19:00:00
bthoennes,-10.03,39.06,,-6.48,104.18,1,0,0,"dbarram,cbosworth,qbuermeye,agordon,fmoren,ewarner1,bthoennes",True,2026-06-19-TOR-ORE,0,0,1,1,720.0,1,5,True,True,5,home,5,1781921367.0,22,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",6,105,37a4d48eca9ff07642fe7d4522200ca3da24869a36064d7e8923abb87d0451d7,1781921367.0,False,5,701.538461538462,65.2166918817568,3.55,65.12,-3.12037598073371,782a2aab4896d67a09b712770c802092eb05c65bdf6ff8fcb49eae2545c4a942,0.573139944864152,-0.573139944864152,0.673201212226515,0.722648147024934,0.950815891681127,0.671543723446497,2861.53846153846,0.0,0.524,-0.671543723446497,-0.671543723446497,105.0,5c11a7584995f5fc993007f2f691105860bd4a44,2026-08-18 08:07:04,2026-06-20 02:09:35,2026-06-19-TOR-ORE,steel,rush,22,21,2026-06-19 19:00:00
lcomire,-0.38,18.26,orobinson,13.62,14.21,0,0,0,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",False,2026-06-19-TOR-ORE,0,0,1,1,720.0,2,1,False,False,6,away,3,,18,False,"dbarram,cbosworth,qbuermeye,agordon,fmoren,ewarner1,bthoennes",4,5,c5a8960fc2d90a1fed3476b1632d053cd1de38192b9978b71415c05780e5bff3,1781921271.0,True,6,696.923076923077,14.574035131013,14.0,-4.05,-106.134401085558,463b1a15af837ddeed2b73eaab10dc6f4f9e107789cd0278c60a54909cb22681,0.988715666609147,0.0112843333908531,0.641786922481551,0.663341507007984,0.646493606302758,0.938037954444213,2856.92307692308,0.0,0.528,-0.0168479007052257,-0.047033181540833,5.0,1e06a499a1e5ae419e44dabd76337bcdd16af0c3,2026-08-18 08:07:04,2026-06-20 02:09:35,2026-06-19-TOR-ORE,steel,rush,22,21,2026-06-19 19:00:00
orobinson,13.62,14.21,lcomire,7.17,14.96,0,0,0,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",False,2026-06-19-TOR-ORE,0,0,1,1,720.0,2,2,False,False,7,away,4,,18,False,"dbarram,cbosworth,qbuermeye,agordon,fmoren,ewarner1,bthoennes",5,6,2d0bdf660b72f154b579ce7f53bcecf48ad37c70b5991ae295d1985d03796faa,1781921272.0,True,7,692.307692307692,6.49345824657401,-6.45,0.75,83.3674853848615,a6a9b933573b355d88e31decc35b62053a47021929234a7260bd808d55d42fe4,0.992393747436019,0.00760625256398062,0.641786922481551,0.641786922481551,0.650200682946749,0.938283492141999,2852.30769230769,0.0,0.527,0.00841376046519726,0.0234881443287451,6.0,4752228ab088fc1013b806c92e8e77fd30ca6f22,2026-08-18 08:07:04,2026-06-20 02:09:35,2026-06-19-TOR-ORE,steel,rush,22,21,2026-06-19 19:00:00
lcomire,7.17,14.96,ebembenis,-2.3,19.49,0,0,0,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",False,2026-06-19-TOR-ORE,0,0,1,1,720.0,2,3,False,False,8,away,5,,18,False,"dbarram,cbosworth,qbuermeye,agordon,fmoren,ewarner1,bthoennes",6,7,742d55d572418baf65bcd0646a769096bfe0e2cc106507a2190f4ff7ccee32ed,1781921273.0,True,8,687.692307692308,10.4977045109872,-9.47,4.53,64.4357532723993,8433a9fef0cc9e708dbf1a108bc801ed9c53d63e704dc75a8bb7db936b2a6de7,0.989296798946844,0.0107032010531557,0.641786922481551,0.645884975005661,0.657274290375435,0.937414018967736,2847.69230769231,0.0,0.525,0.0113893153697736,0.0317948061770219,7.0,3dd963c2840f340a24bf2546d7078f93cfd9c53e,2026-08-18 08:07:04,2026-06-20 02:09:35,2026-06-19-TOR-ORE,steel,rush,22,21,2026-06-19 19:00:00
ebembenis,-2.3,19.49,,7.37,28.42,1,0,0,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",False,2026-06-19-TOR-ORE,0,0,1,1,720.0,2,4,False,False,9,away,6,,22,False,"dbarram,cbosworth,qbuermeye,agordon,fmoren,ewarner1,bthoennes",7,8,4c18a2b4a3f5e4ec42700466662e8db0bbfeb4a63684d797866d0a824ee9f187,1781921274.0,True,9,683.076923076923,13.1625909303602,9.67,8.93,-47.2783079473423,92694a443edc8be4e5b466d54f3d57c490af7df286d93635c04d65ab8a8072a6,0.983455567778846,-0.983455567778846,0.641786922481551,0.653351633412294,0.675488289705602,0.909942042114082,2843.07692307692,0.0,0.678,-0.909942042114082,-0.909942042114082,8.0,3ea740227d03aaeb5136b26cc084815008e823a5,2026-08-18 08:07:04,2026-06-20 02:09:35,2026-06-19-TOR-ORE,steel,rush,22,21,2026-06-19 19:00:00
fmoren,-5.12,92.79,cbosworth,9.47,89.93,0,0,0,"dbarram,cbosworth,qbuermeye,agordon,fmoren,ewarner1,bthoennes",True,2026-06-19-TOR-ORE,0,0,1,1,720.0,3,1,True,True,10,home,7,1781921375.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",8,115,c74d9c383db1d968488b0f91dd33ce36d0b2d8f274f58d0d865e8dd4ae1af00f,1781921375.0,False,10,678.461538461538,14.8676729853733,14.59,-2.86,-101.090756969318,1e57fb7645e43596e07c027b54518b46fcccc27b62552b2885866e2966bc2e43,0.961700691397918,0.0382993086020821,0.899634623718387,0.912933833991227,0.902397682100624,0.675813807309589,2838.46153846154,0.0,0.676,-0.0105361518906031,-0.104977954359877,115.0,e43b609e3aa0cc93d4d102fc8dfcb6cba3f73db2,2026-08-18 08:07:04,2026-06-20 02:14:39,2026-06-19-TOR-ORE,steel,rush,22,21,2026-06-19 19:00:00
