game_id,Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,home_team_id,away_team_id,home_score_final,away_score_final,status,start_timestamp
2026-06-20-TOR-SEA,rpoloz,-17.89,8.37,asehgal,-2.92,23.2,0,0,0,"sdillon,rjamieson,rpoloz,mgallant,kmcrae,mpettenuz,asehgal",False,2026-06-20-TOR-SEA,0,0,1,1,720,1,1,True,True,1,away,1,,18,False,"lfitzpatr,gharris,eaadalen,jbrown,rmcleod,alantz,emurray",2,3,04aae4a0127ab24a5d1619da6e4e38f0d1b4dbe12163df43c68bdd70dccdb998,1782000703.0,True,1,720.0,21.0720146165477,14.97,14.83,-45.2691728227818,b21755578827a2f5dd9023a2464088cd389fb03de342fbd8b5ca3fbe3873775a,0.962696266905217,0.0373037330947832,0.653961970900457,0.653961970900457,0.702661961732494,0.938633749434932,2880.0,0,0.52,0.0486999908320368,0.14073595020398,3,99e8f6c52981f1e621b3ebc9643e2ff34e16396c,2026-07-21 08:07:47,2026-06-21 00:13:04,cascades,rush,17,22,Final,2026-06-20 17:00:00
2026-06-20-TOR-SEA,asehgal,-2.92,23.2,sdillon,10.05,36.79,0,0,0,"sdillon,rjamieson,rpoloz,mgallant,kmcrae,mpettenuz,asehgal",False,2026-06-20-TOR-SEA,0,0,1,1,720,1,2,True,True,2,away,2,,18,False,"lfitzpatr,gharris,eaadalen,jbrown,rmcleod,alantz,emurray",3,4,f634c388d27e1770cfe9181064038722dc74a926f3b6d55a1df4635fbd59507a,1782000704.0,True,2,712.0,18.7858723513176,12.97,13.59,-43.6627660760011,21c7777dc61e70ce4fcb29dcd34dcef64cedbca0aa5502f3542c69f7caf01940,0.968260578264699,0.0317394217353008,0.653961970900457,0.692150695517435,0.726651547312801,0.892680981672151,2872.0,0,0.514,0.034500851795366,0.0997024861260012,4,a8f82236084e6b0984045316a53df182764376c7,2026-07-21 08:07:47,2026-06-21 00:13:04,cascades,rush,17,22,Final,2026-06-20 17:00:00
2026-06-20-TOR-SEA,sdillon,10.05,36.79,mpettenuz,-2.3,108.74,0,0,0,"sdillon,rjamieson,rpoloz,mgallant,kmcrae,mpettenuz,asehgal",False,2026-06-20-TOR-SEA,0,1,1,1,720,1,3,True,True,3,away,3,,19,False,"lfitzpatr,gharris,eaadalen,jbrown,rmcleod,alantz,emurray",4,5,ac3991ad9a944ff9f11e35be1a8a22f009a1e1c6e0af07e329d11cab3523c614,1782000705.0,True,3,704.0,73.0022259934586,-12.35,71.95,9.73973457904424,4f4197f03a15820b2490ed056bf9f98ceb213e0c495209c1b2e1878535c692fc,0.551972177098388,0.448027822901612,0.653961970900457,0.717774452924062,1.0,0.675018728082874,2864.0,0,0.445,0.282225547075938,0.815591129710059,5,e0a10088f58447edb7a4ab1dff8263d3f5242f83,2026-07-21 08:07:47,2026-06-21 00:18:07,cascades,rush,17,22,Final,2026-06-20 17:00:00
2026-06-20-TOR-SEA,dmourad,2.63,7.82,slofink,5.34,23.64,0,0,0,"zraunig,dmourad,nstoppel,tli,slofink,gmartin1,gleahy",True,2026-06-20-TOR-SEA,0,1,1,2,696,1,1,True,True,4,home,4,1782000837.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",5,140,ff3cba0857a29d18cd66c38a4d3681c1b3c28b3ca8fdf4a183938f2667bc9276,1782000837.0,False,4,696.0,16.0504361311461,2.71,15.82,-9.72054173382537,111725079f7f56ca89d91c89d70670e260ebf104c226a5ac1a78e84fe708caf2,0.978711604696262,0.0212883953037384,0.639904876247096,0.639904876247096,0.674907718085202,0.929105801161187,2856.0,-1,0.453,0.0350028418381059,0.0972044316326948,140,3087fdf3617f836ccb05d5d4950e464c000c4472,2026-07-21 08:07:47,2026-06-21 00:18:07,cascades,rush,17,22,Final,2026-06-20 17:00:00
2026-06-20-TOR-SEA,slofink,5.34,23.64,dmourad,-6.21,24.1,0,0,0,"zraunig,dmourad,nstoppel,tli,slofink,gmartin1,gleahy",True,2026-06-20-TOR-SEA,0,1,1,2,696,1,2,True,True,5,home,5,1782000841.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",6,145,6b503fec460a0f8862784bcd521e3e527270bbfc90ede57b5e46d93d11c6bcd8,1782000841.0,False,5,691.538461538462,11.5591565436238,-11.55,0.460000000000001,87.7192955240677,98e3ed9abefe29bdb481ec75d1a1912a80cd6388c2980069c5acb23e44eb9aae,0.98833302224086,0.0116669777591397,0.639904876247096,0.67060171186053,0.671580454582711,0.926369775288738,2851.53846153846,-1,0.452,0.000978742722181014,0.00271801159643757,145,764aba4d6de4d96a7af9ff77c08d8cdfe3eb83f8,2026-07-21 08:07:47,2026-06-21 00:18:07,cascades,rush,17,22,Final,2026-06-20 17:00:00
2026-06-20-TOR-SEA,dmourad,-6.21,24.1,tli,-15.74,28.37,0,0,0,"zraunig,dmourad,nstoppel,tli,slofink,gmartin1,gleahy",True,2026-06-20-TOR-SEA,0,1,1,2,696,1,3,True,True,6,home,6,1782000843.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",7,148,75e93540b3a826c7934b93c96c369b04be6d2b072f0070809f8e73eaba5a001b,1782000843.0,False,6,687.076923076923,10.4428827437638,-9.53,4.27,65.8648164424147,a4b76c677eeab4a2709d8002c283cb7a3f51e072fa73850bcf18fa06a154ac05,0.988857090932693,0.0111429090673071,0.639904876247096,0.667584435631496,0.669063404785603,0.907023853320091,2847.07692307692,-1,0.451,0.00147896915410717,0.00410716240390423,148,67aac55cdcae1d2458605b8447aba40ba6ebb9e3,2026-07-21 08:07:47,2026-06-21 00:18:07,cascades,rush,17,22,Final,2026-06-20 17:00:00
2026-06-20-TOR-SEA,tli,-15.74,28.37,slofink,1.08,24.18,0,0,0,"zraunig,dmourad,nstoppel,tli,slofink,gmartin1,gleahy",True,2026-06-20-TOR-SEA,0,1,1,2,696,1,4,True,True,7,home,7,1782000846.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",8,152,1119f9a7dce3c4660a517c4f3ec92de0aa9022cf98a225706d9f2d6b1341e667,1782000846.0,False,7,682.615384615385,17.3340272297005,16.82,-4.19,-103.988142922758,701b63ce221171e812866f4df7a17d36ca398b98b886b7b0c456898471cdee27,0.980780068723996,0.0192199312760042,0.639904876247096,0.66537416085252,0.66480572239868,0.923941288284097,2842.61538461538,-1,0.45,-0.000568438453839692,-0.00157857859311017,152,84fd0338d28040bfae594029cea18d47f225bdb2,2026-07-21 08:07:47,2026-06-21 00:18:07,cascades,rush,17,22,Final,2026-06-20 17:00:00
2026-06-20-TOR-SEA,slofink,1.08,24.18,nstoppel,16.04,31.55,0,0,0,"zraunig,dmourad,nstoppel,tli,slofink,gmartin1,gleahy",True,2026-06-20-TOR-SEA,0,1,1,2,696,1,5,True,True,8,home,8,1782000848.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",9,155,bd34a470e5d0a9fb407adc66b65f7558e698894ad4e16cd307c5bdc362d2190f,1782000848.0,False,8,678.153846153846,16.6768852007801,14.96,7.37,-63.7729730988596,b1b19666fe3513f1c22acfba5a0e76605352a544c771197c8b2cf85069ffba77,0.980798609458467,0.0192013905415328,0.639904876247096,0.661405687268388,0.668538317088411,0.893071250091265,2838.15384615385,-1,0.45,0.00713262982002316,0.019807626789519,155,aa27c411857a5a3dc311b2629233d8390a50f2b8,2026-07-21 08:07:47,2026-06-21 00:18:07,cascades,rush,17,22,Final,2026-06-20 17:00:00
2026-06-20-TOR-SEA,nstoppel,16.04,31.55,zraunig,22.32,46.2,0,0,0,"zraunig,dmourad,nstoppel,tli,slofink,gmartin1,gleahy",True,2026-06-20-TOR-SEA,0,1,1,2,696,1,6,True,True,9,home,9,1782000852.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",10,160,764c19f03d60a1b1a4e332a10dccf882cfc9bd46bf39e3519d073a21a09bf666,1782000852.0,False,9,673.692307692308,15.9392879389263,6.28,14.65,-23.2033104888837,ad8bc45d4f98d6aebbad8f6aa86a689f9fbe1c8926a0886adba7d9a8c2dd3946,0.970407505904831,0.0295924940951685,0.639904876247096,0.665456554603636,0.68827492928614,0.812293013328683,2833.69230769231,-1,0.453,0.0228183746825039,0.0633676303213754,160,73619a20e56f0b8e0b0168cd75fb8d8a197ac03c,2026-07-21 08:07:47,2026-06-21 00:18:07,cascades,rush,17,22,Final,2026-06-20 17:00:00
2026-06-20-TOR-SEA,zraunig,22.32,46.2,gleahy,20.15,62.48,0,0,0,"zraunig,dmourad,nstoppel,tli,slofink,gmartin1,gleahy",True,2026-06-20-TOR-SEA,0,1,1,2,696,1,7,True,True,10,home,10,1782000854.0,18,False,"jpodnar,ezhuang,gchatha,lcomire,orobinson,pturner,ebembenis",11,163,3ea2a109898a880a5277a815b1cde8afc713c1e46e5a696cddaabd3e042c85c0,1782000854.0,False,10,669.230769230769,16.4239855090048,-2.17,16.28,7.59233807449463,69208f5f5f73627cd33c0e7333532ad65cf99156556a1e4c29e18006d74f6942,0.964633794202441,0.0353662057975589,0.639904876247096,0.685569332305788,0.765862962097969,0.746323273976836,2829.23076923077,-1,0.468,0.0802936297921805,0.222978942217717,163,6c607e65660481269efdf878271abb6125903933,2026-07-21 08:07:47,2026-06-21 00:18:07,cascades,rush,17,22,Final,2026-06-20 17:00:00
