Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
awang,6.4,17.63,xfuzat,-2.5,32.09,0,0,0,"bthibodea,luhl,jzhou,bgfroerer,ifuzat,awang,xfuzat",False,2026-06-26-HTX-LV,0,0,1,1,720.0,1,1,True,True,1,away,1,1782525841.0,18,False,"eperry,cmah,psamuels,sdavidson1,cmills,cwilson,mcote",2,4,62520be8cae451cc0e4bb44a33e0d0df4b9234dab3583d52c8cc751b580aee08,1782525841.0,False,1,720.0,16.9794463985137,-8.9,14.46,31.6119235580322,445159208e5a60912f29ac2c8cbaff96985e0aea708570eeff29dac070353e87,0.974235838483635,0.0257641615163648,0.689342593061115,0.689342593061115,0.725421856160996,0.913346325588252,2880.0,0.0,0.515,0.0360792630998815,0.116138428680631,4.0,18f9a022cb46ae5b1470415156ab17c6ad7d1009,2026-08-18 08:07:04,2026-06-27 02:04:21,2026-06-26-HTX-LV,bighorns,havoc,11,13,2026-06-26 19:00:00
xfuzat,-2.5,32.09,jzhou,-14.22,38.9,0,0,0,"bthibodea,luhl,jzhou,bgfroerer,ifuzat,awang,xfuzat",False,2026-06-26-HTX-LV,0,0,1,1,720.0,1,2,True,True,2,away,2,1782525844.0,18,False,"eperry,cmah,psamuels,sdavidson1,cmills,cwilson,mcote",3,5,f3cd3685f7d7401d1f0dbb026395cde6fdd80e17565ee5060a6f8baf07590591,1782525844.0,False,2,708.625,13.5548699735556,-11.72,6.81,59.840926926513,e36a932544b0c34cef07aa1063b634edddeff3cbd47b0f3de1afb9a1c6116254,0.982080535046994,0.0179194649530056,0.689342593061115,0.711437279623682,0.7249808656211,0.880272668928395,2868.625,0.0,0.514,0.0135435859974185,0.0435965333351374,5.0,a553d3345eb6e5153c10fab54c3fb977a995ce0f,2026-08-18 08:07:04,2026-06-27 02:04:21,2026-06-26-HTX-LV,bighorns,havoc,11,13,2026-06-26 19:00:00
jzhou,-14.22,38.9,,-8.14,97.9,1,0,0,"bthibodea,luhl,jzhou,bgfroerer,ifuzat,awang,xfuzat",False,2026-06-26-HTX-LV,0,0,1,1,720.0,1,3,True,True,3,away,3,1782525849.0,22,False,"eperry,cmah,psamuels,sdavidson1,cmills,cwilson,mcote",4,7,8a438c4ad9c2046fa49615b2de6727af62bac4b670700f9ac3d9c1906eea0bfc,1782525849.0,False,3,697.25,59.3124472602505,6.08,59.0,-5.88361033258302,749f9636071aba719ec71786ceb4b87e053e3af459f74888f4c23dfb325c8491,0.583468131165819,-0.583468131165819,0.689342593061115,0.71323694280918,0.9336860006292,0.671418953758208,2857.25,0.0,0.629,-0.671418953758208,-0.671418953758208,7.0,53d7351e6b998fda8b289c4d6ba1b2f0d3e12705,2026-08-18 08:07:04,2026-06-27 02:04:21,2026-06-26-HTX-LV,bighorns,havoc,11,13,2026-06-26 19:00:00
cwilson,5.17,29.32,cmills,14.91,29.02,0,0,0,"eperry,cmah,psamuels,sdavidson1,cmills,cwilson,mcote",True,2026-06-26-HTX-LV,0,0,1,1,720.0,2,1,False,False,4,home,3,1782525868.0,18,False,"bthibodea,luhl,jzhou,bgfroerer,ifuzat,awang,xfuzat",4,8,696a7a4f692797f9a8b69c6a558963c168ddf70409bd4800d0d167927e0206e0,1782525868.0,False,4,685.875,9.74461902795589,9.74,-0.300000000000001,-91.7641993171588,77450dbaa0180983500e0cd828e70a749d93c86c7408645c584acada5296421d,0.990157426528583,0.00984257347141737,0.654877059525601,0.680869411049461,0.670218515766602,0.905782857920744,2845.875,0.0,0.627,-0.0106508952828595,-0.0308611628894299,8.0,6f3874abf9282210bbf204380242a8e2fa78887e,2026-08-18 08:07:04,2026-06-27 02:09:24,2026-06-26-HTX-LV,bighorns,havoc,11,13,2026-06-26 19:00:00
cmills,14.91,29.02,cwilson,9.82,33.36,0,0,0,"eperry,cmah,psamuels,sdavidson1,cmills,cwilson,mcote",True,2026-06-26-HTX-LV,0,0,1,1,720.0,2,2,False,False,5,home,4,1782525875.0,18,False,"bthibodea,luhl,jzhou,bgfroerer,ifuzat,awang,xfuzat",5,9,43ad1be7d153a9cbef7b5489be690fd1295eae9de753c0b58813b592a553368a,1782525875.0,False,5,674.5,6.68907317944721,-5.09,4.34,49.5473563060765,ecbae059d07086bea61a64846e8befdde7fd64ec971be9559c468bfd1208dcf7,0.988812394412352,0.0111876055876479,0.654877059525601,0.661613789926732,0.682313797609173,0.889204379813656,2834.5,0.0,0.628,0.020700007682441,0.0599786489243141,9.0,f8a5d003ded3f1d3ce9bca5ffaea98c0e1ee4eb1,2026-08-18 08:07:04,2026-06-27 02:09:24,2026-06-26-HTX-LV,bighorns,havoc,11,13,2026-06-26 19:00:00
cwilson,9.82,33.36,cmah,18.21,34.22,0,0,0,"eperry,cmah,psamuels,sdavidson1,cmills,cwilson,mcote",True,2026-06-26-HTX-LV,0,0,1,1,720.0,2,3,False,False,6,home,5,1782525881.0,18,False,"bthibodea,luhl,jzhou,bgfroerer,ifuzat,awang,xfuzat",6,10,c201edc345bdb27e6b143048ba3533f6be5d2adc087151f069292e4c741a8055,1782525881.0,False,6,663.125,8.43396110970403,8.39,0.859999999999999,-84.1474520597816,f5814ae9eb753dd9ee20c7b6d3303047bc3198d4663fbd3acd66fbf393014073,0.991493022373769,0.00850697762623109,0.654877059525601,0.675730294678213,0.659961510067373,0.875199312990804,2823.125,0.0,0.623,-0.0157687846108403,-0.0456903403441244,10.0,a1818cee41c561cbe1e0107ff5aa50ffd49184d7,2026-08-18 08:07:04,2026-06-27 02:09:24,2026-06-26-HTX-LV,bighorns,havoc,11,13,2026-06-26 19:00:00
cmah,18.21,34.22,,15.46,50.38,1,0,0,"eperry,cmah,psamuels,sdavidson1,cmills,cwilson,mcote",True,2026-06-26-HTX-LV,0,0,1,1,720.0,2,4,False,False,7,home,6,1782525886.0,22,False,"bthibodea,luhl,jzhou,bgfroerer,ifuzat,awang,xfuzat",7,11,849b3e8a77494324cd2c54ba6a35f507c266f75979025c3b097aa38b435618a3,1782525886.0,False,7,651.75,16.3923183229219,-2.75,16.16,9.65769368062199,9ccd4cda5df2cc2bf1a86c45291aa9ccf0ed97450a1edc358c9461fc0ccb43db,0.964788351647297,-0.964788351647297,0.654877059525601,0.654877059525601,0.722376276282003,0.806512202527521,2811.75,0.0,0.488,-0.806512202527521,-0.806512202527521,11.0,624460867e16aa99fd7eb3b40a1dff304ea5bd6c,2026-08-18 08:07:04,2026-06-27 02:09:24,2026-06-26-HTX-LV,bighorns,havoc,11,13,2026-06-26 19:00:00
xfuzat,-14.32,72.09,,15.12,100.54,1,0,0,"bthibodea,luhl,jzhou,bgfroerer,ifuzat,awang,xfuzat",False,2026-06-26-HTX-LV,0,0,1,1,720.0,3,1,True,True,8,away,5,1782525896.0,22,False,"eperry,cmah,psamuels,sdavidson1,cmills,cwilson,mcote",6,14,d01c4552ce092d58b4de0f378ffd41d88b6c15dc32ec073bed5de60ba80cb097,1782525896.0,False,8,640.375,40.9403969204012,29.44,28.45,-45.9797424945554,3ab23397501ed667a3e4822967dbf0e97bd7c9468f99bb1ffccb7c81e33268f2,0.78324754868736,-0.78324754868736,0.816798509249356,0.816798509249356,0.928826396798627,0.622655675910263,2800.375,0.0,0.616,-0.622655675910263,-0.622655675910263,14.0,2260d107d75f4c66bc865e6d11a72ea09da4190b,2026-08-18 08:07:04,2026-06-27 02:09:24,2026-06-26-HTX-LV,bighorns,havoc,11,13,2026-06-26 19:00:00
cmah,-24.65,23.69,cwilson,-23.43,35.75,0,0,0,"eperry,cmah,psamuels,sdavidson1,cmills,cwilson,mcote",True,2026-06-26-HTX-LV,0,0,1,1,720.0,4,1,False,False,9,home,8,1782525918.0,18,False,"bthibodea,luhl,jzhou,bgfroerer,ifuzat,awang,xfuzat",9,15,993647652d3915b80694adbf03cfbfeaf2feb72de3a231257f27e746b8319ff8,1782525918.0,False,9,629.0,12.1215510558674,1.22,12.06,-5.77643951412435,afda552eb18f91e3e6d550e5b0b1b217c3f4c14ba346c1a7933ba7032f6be799,0.970887669236589,0.0291123307634114,0.573827283050448,0.573827283050448,0.624433249803133,0.846097723625712,2789.0,0.0,0.615,0.0506059667526851,0.118745205265394,15.0,16c7675d0f98fd7a5e80667bd8d814bd61cb0f29,2026-08-18 08:07:04,2026-06-27 02:09:24,2026-06-26-HTX-LV,bighorns,havoc,11,13,2026-06-26 19:00:00
cwilson,-23.43,35.75,sdavidson1,-18.16,43.34,0,0,0,"eperry,cmah,psamuels,sdavidson1,cmills,cwilson,mcote",True,2026-06-26-HTX-LV,0,0,1,1,720.0,4,2,False,False,10,home,9,1782525923.0,18,False,"bthibodea,luhl,jzhou,bgfroerer,ifuzat,awang,xfuzat",10,17,bb26dc79e2ae34a374b509f5f2374649b0fef34d77f94309b56c206af58c7df3,1782525923.0,False,10,617.625,9.24018398085233,5.27,7.59,-34.7735871297599,a6a2dc1f4ca39553323bcc1d1beadee94db066cf9646d2448e1bac654631282e,0.984340312025048,0.0156596879749523,0.573827283050448,0.623323694886116,0.682959016602386,0.826864241034735,2777.625,0.0,0.623,0.0596353217162702,0.139932284129135,17.0,fee81af526de96cc43d545ac4a956528a8339332,2026-08-18 08:07:04,2026-06-27 02:09:24,2026-06-26-HTX-LV,bighorns,havoc,11,13,2026-06-26 19:00:00
