Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
cughetta,11.51,20.0,xfuzat,11.83,31.22,0,0,0,"nfurrh,ifuzat,blin,cughetta,bgfroerer,awang,xfuzat",False,2026-06-27-HTX-SD,0,0,1,1,720.0,1,1,True,True,1,away,1,1782610757.0,18,False,"ssamu,jrominski,smilardov,mgibson,blozinski,blevinsky,mcombs",2,4,edde79389cc88fa44a177135f89009416227bf0f88276f83e5e0c9c65f7bb779,1782610757.0,False,1,720.0,11.2245623522701,0.32,11.22,-1.63366137424795,1adc7dd8c7e903d4c4b097fcbd0ec1896225b88bcb58ec3e8dbaf748edd36c6e,0.983039984427863,0.0169600155721374,0.69131216720547,0.69131216720547,0.718960868435598,0.914654869518033,2880.0,0.0,0.516,0.0276487012301289,0.089568484056618,4.0,860c3152ad9daab36a53bcbf00a11c7f57bc1e9c,2026-08-18 08:07:04,2026-06-28 01:39:50,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
xfuzat,11.83,31.22,nfurrh,3.06,96.96,0,0,0,"nfurrh,ifuzat,blin,cughetta,bgfroerer,awang,xfuzat",False,2026-06-27-HTX-SD,0,0,1,1,720.0,1,2,True,True,2,away,2,1782610776.0,18,False,"ssamu,jrominski,smilardov,mgibson,blozinski,blevinsky,mcombs",3,6,464eddba536dd0fb506f1e5abd5a265fe347d8cc2245e19e6621f3e4127c8972,1782610776.0,False,2,713.2,66.322398177388,-8.77,65.74,7.59863952713377,b2d612f5c40f1b969c32c80ebd29a98e0e08e2af9f27eb51f33e35b815302df2,0.565715194464849,0.434284805535151,0.69131216720547,0.71025241506784,0.936551607153094,0.693260475682615,2873.2,0.0,0.454,0.226299192085254,0.733100459569728,6.0,94d00691c90e7dad644d190f4532a5882b19024d,2026-08-18 08:07:04,2026-06-28 01:39:50,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
nfurrh,3.06,96.96,blin,-1.84,97.48,0,0,0,"nfurrh,ifuzat,blin,cughetta,bgfroerer,awang,xfuzat",False,2026-06-27-HTX-SD,0,0,1,1,720.0,1,3,True,True,3,away,3,1782610779.0,18,False,"ssamu,jrominski,smilardov,mgibson,blozinski,blevinsky,mcombs",4,7,4814ed2eb78c5b98a13d1d52922f3bd0d5a9cfd5bb2f993d2fa0a20cb4e251f3,1782610779.0,False,3,706.4,4.92751458648272,-4.9,0.52000000000001,83.9423042054789,85bd14fab51e26ec1688bdacd2f69dba5bfa616005645958f40a4ffd9a0e08ae,0.981260018998859,0.0187399810011412,0.69131216720547,0.934215649993342,0.93566380879833,0.683851702127463,2866.4,0.0,0.454,0.00144815880498839,0.00469133749742677,7.0,066ec4014c8c09f391390afe87166b6a7d6843f4,2026-08-18 08:07:04,2026-06-28 01:39:50,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
blin,-1.84,97.48,ifuzat,-19.13,103.54,1,1,0,"nfurrh,ifuzat,blin,cughetta,bgfroerer,awang,xfuzat",False,2026-06-27-HTX-SD,0,0,1,1,720.0,1,4,True,True,4,away,4,1782610781.0,20,False,"ssamu,jrominski,smilardov,mgibson,blozinski,blevinsky,mcombs",5,8,73b7251093cdb451d45aea7f39e2d464fe1cac32a04668cdbc1a53fcc657dd50,1782610781.0,False,4,699.6,18.321236311996,-17.29,6.06,70.6848641875532,26da869b326515971b92d2fa2282284f757890da38d789ad1c809827cb4b7bd0,0.953444339403524,1.0,0.69131216720547,0.933538049496841,0.944111931246086,0.644985396304116,2859.6,0.0,0.625,-0.644985396304116,-0.644985396304116,8.0,7d1c0151f44e894090f945567c7a91cf6eeddc31,2026-08-18 08:07:04,2026-06-29 08:09:06,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
smilardov,25.71,19.77,blevinsky,25.02,31.09,0,0,0,"ssamu,jrominski,smilardov,mgibson,blozinski,blevinsky,mcombs",True,2026-06-27-HTX-SD,0,0,1,1,720.0,2,1,False,False,5,home,3,1782610782.0,18,False,"nfurrh,ifuzat,blin,cughetta,bgfroerer,awang,xfuzat",4,9,dcf2ae8cca078742280db43b69d891233ed7bff1cd32617e0d9684334a136e1c,1782610782.0,False,5,692.8,11.3410096552291,-0.690000000000001,11.32,3.48809497353344,996d922f610bf601eee4f8b5f3f78e14fcc86e42e5ad1c21650b19a490676723,0.956028352666193,0.0439716473338068,0.593846177237697,0.593846177237697,0.631769553613393,0.875795203362028,2852.8,0.0,0.622,0.0379233763756962,0.0933719547874118,9.0,65261ab1bca22637320935e3d3b4230a1bab645a,2026-08-18 08:07:04,2026-06-28 01:39:50,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
blevinsky,25.02,31.09,,17.32,29.99,1,0,0,"ssamu,jrominski,smilardov,mgibson,blozinski,blevinsky,mcombs",True,2026-06-27-HTX-SD,0,0,1,1,720.0,2,2,False,False,6,home,4,1782610793.0,22,False,"nfurrh,ifuzat,blin,cughetta,bgfroerer,awang,xfuzat",5,10,6d1609b8c5ceb7772e1e0803661ad4ea3661ba3f624ceb3ef90e04e40eca4978,1782610793.0,False,6,686.0,7.77817459305202,-7.7,-1.1,98.130102354156,6d459c4c3db8aab4a11b9ed223e3540228b0603fee4d9c8cd61fff258f81c23a,0.989173266302484,-0.989173266302484,0.593846177237697,0.625330537473086,0.665892473627172,0.899892801812046,2846.0,0.0,0.464,-0.899892801812046,-0.899892801812046,10.0,097b65510c1631d3f4a360aac289fc70762ad544,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
awang,-11.19,94.19,xfuzat,-11.58,90.45,0,0,0,"nfurrh,ifuzat,blin,cughetta,bgfroerer,awang,xfuzat",False,2026-06-27-HTX-SD,0,0,1,1,720.0,3,1,True,True,7,away,6,1782610798.0,18,False,"ssamu,jrominski,smilardov,mgibson,blozinski,blevinsky,mcombs",7,12,3bf5a74d2be96abb8f8e73076d40cc3537cd0aa9ce2c76132e19cdf3043f12a5,1782610798.0,False,7,679.2,3.76027924494976,-0.390000000000001,-3.73999999999999,174.046822317792,0dd524bdae3850a3299743aef7b84e3a6438c931715fa9556d2b69a17d6416b3,0.983030899686998,0.0169691003130016,0.898236486831539,0.91678143776894,0.903873892353808,0.672527161604608,2839.2,0.0,0.462,-0.0129075454151317,-0.126838638066321,12.0,38f4ec734bef4d219748eee1cc867d08a654136a,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
xfuzat,-11.58,90.45,bgfroerer,1.32,91.22,0,0,0,"nfurrh,ifuzat,blin,cughetta,bgfroerer,awang,xfuzat",False,2026-06-27-HTX-SD,0,0,1,1,720.0,3,2,True,True,8,away,7,1782610806.0,18,False,"ssamu,jrominski,smilardov,mgibson,blozinski,blevinsky,mcombs",8,13,b10a348acdf2e5a748f3bc1214d7de00a95145748b903c177762a8a16a481471,1782610806.0,False,8,672.4,12.9229601872017,12.9,0.769999999999996,-86.584072369684,b689a18f0ab66709d5ef136aac3941b8ae7db896aac3758010b528e0324ac8e0,0.965253274711198,0.0347467252888018,0.898236486831539,0.902025259875135,0.906200526434978,0.669947401457006,2832.4,0.0,0.46,0.00417526655984368,0.0410291118087863,13.0,5154cb1b4c7b77de92a6090409542d6bbe7a8580,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
bgfroerer,1.32,91.22,xfuzat,-7.2,89.93,0,0,0,"nfurrh,ifuzat,blin,cughetta,bgfroerer,awang,xfuzat",False,2026-06-27-HTX-SD,0,0,1,1,720.0,3,3,True,True,9,away,8,1782610810.0,18,False,"ssamu,jrominski,smilardov,mgibson,blozinski,blevinsky,mcombs",9,14,eea836c4b3fcb31964a092d84e85296a3d184d2d35c6fada921d64b1be39ef8b,1782610810.0,False,9,665.6,8.61710508233478,-8.52,-1.28999999999999,98.6096717807735,3df782b6f4f7104a2737704d1996027258687b751a4e13869007c864a51e64fd,0.977613337622412,0.022386662377588,0.898236486831539,0.904648597496322,0.899629352069072,0.668647050908179,2825.6,0.0,0.462,-0.00501924542725041,-0.0493226429687177,14.0,20ba5d6ee56f2a1d8695eb16357f48fcb513d70f,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
xfuzat,-7.2,89.93,bgfroerer,-9.26,111.74,0,0,0,"nfurrh,ifuzat,blin,cughetta,bgfroerer,awang,xfuzat",False,2026-06-27-HTX-SD,0,1,1,1,720.0,3,4,True,True,10,away,9,1782610815.0,19,False,"ssamu,jrominski,smilardov,mgibson,blozinski,blevinsky,mcombs",10,15,2531e97d57418b35d1492f6f2cfb78e81f481b43655fa978529461d04373fd03,1782610815.0,False,10,658.8,21.9070696351657,-2.06,21.81,5.39569853728651,5e51fcc91014de8da0ab9ec72e364dbefa943043ac8308a26d761b4f714e226f,0.906898329033148,0.0931016709668518,0.898236486831539,0.898236486831539,1.0,0.636990054145273,2818.8,0.0,0.441,0.101763513168461,1.0,15.0,dafa5a4d387d5c8fa92cac45f32bb3cff616bfe8,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
dbrunker,-1.71,15.88,mmiller1,-6.01,25.77,0,0,0,"bvandeuse,dbrunker,mmiller1,oartus,kelsalaam,krubin,mosborne",True,2026-06-27-HTX-SD,0,1,1,2,652.0,1,1,True,True,11,home,7,1782610880.0,18,False,"sheslep,bthibodea,sabel,cburt,skelly,luhl,hmcallist",8,19,26c1af1e221c9010864f89bdf131f067d36362af9a9acdf0df61faeb8c458e74,1782610880.0,False,11,652.0,10.7843451354266,-4.3,9.89,23.4985656759521,0f45dfe74d5b926b5afd7f6c0647e1a252445a6f16b4a7f206acc8c463680da5,0.986784483173716,0.013215516826284,0.626281041152261,0.626281041152261,0.65057684184558,0.912598965269065,2812.0,-1.0,0.444,0.0242958006933194,0.0650108861702625,19.0,0bb07dff0c516caddf60c3391e7d6e37ea66af41,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
mmiller1,-6.01,25.77,kelsalaam,-19.1,31.09,0,0,0,"bvandeuse,dbrunker,mmiller1,oartus,kelsalaam,krubin,mosborne",True,2026-06-27-HTX-SD,0,1,1,2,652.0,1,2,True,True,12,home,8,1782610883.0,18,False,"sheslep,bthibodea,sabel,cburt,skelly,luhl,hmcallist",9,21,bdf99e9c86783ae87de19f3a10f7cc24655faeb25c0933b3b405d048625ad9df,1782610883.0,False,12,605.0,14.1297735296784,-13.09,5.32,67.8823336730125,9f40557563d1bf4d40a798d0791edb7b845891452eaef3d67d5de3bd700960c4,0.986858165817333,0.0131418341826675,0.626281041152261,0.643483738206478,0.63715492045127,0.879321542430923,2765.0,-1.0,0.438,-0.00632881775520833,-0.0169346981344525,21.0,3f288d0b82f34af02d1eb4e656a7d4bba93c67a0,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
kelsalaam,-19.1,31.09,,15.48,83.31,1,0,0,"bvandeuse,dbrunker,mmiller1,oartus,kelsalaam,krubin,mosborne",True,2026-06-27-HTX-SD,0,1,1,2,652.0,1,3,True,True,13,home,9,1782610890.0,22,False,"sheslep,bthibodea,sabel,cburt,skelly,luhl,hmcallist",10,23,d7e97fcfe1c635448af0dfa37789d3aceb307fd17dfff2ae99155aba5db39197,1782610890.0,False,13,558.0,62.6315000618698,34.58,52.22,-33.5124618347253,6d803f39bd23431af2bd3a1b1b481ba4b372ca36bb6389c86d1ef53825e95a37,0.617133574706254,-0.617133574706254,0.626281041152261,0.643110289191162,0.864999245854034,0.672834531955304,2718.0,-1.0,0.337,-0.672834531955304,-0.672834531955304,23.0,f2afef48a53ec38653d37dcdaf4fa42dfa1a0ac8,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
bthibodea,-14.48,29.67,hmcallist,-4.04,24.58,0,0,0,"sheslep,bthibodea,sabel,cburt,skelly,luhl,hmcallist",False,2026-06-27-HTX-SD,0,1,1,2,511.0,2,1,False,False,14,away,13,1782610897.0,18,False,"bvandeuse,dbrunker,mmiller1,oartus,kelsalaam,krubin,mosborne",14,24,9805b27050134f1c0f863d573fde6620a8f9d96c2418625af183894acc36cb86,1782610897.0,False,14,511.0,11.6147191098192,10.44,-5.09,-115.991450676808,7cda017b3060d86aecaaff2e8238ef86ea59d74d721dc851bb846b05cba0b1fb,0.988069347276442,0.011930652723558,0.652883801285774,0.658911197651542,0.652508598373651,0.918370777956023,2671.0,-1.0,0.338,-0.00640259927789122,-0.0184451180947691,24.0,6cff299250d5313beb052fa5b70a5f479e7c251a,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
hmcallist,-4.04,24.58,,1.64,26.25,1,0,0,"sheslep,bthibodea,sabel,cburt,skelly,luhl,hmcallist",False,2026-06-27-HTX-SD,0,1,1,2,511.0,2,2,False,False,15,away,14,1782610911.0,22,False,"bvandeuse,dbrunker,mmiller1,oartus,kelsalaam,krubin,mosborne",15,27,d67c911e2cf8706f405ab015cced8292ca951ff1e9661c2c2db3001fb9c567de,1782610911.0,False,15,505.772727272727,5.92041383688674,5.68,1.67,-73.6159210880736,9abc35cbc0c08595b13148f7ba1d6f781b10837f9cf909cb5391a481434a9d30,0.992535152674834,-0.992535152674834,0.652883801285774,0.652883801285774,0.657683910343688,0.912986249532372,2665.77272727273,-1.0,0.493,-0.912986249532372,-0.912986249532372,27.0,9ba71910c0d1e7d43f9fb551dfd7e6663c31f4a4,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
krubin,8.32,90.13,,24.55,107.79,1,0,0,"bvandeuse,dbrunker,mmiller1,oartus,kelsalaam,krubin,mosborne",True,2026-06-27-HTX-SD,0,1,1,2,511.0,3,1,True,True,16,home,11,1782610908.0,22,False,"sheslep,bthibodea,sabel,cburt,skelly,luhl,hmcallist",12,26,b0e1bb0f62b7c7d2a332fc9ed0cf795e72dd01b7c413b17fdeb604557a1c957c,1782610908.0,False,16,500.545454545455,23.9851725030278,16.23,17.66,-42.5838185060888,0516d4ac3e872dd1b42209b158491a54702c01adc1eb18c788a7cdd83215edbb,0.853783813029833,-0.853783813029833,0.899782197645395,0.899782197645395,0.939567637713635,0.577214677447455,2660.54545454545,-1.0,0.349,-0.577214677447455,-0.577214677447455,26.0,96d028ec5c8908a1733ca479326e49147722ce61,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
hmcallist,-19.45,20.96,skelly,-10.48,10.25,0,0,0,"sheslep,bthibodea,sabel,cburt,skelly,luhl,hmcallist",False,2026-06-27-HTX-SD,0,1,1,2,511.0,4,1,False,False,17,away,16,1782610919.0,18,False,"bvandeuse,dbrunker,mmiller1,oartus,kelsalaam,krubin,mosborne",17,29,19f1ddde7122243740a12ccefbbab463ffccf12b4d61a0c7d059a94f74a8bcec,1782610919.0,False,17,495.318181818182,13.9701467422501,8.97,-10.71,-140.052646954732,492cac00b02d1fe6fa654fa3bd0ca9d8fcfd501472c76c39b3c7f8fe74c55c65,0.987751084342229,0.0122489156577714,0.617222500462156,0.620008784903443,0.616983811115076,0.932152898237104,2655.31818181818,-1.0,0.343,-0.0030249737883673,-0.00790269488676732,29.0,8761d386784866baf62debea670f03db7cf7814f,2026-08-18 08:07:04,2026-06-28 01:44:55,2026-06-27-HTX-SD,growlers,havoc,25,15,2026-06-27 18:30:00
