Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
smccall1,-9.19,21.61,dclyburn,0.61,22.45,0,0,0,"wfrankenb,smccall1,dclyburn,cboydflie,radkins,arees,lgordon",False,2026-06-27-OAK-SLC,0,0,1,1,720.0,1,1,True,True,1,away,1,1782608659.0,18,False,"ewimmer,lyorgason,tmounga,dknighton,jhoffman1,jmerrill,aforsberg",2,3,c1b582a08a26e0f371b4bcee4a7c9f6cf92fde048e4d2617c56955f377008410,1782608659.0,False,1,720.0,9.83593411934016,9.8,0.84,-85.1009075462122,1155fe76d7991e1825069a479882301fb0aeff97f2adf354675888074e50ef11,0.989819442011087,0.0101805579889133,0.665120037490453,0.697358357550183,0.701050648595683,0.940585256516028,2880.0,0.0,0.52,0.00369229104550006,0.0110257150587049,3.0,13bab355b39bbb5a2a89a616c6896ac3d9f9a862,2026-08-18 08:07:04,2026-06-28 01:09:01,2026-06-27-OAK-SLC,shred,spiders,19,20,2026-06-27 19:00:00
dclyburn,0.61,22.45,smccall1,-8.23,22.32,0,0,0,"wfrankenb,smccall1,dclyburn,cboydflie,radkins,arees,lgordon",False,2026-06-27-OAK-SLC,0,0,1,1,720.0,1,2,True,True,2,away,2,1782608662.0,18,False,"ewimmer,lyorgason,tmounga,dknighton,jhoffman1,jmerrill,aforsberg",3,4,9a9c2cb06ca925013a2f3dd4b1dac45b3b61dd9111b28b0d7756bc9d9d0a824c,1782608662.0,False,2,716.052631578947,8.84095583067804,-8.84,-0.129999999999999,90.8425242607404,3f58d4b88203501c96f536cb4d819b0379190ba707d6cbea4ccf227616ae80d7,0.991021465936228,0.0089785340637718,0.665120037490453,0.695723124525544,0.694127392861747,0.939114066590632,2876.05263157895,0.0,0.521,-0.00159573166379734,-0.0047650855304663,4.0,9f8374ce9135b60eef95b93d0a9b4ef8052ff766,2026-08-18 08:07:04,2026-06-28 01:09:01,2026-06-27-OAK-SLC,shred,spiders,19,20,2026-06-27 19:00:00
smccall1,-8.23,22.32,cboydflie,-12.16,34.32,0,0,0,"wfrankenb,smccall1,dclyburn,cboydflie,radkins,arees,lgordon",False,2026-06-27-OAK-SLC,0,0,1,1,720.0,1,3,True,True,3,away,3,1782608665.0,18,False,"ewimmer,lyorgason,tmounga,dknighton,jhoffman1,jmerrill,aforsberg",4,6,cad684ab22fced82865b22c2711101db84b4ae57dfa1ae746cb01862bc29501c,1782608665.0,False,3,712.105263157895,12.6271493219966,-3.93,12.0,18.1336214308204,ac2d5635b98ecc314cc7b48e9c81f48025c120bb8723921d5c447cd120e84a2a,0.980699137029796,0.0193008629702038,0.665120037490453,0.689029235693595,0.717978635496302,0.900054831397724,2872.10526315789,0.0,0.515,0.0289493998027068,0.0864470946119432,6.0,acb8a40c664cfd08e139daf0f4dc71c97209211a,2026-08-18 08:07:04,2026-06-28 01:09:01,2026-06-27-OAK-SLC,shred,spiders,19,20,2026-06-27 19:00:00
cboydflie,-12.16,34.32,dclyburn,4.54,25.67,0,0,0,"wfrankenb,smccall1,dclyburn,cboydflie,radkins,arees,lgordon",False,2026-06-27-OAK-SLC,0,0,1,1,720.0,1,4,True,True,4,away,4,1782608668.0,18,False,"ewimmer,lyorgason,tmounga,dknighton,jhoffman1,jmerrill,aforsberg",5,7,f4429b921a34e343453b6d619f750be6f04c40a61e11891364ea766cec567323,1782608668.0,False,4,708.157894736842,18.8072459440504,16.7,-8.65,-117.382533577738,cf502abe168654eb547cb46948a532c58a397e55de86a2c0f39cf21783882e01,0.980976000548015,0.0190239994519853,0.665120037490453,0.713390865298991,0.693461032489216,0.927299068544773,2868.15789473684,0.0,0.52,-0.0199298328097754,-0.0595133631180076,7.0,3c8fb170d7f97990df121c0e57361d45f289fc1c,2026-08-18 08:07:04,2026-06-28 01:09:01,2026-06-27-OAK-SLC,shred,spiders,19,20,2026-06-27 19:00:00
dclyburn,4.54,25.67,wfrankenb,14.6,34.06,0,0,0,"wfrankenb,smccall1,dclyburn,cboydflie,radkins,arees,lgordon",False,2026-06-27-OAK-SLC,0,0,1,1,720.0,1,5,True,True,5,away,5,1782608670.0,18,False,"ewimmer,lyorgason,tmounga,dknighton,jhoffman1,jmerrill,aforsberg",6,8,c90a83c3d709237161fbe5f9e5fa26b62208d2ea9312aabb9d8305d5717be3aa,1782608670.0,False,5,704.210526315789,13.0994541871026,10.06,8.39,-50.1720280567549,149a16d275d9c5086c4e3058031096876da2186235d055b985f9d6e91424cbc8,0.983438988614988,0.0165610113850115,0.665120037490453,0.688930324892342,0.703313805343051,0.89564925331199,2864.21052631579,0.0,0.518,0.0143834804507084,0.042951152833751,8.0,bb9343bce91e5519e32cec9d54432c4d13d412cc,2026-08-18 08:07:04,2026-06-28 01:09:01,2026-06-27-OAK-SLC,shred,spiders,19,20,2026-06-27 19:00:00
wfrankenb,14.6,34.06,cboydflie,1.96,36.83,0,0,0,"wfrankenb,smccall1,dclyburn,cboydflie,radkins,arees,lgordon",False,2026-06-27-OAK-SLC,0,0,1,1,720.0,1,6,True,True,6,away,6,1782608673.0,18,False,"ewimmer,lyorgason,tmounga,dknighton,jhoffman1,jmerrill,aforsberg",7,9,86184cc801bdd52458378f6ade8f2b07cc903d56c8f2e9f3e1be65a43418eb44,1782608673.0,False,6,700.263157894737,12.9399574960662,-12.64,2.77,77.6392850426999,da91da880183d2c54956f097216296ef566b6085b636906141430313906c4441,0.982099717224487,0.0179002827755135,0.665120037490453,0.699135808225646,0.716506128197772,0.887369685453653,2860.26315789474,0.0,0.514,0.0173703199721263,0.0518702876157636,9.0,3e13de5c99f54a4f934c406b51630f10b44d027c,2026-08-18 08:07:04,2026-06-28 01:09:01,2026-06-27-OAK-SLC,shred,spiders,19,20,2026-06-27 19:00:00
cboydflie,1.96,36.83,dclyburn,8.67,32.7,0,0,0,"wfrankenb,smccall1,dclyburn,cboydflie,radkins,arees,lgordon",False,2026-06-27-OAK-SLC,0,0,1,1,720.0,1,7,True,True,7,away,7,1782608677.0,18,False,"ewimmer,lyorgason,tmounga,dknighton,jhoffman1,jmerrill,aforsberg",8,10,48975414700534cd1dd7fd81cb4a2325c34b86204dcbf3ee4b16c607c4128ed1,1782608677.0,False,7,696.315789473684,7.87914970031665,6.71,-4.13,-121.612266175689,cd2c588ae279f4dc4e93f5d902f9e7eab9d08f4cf50b83324ddef5f2b683920b,0.991238394788499,0.00876160521150093,0.665120037490453,0.71269390050025,0.698709935324182,0.899652024365156,2856.31578947368,0.0,0.518,-0.0139839651760674,-0.0417581424438576,10.0,a631433a875266c43931861c8520970603a5b6af,2026-08-18 08:07:04,2026-06-28 01:09:01,2026-06-27-OAK-SLC,shred,spiders,19,20,2026-06-27 19:00:00
dclyburn,8.67,32.7,radkins,21.37,35.09,0,0,0,"wfrankenb,smccall1,dclyburn,cboydflie,radkins,arees,lgordon",False,2026-06-27-OAK-SLC,0,0,1,1,720.0,1,8,True,True,8,away,8,1782608680.0,18,False,"ewimmer,lyorgason,tmounga,dknighton,jhoffman1,jmerrill,aforsberg",9,11,f89d5ef0735843fa6c08e7322b061b4798b5e39d9b6ef080ef42eeb014f9b1ba,1782608680.0,False,8,692.368421052632,12.9229292345041,12.7,2.39,-79.3422147245691,30b46efc3781da96f62f2a2e5eba61959a32f468a728c0e79a6b9f89cc179258,0.987225498758566,0.0127745012414341,0.665120037490453,0.695017845284049,0.668740486555409,0.874276756287489,2852.36842105263,0.0,0.523,-0.0262773587286407,-0.0784679935213846,11.0,1b49ea83a8c1671c6fd20912636e918709f6d216,2026-08-18 08:07:04,2026-06-28 01:09:01,2026-06-27-OAK-SLC,shred,spiders,19,20,2026-06-27 19:00:00
radkins,21.37,35.09,dclyburn,21.44,42.45,0,0,0,"wfrankenb,smccall1,dclyburn,cboydflie,radkins,arees,lgordon",False,2026-06-27-OAK-SLC,0,0,1,1,720.0,1,9,True,True,9,away,9,1782608682.0,18,False,"ewimmer,lyorgason,tmounga,dknighton,jhoffman1,jmerrill,aforsberg",10,12,9407be8f9971d054e5766f1e92e71d5c236db7c1eeb16c02c152cad1c1da53af,1782608682.0,False,9,688.421052631579,7.36033287290731,0.0700000000000003,7.36,-0.544916255551527,f90f0172d418a3454435d27bd2667cf4db4f0f68f06ee86ae227df4ed16df484,0.987833152521644,0.0121668474783564,0.665120037490453,0.665120037490453,0.69003561357702,0.840666095556569,2848.42105263158,0.0,0.519,0.024915576086567,0.0744015136046149,12.0,ccb87e1adb4efd3a1d545e6f938b0231fd7d3bd6,2026-08-18 08:07:04,2026-06-28 01:09:01,2026-06-27-OAK-SLC,shred,spiders,19,20,2026-06-27 19:00:00
dclyburn,21.44,42.45,radkins,10.47,42.45,0,0,0,"wfrankenb,smccall1,dclyburn,cboydflie,radkins,arees,lgordon",False,2026-06-27-OAK-SLC,0,0,1,1,720.0,1,10,True,True,10,away,10,1782608684.0,18,False,"ewimmer,lyorgason,tmounga,dknighton,jhoffman1,jmerrill,aforsberg",11,13,22b548a08331b31aaf64e11adc247790743a396a70bbf69f3f3156350ed0e65b,1782608684.0,False,10,684.473684210526,10.97,-10.97,0.0,90.0,d7d03e1a061fe1beb6cd45968f50dc3a0d76c7432e1209cee996c9b2a3eaeb2d,0.981731319039764,0.0182686809602357,0.665120037490453,0.686784999761554,0.718268785794225,0.85703145337593,2844.47368421053,0.0,0.512,0.0314837860326708,0.0940151384297088,13.0,e104bca63854e5b71703fdb10a37aab8c658704c,2026-08-18 08:07:04,2026-06-28 01:09:01,2026-06-27-OAK-SLC,shred,spiders,19,20,2026-06-27 19:00:00
