Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
tshapinsk,12.53,6.33,aroy,-0.44,16.52,0,0,0,"gdowd,mgrovic,tshapinsk,smott,cloverane,amerriman,aroy",False,2026-07-03-DC-PHI,0,0,1,1,720.0,1,1,True,True,1,away,1,1783120143.0,18,False,"tmackey,sdavies1,eholmgren,mhanna,jbray,bjoseph,czaleski",2,4,fd8a6210291ceba681e089c668269c6faab6f6284df88282dcf31f24964e7839,1783120143.0,False,1,720.0,16.4941504782756,-12.97,10.19,51.8447244385951,3b8c41305c2952486324bbda18c4ea4100cb29bb110bc17c8d0544df55e0d1d2,0.980455526570602,0.0195444734293982,0.661549897052674,0.661549897052674,0.687676284341849,0.946607348875052,2880.0,0.0,0.523,0.0261263872891749,0.0771942069500303,4.0,62aad93f29e7b1b6a3144c01728fc7c3b1bf1b92,2026-08-18 08:07:04,2026-07-03 23:12:48,2026-07-03-DC-PHI,phoenix,breeze,17,21,2026-07-03 19:00:00
aroy,-0.44,16.52,,0.94,36.18,1,0,0,"gdowd,mgrovic,tshapinsk,smott,cloverane,amerriman,aroy",False,2026-07-03-DC-PHI,0,0,1,1,720.0,1,2,True,True,2,away,2,1783120148.0,22,False,"tmackey,sdavies1,eholmgren,mhanna,jbray,bjoseph,czaleski",3,6,b06086fa18292eea7a1f6faa2eae39cdcd56b8e76d3c39a4c7cf46c028159073,1783120148.0,False,2,715.571428571429,19.7083738547857,1.38,19.66,-4.01519325591872,f6b54f4577c989c194ed43c4767f721da0c55dd21bc84c5093e410edcaf95f0c,0.964477468797547,-0.964477468797547,0.661549897052674,0.681570430944819,0.731507457771197,0.897770272403933,2875.57142857143,0.0,0.678,-0.897770272403933,-0.897770272403933,6.0,1f9adf06371e51b9053d4da152c62df03d868f0f,2026-08-18 08:07:04,2026-07-03 23:12:48,2026-07-03-DC-PHI,phoenix,breeze,17,21,2026-07-03 19:00:00
tmackey,-1.21,85.94,sdavies1,-2.85,94.25,0,0,0,"tmackey,sdavies1,eholmgren,mhanna,jbray,bjoseph,czaleski",True,2026-07-03-DC-PHI,0,0,1,1,720.0,2,1,False,False,3,home,3,1783120153.0,18,False,"gdowd,mgrovic,tshapinsk,smott,cloverane,amerriman,aroy",4,7,a1ecc55742589d5b6bdf7f18dead7dd8d351be98f385074d03f8abdce186d3a8,1783120153.0,False,3,711.142857142857,8.47028334827118,-1.64,8.31,11.1640069792508,43d405ca02d199e60dee311dcbd2f669d7644f0b642ba07f1e6000e6a304ed53,0.976457179686382,0.0235428203136177,0.85811981284953,0.902465865883441,0.92827140285217,0.697474198049492,2871.14285714286,0.0,0.686,0.0258055369687296,0.181882597471919,7.0,9943e57c1035e88e9d7fdd767579165b9290ca7d,2026-08-18 08:07:04,2026-07-03 23:12:48,2026-07-03-DC-PHI,phoenix,breeze,17,21,2026-07-03 19:00:00
sdavies1,-2.85,94.25,bjoseph,-4.78,82.03,0,0,0,"tmackey,sdavies1,eholmgren,mhanna,jbray,bjoseph,czaleski",True,2026-07-03-DC-PHI,0,0,1,1,720.0,2,2,False,False,4,home,4,1783120160.0,18,False,"gdowd,mgrovic,tshapinsk,smott,cloverane,amerriman,aroy",5,8,6e0c9ef02fe4ca514321d2a3646a0bbc15dc3463b6e8491513852454dc575e19,1783120160.0,False,4,706.714285714286,12.3714712140473,-1.93,-12.22,171.024965695921,6869a721c67bd19c91d2a9317bb3bf7e294fd800e8c869030d638a2a87036059,0.974634314438432,0.0253656855615684,0.85811981284953,0.926599740593239,0.886449448414939,0.726370288779467,2866.71428571429,0.0,0.675,-0.0401502921782997,-0.282987307704341,8.0,ceb308a2bc9408f1124c8d4a85419788cd8a3124,2026-08-18 08:07:04,2026-07-03 23:12:48,2026-07-03-DC-PHI,phoenix,breeze,17,21,2026-07-03 19:00:00
bjoseph,-4.78,82.03,jbray,0.58,75.72,0,0,0,"tmackey,sdavies1,eholmgren,mhanna,jbray,bjoseph,czaleski",True,2026-07-03-DC-PHI,0,0,1,1,720.0,2,3,False,False,5,home,5,1783120161.0,18,False,"gdowd,mgrovic,tshapinsk,smott,cloverane,amerriman,aroy",6,9,dc1a31c540cd618ef713ffa8e6413bfbc4596adb520b11d4167507413347b631,1783120161.0,False,5,702.285714285714,8.27923305626796,5.36,-6.31,-139.653918720604,406d7c4141e1406eb910f3ea428ebc08ebd6d3f38761daab678424cb7672a04c,0.984148051083634,0.0158519489163659,0.85811981284953,0.884093682133894,0.860729284699318,0.74252304499617,2862.28571428571,0.0,0.668,-0.0233643974345769,-0.16467695669021,9.0,679d626d7cbc1e5786a51005dd96069fbc161de8,2026-08-18 08:07:04,2026-07-03 23:12:48,2026-07-03-DC-PHI,phoenix,breeze,17,21,2026-07-03 19:00:00
jbray,0.58,75.72,bjoseph,7.24,80.18,0,0,0,"tmackey,sdavies1,eholmgren,mhanna,jbray,bjoseph,czaleski",True,2026-07-03-DC-PHI,0,0,1,1,720.0,2,4,False,False,6,home,6,1783120163.0,18,False,"gdowd,mgrovic,tshapinsk,smott,cloverane,amerriman,aroy",7,10,0cbe86616f7dc5ef27ff7b2591ca1fe81c58644c2a12d2a740bd195e99cb2ada,1783120163.0,False,6,697.857142857143,8.01543510983653,6.66,4.46000000000001,-56.1909794694677,a97267d9010e3136cd118857b698712f696e7507233851f1f4fedea78a44168e,0.981650032486023,0.0183499675139766,0.85811981284953,0.85811981284953,0.874658905040152,0.722731082379785,2857.85714285714,0.0,0.671,0.0165390921906227,0.116570837146431,10.0,db2f9a477b3dc5dfcbfe570e8a8c6152260763af,2026-08-18 08:07:04,2026-07-03 23:12:48,2026-07-03-DC-PHI,phoenix,breeze,17,21,2026-07-03 19:00:00
bjoseph,7.24,80.18,mhanna,-0.52,110.04,0,0,0,"tmackey,sdavies1,eholmgren,mhanna,jbray,bjoseph,czaleski",True,2026-07-03-DC-PHI,1,0,1,1,720.0,2,5,False,False,7,home,7,1783120174.0,19,False,"gdowd,mgrovic,tshapinsk,smott,cloverane,amerriman,aroy",8,12,b5456b87eb6acfbe557c3e35d474662e43829b87f35af057eefe22ae756e8064,1783120174.0,False,7,693.428571428571,30.8518589391304,-7.76,29.86,14.5677456731131,7eda6990d5d7935ab8eebd7157c7205d5ad44c14af6c5534c6dbed070a186ec8,0.851177060350272,0.148822939649728,0.85811981284953,0.872443838533342,1.0,0.663938431042553,2853.42857142857,0.0,0.694,0.127556161466658,0.899041395620512,12.0,6ce6e1de569362480d8e70478332c4d02b1ea37e,2026-08-18 08:07:04,2026-07-03 23:12:48,2026-07-03-DC-PHI,phoenix,breeze,17,21,2026-07-03 19:00:00
jnissen,0.0,40.0,amerriman,19.89,52.5,0,0,0,"mgrovic,cloverane,amerriman,smott,tshapinsk,zburpee,jnissen",False,2026-07-03-DC-PHI,1,0,1,2,689.0,1,1,True,True,8,away,5,1783120249.0,18,False,"czaleski,tmackey,bjoseph,jbray,sdavies1,eholmgren,mhanna",6,16,37783ad258d2143fd22062c631cbc278449242774fc54cecfc63e15d10c1225b,1783120249.0,False,8,689.0,23.4917453587425,19.89,12.5,-57.8524246881474,7a97436cf72fc15818beb471c0abb095d72e76f3b9e9777ee87f8a75ba20c084,0.96282146698626,0.0371785330137397,0.71642580026034,0.71642580026034,0.736575862122605,0.802541328994538,2849.0,1.0,0.686,0.0201500618622651,0.0710574582622966,16.0,221cea9a088685490c922f8581a72a062e9ed16f,2026-08-18 08:07:04,2026-07-03 23:12:48,2026-07-03-DC-PHI,phoenix,breeze,17,21,2026-07-03 19:00:00
amerriman,19.89,52.5,mgrovic,-15.09,111.91,0,0,0,"mgrovic,cloverane,amerriman,smott,tshapinsk,zburpee,jnissen",False,2026-07-03-DC-PHI,1,1,1,2,689.0,1,2,True,True,9,away,6,1783120262.0,19,False,"czaleski,tmackey,bjoseph,jbray,sdavies1,eholmgren,mhanna",7,18,80f8c5756357f2d04c63e090252efbb86ddad13a47a651a997b72d7d39a5b366,1783120262.0,False,9,670.0,68.9430815963429,-34.98,59.41,30.489141288488,8c5ec3fb8360a20bc4ea1c3f706f6b2edb86647f93a6ab22f4990ce94cc03218,0.5884619541705,0.4115380458295,0.71642580026034,0.724007855669158,1.0,0.634037879584199,2830.0,1.0,0.626,0.275992144330842,0.973262534406237,18.0,a989c4890fc65ee27b88d8b5a9c4c8b49cc857cb,2026-08-18 08:07:04,2026-07-03 23:12:48,2026-07-03-DC-PHI,phoenix,breeze,17,21,2026-07-03 19:00:00
ddamiano,0.0,40.0,crawlins,8.06,33.56,0,0,0,"ebeidlers,dsuvorov,ddamiano,crawlins,tnye,ndigiorgi,cwhite1",True,2026-07-03-DC-PHI,1,1,1,3,651.0,1,1,True,True,10,home,12,1783120335.0,18,False,"mlee2,tgesell,ckerns,ilee,gturner,mwagner,thusband",13,21,a9524fd7c1f57b32d0c4615b28033fcb29e01e5ba49aa60352b0378642603a88,1783120335.0,False,10,651.0,10.3168406016571,8.06,-6.44,-128.625115082724,cdcfad9706b5ee4cd9f139766f29d56644f0eaf63502af48c508a24502f1ec84,0.989697212206645,0.0103027877933549,0.66136906561405,0.694634493000636,0.672228039977807,0.883413668944224,2811.0,0.0,0.624,-0.0224064530228286,-0.0661677677600806,21.0,f4c7d36196331571a235c4a2d3dc4c7abc26392e,2026-08-18 08:07:04,2026-07-03 23:12:48,2026-07-03-DC-PHI,phoenix,breeze,17,21,2026-07-03 19:00:00
