Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
beberhard,19.77,4.9,aatkins,11.59,15.13,0,0,0,"ddemarre,beberhard,bjagt,mlabar,srueschem,jwilliams,aatkins",False,2026-07-10-NY-CHI,0,0,1,1,720.0,1,1,True,True,1,away,1,1783728249.0,18,False,"dnice,jweis,mfinke,mdevine,mrivas,cvukovic,gmoreno",2,4,e8149c067ce50dcf74ea71df3182a04f48147f90b8ae7df5918783f8954873cf,1783728249.0,False,1,720.0,13.098293782016,-8.18,10.23,38.646145256969,b53a6557175fa0c7b6f300c925fc91a6744b44deb41230d924b9062c8e637253,0.982877811538479,0.0171221884615206,0.636067655113005,0.636067655113005,0.68047513858544,0.945750943538277,2880.0,0.0,0.524,0.0444074834724351,0.12202126053463,4.0,fffe69723965be01611a4336f5cbca0f32af5a9a,2026-08-18 08:07:04,2026-07-11 00:09:02,2026-07-10-NY-CHI,union,empire,18,31,2026-07-10 19:00:00
aatkins,11.59,15.13,srueschem,-2.94,12.68,0,0,0,"ddemarre,beberhard,bjagt,mlabar,srueschem,jwilliams,aatkins",False,2026-07-10-NY-CHI,0,0,1,1,720.0,1,2,True,True,2,away,2,1783728250.0,18,False,"dnice,jweis,mfinke,mdevine,mrivas,cvukovic,gmoreno",3,5,783a94c11f0ff44a5dcbc4e064a1f907305f7009c0d1d256b142542b6f96e7f6,1783728250.0,False,2,714.631578947368,14.7351077362875,-14.53,-2.45,99.5709942021937,384cf63edbf7c3be06ab106d28ad6f7b0ba9b67338ee0cb69d1b59fd5a444b7f,0.987238606279935,0.0127613937200647,0.636067655113005,0.67302547036575,0.672000869355142,0.944826563430326,2874.63157894737,0.0,0.525,-0.00102460101060786,-0.00281536122030047,5.0,ec1f335ef84f3a7c8d24d67bd3011c804f8961e7,2026-08-18 08:07:04,2026-07-11 00:09:02,2026-07-10-NY-CHI,union,empire,18,31,2026-07-10 19:00:00
srueschem,-2.94,12.68,mlabar,-0.14,25.02,0,0,0,"ddemarre,beberhard,bjagt,mlabar,srueschem,jwilliams,aatkins",False,2026-07-10-NY-CHI,0,0,1,1,720.0,1,3,True,True,3,away,3,1783728251.0,18,False,"dnice,jweis,mfinke,mdevine,mrivas,cvukovic,gmoreno",4,6,5bdc10db583f317d4136831c5f5b6c4947eac5d990c71041cf04ef347a6fcc2a,1783728251.0,False,3,709.263157894737,12.6536793068261,2.8,12.34,-12.7841960858943,2c809c86903b61cc0dab24133ced45fe20f9a6ac20bec0416e3a135759524572,0.984494814662563,0.0155051853374372,0.636067655113005,0.665018906621459,0.693476054996562,0.929702641389288,2869.26315789474,0.0,0.52,0.0284571483751029,0.0781935125440394,6.0,12467f5ff2ea49357ce768256c0cb5c4925ad701,2026-08-18 08:07:04,2026-07-11 00:09:02,2026-07-10-NY-CHI,union,empire,18,31,2026-07-10 19:00:00
mlabar,-0.14,25.02,bjagt,-18.96,23.11,0,0,0,"ddemarre,beberhard,bjagt,mlabar,srueschem,jwilliams,aatkins",False,2026-07-10-NY-CHI,0,0,1,1,720.0,1,4,True,True,4,away,4,1783728253.0,18,False,"dnice,jweis,mfinke,mdevine,mrivas,cvukovic,gmoreno",5,8,125c00b42f06567071ce9b746185a512c7c3c631d06a4ef7a8e77e2b647928df,1783728253.0,False,4,703.894736842105,18.9166725403809,-18.82,-1.91,95.7949801064307,c6f0443e8c2e72ec5500907e85c12dd21b72be685dd596834428a3908ad216e1,0.985630818247035,0.0143691817529645,0.636067655113005,0.687267013210751,0.661447004891224,0.926136677155724,2863.89473684211,0.0,0.526,-0.0258200083195261,-0.0709472754545725,8.0,19696d416abbcf3151bf25310252cee970f810d6,2026-08-18 08:07:04,2026-07-11 00:09:02,2026-07-10-NY-CHI,union,empire,18,31,2026-07-10 19:00:00
bjagt,-18.96,23.11,mlabar,1.29,33.54,0,0,0,"ddemarre,beberhard,bjagt,mlabar,srueschem,jwilliams,aatkins",False,2026-07-10-NY-CHI,0,0,1,1,720.0,1,5,True,True,5,away,5,1783728258.0,18,False,"dnice,jweis,mfinke,mdevine,mrivas,cvukovic,gmoreno",6,9,5c3723111c8d0c816edef7bb1ab5cfe79bb7ac7142a964d014e39b75b549159c,1783728258.0,False,5,698.526315789474,22.7782220552878,20.25,10.43,-62.7487372700319,2b487a1ef350363f91372632ecaad57d44b00efdc5c351cc22a751a0eae656e3,0.954015105740739,0.0459848942592613,0.636067655113005,0.655447720212229,0.704936789378413,0.898273911476265,2858.52631578947,0.0,0.517,0.0494890691661846,0.135984256034048,9.0,7f162fd58931505421ad7389cbc52c2293cf4b48,2026-08-18 08:07:04,2026-07-11 00:09:02,2026-07-10-NY-CHI,union,empire,18,31,2026-07-10 19:00:00
mlabar,1.29,33.54,,22.23,67.29,1,0,0,"ddemarre,beberhard,bjagt,mlabar,srueschem,jwilliams,aatkins",False,2026-07-10-NY-CHI,0,0,1,1,720.0,1,6,True,True,6,away,6,1783728261.0,22,False,"dnice,jweis,mfinke,mdevine,mrivas,cvukovic,gmoreno",7,10,e22518b121a1e88f6a19b90fca9819b664002249df83913fd65d644e9cc48146,1783728261.0,False,6,693.157894736842,39.7183345572294,20.94,33.75,-31.8173032623418,f7acc9f15486373d60778ba5e2fbb019e00bea2407febeb023811303be46b000,0.837581423018651,-0.837581423018651,0.636067655113005,0.699837629212006,0.792998819924161,0.730759330973789,2853.15789473684,0.0,0.639,-0.730759330973789,-0.730759330973789,10.0,868ae882aa396ae8af6ff70efc85a24e972a82ba,2026-08-18 08:07:04,2026-07-11 00:09:02,2026-07-10-NY-CHI,union,empire,18,31,2026-07-10 19:00:00
mrivas,-26.67,33.87,,-10.16,41.54,1,0,0,"dnice,jweis,mfinke,mdevine,mrivas,cvukovic,gmoreno",True,2026-07-10-NY-CHI,0,0,1,1,720.0,2,1,False,False,7,home,3,1783728272.0,22,False,"ddemarre,beberhard,bjagt,mlabar,srueschem,jwilliams,aatkins",4,11,cd46cc03a5af6ef41ef9c819be9827b2810ef43c71169f04f0042001b8fd5139,1783728272.0,False,7,687.789473684211,18.2046422650927,16.51,7.67,-65.0819774841808,2c4e49341561b016235a2f3ff28383ff57a0475fb2de358a97f30197863c95ef,0.954479144258555,-0.954479144258555,0.608932110853656,0.608932110853656,0.718330144674957,0.862132159001234,2847.78947368421,0.0,0.476,-0.862132159001234,-0.862132159001234,11.0,f4eb7e0140ce490a066d090963991d144269ac6a,2026-08-18 08:07:04,2026-07-11 00:09:02,2026-07-10-NY-CHI,union,empire,18,31,2026-07-10 19:00:00
aatkins,5.18,80.65,,3.61,110.18,1,0,0,"ddemarre,beberhard,bjagt,mlabar,srueschem,jwilliams,aatkins",False,2026-07-10-NY-CHI,0,0,1,1,720.0,3,1,True,True,8,away,8,1783728282.0,22,False,"dnice,jweis,mfinke,mdevine,mrivas,cvukovic,gmoreno",9,14,de9bdac4744256f6d05d926172a6cc73c6302040ae47c0fccea140611a298886,1783728282.0,False,8,682.421052631579,29.5717060718519,-1.57,29.53,3.04333764677006,396e59eaa87ae24945c101e1230b23c8b49082459dcb73f1502b03df46cfa17a,0.862143978749024,-0.862143978749024,0.869670210844497,0.869670210844497,0.959504202752969,0.653901997796797,2842.42105263158,0.0,0.624,-0.653901997796797,-0.653901997796797,14.0,ff05795ac6205e9b499a9d63eefef5da9b3db800,2026-08-18 08:07:04,2026-07-11 00:09:02,2026-07-10-NY-CHI,union,empire,18,31,2026-07-10 19:00:00
mrivas,-3.39,20.0,dnice,6.22,27.74,0,0,0,"dnice,jweis,mfinke,mdevine,mrivas,cvukovic,gmoreno",True,2026-07-10-NY-CHI,0,0,1,1,720.0,4,1,False,False,9,home,5,1783728285.0,18,False,"ddemarre,beberhard,bjagt,mlabar,srueschem,jwilliams,aatkins",6,15,5be6d4db7672724d1505825380d221dd066841a6126d6fd560a17d14b456610d,1783728285.0,False,9,677.052631578947,12.3393557368284,9.61,7.74,-51.1516479046036,5fc2d3416a745a12eb013a156064f00525d62fc45e93d10f4088758a13d7ce60,0.985066476313242,0.0149335236867576,0.649829294045547,0.649829294045547,0.669469967577448,0.910698294758557,2837.05263157895,0.0,0.626,0.0196406735319017,0.0560888538016551,15.0,73535054932d051c563fc51c096c9dff4fbfa677,2026-08-18 08:07:04,2026-07-11 00:09:02,2026-07-10-NY-CHI,union,empire,18,31,2026-07-10 19:00:00
dnice,6.22,27.74,cvukovic,10.67,38.38,0,0,0,"dnice,jweis,mfinke,mdevine,mrivas,cvukovic,gmoreno",True,2026-07-10-NY-CHI,0,0,1,1,720.0,4,2,False,False,10,home,6,1783728289.0,18,False,"ddemarre,beberhard,bjagt,mlabar,srueschem,jwilliams,aatkins",7,16,84fea4d7f3a90062745affa2c2e02499c83bb152cb22d6c574a5a33cd2a2279e,1783728289.0,False,10,671.684210526316,11.5330871842712,4.45,10.64,-22.6962949427424,2d20a83f04e706ada92da27b7d23cab6c5b93a767260422a602939d2dc32105d,0.982367899756881,0.017632100243119,0.649829294045547,0.665887284500221,0.695740668980674,0.868421776088312,2831.68421052632,0.0,0.63,0.029853384480453,0.0852538032816945,16.0,2eac1304c78f2451451b3bad904172fd88b1bca2,2026-08-18 08:07:04,2026-07-11 00:09:02,2026-07-10-NY-CHI,union,empire,18,31,2026-07-10 19:00:00
