Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
mdillard,-22.14,33.0,whoffenka,-17.18,23.93,0,0,0,"whoffenka,bgessner,rduncan,mmarshall,lstorm,mdillard,rward1",False,2026-07-10-PIT-MAD,0,0,1,1,720.0,1,1,True,True,1,away,1,1783728022.0,18,False,"mmccarthy,vluo,mweber2,mgrinde,agutowsky,sknoche,jleibfort",2,3,fae5f8f3b02252df73fcf2c4432a135f4dc8fbfa0ac3a271ae9f0112ef7bb43a,1783728022.0,False,1,720.0,10.337625452685,4.96,-9.07,-151.327613320923,450a246f3c6cc37c858aaa9776d360da01149e7358c82a136ea5df9a29224752,0.990172191256158,0.0098278087438417,0.673026060043293,0.691694938303023,0.690617202021914,0.932033904115215,2880.0,0.0,0.522,-0.00107773628110897,-0.00329609228567776,3.0,cbdb597f3d05939a950418429a060e73183571f2,2026-08-18 08:07:04,2026-07-11 00:03:57,2026-07-10-PIT-MAD,radicals,thunderbirds,31,19,2026-07-10 19:00:00
whoffenka,-17.18,23.93,mdillard,-1.44,19.22,0,0,0,"whoffenka,bgessner,rduncan,mmarshall,lstorm,mdillard,rward1",False,2026-07-10-PIT-MAD,0,0,1,1,720.0,1,2,True,True,2,away,2,1783728025.0,18,False,"mmccarthy,vluo,mweber2,mgrinde,agutowsky,sknoche,jleibfort",3,4,3f03302a4f6c0c064bfe08d52ebf91f447a947181544b5a14db1278aaa509f15,1783728025.0,False,2,711.913043478261,16.4295982908895,15.74,-4.71,-106.659160910844,ab70dcac98cf7bd1a266c6eb50b0706913341afccab5b330d162f79ba920e625,0.982897197957907,0.0171028020420928,0.673026060043293,0.679763040482619,0.682773356131943,0.943999654215289,2871.91304347826,0.0,0.523,0.00301031564932464,0.00920659196792019,4.0,abd324fa1e3a83cc2b03403c784b8a0dca5f5f4a,2026-08-18 08:07:04,2026-07-11 00:03:57,2026-07-10-PIT-MAD,radicals,thunderbirds,31,19,2026-07-10 19:00:00
mdillard,-1.44,19.22,lstorm,14.29,38.08,0,0,0,"whoffenka,bgessner,rduncan,mmarshall,lstorm,mdillard,rward1",False,2026-07-10-PIT-MAD,0,0,1,1,720.0,1,3,True,True,3,away,3,1783728031.0,18,False,"mmccarthy,vluo,mweber2,mgrinde,agutowsky,sknoche,jleibfort",4,5,06a78ce081d209deb000474bd7594457c3cd885932dabe969d547895b0a8f6bc,1783728031.0,False,3,703.826086956522,24.5587560759905,15.73,18.86,-39.8294679803068,b12cf74bd7039582d935ad6781faf366ad7f9e4ba40c395bdeea8e2278c0e43d,0.950373591077,0.0496264089230002,0.673026060043293,0.673026060043293,0.71587893689739,0.881143421653663,2863.82608695652,0.0,0.515,0.0428528768540966,0.131058997728597,5.0,0e8ef1a0b77e0fe52b749b1a5337954d57213e66,2026-08-18 08:07:04,2026-07-11 00:03:57,2026-07-10-PIT-MAD,radicals,thunderbirds,31,19,2026-07-10 19:00:00
lstorm,14.29,38.08,rward1,19.38,54.18,0,0,0,"whoffenka,bgessner,rduncan,mmarshall,lstorm,mdillard,rward1",False,2026-07-10-PIT-MAD,0,0,1,1,720.0,1,4,True,True,4,away,4,1783728033.0,18,False,"mmccarthy,vluo,mweber2,mgrinde,agutowsky,sknoche,jleibfort",5,6,55d2b8fe06071c34c6172abc91dcf09c84e6e371a95a6bbb3cd13fc8a16b6501,1783728033.0,False,4,695.739130434783,16.8854404739705,5.09,16.1,-17.5443013885899,679432f3333bca019f99ef17667e67b9998e4d17020ea3b60a5f625b5bb12c30,0.970709493459439,0.0292905065405606,0.673026060043293,0.707825406286763,0.750888801606309,0.801628032960899,2855.73913043478,0.0,0.506,0.0430633953195464,0.131702836394999,6.0,424a97ebbb402571db8e1e6a71b4ca6d86597cf5,2026-08-18 08:07:04,2026-07-11 00:03:57,2026-07-10-PIT-MAD,radicals,thunderbirds,31,19,2026-07-10 19:00:00
rward1,19.38,54.18,,8.72,119.87,1,0,0,"whoffenka,bgessner,rduncan,mmarshall,lstorm,mdillard,rward1",False,2026-07-10-PIT-MAD,0,0,1,1,720.0,1,5,True,True,5,away,5,1783728042.0,22,False,"mmccarthy,vluo,mweber2,mgrinde,agutowsky,sknoche,jleibfort",6,8,25793ab2e87a2756dea598cff288e1cc575e3596e5e78e9ab2c0d9325d63e783,1783728042.0,False,5,687.652173913043,66.5493178026642,-10.66,65.69,9.2174578426845,956ca6c667264fad43a48effbb5b0bdb186a3c71a7e0505156e9391eeea8cdec,0.553141452608927,-0.553141452608927,0.673026060043293,0.744438931142549,0.974264074895002,0.656989278102441,2847.65217391304,0.0,0.625,-0.656989278102441,-0.656989278102441,8.0,91cc5181e7588bf97ee9a29308fc10aa7f37e4c1,2026-08-18 08:07:04,2026-07-11 00:03:57,2026-07-10-PIT-MAD,radicals,thunderbirds,31,19,2026-07-10 19:00:00
mmccarthy,-9.01,18.54,mweber2,-3.42,31.43,0,0,0,"mmccarthy,vluo,mweber2,mgrinde,agutowsky,sknoche,jleibfort",True,2026-07-10-PIT-MAD,0,0,1,1,720.0,2,1,False,False,6,home,3,1783728064.0,18,False,"whoffenka,bgessner,rduncan,mmarshall,lstorm,mdillard,rward1",4,10,580b6fbe557b744bbfd8f6d06cea438fcff5a2199af9d9014fef760fd88b3c15,1783728064.0,False,6,679.565217391304,14.0499181492278,5.59,12.89,-23.4449073006318,3ce462a8ac70955b0acc4aef849f1973c0e344673c140b6cde13a78fafc86b9e,0.979350516959731,0.0206494830402686,0.646659667499033,0.646659667499033,0.682272298272495,0.898696239658952,2839.5652173913,0.0,0.629,0.0356126307734619,0.10078846793796,10.0,a42e3011b8bea6a337887fe571a740347b2c4300,2026-08-18 08:07:04,2026-07-11 00:03:57,2026-07-10-PIT-MAD,radicals,thunderbirds,31,19,2026-07-10 19:00:00
mweber2,-3.42,31.43,mmccarthy,-11.26,43.84,0,0,0,"mmccarthy,vluo,mweber2,mgrinde,agutowsky,sknoche,jleibfort",True,2026-07-10-PIT-MAD,0,0,1,1,720.0,2,2,False,False,7,home,4,1783728070.0,18,False,"whoffenka,bgessner,rduncan,mmarshall,lstorm,mdillard,rward1",5,11,1159535020124996f120948044791c43f9f483c9ad47df36178ea977315ad109,1783728070.0,False,7,671.478260869565,14.679022447016,-7.84,12.41,32.2825919944797,7ff8569068e94ecf46fc3fae18697638c5bd28e319b3baa208b83060107041b7,0.97525230901504,0.0247476909849599,0.646659667499033,0.676840707254337,0.714276145557613,0.845239856313617,2831.47826086957,0.0,0.634,0.0374354383032766,0.105947254983053,11.0,8640ed3cc2b7ddf62ae70812113f7b9ca0d3880b,2026-08-18 08:07:04,2026-07-11 00:03:57,2026-07-10-PIT-MAD,radicals,thunderbirds,31,19,2026-07-10 19:00:00
mmccarthy,-11.26,43.84,mweber2,-12.69,28.7,0,0,0,"mmccarthy,vluo,mweber2,mgrinde,agutowsky,sknoche,jleibfort",True,2026-07-10-PIT-MAD,0,0,1,1,720.0,2,3,False,False,8,home,5,1783728077.0,18,False,"whoffenka,bgessner,rduncan,mmarshall,lstorm,mdillard,rward1",6,12,2570abae356a1d3d188f18be019ff134667ce152a962204c803d68a8c194487f,1783728077.0,False,8,663.391304347826,15.2073830753355,-1.43,-15.14,174.604318660948,22c2d1385fa203e5ef2b89e7ea8219982397ac04c6cfa1f75ad6cd183ff530a7,0.986737108141882,0.0132628918581179,0.646659667499033,0.710017617417103,0.65946212655672,0.902152194927025,2823.39130434783,0.0,0.623,-0.0505554908603829,-0.143078743664918,12.0,df368ba888482e08d8cab2b868c68f5885afd37f,2026-08-18 08:07:04,2026-07-11 00:03:57,2026-07-10-PIT-MAD,radicals,thunderbirds,31,19,2026-07-10 19:00:00
mweber2,-12.69,28.7,vluo,-13.03,48.13,0,0,0,"mmccarthy,vluo,mweber2,mgrinde,agutowsky,sknoche,jleibfort",True,2026-07-10-PIT-MAD,0,0,1,1,720.0,2,4,False,False,9,home,6,1783728080.0,18,False,"whoffenka,bgessner,rduncan,mmarshall,lstorm,mdillard,rward1",7,13,e42583b7cb439869cb99aa2ef41247a4b810f26d2ef504dfc5a1db9bba993fbb,1783728080.0,False,9,655.304347826087,19.4329745535777,-0.34,19.43,1.00250010556225,1e1c48924f6ed731558d2dab379af18a8bf7e5f2c6e79f628ba2aa8c39048caf,0.953637638763602,0.0463623612363983,0.646659667499033,0.655655080393838,0.720526818576625,0.819909737204945,2815.30434782609,0.0,0.633,0.0648717381827875,0.183595622168635,13.0,0b8f9e96b6ca2e4a7f419bfc109a5e999dcf4d28,2026-08-18 08:07:04,2026-07-11 00:03:57,2026-07-10-PIT-MAD,radicals,thunderbirds,31,19,2026-07-10 19:00:00
vluo,-13.03,48.13,mgrinde,0.95,45.27,0,0,0,"mmccarthy,vluo,mweber2,mgrinde,agutowsky,sknoche,jleibfort",True,2026-07-10-PIT-MAD,0,0,1,1,720.0,2,5,False,False,10,home,7,1783728083.0,18,False,"whoffenka,bgessner,rduncan,mmarshall,lstorm,mdillard,rward1",8,14,f023b178f22351dd2d3fd49e26ac4b458e623fb78b95756dc3f68feaaf3632b0,1783728083.0,False,10,647.217391304348,14.2695479956444,13.98,-2.86,-101.561918884581,1ff65f5555751eb464ca745a963f3aa7d4a37315b7f4a2b8f46df628656e99ff,0.980781648719026,0.0192183512809745,0.646659667499033,0.717832215560154,0.712138960775134,0.834657349006315,2807.21739130435,0.0,0.631,-0.00569325478501914,-0.016112666065382,14.0,fb3ea4b1989d3cdbe5f81370ec77ffe00473d8e5,2026-08-18 08:07:04,2026-07-11 00:03:57,2026-07-10-PIT-MAD,radicals,thunderbirds,31,19,2026-07-10 19:00:00
