Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
ataylor,-8.26,20.31,amiller1,0.88,25.7,0,0,0,"haustinkn,athai,wselfridg,ataylor,awilsonho,sconnole,amiller1",True,2026-07-11-ATX-ATL,0,0,1,1,720.0,1,1,True,True,1,home,1,1783813207.0,18,False,"marmour,abarcio,cdeluna,bdial,ggust,ojohnson,jwylie",2,2,a284cb085763423b53c50288808bf1be2c22573ded72235e73f9440e46b20cc3,1783813207.0,False,1,720.0,10.6109236167263,9.14,5.39,-59.4714866937737,8b90af87508624d8bb46963c468fd44a980ce9ebea6b2ac74f88275c1a86171e,0.987731273467836,0.0122687265321639,0.694789018801341,0.694789018801341,0.708905672007839,0.932016207240006,2880.0,0.0,0.637,0.0141166532064977,0.0462521143605554,2.0,e489914342ae4a8dd27d5ff8b2680c27dc8921f0,2026-08-18 08:07:04,2026-07-11 23:43:06,2026-07-11-ATX-ATL,hustle,sol,20,22,2026-07-11 19:30:00
amiller1,0.88,25.7,wselfridg,13.5,28.84,0,0,0,"haustinkn,athai,wselfridg,ataylor,awilsonho,sconnole,amiller1",True,2026-07-11-ATX-ATL,0,0,1,1,720.0,1,2,True,True,2,home,2,1783813209.0,18,False,"marmour,abarcio,cdeluna,bdial,ggust,ojohnson,jwylie",3,3,f8bbd38f54459c2d8121774a4110e2a9ef9bde22605bb502378683d5b000b7a0,1783813209.0,False,2,715.428571428571,13.0047683562607,12.62,3.14,-76.0278696491185,b90cc978e5708d7615e71cbac411daac867478f5ae43298e93abe001fbfda2ba,0.985846863572474,0.0141531364275261,0.694789018801341,0.702851252877487,0.704075124351606,0.918972324263517,2875.42857142857,0.0,0.636,0.00122387147411918,0.00400991952947647,3.0,cb72b2d7f521f63e014622bf54eda4cb5fda24c5,2026-08-18 08:07:04,2026-07-11 23:43:06,2026-07-11-ATX-ATL,hustle,sol,20,22,2026-07-11 19:30:00
wselfridg,13.5,28.84,haustinkn,16.64,38.52,0,0,0,"haustinkn,athai,wselfridg,ataylor,awilsonho,sconnole,amiller1",True,2026-07-11-ATX-ATL,0,0,1,1,720.0,1,3,True,True,3,home,3,1783813211.0,18,False,"marmour,abarcio,cdeluna,bdial,ggust,ojohnson,jwylie",4,4,e24b75fc828ba34fefd4900003fe45af4d1e2eb42cc8e94c9411d144c81e7fc7,1783813211.0,False,3,710.857142857143,10.176541652251,3.14,9.68,-17.9720346360475,d2ec23db13c95d77c3c52ca7ec9286d437f19e5551ff108c5a877606bae2cb94,0.985556909982178,0.0144430900178223,0.694789018801341,0.698354400985084,0.719262510013532,0.880975118573006,2870.85714285714,0.0,0.638,0.0209081090284482,0.0685037902186073,4.0,04f2e45b77f95a6316affb429b3f81660fbfa768,2026-08-18 08:07:04,2026-07-11 23:43:06,2026-07-11-ATX-ATL,hustle,sol,20,22,2026-07-11 19:30:00
haustinkn,16.64,38.52,amiller1,1.63,38.45,0,0,0,"haustinkn,athai,wselfridg,ataylor,awilsonho,sconnole,amiller1",True,2026-07-11-ATX-ATL,0,0,1,1,720.0,1,4,True,True,4,home,4,1783813216.0,18,False,"marmour,abarcio,cdeluna,bdial,ggust,ojohnson,jwylie",5,5,c6add2582928c94a579f52b21c3ce974ecd645e3a175fe714c2cd0b2143414af,1783813216.0,False,4,706.285714285714,15.0101632236295,-15.01,-0.0700000000000003,90.2672002325338,af60535abe140f10b496ba8a743d8484aa2d2b3478bc2b8333bc652e791672e9,0.979057512042421,0.020942487957579,0.694789018801341,0.714084167571992,0.727726792889565,0.884668815808838,2866.28571428571,0.0,0.639,0.013642625317573,0.0446989989154196,5.0,41d0d694a429d81ea32cd61a0029c9dce7fea418,2026-08-18 08:07:04,2026-07-11 23:43:06,2026-07-11-ATX-ATL,hustle,sol,20,22,2026-07-11 19:30:00
amiller1,1.63,38.45,ataylor,-13.17,38.93,0,0,0,"haustinkn,athai,wselfridg,ataylor,awilsonho,sconnole,amiller1",True,2026-07-11-ATX-ATL,0,0,1,1,720.0,1,5,True,True,5,home,5,1783813220.0,18,False,"marmour,abarcio,cdeluna,bdial,ggust,ojohnson,jwylie",6,6,7338ab34453882a14f0b04c162f39ee73089fc5f160f99e783eb1a754a71c083,1783813220.0,False,5,701.714285714286,14.8077817379917,-14.8,0.479999999999997,88.1424096296797,ab450c464c1c42bbc15e7a1bd7cbfff10f35b8872976e1546e6add1479f4bd1e,0.982174335268244,0.017825664731756,0.694789018801341,0.722994577845717,0.719328321954785,0.877258430911435,2861.71428571429,0.0,0.637,-0.00366625589093228,-0.0120122017777137,6.0,2fab0e914a5210c657ca652f2ca95d8299351cd7,2026-08-18 08:07:04,2026-07-11 23:43:06,2026-07-11-ATX-ATL,hustle,sol,20,22,2026-07-11 19:30:00
ataylor,-13.17,38.93,wselfridg,-20.53,52.43,0,0,0,"haustinkn,athai,wselfridg,ataylor,awilsonho,sconnole,amiller1",True,2026-07-11-ATX-ATL,0,0,1,1,720.0,1,6,True,True,6,home,6,1783813224.0,18,False,"marmour,abarcio,cdeluna,bdial,ggust,ojohnson,jwylie",7,7,850794f7c025172e7fd2bca4f22f551acf3863427ffd55f04523c6395b0918f2,1783813224.0,False,6,697.142857142857,15.3759422475502,-7.36,13.5,28.5985639369733,97684d198a60656502d370d5ad2901db8a504898f33ffedc2e280449f7bda407,0.975961021147326,0.0240389788526744,0.694789018801341,0.714852699476171,0.742701753411142,0.804039183753959,2857.14285714286,0.0,0.641,0.0278490539349704,0.091245255415118,7.0,f67b00cd73f4af1a6f52b18d57a5796fdc35c993,2026-08-18 08:07:04,2026-07-11 23:43:06,2026-07-11-ATX-ATL,hustle,sol,20,22,2026-07-11 19:30:00
wselfridg,-20.53,52.43,sconnole,-13.58,110.04,0,0,0,"haustinkn,athai,wselfridg,ataylor,awilsonho,sconnole,amiller1",True,2026-07-11-ATX-ATL,1,0,1,1,720.0,1,7,True,True,7,home,7,1783813236.0,19,False,"marmour,abarcio,cdeluna,bdial,ggust,ojohnson,jwylie",8,9,1f39ba250ed132d99243dd5f2d1a2dc7bc1d60d5515ba0e0abd7bf086f742aa8,1783813236.0,False,7,692.571428571429,58.0277054517926,6.95,57.61,-6.87885041638543,af70ae9ec19b4104f1f90df6cd5451050afcdc34115c07ab6969954486d3e164,0.575583205247982,0.424416794752018,0.694789018801341,0.738779712483181,1.0,0.655516253806638,2852.57142857143,0.0,0.693,0.261220287516819,0.855867919597539,9.0,9e6b413033e9685f28f3201dbfe6c033310fc26d,2026-08-18 08:07:04,2026-07-11 23:43:06,2026-07-11-ATX-ATL,hustle,sol,20,22,2026-07-11 19:30:00
khenke,0.47,8.04,spalchuru,-15.62,29.25,0,0,0,"marmstron,rbowman,cchanler,khenke,mhenke,spalchuru,eswiatek",False,2026-07-11-ATX-ATL,1,0,1,2,688.0,1,1,True,True,8,away,4,1783813302.0,18,False,"lmcclamro,jpolk,mpoe,bfleming,ktaylor,mspanuth,skilgore",5,15,df78a0ad34a88b4f1b7b94bc612eaecd909689ae242ee5f29b1ba10448b1376a,1783813302.0,False,8,688.0,26.6224003425687,-16.09,21.21,37.1841152082301,be04a59c4c5f6f258aafa5d711c17918a220c24a93f255255195e8300c7299ce,0.95092351297015,0.0490764870298497,0.629064064976153,0.632589601311019,0.672635983335252,0.904370477526713,2848.0,1.0,0.698,0.0400463820242328,0.107960373323384,15.0,126b5c581411a2d8d613467f08dee4627fdc4df5,2026-08-18 08:07:04,2026-08-05 08:07:16,2026-07-11-ATX-ATL,hustle,sol,20,22,2026-07-11 19:30:00
spalchuru,-15.62,29.25,mhenke,-1.71,23.93,0,0,0,"marmstron,rbowman,cchanler,khenke,mhenke,spalchuru,eswiatek",False,2026-07-11-ATX-ATL,1,0,1,2,688.0,1,2,True,True,9,away,5,1783813307.0,18,False,"lmcclamro,jpolk,mpoe,bfleming,ktaylor,mspanuth,skilgore",6,16,dfba7395164422727ae53ed5408495579c3c4d1da27451edf4b23bf2295261ca,1783813307.0,False,9,683.111111111111,14.8926324066634,13.91,-5.32,-110.929786358401,f05bd48a168fc21dcacb29f25917be63b6c7a71ff025b841f174d33a97a78e52,0.984513327359822,0.0154866726401779,0.629064064976153,0.668559202199889,0.664496994055716,0.924836186381754,2843.11111111111,1.0,0.699,-0.00406220814417368,-0.0109512391780336,16.0,18a8ab84b3ba252fc53052e90fbb785278bcdc28,2026-08-18 08:07:04,2026-08-05 08:07:16,2026-07-11-ATX-ATL,hustle,sol,20,22,2026-07-11 19:30:00
mhenke,-1.71,23.93,eswiatek,-18.96,25.09,0,0,0,"marmstron,rbowman,cchanler,khenke,mhenke,spalchuru,eswiatek",False,2026-07-11-ATX-ATL,1,0,1,2,688.0,1,3,True,True,10,away,6,1783813313.0,18,False,"lmcclamro,jpolk,mpoe,bfleming,ktaylor,mspanuth,skilgore",7,17,cc87b7c739d968a9450bc96e21cefdcd14249ca4fc941093831daba8c32504fc,1783813313.0,False,10,678.222222222222,17.2889589044569,-17.25,1.16,86.1528584658028,d3e7fab049fec5f936076ae7b51ca049d66dcde04dc2dc95034b12f722edd43c,0.986071248791175,0.0139287512088251,0.629064064976153,0.660747313477662,0.642243151319963,0.911617411926871,2838.22222222222,1.0,0.702,-0.018504162157699,-0.0498850621105486,17.0,b87afde840c1eecb3bfc3c5f1facb772aa47fae6,2026-08-18 08:07:04,2026-08-05 08:07:16,2026-07-11-ATX-ATL,hustle,sol,20,22,2026-07-11 19:30:00
