Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
tnye,1.47,8.58,ddamiano,5.93,22.65,0,0,0,"ebeidlers,tnye,sheyman,ndigiorgi,nmccloske,ddamiano,crawlins",False,2026-07-11-PHI-DC,0,0,1,1,720.0,1,1,True,True,1,away,1,1783811361.0,18,False,"mwagner,ilee,mlee2,jtom,tshapinsk,lblumenfe,zburpee",2,2,b8dd3e44aba09f4a69f7beb92981d285843fcf7045c12ea95c9a87bddb538a46,1783811361.0,False,1,720.0,14.7599627370803,4.46,14.07,-17.5879120175337,eff202c32ca970befb8a8a6fb8263d078758894f6cef2526d367125d62eba0f6,0.981564130932435,0.0184358690675651,0.671496464932061,0.671496464932061,0.700904728460706,0.939912750422085,2880.0,0.0,0.52,0.0294082635286448,0.0895219088664077,2.0,fda9d14f515e0b90401ea1bec4ba5117c889b5bd,2026-08-18 08:07:04,2026-07-15 08:08:49,2026-07-11-PHI-DC,breeze,phoenix,28,17,2026-07-11 19:00:00
ddamiano,5.93,22.65,sheyman,15.54,37.0,0,0,0,"ebeidlers,tnye,sheyman,ndigiorgi,nmccloske,ddamiano,crawlins",False,2026-07-11-PHI-DC,0,0,1,1,720.0,1,2,True,True,2,away,2,1783811364.0,18,False,"mwagner,ilee,mlee2,jtom,tshapinsk,lblumenfe,zburpee",3,4,f40d9791cbe6fab86c30721b49acbe7363fc5ddf3e9c500edf9efaec93e72882,1783811364.0,False,2,715.384615384615,17.2706282456661,9.61,14.35,-33.8096827582838,ebd7e8b29a78dfe48bc4b9732039de3e7463ef1c93b063f39098303232da3768,0.974011452866255,0.0259885471337447,0.671496464932061,0.694698013434099,0.722965029493501,0.890472370002561,2875.38461538462,0.0,0.515,0.0282670160594015,0.0860478291460563,4.0,441277f4659383d3e5751af074caa05abe1d5173,2026-08-18 08:07:04,2026-07-15 08:08:49,2026-07-11-PHI-DC,breeze,phoenix,28,17,2026-07-11 19:00:00
sheyman,15.54,37.0,ndigiorgi,16.57,48.6,0,0,0,"ebeidlers,tnye,sheyman,ndigiorgi,nmccloske,ddamiano,crawlins",False,2026-07-11-PHI-DC,0,0,1,1,720.0,1,3,True,True,3,away,3,1783811371.0,18,False,"mwagner,ilee,mlee2,jtom,tshapinsk,lblumenfe,zburpee",4,6,1b45a4b1d7553099d30fa6689009be47b71c70fa6ad3a1587bfc855f85699db2,1783811371.0,False,3,710.769230769231,11.6456386686175,1.03,11.6,-5.07416273539086,c3fee84ddf86b30e481ca16866547d8e38e76b47682dad495e3b24312b611574,0.980352773920359,0.019647226079641,0.671496464932061,0.717415106379758,0.753336176684788,0.842426424444929,2870.76923076923,0.0,0.507,0.03592107030503,0.109347591335969,6.0,204ab75999459ce54fc11161564af6faaaf22533,2026-08-18 08:07:04,2026-07-15 08:08:49,2026-07-11-PHI-DC,breeze,phoenix,28,17,2026-07-11 19:00:00
ndigiorgi,16.57,48.6,nmccloske,26.11,67.0,0,0,0,"ebeidlers,tnye,sheyman,ndigiorgi,nmccloske,ddamiano,crawlins",False,2026-07-11-PHI-DC,0,0,1,1,720.0,1,4,True,True,4,away,4,1783811375.0,18,False,"mwagner,ilee,mlee2,jtom,tshapinsk,lblumenfe,zburpee",5,7,d29d4eed8d1b2255d7d800a6ba464c3d9c0c99f06b732f4c908add712eb7e699,1783811375.0,False,4,706.153846153846,20.7261091379931,9.54,18.4,-27.4057575629693,95955bdc8452ff52250d891e7a2e439093b64c1efd26eb10169845bc4e63c067,0.824000500151679,0.175999499848321,0.671496464932061,0.748528574194222,0.781300815308921,0.709759553156088,2866.15384615385,0.0,0.5,0.0327722411146982,0.099762217499183,7.0,70755e1495a303bf74a1b07b5d1596d4d1ca2f62,2026-08-18 08:07:04,2026-07-15 08:08:49,2026-07-11-PHI-DC,breeze,phoenix,28,17,2026-07-11 19:00:00
nmccloske,26.11,67.0,ndigiorgi,9.78,53.34,0,0,0,"ebeidlers,tnye,sheyman,ndigiorgi,nmccloske,ddamiano,crawlins",False,2026-07-11-PHI-DC,0,0,1,1,720.0,1,5,True,True,5,away,5,1783811381.0,18,False,"mwagner,ilee,mlee2,jtom,tshapinsk,lblumenfe,zburpee",6,8,1c582e822e8efec622332269fe3f8fea20778a27167dddbff585620c955bb4d0,1783811381.0,False,5,701.538461538462,21.2900093940797,-16.33,-13.66,129.912388936089,4a0cfbc98356c838dfbc498be5c49c3c45563c8b1a69fbd5c0e8673e60fc1267,0.955013419043467,0.0449865809565327,0.671496464932061,0.777185238805507,0.771917950712831,0.823571109633387,2861.53846153846,0.0,0.502,-0.00526728809267607,-0.0160341899869867,8.0,69c219090d69f89b87f48238465ac60c53c5aa8a,2026-08-18 08:07:04,2026-07-15 08:08:49,2026-07-11-PHI-DC,breeze,phoenix,28,17,2026-07-11 19:00:00
ndigiorgi,9.78,53.34,ddamiano,-5.87,52.99,0,0,0,"ebeidlers,tnye,sheyman,ndigiorgi,nmccloske,ddamiano,crawlins",False,2026-07-11-PHI-DC,0,0,1,1,720.0,1,6,True,True,6,away,6,1783811385.0,18,False,"mwagner,ilee,mlee2,jtom,tshapinsk,lblumenfe,zburpee",7,9,9257925c9241cfdd005cd593092b93f5c2cfe38448560dbe4af33aa075c7c6c8,1783811385.0,False,6,696.923076923077,15.6539132487695,-15.65,-0.350000000000001,91.281161694642,ab89a7262f1f4849f5c0cf7d96d5b39a8a690e6a8e6535bf44bdda2a6bffcbe8,0.976079566203734,0.0239204337962655,0.671496464932061,0.76798562675939,0.768155144102679,0.822735979993812,2856.92307692308,0.0,0.502,0.000169517343289294,0.000516028977448402,9.0,eb857abd93a62a432a200923a6d170ce0a56d2e6,2026-08-18 08:07:04,2026-07-15 08:08:49,2026-07-11-PHI-DC,breeze,phoenix,28,17,2026-07-11 19:00:00
ddamiano,-5.87,52.99,sheyman,7.72,63.36,0,0,0,"ebeidlers,tnye,sheyman,ndigiorgi,nmccloske,ddamiano,crawlins",False,2026-07-11-PHI-DC,0,0,1,1,720.0,1,7,True,True,7,away,7,1783811389.0,18,False,"mwagner,ilee,mlee2,jtom,tshapinsk,lblumenfe,zburpee",8,10,13d64dce4acbd78df7b938544ee24dc81800a234d28ad1e4892852b397c1fd9e,1783811389.0,False,7,692.307692307692,17.0945897874152,13.59,10.37,-52.6541567853442,b35c4d930fe9943dc90216985f21983374b9d3ce5323e03d54890366b6807152,0.964933142450659,0.035066857549341,0.671496464932061,0.764478179519991,0.804595850242827,0.778061612913815,2852.30769230769,0.0,0.492,0.0401176707228365,0.122122493185772,10.0,e256f277c6d6d3e927925c88a88860edd2d3d4f7,2026-08-18 08:07:04,2026-07-15 08:08:49,2026-07-11-PHI-DC,breeze,phoenix,28,17,2026-07-11 19:00:00
sheyman,7.72,63.36,ndigiorgi,-0.52,62.95,0,0,0,"ebeidlers,tnye,sheyman,ndigiorgi,nmccloske,ddamiano,crawlins",False,2026-07-11-PHI-DC,0,0,1,1,720.0,1,8,True,True,8,away,8,1783811392.0,18,False,"mwagner,ilee,mlee2,jtom,tshapinsk,lblumenfe,zburpee",9,11,72559588af2f4ef23adfeb4076b03086c26da7e85ab0ab43f0fcfd6878cddb8d,1783811392.0,False,8,687.692307692308,8.25019393711445,-8.24,-0.409999999999997,92.8485329960062,41e73d7acff58d3bdedac08b1acd3f815a63df185fdcf99b9fd7854451489e7b,0.985956471023761,0.0140435289762394,0.671496464932061,0.801603782321664,0.800828205865044,0.77728680715167,2847.69230769231,0.0,0.493,-0.000775576456620186,-0.00236093793164139,11.0,9bd0785a7608c491eccd1d7c29987d01faef3001,2026-08-18 08:07:04,2026-07-15 08:08:49,2026-07-11-PHI-DC,breeze,phoenix,28,17,2026-07-11 19:00:00
ndigiorgi,-0.52,62.95,ddamiano,-14.45,62.81,0,0,0,"ebeidlers,tnye,sheyman,ndigiorgi,nmccloske,ddamiano,crawlins",False,2026-07-11-PHI-DC,0,0,1,1,720.0,1,9,True,True,9,away,9,1783811394.0,18,False,"mwagner,ilee,mlee2,jtom,tshapinsk,lblumenfe,zburpee",10,12,93418f3343de6593bc9ecd0e0a9672cc9be718c3bf347b2656034b45f2a79be7,1783811394.0,False,9,683.076923076923,13.9307034998237,-13.93,-0.140000000000001,90.575817593245,e9db8cba524129e12cbd163d88260c61564863748ae61518c57bd34cdc5138a6,0.978947074172956,0.0210529258270437,0.671496464932061,0.798043744487056,0.791630281822383,0.767404384136755,2843.07692307692,0.0,0.495,-0.0064134626646728,-0.0195232683366601,12.0,34e773006427770c47e8ef844b3397cb6b0d0e72,2026-08-18 08:07:04,2026-07-15 08:08:49,2026-07-11-PHI-DC,breeze,phoenix,28,17,2026-07-11 19:00:00
ddamiano,-14.45,62.81,ebeidlers,-8.14,68.99,0,0,0,"ebeidlers,tnye,sheyman,ndigiorgi,nmccloske,ddamiano,crawlins",False,2026-07-11-PHI-DC,0,0,1,1,720.0,1,10,True,True,10,away,10,1783811397.0,18,False,"mwagner,ilee,mlee2,jtom,tshapinsk,lblumenfe,zburpee",11,13,e94d7bac885da247534f12e3b17705d8e5a1afd20bd73c947efae34dfcff5bde,1783811397.0,False,10,678.461538461538,8.83224207095797,6.31,6.17999999999999,-45.5963316559249,383114289ac7a013a9e0b4a88042fb32a04b0b4585cceb58ab3357b5dcebec27,0.979405781580317,0.0205942184196832,0.671496464932061,0.789000846527362,0.819709132042997,0.746675889073559,2838.46153846154,0.0,0.487,0.0307082855156353,0.0934793152508524,13.0,d543f0000e794b495e52294ce88e51d580251287,2026-08-18 08:07:04,2026-07-15 08:08:49,2026-07-11-PHI-DC,breeze,phoenix,28,17,2026-07-11 19:00:00
