Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
ehawkins,26.53,41.93,,-26.26,86.79,1,0,0,"jfelton,cbrock,sgudeman,cchamberl,ehawkins,chawkins,blandry",False,2026-07-18-IND-TOR,0,0,1,1,720.0,1,1,True,True,1,away,1,1784412463.0,22,False,"jpodnar,sdillon,ezhuang,rjamieson,lcomire,nhsieh,ebembenis",2,31,68336f9efeb55b16934bce93bfd158d8bdd236f23e693f8f0fca7fdfbb139e26,1784412463.0,False,1,720.0,69.2762852641508,-52.79,44.86,49.6427103936198,9ccf22d823844ae165a198e5e7b3d5af1e237077f51aa5920c6bbecdc5a968ca,0.261627338736623,-0.261627338736623,0.688969782255563,0.688969782255563,0.875516627679485,0.661855009494693,2880.0,0.0,0.629,-0.661855009494693,-0.661855009494693,31.0,a2c76a7bcbb76bed25a3c08e2aca17367e4b1aa8,2026-08-18 08:07:04,2026-07-18 22:08:05,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
nhsieh,25.91,35.14,jpodnar,25.98,72.97,0,0,0,"jpodnar,sdillon,ezhuang,rjamieson,lcomire,nhsieh,ebembenis",True,2026-07-18-IND-TOR,0,0,1,1,720.0,2,1,False,False,2,home,3,,18,False,"jfelton,cbrock,sgudeman,cchamberl,ehawkins,chawkins,blandry",4,5,795be14e98aeef8df78084b247c1a987aacd6cf169ab8e0406bb7bc5651a9871,1784412438.0,True,2,708.75,37.8300647633598,0.0700000000000003,37.83,-0.10601903220946,131c8d86cb8518188c40aeaf266c21b6206bb4c5db04b90e59ffb19fe45590be,0.471263919640946,0.528736080359054,0.655593412428754,0.655593412428754,0.812216532766572,0.689509430453744,2868.75,0.0,0.657,0.156623120337818,0.45476226643144,5.0,1550759f1917f4064b0dda2fc71a61619e5fa0ad,2026-08-18 08:07:04,2026-07-18 22:08:05,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
jpodnar,25.98,72.97,sdillon,25.91,82.72,0,0,0,"jpodnar,sdillon,ezhuang,rjamieson,lcomire,nhsieh,ebembenis",True,2026-07-18-IND-TOR,0,0,1,1,720.0,2,2,False,False,3,home,4,,18,False,"jfelton,cbrock,sgudeman,cchamberl,ehawkins,chawkins,blandry",5,6,d5f00e661631c0286036a6d2776024c3533effaddf3cc2684cf5afabfda9aca4,1784412439.0,True,3,697.5,9.75025127881328,-0.0700000000000003,9.75,0.411347246913806,038372c6277a173148dc32eaeb4aba3374dd5f00391a8cd7890e165039ea84f7,0.902014557697545,0.0979854423024548,0.655593412428754,0.803260329995256,0.849671270162288,0.640940517045093,2857.5,0.0,0.665,0.0464109401670315,0.134756249856663,6.0,c0d80fe3bc4d5db2405ad4296035ddb328079dce,2026-08-18 08:07:04,2026-07-18 22:08:05,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
sdillon,25.91,82.72,jpodnar,24.95,106.81,0,0,0,"jpodnar,sdillon,ezhuang,rjamieson,lcomire,nhsieh,ebembenis",True,2026-07-18-IND-TOR,1,0,1,1,720.0,2,3,False,False,4,home,5,,19,False,"jfelton,cbrock,sgudeman,cchamberl,ehawkins,chawkins,blandry",6,7,bc260b3544a2ce7a5b3ac490090b7280789bb9efce7d85077e2603fec30ccf3a,1784412440.0,True,4,686.25,24.1091206807714,-0.960000000000001,24.09,2.28206141095485,90b02db0ede5075edca33dad95bcc92b5ca7cc2bc9fa514f4e8a9c5e1e6e5768,0.764219366391665,0.235780633608335,0.655593412428754,0.843472512963799,1.0,0.589148904412469,2846.25,0.0,0.687,0.156527487036201,0.454484590843723,7.0,9084c90f65ae1f88d92c6a4ddf535e5fce83b9b1,2026-08-18 08:07:04,2026-07-18 22:13:08,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
chawkins,0.0,40.0,jfelton,4.22,47.38,1,1,0,"jfelton,cbrock,sgudeman,cchamberl,ehawkins,chawkins,blandry",False,2026-07-18-IND-TOR,1,0,1,2,675.0,1,1,True,True,5,away,4,1784412573.0,20,False,"khuang1,imasekkel,hnorris,nho,mayad,aturcotte,pturner",5,144,74bdcca098d52f40a214796ca3527913d1b9ae59a4a9d14b7ee0a3e429737229,1784412573.0,False,5,675.0,8.5013410706782,4.22,7.38,-29.7616002283361,51ca5e943ef130022064472b40613e054cadc4f6e46f3d2a0e420adf91ac6ac8,0.986655702657105,1.0,0.706286485175772,0.706286485175772,0.73194362874741,0.833959381417349,2835.0,1.0,0.803,-0.833959381417349,-0.833959381417349,144.0,10c3cef5f63b88eacc5f5f39da85d544f79ede3f,2026-08-18 08:07:04,2026-07-18 22:13:08,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
nho,-0.25,80.38,mayad,-11.36,88.0,0,0,0,"khuang1,imasekkel,hnorris,nho,mayad,aturcotte,pturner",True,2026-07-18-IND-TOR,1,0,1,2,675.0,2,1,False,False,6,home,9,,18,False,"jfelton,cbrock,sgudeman,cchamberl,ehawkins,chawkins,blandry",10,11,2557f7a990a589aeed6378525fd18954f1651afb5d009d58e1ecea9ef7e558ae,1784412444.0,True,6,667.166666666667,13.4720636874979,-11.11,7.62,55.5549978061664,e7ccd4c89787800a6c49d9575e87ac6b4aba2c59ee96e7db8d7bcd0d84fbdb4c,0.966706464157251,0.0332935358427493,0.863481363843185,0.863481363843185,0.891780489655198,0.672217381299169,2827.16666666667,1.0,0.812,0.0282991258120132,0.207291301822754,11.0,ffba577979faf48c9864567459116ede6cff85c1,2026-08-18 08:07:04,2026-07-18 22:13:08,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
mayad,-11.36,88.0,hnorris,-21.46,93.98,0,0,0,"khuang1,imasekkel,hnorris,nho,mayad,aturcotte,pturner",True,2026-07-18-IND-TOR,1,0,1,2,675.0,2,2,False,False,7,home,10,,18,False,"jfelton,cbrock,sgudeman,cchamberl,ehawkins,chawkins,blandry",11,12,e6dc75afa36687bfc8071041a9e11d31e1a84ead792eea0a7e60bcb3978c0355,1784412445.0,True,7,659.333333333333,11.7375636313504,-10.1,5.98,59.3711068644511,559933e0125f2f751e05b62c1ad53229cd2743df22d981eec9ba9020a9eaf5e0,0.972780216582756,0.0272197834172436,0.863481363843185,0.890016659991991,0.899925005861671,0.616854827831627,2819.33333333333,1.0,0.813,0.00990834586968015,0.0725787053593085,12.0,39f12f419056b137ea4ea583777eb5a9fd470a82,2026-08-18 08:07:04,2026-07-18 22:13:08,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
hnorris,-21.46,93.98,nho,-13.97,91.51,0,0,0,"khuang1,imasekkel,hnorris,nho,mayad,aturcotte,pturner",True,2026-07-18-IND-TOR,1,0,1,2,675.0,2,3,False,False,8,home,11,,18,False,"jfelton,cbrock,sgudeman,cchamberl,ehawkins,chawkins,blandry",12,13,b921aa98a349b499e5f90a4358edf2cb0232eaf0a9f10d53772dfd16ecdd63aa,1784412446.0,True,8,651.5,7.8867610588885,7.49,-2.47,-108.251161868623,4dd80eb31d14e1c1d190066620cbf38f47453607a9fa649f00f71d7c1800d735,0.97119332799016,0.0288066720098396,0.863481363843185,0.898596869305071,0.900367672917173,0.65024220892116,2811.5,1.0,0.813,0.00177080361210191,0.0129711493020472,13.0,fa6f7280c574fc9eeedbbe4989472918e02c36c6,2026-08-18 08:07:04,2026-07-18 22:13:08,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
nho,-13.97,91.51,hnorris,-24.06,99.06,0,0,0,"khuang1,imasekkel,hnorris,nho,mayad,aturcotte,pturner",True,2026-07-18-IND-TOR,1,0,1,2,675.0,2,4,False,False,9,home,12,,18,False,"jfelton,cbrock,sgudeman,cchamberl,ehawkins,chawkins,blandry",13,14,354a99173cfd53bcda3fe9e4cb1d8dbf4a26c27eedb570f2c3bf07b3005f7ee0,1784412447.0,True,9,643.666666666667,12.602007776541,-10.09,7.55,53.1937542017349,1e24245bbf289af85700af837a6b6396e3bd654f5e6ff51b58ecf903e4e3082f,0.944803085050379,0.0551969149496206,0.863481363843185,0.899335852094038,0.909119806220349,0.578643451134863,2803.66666666667,1.0,0.814,0.00978395412631106,0.0716675349369333,14.0,e5e806f1a846a61adec0550aa01dbbb2f9cc0723,2026-08-18 08:07:04,2026-07-18 22:13:08,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
hnorris,-24.06,99.06,mayad,-21.87,104.89,0,0,0,"khuang1,imasekkel,hnorris,nho,mayad,aturcotte,pturner",True,2026-07-18-IND-TOR,2,0,1,2,675.0,2,5,False,False,10,home,13,,19,False,"jfelton,cbrock,sgudeman,cchamberl,ehawkins,chawkins,blandry",14,15,6b74087b7ff4dadff7de915bdda06f0db073f31e3d9e8db08c7ccecd5ba8ff33,1784412448.0,True,10,635.833333333333,6.22776043212967,2.19,5.83,-20.5883487941609,907d16d54f9507c3746d1ebccff52aafcf9708e844cd63390fddca40ff22f107,0.970085711898305,0.0299142881016949,0.863481363843185,0.908414000158053,1.0,0.589616229965406,2795.83333333333,1.0,0.818,0.0915859998419466,0.670868113103211,15.0,8743653a20c0e7c18d3daaff99e373f868a62a3f,2026-08-18 08:07:04,2026-07-18 22:13:08,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
aghitterm,18.75,11.31,jbranson,12.68,21.88,0,0,0,"dcox1,cblalack,jbranson,singham,jkempe,nlittle,aghitterm",False,2026-07-18-IND-TOR,2,0,1,3,628.0,1,1,True,True,11,away,7,1784412648.0,18,False,"jpodnar,sdillon,ezhuang,rjamieson,lcomire,nhsieh,ebembenis",8,222,c690eaf5cbd44c8242f6fc71f2ff9a2fafea87b5da8a9367bbb86800318bf293,1784412648.0,False,11,628.0,12.1889211991874,-6.07,10.57,29.8673204480805,ae7639c17654c5355bd741195851591ee09124c875525c79b135cbc57986de5f,0.982567832944372,0.0174321670556281,0.584617697952156,0.584617697952156,0.628622623631445,0.922172928028114,2788.0,2.0,0.835,0.0440049256792893,0.105938374028802,222.0,1a553100f8af32e5af10c597340946004452cba6,2026-08-18 08:07:04,2026-07-18 22:13:08,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
jbranson,12.68,21.88,cblalack,14.52,31.56,0,0,0,"dcox1,cblalack,jbranson,singham,jkempe,nlittle,aghitterm",False,2026-07-18-IND-TOR,2,0,1,3,628.0,1,2,True,True,12,away,8,1784412653.0,18,False,"jpodnar,sdillon,ezhuang,rjamieson,lcomire,nhsieh,ebembenis",9,228,e7722614a7b72b8ca2023cd2dea6965dc0d58d3e0a26502cab95d0b648f2576b,1784412653.0,False,12,623.666666666667,9.85332431212938,1.84,9.68,-10.7625372231425,30684c45ba60091d6ce3acffe60bac379473f6baeaed66490407ee96128b140c,0.985859493562946,0.0141405064370544,0.584617697952156,0.628110389005403,0.651807279989658,0.885421745003633,2783.66666666667,2.0,0.833,0.0236968909842555,0.0570483885987182,228.0,160735981988e6954cf1f4c808a578a385745296,2026-08-18 08:07:04,2026-07-18 22:13:08,2026-07-18-IND-TOR,rush,alleycats,28,17,2026-07-18 18:00:00
