Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
jwilliams,-20.53,5.38,aatkins,-4.3,22.02,0,0,0,"aatkins,jcowan,ddemarre,bjagt,mlabar,srueschem,jwilliams",True,2026-07-25-DC-NY,0,0,1,1,720.0,1,1,True,True,1,home,1,1785002956.0,18,False,"adowney,khealey,ilee,lblumenfe,jlightner,cjurek,mwagner",2,4,675026a0d5b8e6cf44a36b71071cb06703ff69e1eb6bd7b5054ece53dd637b02,1785002956.0,False,1,720.0,23.2444079296505,16.23,16.64,-44.2853650314555,a06f18fbec32527a3d1cb8fd87c548b8428ca5c68175800a1639d6704e28e4ea,0.953163813256129,0.0468361867438707,0.635921079098323,0.635921079098323,0.699696367022291,0.941591764770487,2880.0,0.0,0.636,0.0637752879239674,0.175168855604224,4.0,83f07f7d4f631644d2804793f84631a01ddf6955,2026-08-18 08:07:04,2026-07-25 18:13:19,2026-07-25-DC-NY,empire,breeze,23,15,2026-07-25 14:00:00
aatkins,-4.3,22.02,ddemarre,-5.39,35.52,0,0,0,"aatkins,jcowan,ddemarre,bjagt,mlabar,srueschem,jwilliams",True,2026-07-25-DC-NY,0,0,1,1,720.0,1,2,True,True,2,home,2,1785002959.0,18,False,"adowney,khealey,ilee,lblumenfe,jlightner,cjurek,mwagner",3,5,f91de18d70798ccad685750a7c23d8936c2abc9e79af1aa340176f28ae29689c,1785002959.0,False,2,716.090909090909,13.54393222074,-1.09,13.5,4.61609019034115,5135d9012826d1af0d2bbf032e66fce9f6fde6bf72534f213932102f9a21bec7,0.979531911987645,0.0204680880123554,0.635921079098323,0.694405849815559,0.729736594607253,0.90005896931746,2876.09090909091,0.0,0.641,0.0353307447916938,0.0970414455860115,5.0,06ee91f5336e99323f129e77b6f0c930f1c115e8,2026-08-18 08:07:04,2026-07-25 18:13:19,2026-07-25-DC-NY,empire,breeze,23,15,2026-07-25 14:00:00
ddemarre,-5.39,35.52,mlabar,-11.87,59.52,0,0,0,"aatkins,jcowan,ddemarre,bjagt,mlabar,srueschem,jwilliams",True,2026-07-25-DC-NY,0,0,1,1,720.0,1,3,True,True,3,home,3,1785002961.0,18,False,"adowney,khealey,ilee,lblumenfe,jlightner,cjurek,mwagner",4,6,c6321f32710202584d5a3c5acabaff98187ad42f9281199671eff1fc2f0c270d,1785002961.0,False,3,712.181818181818,24.8594127042455,-6.48,24.0,15.1095751223405,755263cf2961888e67adae1a2dda9cd1f69b220981888ad8c97d5d9cd1028fcc,0.924723155204376,0.0752768447956241,0.635921079098323,0.725039084556015,0.803544623916159,0.806681323131241,2872.18181818182,0.0,0.655,0.0785055393601444,0.215627807195533,6.0,6a5e4758ac71a4b7597d7624aadbab87e0cae779,2026-08-18 08:07:04,2026-07-25 18:13:19,2026-07-25-DC-NY,empire,breeze,23,15,2026-07-25 14:00:00
mlabar,-11.87,59.52,ddemarre,1.43,60.47,0,0,0,"aatkins,jcowan,ddemarre,bjagt,mlabar,srueschem,jwilliams",True,2026-07-25-DC-NY,0,0,1,1,720.0,1,4,True,True,4,home,4,1785002965.0,18,False,"adowney,khealey,ilee,lblumenfe,jlightner,cjurek,mwagner",5,7,c542cb4ffc4f8869e0639015ab2899fd3532d4732f3ab51acab6f564ac9f481c,1785002965.0,False,4,708.272727272727,13.3338854052373,13.3,0.949999999999996,-85.9143832200251,43e43e81514aae268ce7617e71c29df051e0f09e94e1988f895f1bb9eac7c437,0.977499692759011,0.0225003072409894,0.635921079098323,0.799990829923544,0.806451581304403,0.80288957086777,2868.27272727273,0.0,0.656,0.00646075138085866,0.0177454694846326,7.0,7b63935eca149e12c90da08aa95f318fa5d5d6a4,2026-08-18 08:07:04,2026-07-25 18:13:19,2026-07-25-DC-NY,empire,breeze,23,15,2026-07-25 14:00:00
ddemarre,1.43,60.47,jcowan,-17.46,61.77,0,0,0,"aatkins,jcowan,ddemarre,bjagt,mlabar,srueschem,jwilliams",True,2026-07-25-DC-NY,0,0,1,1,720.0,1,5,True,True,5,home,5,1785002970.0,18,False,"adowney,khealey,ilee,lblumenfe,jlightner,cjurek,mwagner",6,8,6d7f20c17f76085a830c313a5bd953d6ed6c1cbca00cefb72cb76f3a55440f7a,1785002970.0,False,5,704.363636363636,18.9346798230126,-18.89,1.3,86.0631414945299,6ae1ae1ec0efc8c2e61b75d5ae4ae19a1c173fdf7fe0c1b1f419be03987642c3,0.973585078918096,0.0264149210819039,0.635921079098323,0.803142379470202,0.797026652151851,0.780967110461076,2864.36363636364,0.0,0.653,-0.00611572731835086,-0.0167978066491866,8.0,be1d0f7fdc73fe33eef2a3376e13b34febb2539b,2026-08-18 08:07:04,2026-07-25 18:13:19,2026-07-25-DC-NY,empire,breeze,23,15,2026-07-25 14:00:00
jcowan,-17.46,61.77,mlabar,-5.73,67.09,0,0,0,"aatkins,jcowan,ddemarre,bjagt,mlabar,srueschem,jwilliams",True,2026-07-25-DC-NY,0,0,1,1,720.0,1,6,True,True,6,home,6,1785002972.0,18,False,"adowney,khealey,ilee,lblumenfe,jlightner,cjurek,mwagner",7,9,656ea9a3999d619e5e067a94177aa735559b175f5c4e434cf3f2a11c11a6291c,1785002972.0,False,6,700.454545454545,12.8800349378408,11.73,5.32,-65.6039052054751,6cba4b3feb0551a68182ac5d51847eaaaa47a3be22e6bd417a199adf28d0c74c,0.971300055306211,0.0286999446937894,0.635921079098323,0.793804083290092,0.825508676494329,0.770874036949807,2860.45454545455,0.0,0.659,0.0317045932042367,0.0870816501150827,9.0,571519155e9683b2f6147785bab3a9a365ac3be5,2026-08-18 08:07:04,2026-07-25 18:13:19,2026-07-25-DC-NY,empire,breeze,23,15,2026-07-25 14:00:00
mlabar,-5.73,67.09,jwilliams,-12.76,77.52,0,0,0,"aatkins,jcowan,ddemarre,bjagt,mlabar,srueschem,jwilliams",True,2026-07-25-DC-NY,0,0,1,1,720.0,1,7,True,True,7,home,7,1785002977.0,18,False,"adowney,khealey,ilee,lblumenfe,jlightner,cjurek,mwagner",8,10,e959ec5a52d019a04a4c2eb45e4ffe4d22f122cab9137be32d6596d254924438,1785002977.0,False,7,696.545454545455,12.5779887104417,-7.03,10.43,33.9806500243762,62428aa019a49df4ee1ef3145ebdc46aa72847aa74a39c6dc35fd25c90157286,0.971699694435794,0.0283003055642058,0.635921079098323,0.822816668288365,0.861606863359231,0.725741955045485,2856.54545454545,0.0,0.667,0.0387901950708663,0.106543369703466,10.0,69446596f72cc75dc29ac312d1bc1a8b1b8a87d2,2026-08-18 08:07:04,2026-07-25 18:13:19,2026-07-25-DC-NY,empire,breeze,23,15,2026-07-25 14:00:00
jwilliams,-12.76,77.52,jcowan,-19.37,88.36,0,0,0,"aatkins,jcowan,ddemarre,bjagt,mlabar,srueschem,jwilliams",True,2026-07-25-DC-NY,0,0,1,1,720.0,1,8,True,True,8,home,8,1785002983.0,18,False,"adowney,khealey,ilee,lblumenfe,jlightner,cjurek,mwagner",9,11,24f501db61daeee63e0eb2c81634746dcc4b2d5f9a7a07d8a6a6c4712fd3d54e,1785002983.0,False,8,692.636363636364,12.6963656217045,-6.61,10.84,31.3739448927616,27436104b3f11a88edff3ffee3e855705bee4d3808d5ae4fcd896862a738e37e,0.973412181248704,0.0265878187512957,0.635921079098323,0.859521020075924,0.892999209250489,0.668405156357065,2852.63636363636,0.0,0.675,0.0334781891745649,0.0919531103082071,11.0,b85b71c4507db204e28a41cc68e065591ef7f28e,2026-08-18 08:07:04,2026-07-25 18:13:19,2026-07-25-DC-NY,empire,breeze,23,15,2026-07-25 14:00:00
jcowan,-19.37,88.36,mlabar,-11.33,79.02,0,0,0,"aatkins,jcowan,ddemarre,bjagt,mlabar,srueschem,jwilliams",True,2026-07-25-DC-NY,0,0,1,1,720.0,1,9,True,True,9,home,9,1785002988.0,18,False,"adowney,khealey,ilee,lblumenfe,jlightner,cjurek,mwagner",10,12,a3c54213e7182d07e5abc8d3ddd019a482af26b361e8c1e2cf75038ee3ead9d4,1785002988.0,False,9,688.727272727273,12.3238468020339,8.04,-9.34,-139.277679420902,44e11c0b919a8c608f82d10dc931afd40bb424d5211b33defbfac34f273afe45,0.968773605667127,0.0312263943328731,0.635921079098323,0.891439039129628,0.864444975762718,0.715759974346211,2848.72727272727,0.0,0.667,-0.0269940633669103,-0.0741434392852432,12.0,c84bff5e75d13fbd6774e4b5b10e39b3724b92f6,2026-08-18 08:07:04,2026-07-25 18:13:19,2026-07-25-DC-NY,empire,breeze,23,15,2026-07-25 14:00:00
mlabar,-11.33,79.02,ddemarre,-10.92,91.43,0,0,0,"aatkins,jcowan,ddemarre,bjagt,mlabar,srueschem,jwilliams",True,2026-07-25-DC-NY,0,0,1,1,720.0,1,10,True,True,10,home,10,1785002990.0,18,False,"adowney,khealey,ilee,lblumenfe,jlightner,cjurek,mwagner",11,13,141ad2fcbcc0d28cf3e822928ba92b154d19dabaa6119f3a59ab9b573014c48b,1785002990.0,False,10,684.818181818182,12.4167709167883,0.41,12.41,-1.89224240760547,e4fcf3f504ff2507113c4b8533ccf0e4f4f1a2ab54a8852dbb53e28caf79b654,0.963169761232827,0.0368302387671733,0.635921079098323,0.862665865301896,0.909199811400002,0.674873740482486,2844.81818181818,0.0,0.678,0.0465339460981062,0.127812799441562,13.0,babbfd331594aa6eb09d3dae3bc1c15efe5f807f,2026-08-18 08:07:04,2026-07-25 18:13:19,2026-07-25-DC-NY,empire,breeze,23,15,2026-07-25 14:00:00
