Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
alaviolet,-0.82,12.68,jlouie,-1.78,19.99,0,0,0,"tbrooks1,zthoreson,dhawkins,gsanner,alaviolet,jfairfax,jlouie",False,2026-08-07-CAR-ATX,0,0,1,1,720.0,1,1,True,True,1,away,1,1786147809.0,18,False,"marmour,abarcio,cchanler,bdial,ggust,ojohnson,jwylie",2,3,043e690d0ed345d7e18b77b564107501e313840506ace92b689587f9b98b820d,1786147809.0,False,1,720.0,7.37276745869555,-0.96,7.31,7.48166447501941,2ffbc16e5bc6155c5414e74f52143e1523c78b13a32b09e50b15926d3d518e1a,0.991585244045163,0.00841475595483709,0.676728683141018,0.679621641349865,0.695288068912185,0.94659718598278,2880.0,0.0,0.521,0.0156664275623202,0.0484621639635113,3.0,9a3ef50eda3f77aa32562dea3eb4c987d8f66108,2026-08-18 08:07:04,2026-08-08 00:13:46,2026-08-07-CAR-ATX,sol,flyers,24,23,2026-08-07 19:00:00
jlouie,-1.78,19.99,tbrooks1,-10.78,30.34,0,0,0,"tbrooks1,zthoreson,dhawkins,gsanner,alaviolet,jfairfax,jlouie",False,2026-08-07-CAR-ATX,0,0,1,1,720.0,1,2,True,True,2,away,2,1786147811.0,18,False,"marmour,abarcio,cchanler,bdial,ggust,ojohnson,jwylie",3,5,82cf30cd8f97ec85defdb3c8b660237ed28f656ddac7fa713bc9f44dc350d48f,1786147811.0,False,2,715.32,13.7157755887154,-9.0,10.35,41.0090869015702,c81432ac94f6999e16e16f80c6f5ac7c8b1f015541b21f3aa7a2144cecef07e4,0.981463396325671,0.0185366036743292,0.676728683141018,0.688931116439357,0.712071655947555,0.915268008419695,2875.32,0.0,0.517,0.0231405395081973,0.0715824086499196,5.0,f29653a96067107e7853458b09aeb398bc9de706,2026-08-18 08:07:04,2026-08-08 00:13:46,2026-08-07-CAR-ATX,sol,flyers,24,23,2026-08-07 19:00:00
tbrooks1,-10.78,30.34,zthoreson,-18.62,43.36,0,0,0,"tbrooks1,zthoreson,dhawkins,gsanner,alaviolet,jfairfax,jlouie",False,2026-08-07-CAR-ATX,0,0,1,1,720.0,1,3,True,True,3,away,3,1786147814.0,18,False,"marmour,abarcio,cchanler,bdial,ggust,ojohnson,jwylie",4,6,6e64fd51568e12a1c04f85e1cbef8495efb0714fa6da46058e7a6e66da82697e,1786147814.0,False,3,710.64,15.1982235804057,-7.84,13.02,31.0542711163528,c25b84b28aa23edf731ff679026d85c79d3ce20605f53aa5a941536f57353f4c,0.979082423652297,0.0209175763477027,0.676728683141018,0.706320371455914,0.730892819518568,0.857394753408704,2870.64,0.0,0.512,0.0245724480626545,0.0760118413888651,6.0,a74b9275f420af728972fad1e40033a16125de2e,2026-08-18 08:07:04,2026-08-08 00:13:46,2026-08-07-CAR-ATX,sol,flyers,24,23,2026-08-07 19:00:00
zthoreson,-18.62,43.36,tbrooks1,-21.15,33.61,0,0,0,"tbrooks1,zthoreson,dhawkins,gsanner,alaviolet,jfairfax,jlouie",False,2026-08-07-CAR-ATX,0,0,1,1,720.0,1,4,True,True,4,away,4,1786147822.0,18,False,"marmour,abarcio,cchanler,bdial,ggust,ojohnson,jwylie",5,7,3a09f10b49de85db990f5f657e7cfdbe45a817e733411939ca0cdb403b71c753,1786147822.0,False,4,705.96,10.0729042485273,-2.53,-9.75,165.453309203634,6442ecdda45c1605651d7153e894a143cc133264b4107c3e3aadd82c972dd5b1,0.990804904361469,0.00919509563853138,0.676728683141018,0.725748125956612,0.681994210579567,0.886535198687573,2865.96,0.0,0.522,-0.0437539153770446,-0.135347347863006,7.0,e022d178e3146ef37a9a9f3d4ccd79e356a09c53,2026-08-18 08:07:04,2026-08-08 00:13:46,2026-08-07-CAR-ATX,sol,flyers,24,23,2026-08-07 19:00:00
tbrooks1,-21.15,33.61,zthoreson,-0.82,34.7,0,0,0,"tbrooks1,zthoreson,dhawkins,gsanner,alaviolet,jfairfax,jlouie",False,2026-08-07-CAR-ATX,0,0,1,1,720.0,1,5,True,True,5,away,5,1786147824.0,18,False,"marmour,abarcio,cchanler,bdial,ggust,ojohnson,jwylie",6,8,d42af374754fa27931162144f8528939450af5dbc8f5755a192aa9597b8220dc,1786147824.0,False,5,701.28,20.3591993948682,20.33,1.09,-86.931005377811,dd05047c065919164e44a4bb62a3fad590cba22e6604e184a6796ef669beb447,0.965380339487989,0.0346196605120109,0.676728683141018,0.676728683141018,0.711131206661839,0.89547347778087,2861.28,0.0,0.516,0.0344025235208207,0.106419969006492,8.0,9869f6788b0e9e0b852833b6d0fd8bf12b2c576f,2026-08-18 08:07:04,2026-08-08 00:13:46,2026-08-07-CAR-ATX,sol,flyers,24,23,2026-08-07 19:00:00
zthoreson,-0.82,34.7,dhawkins,11.45,34.43,0,0,0,"tbrooks1,zthoreson,dhawkins,gsanner,alaviolet,jfairfax,jlouie",False,2026-08-07-CAR-ATX,0,0,1,1,720.0,1,6,True,True,6,away,6,1786147827.0,18,False,"marmour,abarcio,cchanler,bdial,ggust,ojohnson,jwylie",7,9,f1a2edb006830159d372a1a48bf5492df7d643295e3df91923afa553b97e64d0,1786147827.0,False,6,696.6,12.2729703006241,12.27,-0.270000000000003,-91.2605838858954,aa862d01343463fc1911619a44e253a7d5305daa7cca1f5e7afc9643b3a13f91,0.986112362148888,0.0138876378511124,0.676728683141018,0.706507258430512,0.701797524086135,0.892784802368659,2856.6,0.0,0.517,-0.00470973434437616,-0.0145689830763137,9.0,3bfe44175691b36b6807f7a52e91ac964eeb71b6,2026-08-18 08:07:04,2026-08-08 00:13:46,2026-08-07-CAR-ATX,sol,flyers,24,23,2026-08-07 19:00:00
dhawkins,11.45,34.43,zthoreson,-4.57,38.65,0,0,0,"tbrooks1,zthoreson,dhawkins,gsanner,alaviolet,jfairfax,jlouie",False,2026-08-07-CAR-ATX,0,0,1,1,720.0,1,7,True,True,7,away,7,1786147829.0,18,False,"marmour,abarcio,cchanler,bdial,ggust,ojohnson,jwylie",8,10,8948d3b25461478ebdf555566c8c1732735f154331aed5815bdf127fce9995a3,1786147829.0,False,7,691.92,16.5664963103246,-16.02,4.22,75.2423543864961,8bd41db0dab7a6f96cfcbcd746ff74816489eac83df11def1c2f4fdd3b18494a,0.975860936468793,0.0241390635312067,0.676728683141018,0.697448922354447,0.714135846423873,0.876529390477044,2851.92,0.0,0.514,0.0166869240694262,0.0516189442093478,10.0,6e909c15a93197c0918c042cfa07bc1151f84cc0,2026-08-18 08:07:04,2026-08-08 00:13:46,2026-08-07-CAR-ATX,sol,flyers,24,23,2026-08-07 19:00:00
zthoreson,-4.57,38.65,jlouie,6.61,46.97,0,0,0,"tbrooks1,zthoreson,dhawkins,gsanner,alaviolet,jfairfax,jlouie",False,2026-08-07-CAR-ATX,0,0,1,1,720.0,1,8,True,True,8,away,8,1786147834.0,18,False,"marmour,abarcio,cchanler,bdial,ggust,ojohnson,jwylie",9,11,39d88977bfbaccea1c3dae9099013e55397679c96981f4ee710cb01f4a9d682b,1786147834.0,False,8,687.24,13.9360970145877,11.18,8.32,-53.3438915840331,7bf54b1402ca092cc344c1c67becc1098849a7de0a8555f8b7d41ee5aad2b823,0.978052317530688,0.021947682469312,0.676728683141018,0.710232930159518,0.738248029084586,0.841136574454505,2847.24,0.0,0.508,0.0280150989250679,0.0866612577857897,11.0,7907cefd020c9f5d8f55ada415fba337be4b7d92,2026-08-18 08:07:04,2026-08-08 00:13:46,2026-08-07-CAR-ATX,sol,flyers,24,23,2026-08-07 19:00:00
jlouie,6.61,46.97,gsanner,15.14,50.99,0,0,0,"tbrooks1,zthoreson,dhawkins,gsanner,alaviolet,jfairfax,jlouie",False,2026-08-07-CAR-ATX,0,0,1,1,720.0,1,9,True,True,9,away,9,1786147839.0,18,False,"marmour,abarcio,cchanler,bdial,ggust,ojohnson,jwylie",10,12,292b8bafe6112ccc1df88e4653675d62780a723f9f149e92f65cc19cf9d4394d,1786147839.0,False,9,682.56,9.42980911789841,8.53,4.02,-64.7665369215348,994fb69d4b63107aaa3acca8a4d793b6e2f23bcdddb871c8f9357b0b66c4c94f,0.986368862298039,0.0136311377019607,0.676728683141018,0.734862560692374,0.741071714854146,0.816473393028601,2842.56,0.0,0.507,0.00620915416177159,0.0192072535915092,12.0,b8cb7d946287f325b779feac712dece8d1cdea98,2026-08-18 08:07:04,2026-08-08 00:13:46,2026-08-07-CAR-ATX,sol,flyers,24,23,2026-08-07 19:00:00
gsanner,15.14,50.99,tbrooks1,21.27,54.4,0,0,0,"tbrooks1,zthoreson,dhawkins,gsanner,alaviolet,jfairfax,jlouie",False,2026-08-07-CAR-ATX,0,0,1,1,720.0,1,10,True,True,10,away,10,1786147841.0,18,False,"marmour,abarcio,cchanler,bdial,ggust,ojohnson,jwylie",11,13,1b6fa76135a01ce7b1ea7c91180fc2cd31b0096caf3a1cf6a4d55ea247028637,1786147841.0,False,10,677.88,7.01462757386306,6.13,3.41,-60.9136618806214,8066687552340a57c75bd4a11901e6fece1f1360f601c68140ea51ef40119fd0,0.988972777671201,0.0110272223287987,0.676728683141018,0.738006699829546,0.730226841066306,0.78164251494817,2837.88,0.0,0.509,-0.00777985876324006,-0.0240660348057845,13.0,af9e9376716e9998111563d24b1177b076631f9f,2026-08-18 08:07:04,2026-08-08 00:13:46,2026-08-07-CAR-ATX,sol,flyers,24,23,2026-08-07 19:00:00
