Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
lsovellfe,-3.2,19.61,ndemorgan,-18.93,25.61,0,0,0,"glarson,gcousins,zmorton,wbrandt,bvohnoutk,lsovellfe,ndemorgan",True,2026-08-08-IND-MIN,0,0,1,1,720.0,1,1,True,True,1,home,1,1786230726.0,18,False,"xpayne,cconcanno,cblalack,jgalle,kcreed,nlittle,wwettenge",2,2,e99027a9e8cf527d9eaf108d0071588ba2a0c5b6fbce65cfd27e4aea1e78d627,1786230726.0,False,1,720.0,16.8354655415287,-15.73,6.0,69.1213109341336,c303da5e117b09d316ee8dc12db40ceba8f5e505874e22bb14e2e6375e8f4356,0.984985985616195,0.0150140143838046,0.676673637330684,0.694295472362678,0.688725868098385,0.925106797784673,2880.0,0.0,0.634,-0.00556960426429209,-0.0172259515689058,2.0,5b040f20899745bf458d24173a61ca4ce7ba44a1,2026-08-18 08:07:04,2026-08-08 23:13:52,2026-08-08-IND-MIN,windchill,alleycats,22,20,2026-08-08 18:00:00
ndemorgan,-18.93,25.61,,-7.91,99.41,1,0,0,"glarson,gcousins,zmorton,wbrandt,bvohnoutk,lsovellfe,ndemorgan",True,2026-08-08-IND-MIN,0,0,1,1,720.0,1,2,True,True,2,home,2,1786230736.0,22,False,"xpayne,cconcanno,cblalack,jgalle,kcreed,nlittle,wwettenge",3,3,ab4e9f994a3e1e6824592906fd898f9f0ab2b00b1c35ec71876a761f2b607de6,1786230736.0,False,2,711.0,74.6182310162872,11.02,73.8,-8.49279775504081,8f74add414a752654b0561888323e238565fed7fbcc6f654c8e7c62f688fae4e,0.477963491016892,-0.477963491016892,0.676673637330684,0.676673637330684,0.941938219374636,0.683548490447639,2871.0,0.0,0.523,-0.683548490447639,-0.683548490447639,3.0,e83eb048a771792335c2976f07e5fb742235b6bc,2026-08-18 08:07:04,2026-08-08 23:13:52,2026-08-08-IND-MIN,windchill,alleycats,22,20,2026-08-08 18:00:00
cblalack,15.2,31.7,cconcanno,21.55,41.79,0,0,0,"xpayne,cconcanno,cblalack,jgalle,kcreed,nlittle,wwettenge",False,2026-08-08-IND-MIN,0,0,1,1,720.0,2,1,False,False,3,away,3,1786230860.0,18,False,"glarson,gcousins,zmorton,wbrandt,bvohnoutk,lsovellfe,ndemorgan",4,12,e3eed7a249ac98de61d4e1a476113f3b6154fa25972ed073c5e216ba101071fe,1786230860.0,False,3,702.0,11.9218538826812,6.35,10.09,-32.1836837157389,f852ab73be49293554b9e4666c261a8944f18a26dd338d2c5e5c91bd7c721481,0.983168880960353,0.0168311190396466,0.691121170535408,0.692600402717538,0.700029581702879,0.851050225105438,2862.0,0.0,0.518,0.00742917898534057,0.0240520821650945,12.0,9d1f37693f12b61b0e0f786fd44c0a97cb58d867,2026-08-18 08:07:04,2026-08-08 23:18:55,2026-08-08-IND-MIN,windchill,alleycats,22,20,2026-08-08 18:00:00
cconcanno,21.55,41.79,,21.55,41.79,1,0,0,"xpayne,cconcanno,cblalack,jgalle,kcreed,nlittle,wwettenge",False,2026-08-08-IND-MIN,0,0,1,1,720.0,2,2,False,False,4,away,4,1786230862.0,22,False,"glarson,gcousins,zmorton,wbrandt,bvohnoutk,lsovellfe,ndemorgan",5,13,07054c4122008ad4815c6d16eae065b7ca1f34a206d9a2e4f7a88a84be535bcb,1786230862.0,False,4,693.0,0.0,0.0,0.0,-90.0,e0f2a31ee252bf5263df99acad92a1a5d618efbb88ea02d7faabb6cc12f1c2db,0.5,-0.5,0.691121170535408,0.691121170535408,0.691121170535408,0.84563780040278,2853.0,0.0,0.663,-0.84563780040278,-0.84563780040278,13.0,35b1d61568c44ef9821b46b4a9830b7085cfa3d4,2026-08-18 08:07:04,2026-08-08 23:18:55,2026-08-08-IND-MIN,windchill,alleycats,22,20,2026-08-08 18:00:00
wbrandt,-19.13,85.8,glarson,-18.09,93.16,0,0,0,"glarson,gcousins,zmorton,wbrandt,bvohnoutk,lsovellfe,ndemorgan",True,2026-08-08-IND-MIN,0,0,1,1,720.0,3,1,True,True,5,home,4,1786230776.0,18,False,"xpayne,cconcanno,cblalack,jgalle,kcreed,nlittle,wwettenge",5,5,02464628d29e647ba09bbbff9d6330f063461acaaef7a19836e06dfb89d33729,1786230776.0,False,5,684.0,7.43311509395623,1.04,7.36,-8.04289423350531,10e4c8cf5d3c3a36770b30e7ca87ee631088008877cc30ca6f2f7b04e4b6eedf,0.978184075408967,0.0218159245910325,0.88012422645143,0.88012422645143,0.909467257785216,0.652299214043705,2844.0,0.0,0.678,0.0293430313337866,0.244778660985221,5.0,d871eba527af3bc629ece0adf5bd1dca25de51ff,2026-08-18 08:07:04,2026-08-08 23:13:52,2026-08-08-IND-MIN,windchill,alleycats,22,20,2026-08-08 18:00:00
glarson,-18.09,93.16,bvohnoutk,-22.42,102.83,0,0,0,"glarson,gcousins,zmorton,wbrandt,bvohnoutk,lsovellfe,ndemorgan",True,2026-08-08-IND-MIN,1,0,1,1,720.0,3,2,True,True,6,home,5,1786230787.0,19,False,"xpayne,cconcanno,cblalack,jgalle,kcreed,nlittle,wwettenge",6,6,47ce28804ec050d20c3ee969c0cb847eeea95545b1ce71908df85a7756bc3ce6,1786230787.0,False,6,675.0,10.5951781485731,-4.33,9.67,24.1217197678889,5c1144a3e8e2a0745d728046a3c4a5f7bf964bb58389ad6436c1aacff697baaf,0.962742119253572,0.0372578807464284,0.88012422645143,0.906952362182212,1.0,0.603992262209244,2835.0,0.0,0.684,0.0930476378177885,0.77620052045035,6.0,f1c0f77e75c4aedd52e49bb9304b64324f6c6521,2026-08-18 08:07:04,2026-08-08 23:13:52,2026-08-08-IND-MIN,windchill,alleycats,22,20,2026-08-08 18:00:00
sbontemps,-1.64,19.63,chawkins,1.97,27.68,0,0,0,"chawkins,ehawkins,jfelton,sgudeman,sbontemps,cchamberl,cbrock",False,2026-08-08-IND-MIN,1,0,1,2,666.0,1,1,True,True,7,away,7,1786230914.0,18,False,"clacy,jburnett,ksuelflow,lambrose,mdavis,pkrenik,nhanson",8,21,40970e49bfe664a48a01e045a36813992eedc794f275a89a3b006abc890c47c7,1786230914.0,False,7,666.0,8.82239196590131,3.61,8.05,-24.153715978415,d0903c4fb651f275a06808cb7b0c91eed7161b8ec24ccaca247c21fa4a9f9dc0,0.98914560210616,0.0108543978938396,0.641957451501027,0.641957451501027,0.663032603231104,0.908571590497045,2826.0,1.0,0.697,0.0210751517300767,0.0588621431124048,21.0,26135c01c227ce6f9a48fd56c7e5e0edbf545d79,2026-08-18 08:07:04,2026-08-08 23:18:55,2026-08-08-IND-MIN,windchill,alleycats,22,20,2026-08-08 18:00:00
chawkins,1.97,27.68,sbontemps,-10.58,45.88,0,0,0,"chawkins,ehawkins,jfelton,sgudeman,sbontemps,cchamberl,cbrock",False,2026-08-08-IND-MIN,1,0,1,2,666.0,1,2,True,True,8,away,8,1786230917.0,18,False,"clacy,jburnett,ksuelflow,lambrose,mdavis,pkrenik,nhanson",9,22,bb51b925de7f25e19c3d6858dfb141b0ae54413dbe45f4ce74d0d8534a8f07e2,1786230917.0,False,8,660.333333333333,22.107521344556,-12.55,18.2,34.5886102219582,8824d1722e7b8c141d8d78c6aca82ce0d024caeb56642745ce19ad3d3cad55e0,0.951366178586646,0.0486338214133536,0.641957451501027,0.660100506597116,0.71662102080423,0.833280334696948,2820.33333333333,1.0,0.688,0.0565205142071133,0.157859769583434,22.0,ee94d888219995b1989c8f7954e3d9a318f2eba5,2026-08-18 08:07:04,2026-08-08 23:18:55,2026-08-08-IND-MIN,windchill,alleycats,22,20,2026-08-08 18:00:00
sbontemps,-10.58,45.88,,-8.94,99.74,1,0,0,"chawkins,ehawkins,jfelton,sgudeman,sbontemps,cchamberl,cbrock",False,2026-08-08-IND-MIN,1,0,1,2,666.0,1,3,True,True,9,away,9,1786230921.0,22,False,"clacy,jburnett,ksuelflow,lambrose,mdavis,pkrenik,nhanson",10,23,093e18f619f250936c8ad634d3f46ee9ba1e608b83d77c402aeee0b5d57eba2b,1786230921.0,False,9,654.666666666667,53.884962651931,1.64,53.86,-1.74407824552996,c660696679272f9da852ca75b045f68a992e484381a2b921f4f139fcaec9da65,0.633804203799092,-0.633804203799092,0.641957451501027,0.714330211417195,0.930460593499192,0.635999990183669,2814.66666666667,1.0,0.774,-0.635999990183669,-0.635999990183669,23.0,0e2d555cd8ba21633770b3a4289136331e5474ed,2026-08-18 08:07:04,2026-08-08 23:18:55,2026-08-08-IND-MIN,windchill,alleycats,22,20,2026-08-08 18:00:00
pkrenik,-11.07,20.0,mdavis,-8.87,44.25,0,0,0,"clacy,jburnett,ksuelflow,lambrose,mdavis,pkrenik,nhanson",True,2026-08-08-IND-MIN,1,0,1,2,649.0,2,1,False,False,10,home,9,1786230886.0,18,False,"chawkins,ehawkins,jfelton,sgudeman,sbontemps,cchamberl,cbrock",10,16,65fdfd7c03fab28367840459fe8440d7a55195e1132f93966e1326c08fe895fe,1786230886.0,False,10,649.0,24.3495893189187,2.2,24.25,-5.18377715483408,fe9933562ee94bf2a5f13825ae009d65cf294fc9dfd740667140ae876879e494,0.931860044427235,0.0681399555727654,0.631761480578866,0.631761480578866,0.707429740805389,0.838309703820535,2809.0,1.0,0.783,0.0756682602265228,0.205487085776557,16.0,0d239f5582e39d22fe10b46c513b1f2a781e9567,2026-08-18 08:07:04,2026-08-08 23:18:55,2026-08-08-IND-MIN,windchill,alleycats,22,20,2026-08-08 18:00:00
