Thrower,ThrowerX,ThrowerY,Receiver,ReceiverX,ReceiverY,turnover,DroppedThrow,stall,offensive_line,is_home_team,GameID,home_team_score,away_team_score,game_quarter,quarter_point,PointStartTime,possession_num,possession_throw,start_on_offense,o_line,event_id,source_side,source_side_idx,source_timestamp,source_event_type,is_callahan,defensive_line,source_event_id,global_event_seq,event_sig_id,derived_sort_timestamp,sort_timestamp_imputed,event_id_calc,time_left,throw_distance,x_diff,y_diff,throw_angle,throw_sig_id,cp,cpoe,min_fv,fv_thrower,fv_receiver,fv_opponent,game_time_left,score_diff,win_prob,ec,aec,source_global_event_seq,source_throw_hash,insert_timestamp,original_insert_timestamp,game_id,home_team_id,away_team_id,home_score_final,away_score_final,start_timestamp
beberhard,21.48,15.27,aatkins,6.41,23.72,0,0,0,"aatkins,ddemarre,bjagt,mlabar,srueschem,jwilliams,beberhard",False,2026-08-08-NY-BOS,0,0,1,1,720.0,1,1,True,True,1,away,1,1786230502.0,18,False,"bmccann,jtapper,tchan,tjohnson1,ograff,ldecraene,mmcdonnel",2,4,73f0c3c6d4104ebda5573c01fb189c98100c244dc4f0fbedecc97d93c6046037,1786230502.0,False,1,720.0,17.2773666975034,-15.07,8.45,60.7199245796542,db25515cedad7c46346a723f5da365b811bce67f24679bd3400ecf79f2b1b835,0.972669734160389,0.027330265839611,0.648207083687576,0.648207083687576,0.703340900064003,0.937115638750535,2880.0,0.0,0.519,0.055133816376427,0.156722360854655,4.0,7d1aa57d6ce8ffb5cdfe6cd960d2d7ab1b497d71,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
aatkins,6.41,23.72,srueschem,-8.33,21.2,0,0,0,"aatkins,ddemarre,bjagt,mlabar,srueschem,jwilliams,beberhard",False,2026-08-08-NY-BOS,0,0,1,1,720.0,1,2,True,True,2,away,2,1786230505.0,18,False,"bmccann,jtapper,tchan,tjohnson1,ograff,ldecraene,mmcdonnel",3,5,458c5d441af9a4de7e2faaeba80fa7335d6d28e31a92183c87d5627d83ca6941,1786230505.0,False,2,715.857142857143,14.9538623773258,-14.74,-2.52,99.7016831309902,23bc1fb1883c5a5ef84a719ec7b58e17102865b5ea9ecf8e4ceecd92927d556c,0.985704123067987,0.014295876932013,0.648207083687576,0.697780206740856,0.691180956851432,0.941904532559032,2875.85714285714,0.0,0.522,-0.00659924988942395,-0.0187589049790964,5.0,07e6c69fe9283fd4e645713325920c63a9d9f21b,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
srueschem,-8.33,21.2,jwilliams,5.66,29.25,0,0,0,"aatkins,ddemarre,bjagt,mlabar,srueschem,jwilliams,beberhard",False,2026-08-08-NY-BOS,0,0,1,1,720.0,1,3,True,True,3,away,3,1786230509.0,18,False,"bmccann,jtapper,tchan,tjohnson1,ograff,ldecraene,mmcdonnel",4,6,5287e6891e377a50917ffdf6a0d7fe55a8e6d543e474ab0abda21dafa2368fb6,1786230509.0,False,3,711.714285714286,16.1407124997628,13.99,8.05,-60.0834035942568,62c64a888634d694def80b46af30db7882fa5162e87c8cfd2e5d6feceaa25343,0.978367522346316,0.0216324776536844,0.648207083687576,0.685823896785878,0.706860297625019,0.917954149703692,2871.71428571429,0.0,0.518,0.0210364008391412,0.0597976817147135,6.0,8ffb62deee9ecc28c9d0568cbf73bb7b9fa545a2,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
jwilliams,5.66,29.25,aatkins,-3.82,22.43,0,0,0,"aatkins,ddemarre,bjagt,mlabar,srueschem,jwilliams,beberhard",False,2026-08-08-NY-BOS,0,0,1,1,720.0,1,4,True,True,4,away,4,1786230513.0,18,False,"bmccann,jtapper,tchan,tjohnson1,ograff,ldecraene,mmcdonnel",5,7,2d06141ce0b8cecfcf0f2ae110a0177e8e5ae3728d3f2eb466549377142bea0a,1786230513.0,False,4,707.571428571429,11.6783046714838,-9.48,-6.82,125.731590699158,1465996a4aa8b88f8b213e423fe6fc334791058ed63f3489c1e0a702fc8146a8,0.990214767704781,0.00978523229521899,0.648207083687576,0.701969390407542,0.684771707975211,0.936244004341811,2867.57142857143,0.0,0.522,-0.0171976824323308,-0.0488858121778032,7.0,b07b0a6842221fe7d4a3277ad2369757e3848056,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
aatkins,-3.82,22.43,beberhard,7.91,24.06,0,0,0,"aatkins,ddemarre,bjagt,mlabar,srueschem,jwilliams,beberhard",False,2026-08-08-NY-BOS,0,0,1,1,720.0,1,5,True,True,5,away,5,1786230516.0,18,False,"bmccann,jtapper,tchan,tjohnson1,ograff,ldecraene,mmcdonnel",6,8,9c8e8ae791d0190d5836fdc2ccfe7c72ba1785f44252305003174f0315c6dec3,1786230516.0,False,5,703.428571428571,11.8427108383174,11.73,1.63,-82.0888439104686,38b90d8dac3c58484e873dae676e07605308dd42bb9e532d018e57c3f47c1549,0.987686543621089,0.0123134563789106,0.648207083687576,0.679994478437247,0.683025842046681,0.93004348106887,2863.42857142857,0.0,0.522,0.00303136360943468,0.00861689780797791,8.0,d5ceef5091fe4ca2769899cdce31bb3d8c65fe7c,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
beberhard,7.91,24.06,ddemarre,23.66,39.75,0,0,0,"aatkins,ddemarre,bjagt,mlabar,srueschem,jwilliams,beberhard",False,2026-08-08-NY-BOS,0,0,1,1,720.0,1,6,True,True,6,away,6,1786230519.0,18,False,"bmccann,jtapper,tchan,tjohnson1,ograff,ldecraene,mmcdonnel",7,9,2c78081d4aa618d2fcb9296bbcb99115cd63f79ac737a3bd781c5e772734cd9a,1786230519.0,False,6,699.285714285714,22.2314776836809,15.75,15.69,-45.1093429579324,898d86ca2fd950d2b59a1c4455aefe4375e23cc30d04920d3a893963ee5e7c49,0.948447391753652,0.0515526082463483,0.648207083687576,0.678541682433564,0.677210526763458,0.848640215242993,2859.28571428571,0.0,0.522,-0.001331155670106,-0.00378391834622336,9.0,537ababec65522648e1018b255fa702eaddb3667,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
ddemarre,23.66,39.75,mlabar,23.12,111.4,0,0,0,"aatkins,ddemarre,bjagt,mlabar,srueschem,jwilliams,beberhard",False,2026-08-08-NY-BOS,0,1,1,1,720.0,1,7,True,True,7,away,7,1786230529.0,19,False,"bmccann,jtapper,tchan,tjohnson1,ograff,ldecraene,mmcdonnel",8,10,1b92fc2bb926e35992d218e4a3540d707289a256b1af5fd45781bb96be2a5c50,1786230529.0,False,7,695.142857142857,71.6520348629402,-0.539999999999999,71.65,0.431809283402842,594363697d8da0f416aee3ff4005ada7488a73bb32e01de2f0fa4bec7f00a050,0.477903224114829,0.522096775885171,0.648207083687576,0.672984420563617,1.0,0.617067837320732,2855.14285714286,0.0,0.446,0.327015579436383,0.929568403094178,10.0,1276948ab4f3038e4974cc31a6c9178fec868de8,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
bsadok,10.45,10.75,tdecraene,-0.47,42.45,0,0,0,"bsadok,ocable,scarapell,tdecraene,ayuan,pboerth,tedmonds",True,2026-08-08-NY-BOS,0,1,1,2,691.0,1,1,True,True,8,home,4,1786230600.0,18,False,"aagami,adavis2,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock",5,15,5d3aacb63236c8b3f09d7387ff9fc6ad7655247cd9f68d6953da72c60c937b46,1786230600.0,False,8,691.0,33.5281434022226,-10.92,31.7,19.0077794465599,cec0593fa88cde983c8f9428f7ce8aa70e9c85c5967270ef2817e53a72f0c764,0.882175111171894,0.117824888828106,0.637752220111786,0.637752220111786,0.726213639485464,0.861598664781046,2851.0,-1.0,0.462,0.0884614193736784,0.244201412085884,15.0,f6de564ea1a0746149cd094c91668f15ab0ef7ad,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
tdecraene,-0.47,42.45,pboerth,-19.41,73.53,0,0,0,"bsadok,ocable,scarapell,tdecraene,ayuan,pboerth,tedmonds",True,2026-08-08-NY-BOS,0,1,1,2,691.0,1,2,True,True,9,home,5,1786230603.0,18,False,"aagami,adavis2,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock",6,16,2c6843d1cb762e1d4e2529e68766c2fe1e793757e0744074dc4bcee7b844e78c,1786230603.0,False,9,682.666666666667,36.3962910198278,-18.94,31.08,31.3579254058356,fbb94cfd14c43993c3ed86f82debce781520bd41dc22f2187a881c5b24f455e2,0.87574688567051,0.12425311432949,0.637752220111786,0.719757687861764,0.826952116810238,0.710219768536825,2842.66666666667,-1.0,0.484,0.107194428948474,0.295914660902968,16.0,60eb88e2275c4b05051946a50ed045584b6dd614,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
pboerth,-19.41,73.53,tdecraene,-1.86,65.24,0,0,0,"bsadok,ocable,scarapell,tdecraene,ayuan,pboerth,tedmonds",True,2026-08-08-NY-BOS,0,1,1,2,691.0,1,3,True,True,10,home,6,1786230607.0,18,False,"aagami,adavis2,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock",7,17,1217e28c42c5699129eb27689efbe96865d09e6322b9449e6fccba3eae0cf187,1786230607.0,False,10,674.333333333333,19.4094461538705,17.55,-8.29000000000001,-115.284395485113,999e5bea77e7e4991c27c542b9091a28d9b7939de33b37135e199494d39f6495,0.960501565789502,0.0394984342104979,0.637752220111786,0.823001022791613,0.802861881710618,0.760004184967681,2834.33333333333,-1.0,0.477,-0.0201391410809953,-0.0555949330792588,17.0,c7bc2973d7fc0884cec5bccb5734b0d19648b705,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
tdecraene,-1.86,65.24,tedmonds,-5.62,80.17,0,0,0,"bsadok,ocable,scarapell,tdecraene,ayuan,pboerth,tedmonds",True,2026-08-08-NY-BOS,0,1,1,2,691.0,1,4,True,True,11,home,7,1786230614.0,18,False,"aagami,adavis2,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock",8,18,3ac4de633bb13ab64cf8824a844e2803f1bae6659db44f4cb9b03c8dc937f174,1786230614.0,False,11,666.0,15.3961845922943,-3.76,14.93,14.1355271704824,4c31719477867cf8071014e27a14d5d1d8d433741a2f3409ee3fc2d318a58f66,0.96277754559257,0.0372224544074299,0.637752220111786,0.799224359959029,0.861960682594937,0.699981142913813,2826.0,-1.0,0.492,0.0627363226359072,0.173186217056367,18.0,abda4dab744f70fabebfbe243d859a32ef2369d5,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
tedmonds,-5.62,80.17,tdecraene,-3.61,91.44,0,0,0,"bsadok,ocable,scarapell,tdecraene,ayuan,pboerth,tedmonds",True,2026-08-08-NY-BOS,0,1,1,2,691.0,1,5,True,True,12,home,8,1786230617.0,18,False,"aagami,adavis2,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock",9,19,d15a1d0eeddd6cf5ac3ebd0f910ea0f53f7e8bd5f287c1f556ef93c8b0b44a9e,1786230617.0,False,12,657.666666666667,11.4478382238744,2.01,11.27,-10.1123541451735,34b9b795f6ca99924d8aa93f0afcb0527719b23f11c0a76b02550ac7faadb589,0.969851991372117,0.030148008627883,0.637752220111786,0.859730868209273,0.903812439722887,0.661186262870062,2817.66666666667,-1.0,0.503,0.0440815715136139,0.121689003938732,19.0,c8861a9005a13f8fac59f833b8415a43a6ea52ca,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
tdecraene,-3.61,91.44,ocable,12.14,103.48,0,0,0,"bsadok,ocable,scarapell,tdecraene,ayuan,pboerth,tedmonds",True,2026-08-08-NY-BOS,1,1,1,2,691.0,1,6,True,True,13,home,9,1786230631.0,19,False,"aagami,adavis2,mbrownlee,sjonas,jrandolph,dschnaudi,nwhitlock",10,21,76656e88b671e29ebd97d1339bac5ad4b6590711ccdb739f6693d22ff65f03f3,1786230631.0,False,13,649.333333333333,19.8248354343737,15.75,12.04,-52.604096557668,c599c78fc9783d75bae8ab171a9e6407821c08585f910b9d45975a70694c67e7,0.93135072083853,0.0686492791614698,0.637752220111786,0.902523753019394,1.0,0.630678209005248,2809.33333333333,-1.0,0.513,0.0974762469806061,0.269087217071934,21.0,f6c2133d4d044c2224662c2c86caca05bd4de531,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
beberhard,16.23,23.72,jcowan,23.18,37.84,0,0,0,"aatkins,jcowan,ddemarre,beberhard,mlabar,srueschem,jwilliams",False,2026-08-08-NY-BOS,1,1,1,3,641.0,1,1,True,True,14,away,12,1786230679.0,18,False,"jcarreiro,tchan,itran,mmcdonnel,ghaflin,tjohnson1,ograff",13,25,7be7699f9832564fe254cce881b55786d71d2b00755a1bf99e6c04614729a8dd,1786230679.0,False,14,641.0,15.7377539693566,6.95,14.12,-26.2068554602579,97b7dc389ff155787d7354c3377437aca001b9400c17e88a0dcd30f8ab75dee2,0.969171394526984,0.0308286054730164,0.627545231847036,0.627545231847036,0.636749328528341,0.838317641376119,2801.0,0.0,0.524,0.00920409668130506,0.0247119851007654,25.0,fb591e5812a8470d333039afa6bf60e5626367f8,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
jcowan,23.18,37.84,mlabar,11.73,37.97,0,0,0,"aatkins,jcowan,ddemarre,beberhard,mlabar,srueschem,jwilliams",False,2026-08-08-NY-BOS,1,1,1,3,641.0,1,2,True,True,15,away,13,1786230683.0,18,False,"jcarreiro,tchan,itran,mmcdonnel,ghaflin,tjohnson1,ograff",14,26,2cca690a231e3ef121e969743199dbd01e3ddc0d46e80b08103779fa50a781db,1786230683.0,False,15,637.363636363636,11.4507379674849,-11.45,0.129999999999995,89.3495081825752,5cabbda75a4356c5b8daf954f73a3163a4d238dc58dee5beaed75a333f647a44,0.981071641249661,0.0189283587503393,0.627545231847036,0.635857480895335,0.679549691318683,0.862171781422036,2797.36363636364,0.0,0.516,0.0436922104233481,0.117308769169534,26.0,f2b4d11ea2d2fe0b1691108e7651ceabb2f954fd,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
mlabar,11.73,37.97,srueschem,-0.28,27.54,0,0,0,"aatkins,jcowan,ddemarre,beberhard,mlabar,srueschem,jwilliams",False,2026-08-08-NY-BOS,1,1,1,3,641.0,1,3,True,True,16,away,14,1786230688.0,18,False,"jcarreiro,tchan,itran,mmcdonnel,ghaflin,tjohnson1,ograff",15,27,95020ca34b5511d9bc5a0c26e29b8bfa4cb23c3b6ba3e8785508c20331b073da,1786230688.0,False,16,633.727272727273,15.9067595694409,-12.01,-10.43,130.972452020832,c615ca49add0cba8e6d8be311f0a9ba57011c56a8b321a06ace81c5537b04575,0.985316453995773,0.0146835460042269,0.627545231847036,0.678837505382278,0.651051600124325,0.904730663605644,2793.72727272727,0.0,0.521,-0.0277859052579533,-0.0746020930158744,27.0,0f05fcd5a2da66f7f0dd9ea1cc4723df73589402,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
srueschem,-0.28,27.54,ddemarre,-14.6,57.0,0,0,0,"aatkins,jcowan,ddemarre,beberhard,mlabar,srueschem,jwilliams",False,2026-08-08-NY-BOS,1,1,1,3,641.0,1,4,True,True,17,away,15,1786230689.0,18,False,"jcarreiro,tchan,itran,mmcdonnel,ghaflin,tjohnson1,ograff",16,28,ff2cf0a27fb8b38f39f09acbaad8d0b952b49a9007f03cca83341c863936b732,1786230689.0,False,17,630.090909090909,32.7559765539054,-14.32,29.46,25.9235905513133,c04241373502cbac9e512afbfafc1bd6648288e21bbbb5ee6e91a6ffb8da7fc7,0.884317364534602,0.115682635465398,0.627545231847036,0.650435494821971,0.748050260073228,0.773085448469055,2790.09090909091,0.0,0.5,0.0976147652512566,0.262084885462299,28.0,c9628684a28cc98dad51aae71a56e080262689bf,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
ddemarre,-14.6,57.0,jwilliams,-16.51,75.4,0,0,0,"aatkins,jcowan,ddemarre,beberhard,mlabar,srueschem,jwilliams",False,2026-08-08-NY-BOS,1,1,1,3,641.0,1,5,True,True,18,away,16,1786230692.0,18,False,"jcarreiro,tchan,itran,mmcdonnel,ghaflin,tjohnson1,ograff",17,29,ce345451284dbb7310d9720438fdb97468e07e65aa21f2fd2834dd3243277343,1786230692.0,False,18,626.454545454545,18.4988675329059,-1.91,18.4,5.92632578300294,c4eae3589cedb54f0cb558988ab94271af7eabbc3509d1302072b693073d3d0e,0.952071281823357,0.0479287181766432,0.627545231847036,0.747639066434301,0.826753979300892,0.691395039023064,2786.45454545455,0.0,0.48,0.0791149128665903,0.212414820889334,29.0,c70ae2a69752350bca92692fd03849e5dcdcefc4,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
jwilliams,-16.51,75.4,ddemarre,-11.67,62.25,0,0,0,"aatkins,jcowan,ddemarre,beberhard,mlabar,srueschem,jwilliams",False,2026-08-08-NY-BOS,1,1,1,3,641.0,1,6,True,True,19,away,17,1786230695.0,18,False,"jcarreiro,tchan,itran,mmcdonnel,ghaflin,tjohnson1,ograff",18,30,01c791a04963d3df2215a1fbab822e64977dd433035c0be0e6fb361596b715cf,1786230695.0,False,19,622.818181818182,14.0124266278186,4.84,-13.15,-159.793314959919,1f56d97394f5e2d6949beebe9a96b55b38e19c74b6f7d29d2cef0eb0d55cfe52,0.976701273532747,0.023298726467253,0.627545231847036,0.826513538113977,0.773718733830004,0.753728605099748,2782.81818181818,0.0,0.493,-0.0527948042839738,-0.141748230384559,30.0,0aed464a0116f010d4330398b1627725f1bf6c37,2026-08-18 08:07:04,2026-08-08 23:12:51,2026-08-08-NY-BOS,glory,empire,21,24,2026-08-08 19:00:00
